NAME	POS	MIN	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	% OVER	L5 % OVER	LAST 7 GAMES	LAST YR % OVER	OVER	UNDER
Eric Gordon	30	SG	HOU	IND	16th	reb	0.5	2	100%	100%	3,1,1,3,1,1,2	83%	-185	'+140
Myles Turner	28	C	IND	HOU	30th	blk	1.5	3.1	100%	100%	3,2,3,3,3,2,5	84%	-150	'+120
Tyrese Haliburton	33	PG	IND	HOU	30th	stl	0.5	1.9	85%	100%	3,2,3,2,2,2,3	79%	-165	'+135
Tyrese Haliburton	33	PG	IND	HOU	30th	ast	8.5	10.4	77%	100%	11,15,12,13,9,5,8	40%	-115	'+102
Luka Doncic	37	PG	DAL	DEN	13th	stl	0.5	2.1	100%	100%	3,2,2,3,2,3,2	71%	-125	-105
Spencer Dinwiddie	33	PG	DAL	DEN	25th	ast	3.5	5.1	79%	100%	10,6,6,6,5,5,7	72%	'+120	-150
Luka Doncic	37	PG	DAL	DEN	25th	ast	5.5	7.8	85%	80%	5,10,6,6,6,6,11	82%	-125	-105
Jaylen Brown	35	SG	BOS	NO	10th	reb	3.5	6.6	93%	100%	5,6,8,7,9,5,5	89%	-146	'+114
Al Horford	30	C	BOS	NO	19th	reb	5.5	6.9	58%	100%	11,11,7,6,6,5,12	79%	-104	-122
Al Horford	30	C	BOS	NO	4th	ast	1.5	2.4	67%	100%	4,4,2,2,2,5,1	85%	-120	-105
Jayson Tatum	37	SF	BOS	NO	18th	ast	3.5	4.1	67%	60%	8,1,3,5,5,2,5	68%	-125	'+100
Kelly Oubre Jr	31	SG	CHA	CLE	5th	reb	3.5	5.3	81%	100%	13,5,8,7,8,1,1	65%	-165	'+125
Mason Plumlee	26	C	CHA	CLE	7th	ast	2.5	4	88%	80%	3,2,5,5,4,5,3	65%	-125	-105
Devin Booker	36	SG	PHX	UTAH	1st	ast	3.5	5.8	86%	100%	9,5,6,10,5,3,5	68%	-115	-115
Jordan Clarkson	30	PG	UTAH	PHX	28th	3ptm	1.5	3.1	88%	100%	3,2,2,2,5,6,2	71%	-135	'+106
Jarred Vanderbilt	24	PF	UTAH	PHX	13th	reb	5.5	8.3	93%	100%	9,10,8,7,6,6,7	80%	-150	'+115
