Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","2 Tms",26,64,58,17,10,5,0,2,7,6,5,0,13,1,0,0,0,1,1,0.293103448,785
2020,"Albert Pujols","LAA",30,66,65,15,9,4,0,2,6,9,1,0,11,0,0,0,1,0,0,0.23076923,1177
2020,"Wilson Ramos","NYM",24,46,40,11,8,2,0,1,4,3,6,0,7,0,0,0,1,0,0,0.275,1433
2020,"Miguel Cabrera","DET",22,41,35,14,10,2,0,2,6,8,6,0,6,0,0,0,0,0,0,0.4,1744
2020,"David Peralta","ARI",25,50,46,12,11,0,0,1,2,7,3,0,11,0,1,0,0,0,0,0.260869565,2136
2020,"Edwin Encarnacion","CHW",21,41,33,4,0,1,0,3,7,3,6,0,12,1,0,0,0,0,0,0.121212121,2151
2020,"Carlos Santana","CLE",38,66,61,15,8,4,0,3,10,12,5,0,11,0,0,0,1,0,0,0.245901639,2396
2020,"Nelson Cruz","MIN",26,51,43,20,13,1,0,6,10,11,7,3,4,1,0,0,3,0,0,0.465116279,2434
2020,"Manny Pina","MIL",11,22,19,4,3,1,0,0,0,1,2,0,4,1,0,0,0,0,0,0.210526315,2829
2020,"Roberto Perez","CLE",17,28,26,4,2,2,0,0,1,2,2,0,11,0,0,0,1,0,0,0.153846153,2900
2020,"Tommy Pham","SDP",21,35,30,9,5,2,0,2,6,4,5,0,7,0,0,0,0,3,0,0.3,2967
2020,"Mitch Moreland","2 Tms",18,27,25,6,4,1,0,1,1,4,1,0,8,1,0,0,0,0,0,0.24,3086
2020,"Robinson Chirinos","2 Tms",16,32,27,7,4,2,0,1,3,4,4,0,5,1,0,0,5,0,0,0.259259259,3142
2020,"Shin-Soo Choo","TEX",21,38,36,8,6,1,0,1,5,4,1,0,7,1,0,0,0,2,0,0.222222222,3174
2020,"Robinson Cano","NYM",31,57,53,14,6,4,0,4,7,9,3,0,8,1,0,0,1,0,0,0.264150943,3269
2020,"Matt Joyce","MIA",10,13,13,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.153846153,3353
2020,"Ryan Braun","MIL",26,48,43,10,8,0,0,2,3,6,4,0,9,0,0,0,1,0,0,0.232558139,3410
2020,"Drew Butera","COL",11,23,21,3,1,2,0,0,2,4,1,0,6,0,1,0,3,0,0,0.142857142,3411
2020,"Jeff Mathis","TEX",10,17,15,1,1,0,0,0,2,1,1,0,7,0,1,0,0,1,0,0.066666666,3448
2020,"Anthony Rizzo","CHC",36,60,49,10,9,0,0,1,7,5,8,0,9,3,0,0,3,1,0,0.204081632,3473
2020,"Eric Hosmer","SDP",26,53,49,10,6,2,0,2,6,10,2,0,9,1,1,0,1,2,0,0.204081632,3516
2020,"Eric Thames","WSN",18,25,22,4,2,1,0,1,2,2,3,0,6,0,0,0,0,0,0,0.181818181,3711
2020,"Josh Reddick","HOU",40,72,65,17,9,7,0,1,6,10,7,0,16,0,0,0,1,1,0,0.261538461,3892
2020,"Dexter Fowler","STL",11,18,17,2,2,0,0,0,1,1,1,0,5,0,0,0,1,0,0,0.117647058,4062
2020,"Michael Brantley","HOU",26,55,52,12,7,4,0,1,6,4,3,0,10,0,0,0,2,0,0,0.23076923,4106
2020,"Howie Kendrick","WSN",12,26,25,5,3,0,0,2,5,5,1,0,3,0,0,0,2,0,0,0.2,4229
2020,"Joey Votto","CIN",37,58,45,8,6,0,0,2,8,2,13,0,13,0,0,0,2,0,0,0.177777777,4314
2020,"Daniel Murphy","COL",21,35,35,7,6,1,0,0,3,3,0,0,8,0,0,0,1,0,0,0.2,4316
2020,"Erik Kratz","NYY",7,11,11,4,2,2,0,0,2,1,0,0,3,0,0,0,0,0,0,0.363636363,4403
2020,"Starlin Castro","WSN",8,17,16,8,5,2,1,0,4,1,1,0,3,0,0,0,0,0,0,0.5,4579
2020,"Mike Moustakas","CIN",29,47,42,9,5,3,0,1,4,7,4,0,10,1,0,0,2,1,0,0.214285714,4892
2020,"Ender Inciarte","ATL",19,25,23,5,4,0,0,1,7,1,2,0,7,0,0,0,0,0,0,0.217391304,4922
2020,"Jason Heyward","CHC",24,42,36,6,3,2,0,1,2,6,5,0,10,0,1,0,0,1,0,0.166666666,4940
2020,"Giancarlo Stanton","NYY",13,21,17,3,1,1,0,1,3,2,4,0,8,0,0,0,1,1,0,0.176470588,4949
2020,"Asdrubal Cabrera","WSN",28,54,51,16,7,3,2,4,10,11,1,0,6,0,2,0,1,0,0,0.31372549,4962
2020,"Stephen Vogt","ARI",8,11,9,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.111111111,5000
2020,"Josh Donaldson","MIN",14,22,15,1,0,0,0,1,3,1,6,1,5,1,0,0,2,0,0,0.066666666,5038
2020,"Alex Gordon","KCR",21,30,28,6,6,0,0,0,1,1,1,0,5,1,0,0,0,0,0,0.214285714,5209
2020,"Justin Upton","LAA",29,68,64,14,6,2,0,6,10,10,4,0,22,0,0,0,1,0,1,0.21875,5222
2020,"Cameron Maybin","2 Tms",13,22,19,5,3,2,0,0,1,1,3,0,3,0,0,0,1,2,0,0.263157894,5223
2020,"Justin Turner","LAD",27,58,47,11,8,1,0,2,10,7,8,0,10,2,1,0,2,1,0,0.234042553,5235
2020,"Robbie Grossman","OAK",17,24,20,2,1,0,1,0,1,1,4,0,6,0,0,0,1,1,0,0.1,5254
