"VBR","Player","Team","Positions","Opp","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"1","Tyler Glasnow","LAD","SP","@PHI","5.88","7.31","0.37","0.00","3.45","1.10","2.26","4.61","1.75","0.73","0.00","0.00","0.25","0.00","99%"
"2","Ryan Helsley","STL","RP","@BOS","0.76","0.95","0.06","0.42","3.20","1.20","0.27","0.61","0.28","0.07","0.00","0.00","0.04","0.00","99%"
"3","Corbin Burnes","ARI","SP","@WSH","5.91","5.89","0.43","0.00","3.65","1.20","2.40","5.12","1.72","0.74","0.00","0.00","0.28","0.00","99%"
"4","Bryan Woo","SEA","SP","@SF","5.30","5.03","0.29","0.00","3.74","1.23","2.20","5.05","1.21","0.59","0.00","0.00","0.29","0.00","92%"
"5","Cristopher Sanchez","PHI","SP","LAD","5.83","5.18","0.31","0.00","3.67","1.25","2.38","5.51","1.61","0.63","0.00","0.00","0.29","0.00","89%"
"6","Drew Rasmussen","TB","SP,RP","@TEX","4.87","4.68","0.29","0.00","3.47","1.19","1.88","4.41","1.21","0.50","0.00","0.00","0.24","0.00","62%"
"7","Aroldis Chapman","BOS","RP","STL","0.74","1.06","0.06","0.24","3.35","1.35","0.28","0.54","0.43","0.06","0.00","0.00","0.04","0.00","72%"
"8","Edwin Diaz","NYM","RP","TOR","0.38","0.55","0.03","0.22","2.83","1.09","0.12","0.25","0.14","0.04","0.00","0.00","0.02","0.00","99%"
"9","Emmanuel Clase","CLE","RP","@LAA","0.39","0.38","0.02","0.21","2.95","1.11","0.13","0.33","0.08","0.03","0.00","0.00","0.02","0.00","99%"
"10","Sandy Alcantara","MIA","SP","@ATL","4.81","4.29","0.24","0.00","3.35","1.20","1.79","4.36","1.23","0.46","0.00","0.00","0.26","0.00","93%"
"11","Josh Hader","HOU","RP","@MIN","0.39","0.55","0.03","0.20","3.23","1.20","0.14","0.28","0.16","0.05","0.00","0.00","0.02","0.00","99%"
"12","Devin Williams","NYY","RP","@PIT","0.37","0.49","0.03","0.19","3.17","1.26","0.13","0.28","0.17","0.03","0.00","0.00","0.01","0.00","98%"
"13","Raisel Iglesias","ATL","RP","MIA","0.40","0.44","0.03","0.19","3.28","1.14","0.15","0.34","0.10","0.04","0.00","0.00","0.02","0.00","98%"
"14","Mason Miller","ATH","RP","@COL","0.39","0.57","0.02","0.18","2.60","1.04","0.11","0.25","0.14","0.04","0.00","0.00","0.01","0.00","99%"
"15","Andres Munoz","SEA","RP","@SF","0.38","0.49","0.03","0.17","2.69","1.21","0.11","0.29","0.15","0.02","0.00","0.00","0.02","0.00","97%"
"16","Jeff Hoffman","TOR","RP","@NYM","0.38","0.46","0.02","0.16","2.85","1.08","0.12","0.26","0.13","0.04","0.00","0.00","0.01","0.00","94%"
"17","Ryan Walker","SF","RP","SEA","0.40","0.47","0.03","0.16","2.94","1.18","0.13","0.32","0.13","0.03","0.00","0.00","0.02","0.00","96%"
"18","Felix Bautista","BAL","RP","@KC","0.35","0.50","0.02","0.16","3.18","1.17","0.12","0.26","0.14","0.03","0.00","0.00","0.01","0.00","96%"
"19","Trevor Megill","MIL","RP","CIN","0.37","0.46","0.02","0.17","3.42","1.20","0.14","0.30","0.13","0.05","0.00","0.00","0.02","0.00","90%"
"20","David Peterson","NYM","SP","TOR","5.63","5.34","0.37","0.00","3.80","1.35","2.38","5.10","2.24","0.61","0.00","0.00","0.30","0.00","33%"
"21","Jhoan Duran","MIN","RP","HOU","0.38","0.47","0.03","0.15","2.72","1.19","0.11","0.30","0.13","0.03","0.00","0.00","0.02","0.00","94%"
