"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Sonny Gray","STL","SP","162.9","152","10","0","3.67","1.24","66","148","53","17","29","29","8","0","345"
"Tanner Bibee","CLE","SP","162.8","160","10","0","3.93","1.23","71","149","50","22","29","28","9","0","346"
"Cole Ragans","KC","SP,RP","162.6","172","10","0","3.94","1.30","71","144","67","18","28","28","10","0","347"
"Joe Musgrove","SD","SP","162.0","159","11","0","3.65","1.17","66","147","41","20","28","27","8","0","361"
"Brady Singer","KC","SP","161.7","138","9","0","4.43","1.34","80","168","49","20","28","28","10","1","295"
"Reid Detmers","LAA","SP","161.6","173","9","0","4.27","1.29","77","148","61","23","29","29","9","0","338"
"Patrick Corbin","WSH","SP","159.9","116","8","0","5.19","1.47","92","183","53","28","29","29","13","0","238"
"Cristian Javier","HOU","SP","159.3","168","10","0","4.33","1.25","77","137","63","26","29","29","8","0","337"
"Yu Darvish","SD","SP","158.9","158","10","0","4.12","1.20","73","146","44","23","27","27","9","0","335"
"Nathan Eovaldi","TEX","SP","157.0","144","10","0","4.12","1.26","72","152","46","22","27","27","8","2","326"
"Dane Dunning","TEX","SP,RP","156.6","133","9","0","4.39","1.37","76","159","55","21","30","27","9","0","287"
"Kyle Freeland","COL","SP","156.6","101","7","0","5.39","1.50","94","187","48","28","29","29","11","0","218"
"Marcus Stroman","NYY","SP","156.2","131","10","0","4.00","1.29","69","152","50","18","28","28","8","1","314"
"Jon Gray","TEX","SP","155.9","151","9","0","4.29","1.29","74","148","53","22","28","28","9","1","311"
"Tyler Anderson","LAA","SP","155.3","126","8","0","4.77","1.37","82","159","54","25","28","27","9","0","266"
"Patrick Sandoval","LAA","SP","154.3","145","9","0","4.14","1.40","71","149","67","18","28","28","9","0","303"
"Jose Quintana","NYM","SP","154.0","129","9","0","4.30","1.38","74","158","55","18","28","28","9","0","287"
"Tarik Skubal","DET","SP","153.6","175","10","0","3.41","1.12","58","131","41","16","28","28","8","0","369"
"Hunter Brown","HOU","SP","152.9","163","11","0","3.95","1.28","67","139","57","18","31","27","8","0","348"
"Charlie Morton","ATL","SP","152.5","166","11","0","4.16","1.33","71","139","65","19","27","27","7","0","344"
"Bailey Ober","MIN","SP","151.6","148","9","0","4.07","1.18","69","143","35","24","28","28","8","0","315"
"Hunter Greene","CIN","SP","151.0","189","9","0","4.25","1.24","71","129","58","25","28","28","9","0","346"
"Graham Ashcraft","CIN","SP","150.8","119","8","0","4.69","1.40","79","158","52","21","27","27","9","0","261"
"Ranger Suarez","PHI","SP","150.1","131","9","0","4.04","1.35","67","147","56","17","27","27","8","0","294"
"Seth Lugo","KC","SP","149.5","128","8","0","4.35","1.33","72","154","45","20","27","27","9","0","278"
"Yusei Kikuchi","TOR","SP","149.3","158","9","0","4.20","1.30","70","139","55","23","29","29","8","0","318"
"Bobby Miller","LAD","SP","148.7","146","11","0","3.86","1.19","64","134","43","18","27","27","7","0","332"
"Jameson Taillon","CHC","SP","148.0","127","8","0","4.51","1.28","74","149","39","24","27","27","9","0","270"
"Cal Quantrill","COL","SP","148.0","92","7","0","5.30","1.48","87","171","48","24","27","27","10","0","206"
"Kyle Hendricks","CHC","SP","147.5","106","8","0","4.59","1.32","75","159","37","22","27","27","9","0","248"
"Carlos Rodon","NYY","SP","147.1","169","10","0","3.99","1.19","65","125","50","21","27","27","8","1","340"
"Justin Verlander","HOU","SP","146.9","132","10","0","4.01","1.22","65","137","42","21","25","25","7","0","308"
"Michael King","SD","SP,RP","145.4","163","9","0","3.72","1.23","60","127","52","18","33","25","8","0","322"
"Bryce Miller","SEA","SP","145.4","132","9","0","4.17","1.21","67","139","37","22","27","27","8","0","291"
"Jack Flaherty","DET","SP","145.2","142","8","0","4.46","1.39","72","140","62","19","27","27","9","0","280"
"Brandon Pfaadt","ARI","SP","144.6","137","8","0","4.33","1.24","70","142","37","23","27","27","9","0","277"
"Shota Imanaga","CHC","SP","144.4","145","9","0","3.93","1.22","63","136","40","21","26","26","8","2","306"
