"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Tyler Holton","DET","RP","63.4","58","3","1","3.81","1.22","27","58","19","7","60","0","3","0","108"
"Phil Maton","TB","RP","63.2","69","3","1","4.02","1.27","28","56","24","8","62","0","3","0","119"
"Robert Suarez","SD","RP","63.0","65","3","19","3.98","1.24","28","54","25","8","62","0","4","0","218"
"Giovanny Gallegos","STL","RP","63.0","69","3","5","3.85","1.16","27","55","18","9","61","0","3","0","143"
"Griffin Jax","MIN","RP","63.0","65","4","2","3.95","1.22","28","57","20","7","55","0","4","0","124"
"Paul Sewald","ARI","RP","62.9","76","3","29","3.75","1.19","26","52","23","9","63","0","3","0","294"
"Brusdar Graterol","LAD","RP","62.9","52","4","7","3.41","1.18","24","58","16","5","62","0","2","0","152"
"Seranthony Dominguez","PHI","RP","62.9","67","4","3","4.06","1.33","28","56","28","8","64","0","4","0","130"
"Jordan Weems","WSH","RP","62.8","65","3","0","4.56","1.38","32","57","29","9","58","0","3","0","102"
"Jason Foley","DET","RP","62.6","50","2","8","3.85","1.31","27","64","18","5","62","0","3","0","134"
"Jordan Romano","TOR","RP","62.3","74","4","32","3.51","1.19","24","51","23","7","61","0","3","0","319"
"A.J. Minter","ATL","RP","62.2","77","4","4","3.47","1.16","24","52","20","7","64","0","3","0","154"
"Rich Hill","","SP,RP","62.2","52","3","0","4.89","1.41","34","65","23","10","14","11","4","0","102"
"Ian Hamilton","NYY","RP","62.1","71","3","2","3.73","1.30","26","52","28","7","59","0","3","0","125"
"Mark Leiter Jr.","CHC","RP","61.9","68","3","1","4.07","1.26","28","55","23","8","61","0","3","0","115"
"Shintaro Fujinami","NYM","SP,RP","61.9","68","3","0","4.53","1.42","31","54","34","7","59","0","4","0","103"
"Joan Adon","WSH","SP","61.8","53","3","0","4.88","1.46","33","63","27","8","40","5","4","0","91"
"Buck Farmer","CIN","RP","61.7","63","3","0","4.74","1.39","33","58","28","10","60","0","4","0","95"
"Andre Pallante","STL","RP","61.7","45","3","0","3.99","1.43","27","64","25","5","58","0","3","0","86"
"Yuki Matsui","SD","","61.6","75","2","8","3.65","1.24","25","51","26","7","61","0","2","0","161"
"Mason Miller","OAK","SP","61.5","80","3","16","3.35","1.14","23","46","25","7","58","1","3","0","221"
"Aaron Bummer","ATL","RP","61.5","74","4","1","3.58","1.31","25","53","28","5","62","0","3","0","130"
"Sawyer Gipson-Long","DET","SP","61.5","58","3","0","4.29","1.28","29","60","18","9","28","8","4","0","109"
"Joey Wentz","DET","SP,RP","61.5","59","3","0","4.61","1.39","31","60","26","9","52","3","4","0","99"
"Shawn Armstrong","TB","SP,RP","61.4","64","3","1","3.74","1.20","26","56","18","7","57","0","2","0","118"
"Edwin Diaz","NYM","RP","61.3","94","3","34","2.82","1.03","19","42","21","6","60","0","2","0","351"
"Ryan Helsley","STL","RP","61.3","80","4","27","3.22","1.16","22","45","26","7","60","0","3","0","295"
"Josh Sborz","TEX","RP","61.3","74","3","2","3.91","1.26","27","53","24","8","60","0","3","0","127"
"Adam Ottavino","NYM","RP","61.3","63","3","3","4.09","1.31","28","54","27","7","63","0","3","0","120"
"Yimi Garcia","TOR","RP","61.3","65","3","2","3.83","1.19","26","55","18","8","62","0","3","0","120"
"Will Vest","DET","RP","61.3","64","3","1","3.81","1.27","26","56","21","6","59","0","3","0","113"
"Eli Morgan","CLE","RP","61.3","63","3","0","4.14","1.23","28","57","19","9","58","0","3","0","104"
"Ryan Weathers","MIA","SP","61.3","52","3","0","4.66","1.44","32","64","24","9","42","4","4","0","91"
"Kirby Yates","TEX","RP","61.2","73","3","2","4.33","1.35","29","51","31","9","61","0","4","0","120"
"Rafael Montero","HOU","RP","61.2","66","3","0","4.25","1.33","29","57","24","8","59","0","3","0","107"
"Will Smith","KC","RP","61.1","60","3","13","4.35","1.31","29","57","23","9","62","0","4","0","174"
"John Schreiber","KC","RP","61.1","61","3","2","3.88","1.30","26","55","24","6","58","0","3","0","115"
"Devin Williams","MIL","RP","61.0","87","4","30","2.95","1.16","20","42","29","6","61","0","3","0","321"
"David Robertson","TEX","RP","61.0","70","3","10","4.01","1.30","27","53","27","9","60","0","4","0","167"
"Luis Garcia","LAA","RP","60.8","58","3","0","4.09","1.34","28","59","22","7","60","0","3","0","98"
"Colin Holderman","PIT","RP","60.7","58","2","1","4.04","1.34","27","56","25","6","60","0","3","0","97"
"Nick Sandlin","CLE","RP","60.6","65","3","0","4.02","1.29","27","51","27","8","60","0","4","0","102"
"Luke Weaver","NYY","SP","60.6","57","3","0","4.75","1.36","32","63","19","10","44","4","3","0","99"
"Kenley Jansen","BOS","RP","60.5","71","3","31","4.05","1.24","27","52","24","8","61","0","3","0","297"
"Tyler Kinley","COL","RP","60.5","60","2","8","4.75","1.38","32","60","23","9","61","0","3","0","136"
"Hoby Milner","MIL","RP","60.5","57","2","0","3.84","1.23","26","58","16","8","62","0","2","0","95"
"Clayton Kershaw","LAD","SP","60.4","61","5","0","3.74","1.19","25","55","17","9","11","11","3","0","142"
"Colin Poche","TB","RP","60.4","65","4","2","3.86","1.23","26","51","24","8","61","0","3","0","126"
"Ryan Brasier","LAD","RP","60.4","59","3","1","4.07","1.23","27","55","19","8","60","0","2","0","111"
"Kyle Muller","OAK","SP,RP","60.4","52","2","0","4.60","1.45","31","60","27","8","44","4","4","0","83"
"Gregory Santos","SEA","RP","60.3","62","3","4","3.64","1.26","24","56","20","5","60","0","2","0","135"
"Caleb Ferguson","NYY","SP,RP","60.3","69","4","2","3.57","1.25","24","52","24","6","62","0","3","0","134"
"Miguel Castro","ARI","RP","60.3","60","3","2","4.18","1.35","28","55","27","7","61","0","3","0","110"
"Josh Hader","HOU","RP","60.2","87","3","33","3.16","1.13","21","42","26","7","61","0","2","0","334"
"Andres Munoz","SEA","RP","60.2","82","4","27","2.99","1.12","20","45","23","5","59","0","3","0","299"
"Lucas Sims","CIN","RP","60.2","71","3","2","4.64","1.37","31","50","32","9","60","0","4","0","114"
"Woo-Suk Go","SD","RP","60.2","68","2","2","4.13","1.37","28","53","30","7","59","0","3","0","112"
"Tristan Beck","SF","RP","60.2","50","3","0","4.53","1.36","30","62","20","8","23","7","4","0","95"
"Hunter Harvey","WSH","RP","60.1","67","3","13","3.74","1.17","25","53","18","8","60","0","3","0","188"
"Taylor Rogers","SF","RP","60.1","72","4","3","3.72","1.23","25","52","22","7","61","0","4","0","137"
"Chris Martin","BOS","RP","60.1","58","3","3","3.62","1.20","24","60","12","7","61","0","3","0","121"
"Ryan Walker","SF","SP,RP","60.1","69","3","0","3.72","1.27","25","54","22","7","57","1","3","0","113"
"Sam Hentges","CLE","RP","60.1","64","3","1","3.70","1.32","25","55","24","6","57","0","3","0","112"
"Aroldis Chapman","PIT","RP","60.0","91","3","5","3.29","1.27","22","41","35","6","60","0","3","0","164"
"Bowden Francis","TOR","RP","60.0","59","3","0","4.47","1.28","30","55","21","10","38","5","3","0","106"
"Ken Waldichuk","OAK","SP,RP","60.0","58","3","0","4.46","1.38","30","56","26","8","24","9","4","0","105"
"Fernando Cruz","CIN","RP","59.5","77","3","1","4.11","1.30","27","51","26","9","57","0","3","0","124"
"Robert Stephenson","LAA","RP","59.4","78","3","11","3.70","1.13","24","48","19","9","60","0","3","0","187"
"Pierce Johnson","ATL","RP","59.4","79","3","1","3.78","1.28","25","51","25","8","61","0","3","0","128"
"Trevor Gott","OAK","RP","59.2","57","2","3","4.22","1.31","28","56","21","7","60","0","4","0","103"
"Ben Lively","CLE","SP,RP","59.0","52","3","0","4.52","1.34","30","60","19","9","40","3","4","0","92"
"Brooks Raley","NYM","RP","58.9","64","2","2","4.00","1.30","26","53","24","7","63","0","3","0","108"
"Abner Uribe","MIL","RP","58.7","75","2","1","3.65","1.37","24","44","36","5","59","0","2","0","116"
"Zack Thompson","STL","SP,RP","58.7","56","3","0","4.32","1.41","28","56","27","7","32","6","3","0","103"
"Drew Smith","NYM","RP","58.7","62","3","1","4.31","1.31","28","52","25","9","57","0","4","0","102"
"Paul Skenes","PIT","SP","58.7","51","2","0","4.49","1.33","29","55","23","7","12","12","3","0","94"
"Scott McGough","ARI","RP","58.6","64","3","2","4.13","1.32","27","54","24","8","57","0","3","0","114"
"Robert Garcia","WSH","RP","58.6","61","3","0","4.30","1.39","28","54","28","7","55","0","3","0","100"
"Jason Adam","TB","RP","58.5","71","3","7","3.48","1.12","23","45","21","7","58","0","3","0","156"
"Justin Topa","MIN","RP","58.5","50","3","1","4.09","1.33","27","59","19","6","58","0","3","0","95"
"Orion Kerkering","PHI","RP","58.4","65","3","3","3.75","1.22","24","51","20","7","60","0","3","0","125"
"Jose Cuas","CHC","RP","58.4","58","3","0","4.19","1.40","27","55","26","7","59","0","3","0","96"
"Deivi Garcia","CWS","RP","58.4","54","2","2","5.20","1.54","34","57","32","10","52","1","4","0","91"
"Hayden Wesneski","CHC","SP,RP","58.3","54","3","0","4.32","1.29","28","55","20","9","27","6","3","0","102"
"Matt Moore","LAA","RP","58.1","62","3","1","4.25","1.35","27","53","25","8","53","0","3","0","106"
"Alec Marsh","KC","SP,RP","58.1","57","3","0","5.08","1.47","33","59","26","9","26","7","4","0","95"
"Ryne Stanek","SEA","RP","58.0","64","3","1","4.08","1.32","26","49","27","8","58","0","3","0","110"
"Gabe Speier","SEA","RP","58.0","62","2","1","3.76","1.20","24","53","17","8","61","0","3","0","103"
"Carmen Mlodzinski","PIT","RP","58.0","53","3","1","4.28","1.39","28","56","25","7","56","0","4","0","93"
"JoJo Romero","STL","RP","57.9","65","4","2","3.56","1.25","23","51","21","6","57","0","3","0","129"
"Luke Jackson","SF","RP","57.9","62","3","1","4.00","1.34","26","53","24","7","57","0","3","0","109"
"Taylor Clarke","MIL","RP","57.9","59","3","0","4.45","1.33","29","57","20","10","55","0","4","0","92"
"Trevor Megill","MIL","RP","57.8","75","3","2","3.74","1.25","24","50","22","7","55","0","2","0","133"
"Alex Vesia","LAD","RP","57.7","73","4","1","3.73","1.21","24","47","23","8","59","0","3","0","127"
"Chris Devenski","TB","RP","57.7","56","3","0","4.40","1.25","28","55","17","9","53","1","3","0","96"
"Danny Coulombe","BAL","RP","57.6","61","3","1","3.91","1.28","25","53","20","8","58","0","3","0","107"
"Ian Gibaut","CIN","RP","57.6","58","3","0","4.49","1.40","29","56","25","8","55","0","4","0","90"
"Joe Kelly","LAD","RP","57.5","74","4","2","3.59","1.26","23","46","26","5","57","0","3","0","134"
"Tim Mayza","TOR","RP","57.3","55","3","0","3.45","1.24","22","53","18","6","61","0","3","0","98"
"Carlos Hernandez","KC","SP,RP","57.3","56","2","0","4.56","1.38","29","54","25","8","49","0","4","0","80"
"Jake Diekman","NYM","RP","57.2","69","3","0","4.15","1.43","26","47","35","7","59","0","3","0","107"
"Andrew Chafin","DET","RP","57.1","62","3","2","3.91","1.31","25","51","24","7","60","0","3","0","113"
"Andrew Saalfrank","ARI","RP","57.1","59","3","0","3.86","1.41","24","52","29","5","59","0","3","0","98"
"Jacob Webb","BAL","RP","57.1","58","3","0","4.33","1.35","27","52","25","8","55","0","3","0","95"
"Ryan Thompson","ARI","RP","57.1","48","3","0","4.05","1.31","26","56","19","6","55","0","3","0","89"
"Pete Fairbanks","TB","RP","57.0","80","4","29","2.99","1.11","19","41","22","5","58","0","2","0","310"
"Wandy Peralta","SD","RP","57.0","54","3","1","3.81","1.33","24","50","25","6","58","0","3","0","100"
"Genesis Cabrera","TOR","RP","57.0","57","3","0","4.30","1.36","27","52","25","8","57","0","3","0","94"
"Sam Moll","CIN","RP","57.0","60","2","0","4.17","1.38","26","51","27","7","56","0","3","0","92"
"JT Chargois","MIA","SP,RP","57.0","51","2","1","4.28","1.37","27","54","24","7","58","0","2","0","91"
"Tayler Saucedo","SEA","RP","56.8","54","3","0","4.03","1.35","25","53","24","6","59","0","3","0","95"
"Xzavion Curry","CLE","SP,RP","56.8","45","3","0","4.67","1.34","30","58","18","9","40","3","3","0","86"
"Trevor Stephan","CLE","RP","56.7","62","3","1","3.99","1.28","25","51","22","7","52","0","3","0","107"
"Chris Murphy","BOS","RP","56.7","50","3","0","4.80","1.46","30","58","25","8","30","5","3","0","89"
"Brock Stewart","MIN","RP","56.5","70","2","1","3.80","1.27","24","48","24","7","55","0","2","0","111"
"Dany Jimenez","OAK","RP","56.4","63","2","5","4.20","1.37","26","47","30","8","56","0","4","0","120"
"Nick Mears","COL","RP","56.4","59","3","0","4.90","1.53","31","54","32","8","54","0","3","0","92"
"Ryan Borucki","PIT","RP","56.4","51","3","0","4.07","1.28","26","52","20","7","56","0","3","0","89"
"George Soriano","MIA","RP","56.3","52","2","0","4.47","1.42","28","54","25","7","53","0","2","0","84"
"Tanner Rainey","WSH","RP","56.0","64","2","4","4.61","1.40","29","49","30","9","56","0","3","0","115"
"Brennan Bernardino","BOS","SP,RP","56.0","57","2","0","4.14","1.37","26","54","22","7","58","0","2","0","92"
"Cionel Perez","BAL","RP","55.9","52","3","0","3.96","1.40","25","52","26","5","59","0","3","0","89"
"John Brebbia","CWS","SP,RP","55.8","58","3","12","4.32","1.28","27","52","19","9","57","1","4","0","164"
"Jared Shuster","CWS","SP","55.8","41","3","0","5.01","1.45","31","58","23","9","19","9","4","0","84"
"Trevor Richards","TOR","RP","55.7","70","2","0","4.12","1.27","25","46","24","8","50","0","3","0","102"
"AJ Smith-Shawver","ATL","SP","55.5","57","3","0","4.59","1.38","28","51","25","9","23","8","3","0","105"
"Tom Cosgrove","SD","RP","55.5","55","2","0","4.03","1.30","25","49","24","7","55","0","3","0","85"
"Joe Mantiply","ARI","RP","55.4","47","3","0","3.95","1.29","24","57","15","6","53","0","3","0","89"
"Jorge Lopez","NYM","RP","55.4","53","2","1","4.39","1.35","27","54","21","7","51","0","3","0","87"
"Tanner Banks","CWS","RP","55.4","49","2","0","4.28","1.30","26","56","16","8","52","1","3","0","79"
"Jesse Chavez","CWS","RP","55.3","55","2","1","4.21","1.33","26","53","20","8","54","0","3","0","92"
"Dillon Tate","BAL","RP","55.3","43","2","1","4.31","1.31","26","55","18","6","53","0","3","0","81"
"Caleb Thielbar","MIN","RP","55.2","65","3","1","3.73","1.20","23","48","18","7","56","0","3","0","111"
"Shelby Miller","DET","RP","55.0","57","3","1","4.33","1.35","26","48","26","7","53","0","3","0","98"
"Beau Brieske","DET","RP","55.0","48","2","0","4.22","1.29","26","53","18","7","52","1","3","0","77"
"Keynan Middleton","STL","RP","54.8","60","3","1","3.96","1.28","24","48","22","7","54","0","3","0","106"
"Andrew Kittredge","STL","RP","54.8","44","4","2","3.93","1.24","24","55","13","7","55","0","3","0","105"
"Trent Thornton","SEA","RP","54.7","48","3","0","4.28","1.33","26","53","19","8","49","0","3","0","86"
"Drew Thorpe","SD","SP","54.6","52","4","0","3.98","1.26","24","51","18","7","12","10","3","0","116"
"Tim Hill","CWS","RP","54.6","35","2","1","4.76","1.44","29","60","19","7","55","0","3","0","69"
"Matt Brash","SEA","RP","54.4","74","3","5","3.27","1.23","20","42","24","5","55","0","3","0","145"
"Austin Voth","SEA","RP","54.4","52","2","1","4.50","1.35","27","54","19","9","40","3","3","0","92"
"John King","STL","RP","54.4","37","3","0","3.91","1.37","24","58","16","5","48","0","3","0","76"
"Jonathan Loaisiga","NYY","RP","54.3","46","3","3","3.80","1.23","23","52","15","6","51","0","3","0","106"
"Isaiah Campbell","BOS","RP","54.3","53","4","1","4.20","1.37","25","53","22","7","53","0","3","0","105"
"Mitch Spence","OAK","SP","54.3","44","2","0","4.24","1.33","26","55","17","7","36","4","3","0","79"
"Steven Wilson","SD","RP","54.0","59","2","1","4.22","1.28","25","44","24","8","53","0","3","0","93"
"Jalen Beeks","COL","SP,RP","54.0","51","2","0","4.58","1.44","27","56","21","8","49","1","3","0","80"
"Steven Okert","MIN","RP","53.9","65","3","0","4.10","1.25","25","45","22","8","54","0","3","0","101"
"Chad Green","TOR","RP","53.7","60","4","1","3.79","1.17","23","47","16","8","51","0","3","0","115"
"Ron Marinaccio","NYY","RP","53.7","60","3","0","4.33","1.36","26","45","28","7","52","0","3","0","96"
"Jordan Leasure","CWS","RP","53.5","57","3","4","4.46","1.38","27","49","25","9","53","0","3","0","114"
"Mitch White","TOR","RP","53.2","49","2","0","4.41","1.35","26","52","20","7","44","2","2","0","81"
"Kai-Wei Teng","SF","SP","53.1","54","3","0","4.49","1.43","26","50","26","6","32","5","3","0","97"
"Michael Tonkin","NYM","RP","53.0","54","3","0","4.37","1.28","26","48","19","8","50","0","3","0","91"
"Brandon Bielak","HOU","SP","52.8","46","3","0","4.31","1.40","25","53","22","7","43","1","3","0","87"
"John McMillon","KC","RP","52.7","64","3","3","4.58","1.53","27","44","37","6","52","0","4","0","111"
"Nick Anderson","KC","RP","52.7","47","3","1","4.32","1.30","25","53","16","8","53","0","3","0","91"
"Daniel Bard","COL","RP","52.5","51","3","4","4.97","1.58","29","50","33","7","51","0","4","0","102"
"Robbie Ray","SF","SP","52.3","57","3","0","4.16","1.27","24","48","18","8","12","9","3","0","111"
"Connor Brogdon","PHI","RP","52.1","53","3","0","4.27","1.31","25","48","20","8","51","0","2","0","93"
"Mike Baumann","BAL","RP","52.1","50","3","0","4.16","1.36","24","48","23","6","44","0","3","1","90"
"Victor Gonzalez","NYY","RP","52.1","50","3","0","3.97","1.33","23","48","21","6","52","0","3","0","88"
"Greg Weissert","BOS","RP","52.0","55","3","1","4.36","1.40","25","48","25","6","50","0","3","0","97"
"Zach Davies","WSH","SP","52.0","39","2","0","5.27","1.52","30","57","22","8","17","9","4","0","68"
"Bennett Sousa","HOU","RP","51.9","54","3","0","4.15","1.32","24","48","21","7","51","0","2","0","94"
"Kevin Kelly","TB","RP","51.9","46","3","1","3.81","1.22","22","49","15","5","49","0","2","0","93"
"Tyler Alexander","TB","RP","51.9","45","3","0","4.47","1.26","26","53","13","8","38","3","3","0","86"
"Elvis Peguero","MIL","RP","51.9","48","2","0","4.18","1.34","24","49","20","6","51","0","3","0","76"
"Marc Church","TEX","RP","51.5","53","4","0","4.47","1.41","26","48","24","7","51","0","3","0","95"
"Alex Faedo","DET","SP","51.5","51","2","0","4.28","1.24","24","48","16","8","45","1","3","0","81"
"Jesse Scholtens","CWS","SP,RP","51.4","38","2","0","5.34","1.46","31","57","18","9","11","8","4","0","66"
"Clayton Beeter","NYY","SP","51.3","53","3","0","4.61","1.40","26","47","25","8","25","7","3","0","95"
"Jonathan Hernandez","TEX","RP","51.3","51","2","1","4.35","1.43","25","49","25","6","50","0","2","0","85"
"Jose A. Ferrer","WSH","RP","51.3","43","2","0","4.29","1.38","24","51","19","6","52","0","3","0","73"
"Scott Alexander","OAK","SP,RP","51.2","37","3","0","3.84","1.30","22","52","15","4","53","0","3","0","77"
"Jose Cisnero","LAA","RP","51.1","55","2","0","4.45","1.40","25","48","24","7","53","0","3","0","82"
"Cade Cavalli","WSH","SP","50.9","49","3","0","4.39","1.38","25","47","23","6","20","8","3","0","96"
"Jose Hernandez","PIT","RP","50.8","55","2","0","4.27","1.37","24","46","23","7","50","0","3","0","83"
"Luis Patino","SD","RP","50.8","42","2","0","4.79","1.46","27","50","24","8","40","2","3","0","71"
"Tyler Matzek","ATL","RP","50.6","53","3","0","4.32","1.44","24","45","28","6","50","0","2","0","91"
"Anthony Bender","MIA","RP","50.5","52","2","2","4.03","1.28","23","46","19","6","50","0","3","0","94"
"Grant Anderson","TEX","RP","50.5","50","2","0","4.33","1.35","24","48","20","7","44","0","2","0","82"
"Adam Cimber","LAA","RP","50.4","35","3","0","4.75","1.35","27","54","14","7","51","0","3","0","69"
"Bryan Mata","BOS","SP","50.3","47","2","0","4.74","1.55","26","50","28","6","37","3","3","0","76"
"Michael Kelly","OAK","RP","50.2","52","2","1","4.31","1.41","24","46","25","6","48","0","3","0","85"
"Dominic Leone","CWS","RP","49.9","51","2","1","4.57","1.39","25","47","22","8","50","0","3","0","84"
"Joey Lucchesi","NYM","SP","49.8","39","3","0","4.46","1.38","25","50","18","6","19","7","3","0","86"
"Ethan Small","SF","RP","49.8","51","2","0","4.22","1.43","23","46","25","6","48","0","2","0","82"
"Touki Toussaint","CWS","SP","49.8","48","2","0","4.76","1.51","26","47","28","7","27","5","3","0","80"
"Yunior Marte","PHI","RP","49.7","49","2","0","4.44","1.39","25","48","21","6","49","0","2","0","79"
"Owen White","TEX","RP","49.5","40","2","0","4.97","1.44","27","51","20","8","25","5","3","0","73"
"Yency Almonte","CHC","RP","49.2","51","2","0","4.25","1.35","23","44","22","6","48","0","2","0","82"
"Josh Fleming","PIT","SP,RP","49.2","29","2","0","4.45","1.45","24","57","14","5","35","2","3","0","61"
"Seth Martinez","HOU","RP","49.0","49","2","0","4.15","1.31","23","45","19","6","47","0","2","0","80"
"Phil Bickford","NYM","RP","48.9","53","2","0","4.33","1.30","24","43","21","7","48","0","3","0","80"
"Bryan Hoeing","MIA","SP,RP","48.9","36","2","1","4.68","1.39","25","53","15","7","45","1","3","0","69"
"Huascar Ynoa","ATL","SP","48.7","50","3","0","4.49","1.36","24","47","19","7","25","5","3","0","92"
"Tommy Kahnle","NYY","RP","48.6","55","2","1","3.93","1.25","21","41","20","7","48","0","2","0","92"
"Angel Zerpa","KC","RP","48.5","39","2","0","4.34","1.35","23","50","16","6","31","4","3","0","71"
"Derek Law","WSH","SP,RP","48.5","43","2","0","4.43","1.43","24","48","21","6","44","0","3","0","69"
"Michael Grove","LAD","SP,RP","48.3","51","3","0","4.36","1.29","23","47","15","8","37","3","2","0","94"
"Ben Joyce","LAA","RP","48.2","57","2","2","4.20","1.38","23","41","26","6","50","0","3","0","93"
"Eric Lauer","PIT","SP","48.2","43","3","0","4.78","1.40","26","48","19","8","14","8","3","0","91"
"Ricky Tiedemann","TOR","SP","48.1","53","3","0","3.95","1.31","21","42","21","6","13","9","3","0","105"
"Jay Jackson","MIN","RP","48.1","51","3","0","4.08","1.24","22","44","16","7","46","0","2","0","90"
"Kyle Nelson","ARI","RP","48.1","51","3","0","4.09","1.32","22","44","19","6","51","0","3","0","85"
"Dylan Floro","WSH","RP","48.0","43","3","1","4.19","1.33","22","49","15","5","49","0","3","0","86"
"Joely Rodriguez","BOS","RP","48.0","47","2","0","4.35","1.45","23","49","21","5","48","0","3","0","74"
"Sean Reid-Foley","NYM","RP","47.9","59","2","0","4.32","1.41","23","40","27","6","45","0","2","0","88"
"Erik Miller","SF","RP","47.8","54","2","0","4.29","1.46","23","42","28","5","46","0","2","0","82"
"Riley O'Brien","STL","RP","47.7","48","2","0","4.21","1.42","22","43","24","5","47","0","2","0","78"
"Miguel Diaz","DET","RP","47.7","46","2","0","4.25","1.37","23","45","20","6","42","0","2","0","76"
"Jake Odorizzi","","SP","47.5","39","3","0","4.86","1.39","26","50","17","8","10","10","3","0","83"
"Jeffrey Springs","TB","SP","47.4","53","3","0","3.59","1.15","19","41","13","6","16","7","2","0","107"
"Gavin Stone","LAD","SP","47.4","46","3","0","4.46","1.35","23","46","17","7","27","5","2","0","92"
"Daniel Palencia","CHC","RP","47.3","52","2","0","4.32","1.38","23","42","23","6","45","0","2","0","81"
"Kenny Rosenberg","LAA","SP","47.2","41","2","0","4.52","1.43","24","47","21","7","19","6","3","0","74"
"Carlos Vargas","SEA","RP","47.1","44","2","0","4.22","1.43","22","45","22","5","47","0","2","0","74"
"James Karinchak","CLE","RP","47.0","63","2","0","3.93","1.31","21","35","26","6","48","0","3","0","88"
"Justin Slaten","BOS","RP","46.7","49","2","0","4.92","1.49","26","47","23","7","45","0","3","0","71"
"Kyle Hurt","LAD","RP","46.6","57","3","0","4.24","1.41","22","39","27","6","39","2","2","1","100"
"Garrett Cleavinger","TB","RP","46.3","61","2","0","3.63","1.26","19","35","23","5","47","0","2","0","93"
"Huascar Brazoban","MIA","RP","46.1","50","2","0","4.19","1.40","21","41","23","5","44","0","3","0","75"
"Daysbel Hernandez","ATL","","46.0","52","3","0","4.31","1.40","22","41","23","6","46","0","2","0","88"
"Andrew Wantz","LAA","RP","46.0","45","2","0","4.62","1.36","24","43","19","8","42","0","2","0","72"
"Blake Treinen","LAD","RP","45.9","46","3","0","3.97","1.27","20","42","16","6","45","0","2","0","85"
"J.P. Feyereisen","LAD","RP","45.7","46","3","0","4.22","1.32","21","40","20","7","45","0","2","0","83"
"Joey Estes","OAK","SP","45.6","36","2","0","4.67","1.32","24","45","15","7","25","5","3","0","69"
"Drew Rasmussen","TB","SP","45.4","45","3","0","3.46","1.16","17","40","13","4","22","5","2","0","95"
"Nate Pearson","TOR","RP","45.4","50","3","0","4.10","1.29","21","38","20","6","42","0","2","0","87"
"Bryce Jarvis","ARI","RP","45.4","39","2","0","4.72","1.45","24","46","20","6","34","2","3","0","62"
"Mason Thompson","WSH","RP","45.4","38","1","1","4.75","1.48","24","46","21","5","44","0","3","0","56"
"Alex Young","CIN","RP","45.3","43","2","0","4.72","1.43","24","46","18","8","45","0","2","0","68"
"Zach Jackson","OAK","RP","45.2","53","2","0","4.09","1.40","21","38","26","5","45","0","3","0","78"
"James Kaprielian","","SP","45.2","38","2","0","4.91","1.40","25","44","19","7","9","8","3","0","72"
"Tyler Mahle","TEX","SP","45.0","46","3","0","4.15","1.25","21","41","15","7","16","7","3","0","93"
"Jimmy Lambert","CWS","RP","45.0","44","2","1","5.01","1.47","25","44","22","8","42","0","3","0","72"
"Sean Hjelle","SF","RP","44.9","35","2","0","4.58","1.45","23","49","16","5","28","3","3","0","64"
"Gavin Hollowell","COL","RP","44.7","43","2","0","4.92","1.40","24","44","19","7","41","0","2","0","69"
"Tejay Antone","CIN","SP,RP","44.6","44","2","0","4.53","1.39","22","43","19","6","43","0","2","0","72"
"Nick Robertson","STL","RP","44.4","46","2","0","3.88","1.27","19","40","16","5","42","0","2","0","77"
"Tim Herrin","CLE","RP","44.3","46","2","0","3.87","1.33","19","40","19","5","43","0","2","0","77"
"Sean Newcomb","OAK","RP","44.3","46","2","0","4.33","1.45","21","39","25","5","42","0","2","0","73"
"Slade Cecconi","ARI","SP","44.2","37","2","0","4.52","1.30","22","46","12","7","25","4","2","0","74"
"Jackson Kowar","SEA","RP","44.0","44","2","0","4.97","1.51","24","44","22","6","27","0","2","0","69"
"Trevor Bauer","","SP","43.6","46","2","0","4.20","1.22","20","38","15","7","8","8","3","0","85"
"Jorge Alcala","MIN","RP","43.4","44","2","0","4.36","1.31","21","40","17","6","40","0","2","0","72"
"Bryan Baker","BAL","RP","43.3","46","2","0","4.00","1.32","19","37","20","5","43","0","2","0","75"
"Adrian Morejon","SD","RP","43.3","42","2","0","4.25","1.33","20","41","17","6","37","1","2","0","71"
"Dylan Covey","PHI","RP","43.1","32","2","0","4.69","1.46","22","46","17","6","38","0","2","0","59"
"Hunter Gaddis","CLE","SP","43.0","36","2","0","4.88","1.35","23","43","15","8","28","3","3","0","63"
"Drew VerHagen","","RP","42.8","41","2","0","4.63","1.39","22","42","17","6","41","0","2","0","67"
"Amir Garrett","SF","RP","42.6","48","2","0","4.51","1.46","21","37","25","5","42","0","2","0","74"
"Sixto Sanchez","MIA","SP","42.5","40","2","0","3.77","1.26","18","41","13","4","38","1","2","0","71"
"Adrian Martinez","OAK","RP","42.4","35","2","0","4.58","1.39","22","44","15","6","40","0","3","0","58"
"Keegan Akin","BAL","RP","42.3","44","2","0","4.04","1.28","19","40","14","5","37","0","2","0","74"
"Daniel Hudson","LAD","RP","42.1","50","3","0","3.92","1.21","18","36","15","7","42","0","2","0","88"
"Luis Frias","ARI","RP","42.1","42","2","0","4.31","1.41","20","40","20","5","39","0","2","0","69"
"Lucas Gilbreath","COL","RP","42.1","41","2","0","4.88","1.55","23","42","23","6","42","0","2","0","65"
