EV	EV Book	Imp	Game	Player	Prop	FD	DK	MGM	Bet365	Kambi/BR	ESPN
145.5	11000 FD	1%	COL @ DAL	Sam Malinski	fgs	'+11000	'+10000	-	'+4000	3400	'+10000
115.9	10000 ESPN	1%	COL @ DAL	Samuel Girard	fgs	'+7000	'+8000	-	'+6500	3400	'+10000
107.6	11000 FD	1%	COL @ DAL	Ryan Lindgren	fgs	'+11000	'+8000	-	'+6500	4500	'+10000
96.8	6600 ESPN	1%	COL @ DAL	Oskar Back	fgs	'+5000	'+6000	-	'+4000	3000	'+6600
94.8	4000 ESPN	2%	COL @ DAL	Evgenii Dadonov	fgs	'+2700	'+4000	-	'+2500	1800	'+4000
94.6	6600 ESPN	1%	COL @ DAL	Colin Blackwell	fgs	'+4600	'+5500	-	'+5000	3000	'+6600
93.4	10000 FD	1%	COL @ DAL	Lian Bichsel	fgs	'+10000	'+10000	-	'+6500	4000	'+10000
92.4	10000 ESPN	1%	COL @ DAL	Josh Manson	fgs	'+7500	'+8000	-	'+8000	4500	'+10000
91.8	6600 ESPN	1%	COL @ DAL	Sam Steel	fgs	'+6000	'+6000	-	'+3500	3000	'+6600
88.1	10000 ESPN	1%	COL @ DAL	Alexander Petrovic	fgs	'+9000	'+8000	-	'+5000	-	'+10000
86.9	10000 ESPN	1%	COL @ DAL	Cody Ceci	fgs	'+7500	'+10000	-	'+6500	5000	'+10000
78.7	3000 DK	3%	COL @ DAL	Brock Nelson	fgs	'+2800	'+3000	-	'+2000	1500	'+2900
78.6	3000 DK	3%	COL @ DAL	Mikael Granlund	fgs	'+2500	'+3000	-	'+2200	1500	'+2900
77.9	4000 ESPN	2%	COL @ DAL	Thomas Harley	fgs	'+3200	'+4000	-	'+2500	2500	'+4000
73.3	4000 ESPN	2%	COL @ DAL	Charlie Coyle	fgs	'+3200	'+4000	-	'+3500	2200	'+4000
73.2	10000 FD	1%	COL @ DAL	Ilya Lyubushkin	fgs	'+10000	'+10000	-	'+6500	6000	'+10000
71.5	3000 DK	3%	COL @ DAL	Jamie Benn	fgs	'+2600	'+3000	-	'+2200	1800	'+2900
69.2	1700 ESPN	6%	COL @ DAL	Roope Hintz	fgs	'+1400	'+1600	-	'+1200	1150	'+1700
68.5	3000 DK	3%	COL @ DAL	Jonathan Drouin	fgs	'+2500	'+3000	-	'+2500	1700	'+2900
68.3	1800 DK	5%	COL @ DAL	Wyatt Johnston	fgs	'+1500	'+1800	-	'+1400	1200	'+1700
67.8	4700 FD	2%	COL @ DAL	Parker Kelly	fgs	'+4700	'+4500	-	'+4000	2800	'+4000
65.9	4500 DK	2%	COL @ DAL	Logan Oconnor	fgs	'+3800	'+4500	-	'+6500	2200	'+4000
65.8	7000 DK	1%	COL @ DAL	Esa Lindell	fgs	'+6000	'+7000	-	'+6500	4500	'+6600
64.8	4500 DK	2%	COL @ DAL	Jack Drury	fgs	'+3900	'+4500	-	'+5000	2500	'+4000
64.3	2000 ESPN	5%	COL @ DAL	Gabriel Landeskog	fgs	'+1700	'+2000	-	'+1600	1400	'+2000
62.0	1800 DK	5%	COL @ DAL	Martin Necas	fgs	'+1700	'+1800	-	'+1400	1300	'+1700
60.2	2200 ESPN	4%	COL @ DAL	Matt Duchene	fgs	'+1900	'+2200	-	'+2000	1500	'+2200
58.7	1400 FD	7%	COL @ DAL	Mikko Rantanen	fgs	'+1400	'+1300	-	'+1200	1050	'+1300
58.5	1400 FD	7%	COL @ DAL	Valeri Nichushkin	fgs	'+1400	'+1300	-	'+1100	1150	'+1300
58.5	2000 ESPN	5%	COL @ DAL	Cale Makar	fgs	'+1800	'+2000	-	'+1800	1400	'+2000
58.2	2000 ESPN	5%	COL @ DAL	Tyler Seguin	fgs	'+1900	'+2000	-	'+1600	1500	'+2000
58.2	4500 DK	2%	COL @ DAL	Joel Kiviranta	fgs	'+4400	'+4500	-	'+6500	2500	'+4000
56.0	4500 DK	2%	COL @ DAL	Devon Toews	fgs	'+4100	'+4500	-	'+6500	2800	'+4000
52.3	2300 FD	4%	COL @ DAL	Mason Marchment	fgs	'+2300	'+2200	-	'+2200	1800	'+2200
49.5	1400 FD	7%	COL @ DAL	Artturi Lehkonen	fgs	'+1400	'+1300	-	'+1600	1150	'+1300
49.1	850 DK	11%	COL @ DAL	Nathan Mackinnon	fgs	'+800	'+850	-	'+800	800	'+800
