NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Alex Debrincat	DET	-148	A	ast	0.5	0.5	'58%' - 31%	'45%' - 45%	45%	1,0,0,0,1,1,0,1,1,0	41%	'+154	-200
Alex Debrincat	DET	-148	A	pts	0.5	0.87	'64%' - 45%	'52%' - 58%	55%	1,0,0,1,2,3,0,1,1,0	63%	-150	'+120
Alex Debrincat	DET	-148	A	sog	2.5	2.73	'45%' - 62%	'41%' - 64%	53%	2,1,2,5,2,4,4,0,3,2	54%	-145	'+114
Alex Killorn	ANA	'250	H	ast	0.5	0.35	46% - '20%'	26% - '29%'	28%	0,0,0,1,0,0,0,0,1,0	36%	'+175	-230
Alex Killorn	ANA	'250	H	sog	2.5	2.3	38% - '43%'	37% - '46%'	42%	2,3,1,4,3,0,4,0,2,3	25%	'+140	-180
Alexandar Georgiev	COL	-238	H	saves	26.5	25.47	'39%' - 39%	50% - '28%'	39%	27,30,33,26,24,27,24,39,23,27	46%	'+100	-130
Andre Burakovsky	SEA	'105	H	ast	0.5	0.28	33% - '14%'	7% - '40%'	24%	0,0,1,0,1,1,0,0,0,0	40%	'+190	-250
Andre Burakovsky	SEA	'105	H	pts	0.5	0.34	47% - '14%'	14% - '47%'	31%	1,0,1,0,1,1,0,0,0,0	57%	'+114	-145
Andre Burakovsky	SEA	'105	H	sog	1.5	1.52	33% - '57%'	36% - '53%'	45%	2,1,2,5,0,3,1,1,1,2	62%	-160	'+124
Artturi Lehkonen	COL	-238	H	ast	0.5	0.38	'29%' - 25%	19% - '38%'	28%	0,1,0,0,1,0,0,0,0,1	39%	'+140	-180
Artturi Lehkonen	COL	-238	H	pts	0.5	0.72	'53%' - 33%	25% - '69%'	45%	1,1,0,0,2,1,0,1,0,2	56%	-145	'+114
Artturi Lehkonen	COL	-238	H	sog	2.5	2.38	'65%' - 17%	44% - '46%'	45%	3,3,2,4,1,3,0,2,1,1	38%	'+130	-166
Barrett Hayton	ARI	'124	H	ast	0.5	0.16	20% - '14%'	22% - '8%'	16%	1,0,0,1,0,0,0,0,0,0	24%	'+220	-298
Barrett Hayton	ARI	'124	H	pts	0.5	0.26	40% - '19%'	28% - '23%'	26%	1,0,0,1,0,0,0,1,0,0	38%	'+124	-160
Barrett Hayton	ARI	'124	H	sog	1.5	2.0	70% - '62%'	72% - '54%'	65%	3,4,2,3,2,2,0,3,1,4	61%	-190	'+145
Brock Faber	MIN	'195	A	ast	0.5	0.49	47% - '30%'	'53%' - 23%	38%	1,0,0,0,0,1,0,0,0,0	0%	'+154	-200
Brock Faber	MIN	'195	A	pts	0.5	0.57	53% - '30%'	'53%' - 29%	41%	2,0,0,0,0,1,0,0,0,0	0%	'+124	-160
Cale Makar	COL	-238	H	ast	0.5	0.9	'68%' - 45%	50% - '69%'	59%	1,1,0,2,1,1,0,0,0,0	56%	-166	'+130
Cale Makar	COL	-238	H	pts	0.5	1.19	'73%' - 50%	57% - '72%'	64%	4,2,0,2,1,1,0,0,0,0	64%	-215	'+165
Cale Makar	COL	-238	H	sog	2.5	3.08	'62%' - 59%	53% - '69%'	61%	5,5,2,3,0,3,3,1,6,2	51%	-160	'+124
Cam Fowler	ANA	'250	H	ast	0.5	0.41	59% - '18%'	30% - '35%'	33%	1,0,0,0,1,0,0,0,2,0	37%	'+140	-180
Cam Fowler	ANA	'250	H	pts	0.5	0.48	64% - '18%'	33% - '35%'	34%	1,0,0,0,1,0,0,0,3,0	42%	'+114	-145
Clayton Keller	ARI	'124	H	ast	0.5	0.51	57% - '31%'	43% - '39%'	41%	0,0,0,1,1,0,0,0,1,2	49%	'+110	-140
Clayton Keller	ARI	'124	H	pts	0.5	0.9	83% - '50%'	64% - '61%'	63%	1,0,0,1,2,0,0,0,1,2	71%	-195	'+150
Clayton Keller	ARI	'124	H	sog	2.5	2.88	61% - '47%'	57% - '48%'	53%	3,3,1,1,2,5,2,3,1,3	49%	-140	'+110
Connor Ingram	ARI	'124	H	saves	27.5	25.92	72% - '29%'	53% - '45%'	49%	27,22,17,28,28,32,3,36,31,25	58%	-110	-120
Daniel Sprong	DET	-148	A	sog	2.5	2.35	'42%' - 38%	'45%' - 36%	40%	0,0,1,2,1,4,2,2,3,2	40%	'+135	-175
David Perron	DET	-148	A	sog	1.5	1.93	'50%' - 62%	'56%' - 55%	55%	5,4,5,1,3,0,1,4,2,0	69%	-180	'+140
Devon Toews	COL	-238	H	ast	0.5	0.41	'46%' - 24%	36% - '39%'	38%	1,1,1,0,1,0,0,1,0,0	45%	'+154	-200
Devon Toews	COL	-238	H	pts	0.5	0.58	'62%' - 36%	55% - '48%'	52%	1,1,1,1,1,0,0,1,1,0	51%	'+120	-150
Devon Toews	COL	-238	H	sog	1.5	1.91	'49%' - 68%	67% - '45%'	56%	4,0,3,2,0,0,2,2,3,2	57%	-160	'+124
Dylan Guenther	ARI	'124	H	ast	0.5	0.35	67% - '20%'	43% - '17%'	31%	0,0,2,1,0,0,1,0,0,0	0%	'+200	-270
Dylan Guenther	ARI	'124	H	pts	0.5	0.65	67% - '35%'	43% - '42%'	42%	0,0,3,2,0,0,1,1,0,0	0%	'+100	-130
Dylan Guenther	ARI	'124	H	sog	2.5	2.27	50% - '35%'	43% - '33%'	38%	3,1,5,2,3,4,2,3,2,3	0%	'+110	-140
Eeli Tolvanen	SEA	'105	H	ast	0.5	0.29	39% - '18%'	25% - '30%'	27%	0,0,0,1,0,0,0,0,0,0	21%	'+210	-280
Eeli Tolvanen	SEA	'105	H	pts	0.5	0.53	54% - '38%'	44% - '47%'	45%	0,0,1,1,0,0,0,0,1,0	43%	'+120	-150
Eeli Tolvanen	SEA	'105	H	sog	1.5	2.06	75% - '47%'	62% - '57%'	60%	3,0,4,3,3,0,4,1,3,3	54%	-166	'+130
Filip Gustavsson	MIN	'195	A	saves	28.5	25.49	32% - '28%'	'28%' - 32%	30%	12,25,25,41,11,25,27,20,22,26	33%	-115	-115
Frank Vatrano	ANA	'250	H	ast	0.5	0.32	39% - '18%'	17% - '34%'	26%	1,0,0,0,0,0,1,0,0,2	21%	'+185	-245
Frank Vatrano	ANA	'250	H	pts	0.5	0.79	83% - '41%'	50% - '62%'	56%	1,0,2,1,0,0,1,2,1,3	37%	-125	-105
Frank Vatrano	ANA	'250	H	sog	2.5	3.1	65% - '62%'	53% - '72%'	63%	0,4,5,3,1,3,3,5,1,3	57%	-135	'+105
Jaden Schwartz	SEA	'105	H	ast	0.5	0.26	40% - '12%'	32% - '14%'	24%	0,1,0,0,0,0,0,0,0,0	25%	'+220	-298
Jaden Schwartz	SEA	'105	H	pts	0.5	0.5	55% - '31%'	44% - '38%'	41%	0,1,0,0,0,0,0,1,0,0	46%	'+120	-150
Jaden Schwartz	SEA	'105	H	sog	1.5	2.11	55% - '62%'	48% - '71%'	59%	1,2,4,1,2,2,2,6,1,1	66%	-190	'+145
Jake Oettinger	DAL	-310	A	saves	22.5	25.12	'64%' - 60%	'62%' - 63%	62%	14,21,25,22,20,8,27,20,20,32	67%	-120	-110
Jamie Benn	DAL	-310	A	ast	0.5	0.47	'50%' - 23%	'39%' - 39%	39%	3,1,1,0,0,1,1,1,1,0	44%	'+165	-215
Jamie Benn	DAL	-310	A	pts	0.5	0.64	'58%' - 35%	'45%' - 52%	48%	4,1,1,0,0,1,1,1,1,0	60%	-115	-115
Jamie Benn	DAL	-310	A	sog	2.5	1.84	'26%' - 31%	'27%' - 29%	28%	2,5,1,5,3,1,2,5,5,0	34%	'+140	-180
Jared Mccann	SEA	'105	H	ast	0.5	0.41	52% - '24%'	39% - '33%'	36%	2,1,1,0,0,1,3,0,0,1	31%	'+170	-220
Jared Mccann	SEA	'105	H	pts	0.5	0.85	63% - '53%'	65% - '50%'	57%	3,2,1,0,0,1,4,2,1,1	59%	-130	'+100
Jared Mccann	SEA	'105	H	sog	2.5	2.62	48% - '56%'	61% - '43%'	52%	3,4,4,3,1,3,3,6,2,1	47%	-160	'+124
Jason Robertson	DAL	-310	A	ast	0.5	0.64	'63%' - 38%	'52%' - 55%	53%	1,0,0,1,0,0,0,0,1,0	51%	-105	-125
Jason Robertson	DAL	-310	A	pts	0.5	0.95	'87%' - 50%	'70%' - 74%	72%	1,1,1,1,0,1,0,0,1,0	70%	-230	'+175
Jason Robertson	DAL	-310	A	sog	3.5	2.84	'32%' - 27%	'27%' - 32%	30%	4,4,1,4,2,2,2,3,3,2	45%	'+124	-160
Joe Pavelski	DAL	-310	A	ast	0.5	0.47	'50%' - 23%	'36%' - 42%	39%	0,0,1,0,0,1,0,1,0,0	43%	'+140	-180
Joe Pavelski	DAL	-310	A	pts	0.5	0.8	'71%' - 46%	'55%' - 68%	61%	0,0,2,0,0,1,1,1,0,0	62%	-150	'+120
Joe Pavelski	DAL	-310	A	sog	2.5	2.47	'50%' - 38%	'27%' - 65%	45%	3,3,3,2,3,1,1,2,1,3	35%	-110	-120
Joel Eriksson Ek	MIN	'195	A	ast	0.5	0.44	57% - '18%'	'38%' - 35%	37%	1,1,0,0,0,1,1,1,3,0	41%	'+135	-175
Joel Eriksson Ek	MIN	'195	A	pts	0.5	0.9	80% - '42%'	'62%' - 58%	60%	2,1,0,0,0,1,1,1,6,1	57%	-180	'+140
Joel Eriksson Ek	MIN	'195	A	sog	3.5	3.6	47% - '52%'	'41%' - 58%	49%	3,2,2,3,4,5,0,5,4,3	43%	'+124	-160
John Gibson	ANA	'250	H	saves	28.5	25.56	43% - '32%'	37% - '35%'	36%	24,48,20,34,9,15,19,26,40,28	76%	-125	-105
Jonathan Drouin	COL	-238	H	ast	0.5	0.42	'47%' - 21%	27% - '48%'	37%	1,1,0,1,1,0,0,0,1,1	35%	'+170	-220
Jonathan Drouin	COL	-238	H	pts	0.5	0.61	'55%' - 33%	39% - '55%'	47%	2,2,0,1,1,0,0,0,1,1	37%	-105	-125
Jordan Eberle	SEA	'105	H	ast	0.5	0.4	37% - '29%'	39% - '26%'	33%	1,1,0,0,0,0,1,0,0,0	40%	'+185	-245
Jordan Eberle	SEA	'105	H	pts	0.5	0.64	52% - '39%'	48% - '41%'	45%	1,1,0,0,1,1,3,0,1,0	55%	-110	-120
Jordan Eberle	SEA	'105	H	sog	2.5	2.24	56% - '35%'	48% - '41%'	45%	4,4,3,3,1,1,5,3,4,4	34%	'+124	-160
Jt Compher	DET	-148	A	ast	0.5	0.37	'41%' - 24%	'33%' - 33%	33%	0,0,0,1,0,0,0,1,0,0	30%	'+154	-200
