NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Mason Mctavish	ANA	'250	H	1.5	2.25	75% - *69%*	71% - *71%*	71%	53%	60%	3,0,2,1,2,3,5,5,1,1	67%	-220	-190/+145	-190 DK	65.51724137931035%
Mats Zuccarello	MIN	'195	A	1.5	2.49	72% - *64%*	*72%* - 62%	68%	67%	80%	5,1,1,3,2,3,2,1,4,4	69%	-190	-190/+145	-190 DK	65.51724137931035%
Logan Stankoven	DAL	-310	A	2.5	3.17	*100%* - 0%	*67%* - 67%	67%	67%	60%	3,2,1,6,3,4	0%	-128	-110/-120	-110 DK	52.38095238095239%
Barrett Hayton	ARI	'124	H	1.5	2.0	70% - *62%*	72% - *54%*	65%	67%	100%	4,1,3,0,2,2,3,2,4,3	61%	-178	-190/+145	-178 FD	64.02877697841727%
Frank Vatrano	ANA	'250	H	2.5	3.1	65% - *62%*	53% - *72%*	63%	60%	60%	3,1,5,3,3,1,3,5,4,0	57%	-146	-135/+105	-135 DK	57.446808510638306%
Marco Rossi	MIN	'195	A	1.5	2.05	70% - *55%*	*56%* - 68%	62%	73%	100%	2,2,5,0,3,2,6,3,4,3	16%	-140	-150/+120	-140 FD	58.333333333333336%
Ryan Hartman	MIN	'195	A	1.5	2.14	58% - *66%*	*67%* - 57%	62%	53%	20%	3,0,3,1,2,0,3,1,0,1	75%	-182	-195/+150	-182 FD	64.53900709219859%
Ross Colton	COL	-238	H	1.5	1.9	*62%* - 60%	66% - *57%*	61%	73%	80%	2,4,0,1,2,1,3,3,3,2	57%	0	-180/+140	-180 DK	64.28571428571429%
Cale Makar	COL	-238	H	2.5	3.08	*62%* - 59%	53% - *69%*	61%	60%	60%	2,6,1,3,3,0,3,2,5,5	51%	-168	-160/+124	-160 DK	61.53846153846154%
Sean Durzi	ARI	'124	H	1.5	1.79	55% - *66%*	50% - *74%*	61%	60%	40%	2,0,2,2,2,1,1,5,2,0	39%	-188	-180/+140	-180 DK	64.28571428571429%
