NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Jake Oettinger	DAL	-310	A	22.5	25.12	*64%* - 60%	*62%* - 63%	62%	33%	20%	23,02,02,72,8,02,22,52,12,41	67%	-122/-108	-120/-110	-120 DK	54.54545454545454%
Connor Ingram	ARI	'124	H	27.5	25.92	72% - *29%*	53% - *45%*	49%	47%	40%	52,13,63,3,23,82,82,71,22,72	58%	-108/-122	-110/-120	-108 FD	51.92307692307693%
Alexandar Georgiev	COL	-238	H	26.5	25.47	*39%* - 39%	50% - *28%*	39%	47%	60%	72,32,93,42,72,42,62,33,03,72	46%	-102/-130	'+100/-130	100 DK	50.0%
John Gibson	ANA	'250	H	28.5	25.56	43% - *32%*	37% - *35%*	36%	27%	40%	82,04,62,91,51,9,43,02,84,42	76%	-128/-104	-125/-105	-125 DK	55.55555555555556%
Filip Gustavsson	MIN	'195	A	28.5	25.49	32% - *28%*	*28%* - 32%	30%	27%	20%	62,22,02,72,52,11,14,52,52,21	33%	0	-115/-115	-115 DK	53.48837209302325%
