EV	PN_EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi/BR	ESPN	LYR	L10	SZN
-41.3	-	1200 MGM	8%	COL @ DAL	Oskar Back	atgs	o	'+1100	'+850	'+1200	'+900	950	-	700	'+800/-2800	-	-	5%	0,0,0,0,0,0,0,0,0,0
-42.9	-	900 DK	10%	COL @ DAL	Logan Oconnor	atgs	o	'+800	'+900	'+800	'+1400	800	-	510	'+750/-2500	18%	20%	14%	0,0,0,0,0,1,0,1,0,0
-46.1	-	1000 MGM	9%	COL @ DAL	Colin Blackwell	atgs	o	'+950	'+750	'+1000	'+1200	900	-	700	'+700/-2000	9%	20%	9%	0,0,0,0,1,1,0,0,0,0
-49.4	-	900 FD	10%	COL @ DAL	Joel Kiviranta	atgs	o	'+900	'+850	'+850	'+1400	850	-	575	'+750/-2500	5%	-	14%	0,0,0,0,0,0,0,0,0,0
-51.7	-	800 FD	11%	COL @ DAL	Devon Toews	atgs	o	'+800	'+800	'+750	'+1400	750	-	650	'+750/-2500	13%	30%	12%	1,0,0,1,1,0,0,0,0,0
-72.3	-	1400 MGM	7%	COL @ DAL	Samuel Girard	atgs	o	'+1400	'+1100	'+1400	'+1400	1200	-	850	'+1000/-4000	4%	10%	5%	0,0,0,0,0,0,0,1,0,0
-79.1	-	1200 MGM	8%	COL @ DAL	Esa Lindell	atgs	o	'+1200	'+1200	'+1200	'+1400	1100	-	1150	'+950/-3500	8%	-	6%	0,0,0,0,0,0,0,0,0,0
-80.9	-	1500 FD	6%	COL @ DAL	Cody Ceci	atgs	o	'+1500	'+1100	-	'+1400	1200	-	1400	'+1000/-4000	-	-	-	0,0,0,0,0,0,0,0,0,0
-81.3	-	1800 FD	5%	COL @ DAL	Alexander Petrovic	atgs	o	'+1800	'+1200	-	'+1200	1300	-	-	'+1200/-10000	-	-	-	0,0,0,0,0,0,0,0,0,0
-88.2	-	1300 BR	7%	COL @ DAL	Ryan Lindgren	atgs	o	-	'+1200	-	'+1400	1300	-	1300	'+1100/-5000	-	-	8%	0,0,0,0,0,0,0,0,0,0
-88.6	-	1900 FD	5%	COL @ DAL	Lian Bichsel	atgs	o	'+1900	'+1200	'+1800	'+1400	1500	-	950	'+1100/-5000	-	10%	9%	0,0,0,1,0,0,0,0,0,0
-96.9	-	1800 MGM	5%	COL @ DAL	Josh Manson	atgs	o	'+1700	'+1000	'+1800	'+1800	1500	-	1300	'+1000/-4000	12%	10%	4%	0,0,0,0,0,0,0,0,0,1
