NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Nathan Mackinnon	COL	-238	H	0.5	1.08	*85%* - 52%	52% - *94%*	72%	60%	80%	2,1,1,0,3,1,1,0,2,3	63%	0	-190/+145	-190 DK	65.51724137931035%
Cale Makar	COL	-238	H	0.5	0.9	*68%* - 45%	50% - *69%*	59%	33%	80%	0,0,0,0,1,1,2,0,1,1	56%	0	-166/+130	-166 DK	62.40601503759399%
Mats Zuccarello	MIN	'195	A	0.5	0.79	68% - *46%*	*55%* - 58%	57%	33%	40%	0,0,3,1,0,4,0,0,0,3	52%	0	'+105/-135	105 DK	48.78048780487805%
Mikko Rantanen	COL	-238	H	0.5	0.81	*59%* - 52%	52% - *61%*	56%	67%	100%	1,0,1,1,1,1,1,1,1,4	47%	0	-130/+100	-130 DK	56.52173913043478%
Jason Robertson	DAL	-310	A	0.5	0.64	*63%* - 38%	*52%* - 55%	53%	47%	40%	0,1,0,0,0,0,1,0,0,1	51%	0	-105/-125	-105 DK	51.21951219512195%
Kirill Kaprizov	MIN	'195	A	0.5	0.66	62% - *41%*	*53%* - 50%	52%	53%	0%	1,3,1,1,1,0,0,0,0,0	40%	0	-105/-125	-105 DK	51.21951219512195%
Patrick Kane	DET	-148	A	0.5	0.58	*73%* - 25%	*50%* - 47%	48%	60%	40%	1,1,1,0,1,1,2,0,0,0	0%	0	'+100/-130	100 DK	50.0%
Alex Debrincat	DET	-148	A	0.5	0.5	*58%* - 31%	*45%* - 45%	45%	47%	40%	0,1,1,0,1,1,0,0,0,1	41%	0	'+154/-200	154 DK	39.37007874015748%
Miro Heiskanen	DAL	-310	A	0.5	0.66	*50%* - 38%	*42%* - 48%	45%	40%	40%	0,1,0,1,2,0,0,0,1,4	50%	0	'+105/-135	105 DK	48.78048780487805%
Matias Maccelli	ARI	'124	H	0.5	0.52	52% - *39%*	47% - *42%*	44%	33%	60%	2,0,0,0,1,1,2,1,0,0	49%	0	'+110/-140	110 DK	47.61904761904761%
