NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Ross Colton	COL	-238	H	0.5	0.53	*57%* - 20%	44% - *40%*	42%	40%	60%	1,1,0,0,0,0,1,0,1,1	32%	0	'+140/-180	140 DK	41.66666666666667%
Dylan Guenther	ARI	'124	H	0.5	0.65	67% - *35%*	43% - *42%*	42%	40%	40%	0,0,1,1,0,0,2,3,0,0	0%	0	'+100/-130	108 BR	48.07692307692308%
Ryan Strome	ANA	'250	H	0.5	0.58	64% - *30%*	50% - *34%*	42%	47%	40%	2,2,0,0,1,0,2,0,0,1	37%	0	-105/-125	-105 DK	51.21951219512195%
Logan Cooley	ARI	'124	H	0.5	0.46	56% - *32%*	50% - *32%*	41%	27%	40%	1,0,0,0,0,1,0,1,0,0	0%	0	'+130/-166	130 DK	43.47826086956522%
Brock Faber	MIN	'195	A	0.5	0.57	53% - *30%*	*53%* - 29%	41%	33%	20%	0,0,0,0,1,0,0,0,0,2	0%	0	'+124/-160	124 DK	44.642857142857146%
Thomas Harley	DAL	-310	A	0.5	0.57	*44%* - 36%	*33%* - 50%	41%	33%	20%	2,1,0,0,0,1,0,0,0,0	36%	0	'+145/-190	145 DK	40.816326530612244%
Jaden Schwartz	SEA	'105	H	0.5	0.5	55% - *31%*	44% - *38%*	41%	13%	20%	0,0,1,0,0,0,0,0,1,0	46%	0	'+120/-150	120 DK	45.45454545454545%
Sean Durzi	ARI	'124	H	0.5	0.56	64% - *23%*	40% - *37%*	39%	27%	40%	0,1,1,0,0,0,1,1,0,0	40%	0	'+100/-130	100 DK	50.0%
Moritz Seider	DET	-148	A	0.5	0.52	*55%* - 21%	*45%* - 33%	39%	40%	20%	0,2,1,0,1,0,1,0,0,0	34%	0	'+145/-190	155 BR	39.21568627450981%
Pavel Mintyukov	ANA	'250	H	0.5	0.47	68% - *22%*	43% - *36%*	39%	27%	20%	1,0,0,3,0,0,1,0,0,0	0%	0	'+160/-210	165 BR	37.735849056603776%
Mikko Rantanen	COL	-238	H	1.5	1.3	*51%* - 16%	30% - *45%*	38%	27%	40%	1,0,1,1,2,2,1,1,1,4	42%	0	'+150/-195	150 DK	40.0%
Yanni Gourde	SEA	'105	H	0.5	0.4	52% - *21%*	28% - *43%*	35%	27%	60%	0,0,1,0,0,1,0,0,1,1	50%	0	'+130/-166	143 BR	41.1522633744856%
Cam Fowler	ANA	'250	H	0.5	0.48	64% - *18%*	33% - *35%*	34%	27%	40%	0,3,0,0,0,1,0,0,0,1	42%	0	'+114/-145	123 BR	44.843049327354265%
Matty Beniers	SEA	'105	H	0.5	0.46	44% - *20%*	48% - *14%*	32%	33%	40%	1,3,0,0,1,0,0,0,1,1	46%	0	'+110/-140	110 DK	47.61904761904761%
Kirill Kaprizov	MIN	'195	A	1.5	1.2	48% - *15%*	*33%* - 31%	32%	40%	20%	1,6,2,1,3,0,0,0,3,1	26%	0	'+170/-220	180 BR	35.714285714285715%
Andre Burakovsky	SEA	'105	H	0.5	0.34	47% - *14%*	14% - *47%*	31%	33%	60%	0,0,0,0,1,1,0,1,0,1	57%	0	'+114/-145	114 DK	46.728971962616825%
Barrett Hayton	ARI	'124	H	0.5	0.26	40% - *19%*	28% - *23%*	26%	27%	40%	0,0,1,0,0,0,1,0,0,1	38%	0	'+124/-160	124 DK	44.642857142857146%
