NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Jason Robertson	DAL	-310	A	0.5	0.95	*87%* - 50%	*70%* - 74%	72%	67%	80%	0,1,0,0,1,0,1,1,1,1	70%	0	-230/+175	-230 DK	69.6969696969697%
Valeri Nichushkin	COL	-238	H	0.5	1.05	*85%* - 43%	58% - *81%*	70%	73%	60%	3,1,0,1,2,2,0,2,0,2	63%	0	-195/+150	-195 DK	66.10169491525424%
Logan Stankoven	DAL	-310	A	0.5	1.33	*50%* - 100%	*67%* - 67%	67%	67%	80%	0,2,1,1,0,4	0%	0	'+100/-130	100 DK	50.0%
Patrick Kane	DET	-148	A	0.5	1.0	*80%* - 50%	*62%* - 67%	65%	73%	60%	1,2,1,1,2,2,2,1,0,0	0%	0	-210/+160	-210 DK	67.74193548387096%
Cale Makar	COL	-238	H	0.5	1.19	*73%* - 50%	57% - *72%*	64%	40%	80%	0,0,0,0,1,1,2,0,2,4	64%	0	-215/+165	-215 DK	68.25396825396825%
Mats Zuccarello	MIN	'195	A	0.5	1.0	76% - *54%*	*62%* - 67%	64%	47%	40%	0,0,4,1,1,4,0,0,0,3	66%	0	-160/+124	-160 DK	61.53846153846154%
Clayton Keller	ARI	'124	H	0.5	0.9	83% - *50%*	64% - *61%*	63%	53%	60%	2,1,0,0,0,2,1,0,0,1	71%	0	-195/+150	-195 DK	66.10169491525424%
Joe Pavelski	DAL	-310	A	0.5	0.8	*71%* - 46%	*55%* - 68%	61%	40%	20%	0,0,1,1,1,0,0,2,0,0	62%	0	-150/+120	-150 DK	60.0%
Matt Duchene	DAL	-310	A	0.5	0.9	*68%* - 50%	*53%* - 70%	61%	40%	20%	2,3,0,0,0,1,0,0,0,0	51%	0	-125/-105	-125 DK	55.55555555555556%
Matias Maccelli	ARI	'124	H	0.5	0.7	68% - *55%*	59% - *61%*	60%	53%	60%	2,0,1,1,1,1,3,1,0,0	59%	0	-145/+114	-139 BR	58.15899581589959%
Joel Eriksson Ek	MIN	'195	A	0.5	0.9	80% - *42%*	*62%* - 58%	60%	67%	40%	1,6,1,1,1,0,0,0,1,2	57%	0	-180/+140	-177 BR	63.898916967509024%
Jared Mccann	SEA	'105	H	0.5	0.85	63% - *53%*	65% - *50%*	57%	73%	60%	1,1,2,4,1,0,0,1,2,3	59%	0	-130/+100	-130 DK	56.52173913043478%
matt boldy	MIN	'195	A	0.5	0.88	79% - *36%*	*57%* - 57%	57%	47%	20%	0,4,0,2,1,0,0,0,2,0	50%	0	-195/+150	-190 BR	65.51724137931035%
Frank Vatrano	ANA	'250	H	0.5	0.79	83% - *41%*	50% - *62%*	56%	67%	60%	3,1,2,1,0,0,1,2,0,1	37%	0	-125/-105	-118 BR	54.12844036697248%
Alex Debrincat	DET	-148	A	0.5	0.87	*64%* - 45%	*52%* - 58%	55%	53%	60%	0,1,1,0,3,2,1,0,0,1	63%	0	-150/+120	-150 DK	60.0%
Roope Hintz	DAL	-310	A	0.5	0.84	*81%* - 16%	*52%* - 59%	55%	33%	40%	0,1,0,0,0,0,0,2,0,1	64%	0	-140/+110	-140 DK	58.333333333333336%
Mason Mctavish	ANA	'250	H	0.5	0.77	80% - *38%*	46% - *61%*	54%	53%	60%	1,0,2,0,3,2,0,1,0,1	39%	0	'+110/-140	110 DK	47.61904761904761%
Nathan Mackinnon	COL	-238	H	1.5	1.7	*69%* - 28%	36% - *71%*	53%	53%	80%	2,2,1,1,3,2,2,1,4,4	52%	0	-115/-115	-115 DK	53.48837209302325%
Miro Heiskanen	DAL	-310	A	0.5	0.79	*59%* - 43%	*50%* - 56%	53%	53%	40%	1,1,1,1,2,0,0,0,1,4	57%	0	-140/+110	-140 DK	58.333333333333336%
Lucas Raymond	DET	-148	A	0.5	0.82	*79%* - 24%	*41%* - 64%	53%	40%	20%	0,2,2,0,2,0,3,0,0,0	43%	0	-115/-115	-115 DK	53.48837209302325%
Devon Toews	COL	-238	H	0.5	0.58	*62%* - 36%	55% - *48%*	52%	53%	100%	0,1,1,0,0,1,1,1,1,1	51%	0	'+120/-150	120 DK	45.45454545454545%
Nick Schmaltz	ARI	'124	H	0.5	0.67	65% - *43%*	55% - *48%*	52%	47%	60%	0,1,0,2,1,0,2,2,0,1	59%	0	-166/+130	-165 BR	62.264150943396224%
Jt Compher	DET	-148	A	0.5	0.63	*56%* - 44%	*48%* - 53%	51%	53%	20%	1,1,1,0,1,0,2,0,0,0	42%	0	-115/-115	-115 DK	53.48837209302325%
Oliver Bjorkstrand	SEA	'105	H	0.5	0.73	71% - *32%*	56% - *43%*	50%	40%	80%	0,1,0,0,0,1,1,0,1,1	48%	0	-110/-120	-110 DK	52.38095238095239%
Mason Marchment	DAL	-310	A	0.5	0.73	*57%* - 38%	*47%* - 52%	49%	33%	0%	2,0,0,0,0,0,0,0,0,0	33%	0	'+114/-145	114 DK	46.728971962616825%
Jamie Benn	DAL	-310	A	0.5	0.64	*58%* - 35%	*45%* - 52%	48%	53%	60%	0,1,1,1,1,0,0,1,1,4	60%	0	-115/-115	-115 DK	53.48837209302325%
Jonathan Drouin	COL	-238	H	0.5	0.61	*55%* - 33%	39% - *55%*	47%	47%	80%	1,1,0,0,0,1,1,0,2,2	37%	0	-105/-125	-105 DK	51.21951219512195%
Shayne Gostisbehere	DET	-148	A	0.5	0.66	*52%* - 39%	*55%* - 38%	46%	47%	80%	0,1,0,1,1,1,2,1,0,1	37%	0	'+120/-150	120 DK	45.45454545454545%
Wyatt Johnston	DAL	-310	A	0.5	0.75	*50%* - 38%	*36%* - 55%	45%	60%	80%	1,1,0,0,1,1,1,1,0,5	37%	0	-135/+105	-130 BR	56.52173913043478%
Artturi Lehkonen	COL	-238	H	0.5	0.72	*53%* - 33%	25% - *69%*	45%	53%	60%	2,0,1,0,1,2,0,0,1,1	56%	0	-145/+114	-145 DK	59.183673469387756%
Ryan Hartman	MIN	'195	A	0.5	0.6	50% - *41%*	*57%* - 32%	45%	47%	60%	0,1,0,1,1,2,1,0,0,2	48%	0	'+114/-145	128 BR	43.859649122807014%
Jordan Eberle	SEA	'105	H	0.5	0.64	52% - *39%*	48% - *41%*	45%	53%	60%	0,1,0,3,1,1,0,0,1,1	55%	0	-110/-120	-110 DK	52.38095238095239%
Eeli Tolvanen	SEA	'105	H	0.5	0.53	54% - *38%*	44% - *47%*	45%	20%	40%	0,1,0,0,0,0,1,1,0,0	43%	0	'+120/-150	120 DK	45.45454545454545%
Lawson Crouse	ARI	'124	H	0.5	0.53	48% - *43%*	47% - *43%*	45%	27%	20%	1,1,0,1,0,0,0,1,0,0	44%	0	'+110/-140	110 DK	47.61904761904761%
Marco Rossi	MIN	'195	A	0.5	0.52	50% - *36%*	*41%* - 45%	43%	27%	0%	1,1,2,0,0,0,0,0,0,0	5%	0	'+135/-175	135 DK	42.5531914893617%
