EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
73.1	1400 FD	michigan @ washington	Marlin Klein	attd	o  	'+1400	'+500	-	-	-	-	-	-
47.6	850 FD	missouri @ texas a&m	Marquis Johnson	attd	o  	'+850	'+390	-	-	-	-	-	-
46.2	260 FD	pittsburgh @ north carolina	Eli Holstein	attd	o  	'+260	'+125	-	-	-	-	-	-
40.7	255 DK	pittsburgh @ north carolina	Gavin Bartholomew	attd	o  	'+130	'+255	-	-	-	-	-	-
40.0	440 FD	smu @ louisville	Roderick Daniels	attd	o  	'+440	'+230	-	-	-	-	-	-
37.6	285 ESPN	tennessee @ arkansas	Donte Thornton	attd	o  	'+165	'+125	'+285/-450	'+165	-	-	-	-
28.2	550 FD	missouri @ texas a&m	Mookie Cooper	attd	o  	'+550	'+310	-	-	-	-	-	-
26.7	800 FD	baylor @ iowa state	Monaray Baldwin	attd	o  	'+800	'+425	-	-	-	-	-	-
25.8	315 ESPN	baylor @ iowa state	Rocco Becht	attd	o  	'+180	'+200	'+315/-500	-	-	-	-	-
24.2	420 ESPN	texas tech @ arizona	Noah Fifita	attd	o  	'+240	'+260	'+420/-750	'+260	-	-	-	-
24.1	260 ESPN	alabama @ vanderbilt	Kobe Prentice	attd	o  	'+210	'+125	'+260/-400	'+145	-	-	-	-
23.5	500 ESPN	auburn @ georgia	Lawson Luckie	attd	o  	'+300	'+300	'+500/-1000	'+290	-	-	-	-
23.1	900 FD	indiana @ northwestern	Joseph Himon	attd	o  	'+900	'+475	-	-	-	-	-	-
22.6	280 FD	missouri @ texas a&m	Theo Wease	attd	o  	'+280	'+175	-	'+175	-	-	-	-
22.3	425 DK	ucf @ florida	Johnny Richardson	attd	o  	-	'+425	-	'+260	-	-	-	-
22.3	500 FD	navy @ air force	Nathan Kent	attd	o  	'+500	'+300	-	-	-	-	-	-
20.2	480 ESPN	kansas @ arizona state	Melquan Stovall	attd	o  	'+340	'+250	'+480/-900	-	-	-	-	-
17.1	210 FD	auburn @ georgia	Trevor Etienne	2+td	o  	'+210	-	-	'+140	-	-	-	-
17.0	850 FD	navy @ air force	Quin Smith	attd	o  	'+850	'+475	-	-	-	-	-	-
16.2	425 DK	ucf @ florida	Hayden Hansen	attd	o  	-	'+425	-	'+275	-	-	-	-
16.1	-220 ESPN	texas tech @ arizona	Quali Conley	attd	o  	-650	-525	-220/+155	-600	-	-	-	-
15.8	450 ESPN	texas tech @ arizona	Quali Conley	ftd	o  	'+300	-	'+450/-750	'+280	-	-	-	-
15.5	170 DK	baylor @ iowa state	Jaylon Jackson	attd	o  	'+115	'+170	-	-	-	-	-	-
14.6	375 MGM	ucla @ penn state	Kaytron Allen	2+td	o  	'+250	-	-	'+375	-	-	-	-
14.5	6500 DK	ucla @ penn state	Keegan Jones	ftd	o  	'+6000	'+6500	'+2000/-6000	'+5500	-	-	-	-
14.3	-140 DK	ucla @ penn state	Kaytron Allen	attd	o  	-180	-140	-300/+210	-150	-	-	-	-
14.1	500 FD	smu @ louisville	Keyshawn Smith	attd	o  	'+500	'+170	-	'+475	-	-	-	-
13.8	145 DK	smu @ louisville	Kevin Jennings	attd	o  	'+100	'+145	-	'+100	-	-	-	-
13.5	290 DK	ucf @ florida	Jakobi Jackson	attd	o  	-	'+290	-	'+200	-	-	-	-
12.9	250 DK	ucf @ florida	Treyaun Webb	attd	o  	-	'+250	-	'+175	-	-	-	-
12.0	420 ESPN	texas tech @ arizona	Keyan Burnett	attd	o  	'+280	'+230	'+420/-750	'+340	-	-	-	-
10.7	200 MGM	michigan @ washington	Kalel Mullings	team_ftd	o  	'+145	-	-	'+200	-	-	-	-
9.5	370 DK	ucf @ florida	Chauncey Magwood	attd	o  	-	'+370	-	'+260	-	-	-	-
9.3	350 ESPN	alabama @ vanderbilt	Cj Dippre	attd	o  	'+250	'+255	'+350/-600	'+240	-	-	-	-
9.1	135 ESPN	ucla @ penn state	Harrison Wallace	attd	o  	'+110	-	'+135/-190	-110	-	-	-	-
8.8	425 MGM	smu @ louisville	Rj Maryland	attd	o  	'+370	'+220	-	'+425	-	-	-	-
8.7	-122 ESPN	ucla @ penn state	Nicholas Singleton	attd	o  	-140	-270	-122/-114	-165	-	-	-	-
8.0	200 ESPN	tennessee @ arkansas	Desean Bishop	attd	o  	'+160	'+145	'+200/-290	'+145	-	-	-	-
8.0	125 ESPN	auburn @ georgia	Dominic Lovett	attd	o  	-105	-105	'+125/-175	-110	-	-	-	-
7.8	220 ESPN	texas tech @ arizona	Montana Lemonious Craig	attd	o  	'+180	'+155	'+220/-320	'+160	-	-	-	-
7.8	135 FD	smu @ louisville	Donald Chaney	attd	o  	'+135	'+105	-	'+100	-	-	-	-
