EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
13.5	660 FD	clemson @ florida state		ml	u  	-1050/+660	-625/+455	-	-	-	-647/460	-	-
12.4	-102 FD	usc @ minnesota		total	o 46.5	-102/-120	-155/+116	-	-	-	-	-	-
12.2	116 DK	usc @ minnesota		total	u 46.5	-102/-120	-155/+116	-	-	-	-	-	-
9.0	118 FD	tennessee @ arkansas	Squirrel White	rec_yd	o 39.5	'+118	-	-118/-118	-	-	-	-	-
6.1	-105 FD	bowling green @ akron		total	o 49.5	-105/-115	-139/+104	-	-	-	-130/112	-	-
5.2	-102 FD	michigan @ washington		total	o 40.5	-102/-120	-133/+100	-	-	-	-123/105	-	-
4.9	400 DK	alabama @ vanderbilt		1q_ml	u  	-	-535/+400	-	-	-	-424/307	-	-
4.6	810 FD	temple @ connecticut		ml	o  	'+810/-1450	-	-	-	-	579/-876	-	-
4.3	-110 FD	auburn @ georgia		total	o 50.5	-110/-110	-141/+106	-	-	-	-131/112	-	-
4.0	148 ESPN	auburn @ georgia	Payton Thorne	pass_td	u 0.5	-160/+120	-	-210/+148	-155/+120	-	-	-	-
4.0	108 FD	auburn @ georgia	Dillon Bell	rec_yd	o 49.5	'+108	-	-118/-118	-	-	-	-	-
3.8	-110 FD	appalachian state @ marshall		total	o 56.5	-110/-110	-136/+102	-	-	-	-132/113	-	-
3.6	-105 FD	clemson @ florida state		spread	u -16.5	-115/-105	-104/-128	-	-	-	107/-126	-	-
3.6	100 FD	army @ tulsa		spread	u -13.5	-122/+100	-108/-123	-	-	-	102/-117	-	-
3.5	107 ESPN	auburn @ georgia	Carson Beck	pass_td	o 2.5	-114/-114	-	'+107/-145	-115/-115	-	-	-	-
3.4	-105 FD	ucla @ penn state		total	u 47.5	-115/-105	-102/-130	-	-	-	105/-122	-	-
3.4	450 FD	army @ tulsa		ml	u  	-630/+450	-455/+350	-	-	-	-499/374	-	-
3.2	215 DK	navy @ air force		1q_ml	u  	-	-265/+215	-	-	-	-225/181	-	-
3.1	132 FD	ucla @ penn state	Drew Allar	pass_td	o 2.5	'+132/-166	-	'+115/-160	'+100/-130	-	-	-	-
2.9	260 DK	bowling green @ akron		1q_ml	u  	-	-325/+260	-	-	-	-276/216	-	-
2.8	-130 MGM	ucla @ penn state	Drew Allar	pass_td	u 2.5	'+132/-166	-	'+115/-160	'+100/-130	-	-	-	-
2.7	144 FD	rutgers @ nebraska	Dylan Raiola	pass_td	o 1.5	'+144/-194	-	-	'+120/-155	-	-	-	-
2.6	-105 FD	massachusetts @ northern illinois		spread	u 14.5	-115/-105	-103/-128	-	-	-	-	-	-
2.6	185 DK	east carolina @ charlotte		1q_ml	u  	-	-225/+185	-	-	-	-194/159	-	-
2.3	120 FD	baylor @ iowa state	Rocco Becht	pass_td	o 1.5	'+120/-160	-	-102/-134	-	-	-	-	-
2.1	190 DK	usc @ minnesota		1q_ml	u  	-	-230/+190	-	-	-	-201/164	-	-
2.1	-110 FD	pittsburgh @ north carolina		total	o 62.5	-110/-110	-131/-102	-	-	-	-127/109	-	-
2.1	-106 FD	indiana @ northwestern		total	o 40.5	-106/-114	-127/-105	-	-	-	-122/105	-	-
2.1	-102 DK	east carolina @ charlotte		1h_spread	u -4.5	-	-118/-102	-	-	-	-102/-116	-	-
1.9	155 ESPN	baylor @ iowa state	Sawyer Robertson	pass_td	u 0.5	-172/+128	-	-220/+155	-	-	-	-	-
1.8	135 ESPN	alabama @ vanderbilt	Diego Pavia	pass_td	u 0.5	-148/+112	-	-185/+135	-150/+115	-	-	-	-
1.5	-155 MGM	rutgers @ nebraska	Dylan Raiola	pass_td	u 1.5	'+144/-194	-	-	'+120/-155	-	-	-	-
1.1	105 DK	james madison @ ul monroe		home_total	o 16.5	-	'+105/-145	-	-	-	-105/-111	-	-
1.1	-110 ESPN	indiana @ northwestern	Kurtis Rourke	pass_td	u 1.5	-102/-130	-	-125/-110	'+100/-130	-	-	-	-
1.0	-120 DK	kansas @ arizona state		away_total	o 23.5	-	-120/-115	-	-	-	-134/114	-	-
0.8	-102 DK	tulane @ uab		1q_spread	o -3.5	-	-102/-118	-	-	-	-113/-105	-	-
0.8	250 DK	james madison @ ul monroe		1q_ml	u  	-	-310/+250	-	-	-	-273/214	-	-
0.8	-125 DK	colorado state @ oregon state		away_total	o 16.5	-	-125/-110	-	-	-	-139/119	-	-
0.7	-103 DK	massachusetts @ northern illinois		spread	o 14.5	-115/-105	-103/-128	-	-	-	-	-	-
0.7	144 FD	kansas @ arizona state	Sam Leavitt	pass_td	o 1.5	'+144/-194	-	'+120/-165	-	-	-	-	-
0.7	-172 FD	baylor @ iowa state	Sawyer Robertson	pass_td	o 0.5	-172/+128	-	-220/+155	-	-	-	-	-
0.6	330 DK	massachusetts @ northern illinois		1q_ml	o  	-	'+330/-425	-	-	-	273/-366	-	-
0.6	-147 DK	army @ tulsa		spread	u -15.0	-	'+110/-147	-	-	-	139/-166	-	-
0.4	-105 DK	smu @ louisville		away_total	o 24.5	-	-105/-135	-	-	-	-115/-102	-	-
0.4	-134 ESPN	baylor @ iowa state	Rocco Becht	pass_td	u 1.5	'+120/-160	-	-102/-134	-	-	-	-	-
0.4	100 DK	army @ tulsa		home_total	o 19.5	-	'+100/-140	-	-	-	-109/-107	-	-
0.3	-110 FD	rutgers @ nebraska		total	o 38.5	-110/-110	-133/+100	-	-	-	-117/100	-	-
0.3	-106 FD	missouri @ texas a&m		total	o 47.5	-106/-114	-122/-109	-	-	-	-117/100	-	-
0.3	-105 FD	massachusetts @ northern illinois		total	o 41.5	-105/-115	-120/-111	-	-	-	-117/100	-	-
0.2	-105 FD	louisiana @ southern miss		total	u 57.5	-115/-105	-109/-122	-	-	-	-	-	-
0.1	140 DK	tulane @ uab		home_total	o 20.5	-	'+140/-195	-	-	-	128/-151	-	-
0.1	-126 DK	purdue @ wisconsin		total	u 46.5	-	-105/-126	-	-	-	118/-138	-	-
0.1	-130 ESPN	iowa @ ohio state	Cade Mcnamara	pass_td	u 0.5	'+116/-154	-	-106/-130	'+115/-150	-	-	-	-
0.1	114 DK	indiana @ northwestern		1h_spread	u -6.5	-	-135/+114	-	-	-	-124/104	-	-
0.0	-108 DK	miami ohio @ toledo		spread	o 6.5	-120/-102	-108/-112	-	-	-	-	-	-
0.0	115 ESPN	iowa @ ohio state	Will Howard	pass_td	u 1.5	-132/+100	-	-160/+115	-130/+100	-	-	-	-
0.0	215 DK	duke @ georgia tech		1q_ml	o  	-	'+215/-265	-	-	-	189/-236	-	-
-0.1	-102 FD	usc @ minnesota		spread	o -8.5	-102/-120	-118/-113	-	-	-	-109/-106	-	-
-0.1	-112 DK	purdue @ wisconsin		total	u 45.5	-	-108/-112	-	-	-	104/-121	-	-
-0.1	-102 FD	miami ohio @ toledo		spread	u 6.5	-120/-102	-108/-112	-	-	-	-	-	-
-0.1	-105 FD	james madison @ ul monroe		total	o 47.5	-105/-115	-119/-112	-	-	-	-115/-101	-	-
-0.1	-110 DK	east carolina @ charlotte		home_total	o 18.5	-	-110/-130	-	-	-	-119/102	-	-
-0.1	-134 DK	bowling green @ akron		spread	u -17.5	-	'+101/-134	-	-	-	124/-148	-	-
-0.1	440 DK	auburn @ georgia		1q_ml	o  	-	'+440/-600	-	-	-	349/-501	-	-
-0.2	-136 DK	tulane @ uab		spread	o -16.0	-	-136/+102	-	-	-	-149/126	-	-
-0.2	-135 DK	indiana @ northwestern		spread	u -15.5	-	'+102/-135	-	-	-	125/-148	-	-
-0.2	-105 FD	auburn @ georgia		spread	u 21.5	-115/-105	-110/-121	-	-	-	-	-	-
-0.3	-106 FD	iowa @ ohio state		spread	u 17.5	-114/-106	-109/-122	-	-	-	-	-	-
-0.3	-143 DK	army @ tulsa		spread	u -14.5	-	'+107/-143	-	-	-	132/-158	-	-
-0.4	-136 DK	purdue @ wisconsin		total	u 47.0	-	'+102/-136	-	-	-	126/-148	-	-
-0.4	240 DK	indiana @ northwestern		1q_ml	u  	-	-298/+240	-	-	-	-266/210	-	-
-0.5	136 FD	iowa @ ohio state	Emeka Egbuka	rec	o 5.5	'+136/-178	-	'+115/-160	-	-	-	-	-
-0.5	-110 FD	hawaii @ san diego state		total	o 47.5	-110/-110	-124/-107	-	-	-	-120/103	-	-
-0.6	-110 DK	usc @ minnesota		1h_spread	u -5.5	-	-110/-110	-	-	-	100/-119	-	-
-0.6	-131 DK	tulane @ uab		spread	o -16.5	-	-131/-101	-	-	-	-142/120	-	-
-0.6	-225 FD	texas tech @ arizona		ml	u  	'+184/-225	'+200/-245	-	-	-	217/-261	-	-
-0.6	-175 DK	smu @ louisville		1h_ml	u  	-	'+145/-175	-	-	-	161/-193	-	-
-0.6	-105 DK	miami ohio @ toledo		home_total	u 25.5	-	-130/-105	-	-	-	-104/-112	-	-
-0.6	-360 FD	miami florida @ california		ml	o  	-360/+285	-	-	-	-	-431/332	-	-
-0.6	-132 DK	indiana @ northwestern		spread	u -15.0	-	-101/-132	-	-	-	121/-143	-	-
-0.6	110 DK	clemson @ florida state		home_total	o 16.5	-	'+110/-155	-	-	-	103/-120	-	-
-0.6	110 DK	bowling green @ akron		home_total	o 17.5	-	'+110/-150	-	-	-	103/-120	-	-
-0.7	-280 FD	virginia tech @ stanford		ml	o  	-280/+225	-325/+260	-	-	-	-315/255	-	-
-0.7	245 DK	clemson @ florida state		1q_ml	u  	-	-305/+245	-	-	-	-273/214	-	-
-0.8	350 DK	indiana @ northwestern		1h_ml	u  	-	-455/+350	-	-	-	-392/297	-	-
-0.9	-157 DK	virginia tech @ stanford		spread	o -6.0	-	-157/+117	-	-	-	-171/143	-	-
-0.9	120 DK	utah state @ boise state		1q_total	o 14.5	-	'+120/-142	-	-	-	110/-134	-	-
-0.9	-125 DK	usc @ minnesota		away_total	u 30.5	-	-110/-125	-	-	-	114/-134	-	-
-0.9	-110 FD	ucla @ penn state		spread	o 29.5	-110/-110	-125/-106	-	-	-	-	-	-
-0.9	-165 ESPN	kansas @ arizona state	Sam Leavitt	pass_td	u 1.5	'+144/-194	-	'+120/-165	-	-	-	-	-
-0.9	-105 FD	indiana @ northwestern		spread	o -13.5	-105/-115	-112/-108	-	-	-	-112/-103	-	-
-0.9	-265 DK	duke @ georgia tech		1h_ml	u  	-	'+215/-265	-	-	-	241/-305	-	-
-0.9	-625 DK	clemson @ florida state		ml	o  	-1050/+660	-625/+455	-	-	-	-647/460	-	-
-0.9	-455 DK	army @ tulsa		ml	o  	-630/+450	-455/+350	-	-	-	-499/374	-	-
-0.9	-118 DK	alabama @ vanderbilt		1q_spread	o -6.5	-	-118/-102	-	-	-	-127/107	-	-
-1.0	-122 DK	purdue @ wisconsin		total	u 46.0	-	-109/-122	-	-	-	111/-130	-	-
-1.0	-112 DK	missouri @ texas a&m		1q_ml	u  	-	-108/-112	-	-	-	101/-120	-	-
-1.0	-112 DK	james madison @ ul monroe		1h_spread	u -8.5	-	-108/-112	-	-	-	101/-120	-	-
-1.0	-155 MGM	auburn @ georgia	Payton Thorne	pass_td	o 0.5	-160/+120	-	-210/+148	-155/+120	-	-	-	-
-1.1	-110 FD	south alabama @ arkansas state		total	o 60.5	-110/-110	-123/-108	-	-	-	-117/101	-	-
-1.2	-142 DK	wake forest @ nc state		1q_ml	u  	-	'+120/-142	-	-	-	128/-153	-	-
-1.2	-147 DK	virginia tech @ stanford		spread	o -6.5	-	-147/+110	-	-	-	-158/133	-	-
-1.2	-160 MGM	texas tech @ arizona	Noah Fifita	pass_td	u 2.5	'+134/-180	-	'+140/-200	'+125/-160	-	-	-	-
-1.2	170 DK	nevada @ san jose state		1q_ml	o  	-	'+170/-205	-	-	-	155/-189	-	-
-1.2	-128 DK	indiana @ northwestern		spread	u -14.5	-	-104/-128	-	-	-	116/-136	-	-
-1.3	-115 DK	iowa @ ohio state		1q_total	o 9.5	-	-115/-105	-	-	-	-124/102	-	-
