EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
-1.3	-115 DK	indiana @ northwestern		1h_total	u 21.5	-	-105/-115	-	-	-	102/-124	-	-
-1.4	-134 DK	old dominion @ coastal carolina		total	u 54.0	-	'+101/-134	-	-	-	121/-142	-	-
-1.4	-135 DK	old dominion @ coastal carolina		home_total	u 30.5	-	'+100/-135	-	-	-	122/-143	-	-
-1.4	100 DK	michigan @ washington		total	u 40.5	-102/-120	-133/+100	-	-	-	-123/105	-	-
-1.4	-230 FD	miami ohio @ toledo		ml	u  	'+188/-230	'+205/-250	-	-	-	209/-252	-	-
-1.4	114 DK	kansas @ arizona state		1h_ml	o  	-	'+114/-135	-	-	-	108/-126	-	-
-1.4	125 DK	indiana @ northwestern		home_total	o 14.5	-	'+125/-175	-	-	-	118/-138	-	-
-1.4	-110 DK	clemson @ florida state		1h_spread	u -7.5	-	-110/-110	-	-	-	-102/-117	-	-
-1.4	-114 FD	auburn @ georgia	Carson Beck	pass_td	u 2.5	-114/-114	-	'+107/-145	-115/-115	-	-	-	-
-1.4	136 DK	appalachian state @ marshall		ml	o  	'+128/-154	'+136/-162	-	-	-	128/-147	-	-
-1.5	-105 DK	western michigan @ ball state		home_total	o 23.5	-	-105/-130	-	-	-	-110/-106	-	-
-1.5	-108 DK	south alabama @ arkansas state		spread	o -3.0	-	-108/-112	-	-	-	-112/-102	-	-
-1.5	-110 FD	purdue @ wisconsin		total	o 44.5	-110/-110	-127/-104	-	-	-	-112/-104	-	-
-1.5	-105 FD	missouri @ texas a&m		spread	o 2.5	-105/-115	-112/-108	-	-	-	-	-	-
-1.5	105 DK	auburn @ georgia		1h_total	o 27.5	-	'+105/-125	-	-	-	-102/-119	-	-
-1.6	-130 DK	south alabama @ arkansas state		1h_ml	o  	-	-130/+110	-	-	-	-137/117	-	-
-1.6	-108 DK	missouri @ texas a&m		spread	u 2.5	-105/-115	-112/-108	-	-	-	-	-	-
-1.6	100 MGM	indiana @ northwestern	Kurtis Rourke	pass_td	o 1.5	-102/-130	-	-125/-110	'+100/-130	-	-	-	-
-1.6	-120 DK	duke @ georgia tech		home_total	u 31.5	-	-115/-120	-	-	-	108/-126	-	-
-1.6	104 DK	bowling green @ akron		total	u 49.5	-105/-115	-139/+104	-	-	-	-130/112	-	-
-1.6	105 DK	baylor @ iowa state		away_total	o 16.5	-	'+105/-145	-	-	-	100/-117	-	-
-1.6	-345 DK	baylor @ iowa state		1h_ml	u  	-	'+275/-345	-	-	-	302/-399	-	-
-1.7	-129 DK	tennessee @ arkansas		spread	u -14.5	-	-103/-129	-	-	-	116/-135	-	-
-1.7	-110 FD	purdue @ wisconsin		spread	u 11.5	-110/-110	-108/-123	-	-	-	-	-	-
-1.7	-630 FD	massachusetts @ northern illinois		ml	u  	'+450/-630	'+490/-675	-	-	-	577/-872	-	-
-1.8	-138 DK	tennessee @ arkansas		spread	u -15.5	-	'+104/-138	-	-	-	123/-146	-	-
-1.8	-245 FD	nevada @ san jose state		ml	u  	'+198/-245	'+220/-270	-	-	-	215/-260	-	-
-1.8	-115 FD	baylor @ iowa state		total	u 45.5	-105/-115	-104/-128	-	-	-	104/-121	-	-
-1.8	110 DK	appalachian state @ marshall		home_total	u 29.5	-	-150/+110	-	-	-	-123/105	-	-
-1.9	-110 FD	texas tech @ arizona		total	o 63.5	-110/-110	-121/-110	-	-	-	-116/-101	-	-
-1.9	-192 DK	texas tech @ arizona		1h_ml	u  	-	'+160/-192	-	-	-	170/-205	-	-
-1.9	-134 DK	tennessee @ arkansas		spread	u -15.0	-	'+101/-134	-	-	-	119/-141	-	-
-1.9	-115 DK	tennessee @ arkansas		spread	u -14.0	-	-105/-115	-	-	-	103/-119	-	-
-1.9	-148 DK	smu @ louisville		1q_ml	u  	-	'+124/-148	-	-	-	131/-157	-	-
-1.9	100 DK	rutgers @ nebraska		total	u 38.5	-110/-110	-133/+100	-	-	-	-117/100	-	-
-1.9	-245 FD	rutgers @ nebraska		ml	u  	'+198/-245	'+220/-270	-	-	-	214/-258	-	-
-1.9	-128 DK	old dominion @ coastal carolina		total	u 53.5	-	-104/-128	-	-	-	114/-134	-	-
-1.9	-115 FD	navy @ air force		spread	o -9.5	-115/-105	-124/-107	-	-	-	-122/106	-	-
-1.9	-118 DK	navy @ air force		1h_spread	u -6.5	-	-102/-118	-	-	-	104/-125	-	-
-1.9	-120 DK	iowa @ ohio state		1h_total	o 23.5	-	-120/+100	-	-	-	-128/105	-	-
-1.9	-118 ESPN	indiana @ northwestern	Omar Cooper	rec_yd	o 39.5	-132	-	-118/-118	-	-	-	-	-
-1.9	-146 DK	clemson @ florida state		spread	o -12.5	-	-146/+110	-	-	-	-154/130	-	-
-1.9	-120 DK	auburn @ georgia		home_total	u 37.5	-	-115/-120	-	-	-	107/-125	-	-
-2.0	-105 FD	virginia tech @ stanford		total	o 49.5	-105/-115	-112/-108	-	-	-	-108/-108	-	-
-2.0	-141 DK	usc @ minnesota		spread	u -11.0	-	'+106/-141	-	-	-	125/-148	-	-
-2.0	-295 FD	usc @ minnesota		ml	o  	-295/+235	-310/+250	-	-	-	-330/265	-	-
-2.0	-245 DK	tulane @ uab		1q_ml	o  	-	-245/+200	-	-	-	-272/213	-	-
-2.0	-122 DK	tennessee @ arkansas		1h_spread	u -7.5	-	'+102/-122	-	-	-	108/-128	-	-
-2.0	114 DK	pittsburgh @ north carolina		1h_ml	u  	-	-135/+114	-	-	-	-128/109	-	-
-2.0	-235 ESPN	ole miss @ south carolina	Lanorris Sellers	pass_td	u 1.5	'+198/-280	-	'+165/-235	'+200/-275	-	-	-	-
-2.0	-194 FD	old dominion @ coastal carolina		ml	u  	'+160/-194	'+170/-205	-	-	-	175/-206	-	-
-2.0	-205 DK	miami ohio @ toledo		1h_ml	u  	-	'+170/-205	-	-	-	181/-220	-	-
-2.0	105 DK	kansas @ arizona state		1q_total	o 10.5	-	'+105/-125	-	-	-	-101/-120	-	-
-2.0	-108 FD	colorado state @ oregon state		spread	u 10.5	-112/-108	-111/-120	-	-	-	-	-	-
-2.0	-162 FD	clemson @ florida state	Cade Klubnik	pass_td	o 1.5	-162/+122	-	-190/+135	-	-	-	-	-
-2.0	-110 DK	bowling green @ akron		1h_spread	u -8.5	-	-110/-110	-	-	-	-103/-115	-	-
-2.0	106 DK	auburn @ georgia		total	u 50.5	-110/-110	-141/+106	-	-	-	-131/112	-	-
-2.1	-139 DK	western michigan @ ball state		spread	u -11.5	-	'+104/-139	-	-	-	123/-146	-	-
-2.1	100 DK	ucla @ penn state		home_total	u 36.5	-	-140/+100	-	-	-	-113/-104	-	-
-2.1	-112 FD	rutgers @ nebraska		spread	u 6.5	-108/-112	-107/-124	-	-	-	-	-	-
-2.1	100 DK	michigan @ washington		1q_ml	o  	-	'+100/-120	-	-	-	-105/-114	-	-
-2.1	-109 DK	louisiana @ southern miss		total	o 57.5	-115/-105	-109/-122	-	-	-	-	-	-
-2.1	-520 DK	indiana @ northwestern		ml	o  	-630/+450	-520/+390	-	-	-	-575/419	-	-
-2.1	210 DK	army @ tulsa		1q_ml	u  	-	-258/+210	-	-	-	-238/190	-	-
-2.1	-115 DK	appalachian state @ marshall		spread	o 3.5	-122/+100	-115/-105	-	-	-	-	-	-
-2.1	-148 FD	alabama @ vanderbilt	Diego Pavia	pass_td	o 0.5	-148/+112	-	-185/+135	-150/+115	-	-	-	-
-2.2	-136 DK	tulane @ uab		spread	u -20.0	-	'+102/-136	-	-	-	120/-142	-	-
-2.2	-140 DK	south alabama @ arkansas state		total	o 59.0	-	-140/+105	-	-	-	-146/124	-	-
-2.2	-148 DK	south alabama @ arkansas state		ml	o  	-150/+125	-148/+124	-	-	-	-158/137	-	-
-2.2	130 DK	rutgers @ nebraska		away_total	o 17.5	-	'+130/-185	-	-	-	124/-146	-	-
-2.2	-130 DK	nevada @ san jose state		away_total	o 20.5	-	-130/-105	-	-	-	-135/115	-	-
-2.2	-160 ESPN	iowa @ ohio state	Emeka Egbuka	rec	u 5.5	'+136/-178	-	'+115/-160	-	-	-	-	-
-2.2	-133 DK	army @ tulsa		spread	u -14.0	-	'+100/-133	-	-	-	118/-138	-	-
-2.3	-124 FD	south alabama @ arkansas state		spread	o -2.5	-124/+102	-130/-102	-	-	-	-134/116	-	-
-2.3	-110 FD	smu @ louisville		total	o 55.5	-110/-110	-119/-111	-	-	-	-115/-101	-	-
-2.3	132 FD	missouri @ texas a&m	Brady Cook	pass_td	o 1.5	'+132/-166	-	-	'+120/-155	-	-	-	-
-2.3	-120 DK	michigan @ washington		home_total	o 20.5	-	-120/-115	-	-	-	-124/106	-	-
-2.3	-400 FD	colorado state @ oregon state		ml	u  	'+310/-400	'+330/-425	-	-	-	348/-457	-	-
-2.3	230 DK	colorado state @ oregon state		1q_ml	o  	-	'+230/-285	-	-	-	207/-262	-	-
-2.3	-141 DK	clemson @ florida state		spread	o -13.0	-	-141/+106	-	-	-	-147/124	-	-
-2.3	-127 DK	bowling green @ akron		spread	u -17.0	-	-105/-127	-	-	-	112/-132	-	-
-2.3	100 FD	appalachian state @ marshall		spread	u 3.5	-122/+100	-115/-105	-	-	-	-	-	-
-2.4	-130 DK	western michigan @ ball state		total	o 55.5	-	-130/-102	-	-	-	-134/115	-	-
-2.4	170 DK	western michigan @ ball state		1q_ml	u  	-	-205/+170	-	-	-	-193/158	-	-
-2.4	-480 FD	purdue @ wisconsin		ml	u  	'+360/-480	'+390/-520	-	-	-	407/-555	-	-
-2.4	-380 DK	purdue @ wisconsin		1h_ml	u  	-	'+300/-380	-	-	-	319/-427	-	-
-2.4	-110 DK	miami ohio @ toledo		away_total	o 17.5	-	-110/-130	-	-	-	-113/-103	-	-
-2.4	-132 DK	james madison @ ul monroe		spread	u -17.0	-	-101/-132	-	-	-	116/-137	-	-
-2.4	-146 DK	james madison @ ul monroe		spread	o -13.0	-	-146/+110	-	-	-	-152/128	-	-
-2.4	-130 MGM	iowa @ ohio state	Will Howard	pass_td	o 1.5	-132/+100	-	-160/+115	-130/+100	-	-	-	-
-2.4	182 FD	alabama @ vanderbilt	Jalen Milroe	pass_td	o 2.5	'+182	-	'+155/-220	-	-	-	-	-
-2.5	120 DK	tennessee @ arkansas		home_total	o 23.5	-	'+120/-170	-	-	-	116/-135	-	-
-2.5	-132 DK	south alabama @ arkansas state		total	o 59.5	-	-132/-101	-	-	-	-136/116	-	-
-2.5	-112 DK	smu @ louisville		spread	u 6.5	-104/-118	-105/-112	-	-	-	-	-	-
-2.5	115 DK	nevada @ san jose state		home_total	u 27.5	-	-165/+115	-	-	-	-130/111	-	-
-2.5	116 FD	iowa @ ohio state	Cade Mcnamara	pass_td	o 0.5	'+116/-154	-	-106/-130	'+115/-150	-	-	-	-
-2.5	-109 DK	iowa @ ohio state		spread	o 17.5	-114/-106	-109/-122	-	-	-	-	-	-
-2.5	-110 FD	colorado state @ oregon state		total	o 47.5	-110/-110	-120/-111	-	-	-	-114/-103	-	-
-2.5	-110 DK	auburn @ georgia		spread	o 21.5	-115/-105	-110/-121	-	-	-	-	-	-
-2.5	120 DK	appalachian state @ marshall		1h_ml	o  	-	'+120/-142	-	-	-	116/-135	-	-
-2.6	-134 DK	western michigan @ ball state		spread	u -11.0	-	'+101/-134	-	-	-	117/-139	-	-
-2.6	-108 DK	virginia tech @ stanford		total	u 49.5	-105/-115	-112/-108	-	-	-	-108/-108	-	-
-2.6	-135 DK	usc @ minnesota		spread	u -10.5	-	'+101/-135	-	-	-	118/-140	-	-
-2.6	-500 DK	tulane @ uab		1h_ml	o  	-	-500/+380	-	-	-	-582/406	-	-
-2.6	-137 DK	south alabama @ arkansas state		spread	o -2.0	-	-137/+103	-	-	-	-141/120	-	-
-2.6	-218 DK	rutgers @ nebraska		1h_ml	u  	-	'+180/-218	-	-	-	188/-230	-	-
-2.6	100 DK	michigan @ washington		1h_ml	o  	-	'+100/-120	-	-	-	-103/-114	-	-
-2.6	-115 FD	james madison @ ul monroe		spread	u -16.5	-105/-115	-107/-124	-	-	-	102/-121	-	-
-2.6	-102 DK	bowling green @ akron		1q_spread	u -3.5	-	-118/-102	-	-	-	-113/-106	-	-
-2.6	100 DK	boston college @ virginia		1h_ml	o  	-	'+100/-120	-	-	-	-103/-114	-	-
-2.6	-112 DK	army @ tulsa		spread	o -12.5	-	-112/-108	-	-	-	-114/-101	-	-
-2.7	-122 FD	western michigan @ ball state		spread	u -10.5	'+100/-122	-103/-129	-	-	-	111/-130	-	-
-2.7	-250 DK	western michigan @ ball state		1h_ml	o  	-	-250/+205	-	-	-	-266/214	-	-
-2.7	-9000 DK	ucla @ penn state		ml	u  	'+3000/-10000	'+2500/-9000	-	-	-	1953/-5481	-	-
-2.7	-850 DK	tulane @ uab		ml	o  	-1100/+680	-850/+575	-	-	-	-912/597	-	-
-2.7	119 DK	purdue @ wisconsin		total	u 43.0	-	-160/+119	-	-	-	-135/115	-	-
-2.7	-155 MGM	missouri @ texas a&m	Brady Cook	pass_td	u 1.5	'+132/-166	-	-	'+120/-155	-	-	-	-
-2.7	-108 FD	michigan @ washington		spread	o 1.5	-108/-112	-118/-113	-	-	-	-	-	-
-2.7	-700 DK	james madison @ ul monroe		ml	o  	-850/+570	-700/+500	-	-	-	-750/515	-	-
-2.7	-675 DK	bowling green @ akron		ml	o  	-820/+550	-675/+490	-	-	-	-725/502	-	-
-2.7	-132 DK	boston college @ virginia		spread	u -2.0	-	-101/-132	-	-	-	115/-136	-	-
-2.8	-128 DK	western michigan @ ball state		spread	o -8.0	-	-128/-104	-	-	-	-132/111	-	-
-2.8	140 DK	wake forest @ nc state		1h_ml	o  	-	'+140/-166	-	-	-	134/-159	-	-
-2.8	-122 DK	utah state @ boise state		1h_total	o 34.5	-	-122/+102	-	-	-	-127/105	-	-
-2.8	-106 DK	ucla @ penn state		spread	u 29.5	-110/-110	-125/-106	-	-	-	-	-	-
-2.8	-125 DK	smu @ louisville		home_total	u 32.5	-	-110/-125	-	-	-	109/-128	-	-
-2.8	-104 DK	purdue @ wisconsin		total	u 44.5	-110/-110	-127/-104	-	-	-	-112/-104	-	-
-2.8	-115 DK	purdue @ wisconsin		home_total	u 29.5	-	-120/-115	-	-	-	101/-117	-	-
-2.8	-112 DK	pittsburgh @ north carolina		spread	o -2.5	-115/-105	-112/-108	-	-	-	-114/-100	-	-
-2.8	-134 FD	pittsburgh @ north carolina		ml	o  	-134/+112	-135/+114	-	-	-	-139/121	-	-
-2.8	-330 FD	duke @ georgia tech		ml	u  	'+260/-330	'+270/-340	-	-	-	287/-363	-	-
-2.8	-135 DK	clemson @ florida state		spread	o -13.5	-	-135/+102	-	-	-	-138/118	-	-
-2.8	-138 DK	boston college @ virginia		spread	u -2.5	-	'+103/-138	-	-	-	120/-142	-	-
-2.8	-126 DK	boston college @ virginia		spread	u -1.5	-	-106/-126	-	-	-	110/-129	-	-
-2.9	-134 DK	western michigan @ ball state		spread	o -7.5	-	-134/+101	-	-	-	-138/116	-	-
-2.9	-133 DK	tulane @ uab		total	o 52.5	-	-133/+100	-	-	-	-136/116	-	-
-2.9	-130 DK	tulane @ uab		spread	u -19.5	-	-102/-130	-	-	-	113/-133	-	-
-2.9	-119 DK	pittsburgh @ north carolina		spread	o -2.0	-	-119/-112	-	-	-	-121/104	-	-
-2.9	-140 DK	hawaii @ san diego state		total	u 50.5	-	'+105/-140	-	-	-	122/-143	-	-
-2.9	-112 FD	hawaii @ san diego state		spread	u 1.5	-108/-112	-109/-122	-	-	-	-	-	-
-2.9	135 ESPN	clemson @ florida state	Cade Klubnik	pass_td	u 1.5	-162/+122	-	-190/+135	-	-	-	-	-
-2.9	-110 DK	bowling green @ akron		1h_total	o 26.5	-	-110/-110	-	-	-	-114/-106	-	-
