EV	Player	Team	Line	FD	DK	Bet365	MGM	Kambi
14.7	hank bachmeier	louisiana tech	330 (fd)	330	-	+275	-	-
12.9	kejon owens	florida intl	250 (fd)	250	-	+210	-	-
9.7	josiah miamen	florida intl	229 (fd)	230	-	+200	-	-
9.1	nate jones	louisiana tech	200 (fd)	200	-	+175	-	-
6.0	grayson james	florida intl	165 (fd)	165	-	+150	-	-
5.5	julien lewis	louisiana tech	150 (fd)	150	-	+137	-	-
2.3	dean patterson	florida intl	309 (fd)	310	-	+300	-	-
1.8	kris mitchell	florida intl	129 (fd)	130	-	+125	-	-
0.0	tyre shelton	louisiana tech	150 (fd)	150	-	+150	-	-
0.0	shomari lawrence	florida intl	125 (fd)	125	-	+125	-	-
-2.2	jalen bracey	florida intl	120 (fd)	120	-	+125	-	-
-8.4	cyrus allen	louisiana tech	-190 (fd)	-190	-	-150	-	-
-11.9	smoke harris	louisiana tech	-260 (fd)	-260	-	-175	-	-
-15.3	charvis thornton	louisiana tech	-370 (fd)	-370	-	-200	-	-
-18.2	tru edwards	louisiana tech	125 (fd)	125	-	+175	-	-
