NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Dylan Carlson	-175	RF		-	.278	TB	v	BAL	22nd	20th	h+r+rbi	0.5	0,4,2,1,3,3	2.17	83%	83%	0%	100%	.250 1-4, 1 HR, 1 RBI, 0 BB, 1 SO	Burnes	R	.133 2-15, 1 HR, 2 RBI, 1 BB, 6 SO	'+130
Xavier Edwards	-135	SS	S	1	.364	MIA	v	SD	18th	29th	h+r+rbi	1.5	4,1,3,2,4,3,2,0,2,0	2.22	72%	70%	43%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 0 SO	Waldron	R		'+100
Andy Pages	-165	CF	R	8	.244	LAD	v	PIT	12th	10th	h+r+rbi	0.5	0,0,4,0,0,2,3,2,1,1	1.8	72%	60%	0%	75%	.300 3-10, 1 HR, 1 RBI, 3 BB, 4 SO	Skenes	R	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO	'+120
Jazz Chisholm	'+115	3B	L	6	.262	NYY	v	TEX	14th	15th	h+r+rbi	1.5	2,7,10,2,0,1,2,2,0,3	2.9	70%	70%	0%	0%		Eovaldi	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	-155
Curtis Mead	-180	2B	R	-	.248	TB	v	BAL	22nd	20th	h+r+rbi	0.5	3,5,0,1,1,3,0,1,0,2	1.26	69%	70%	67%	100%	.250 1-4, 0 HR, 0 RBI, 0 BB, 2 SO	Burnes	R		'+130
Francisco Alvarez	-175	C	R	7	.267	NYM	@	SEA	30th	27th	h+r+rbi	0.5	0,3,0,1,2,2,3,1,2,0	1.69	68%	70%	53%	50%	.154 2-13, 0 HR, 1 RBI, 0 BB, 4 SO	Gilbert	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+130
Jackson Holliday	-160	2B	L	8	.167	BAL	@	TB	13th	28th	h+r+rbi	0.5	2,6,1,4,4,4,3,4,2,0	1.89	68%	90%	0%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 1 SO	Alexander	L		'+115
Nick Sogard	'+120	3B	S	7	.318	BOS	v	HOU	24th	21st	h+r+rbi	1.5	4,1,4,2,1,4	2.67	67%	67%	0%	100%	.667 2-3, 0 HR, 0 RBI, 1 BB, 1 SO	Arrighetti	R		-160
Juan Yepez	-130	1B	R	2	.325	WSH	v	LAA	11th	9th	h+r+rbi	1.5	0,2,2,0,2,0,2,5,1,2	2.4	67%	60%	0%	100%	.333 1-3, 0 HR, 1 RBI, 0 BB, 1 SO	Canning	R		-105
Randy Arozarena	-115	LF	R	2	.279	SEA	v	NYM	21st	13th	h+r+rbi	1.5	5,3,0,3,4,0,0,3,2,0	2.08	67%	60%	0%	0%	.000 0-2, 0 HR, 0 RBI, 2 BB, 0 SO	Manaea	L	.333 2-6, 0 HR, 0 RBI, 1 BB, 1 SO	-115
Mitch Haniger	-170	RF	R	8	.208	SEA	v	NYM	21st	13th	h+r+rbi	0.5	1,2,0,5,6,0,0,0,4,2	1.45	64%	60%	72%	80%	.333 5-15, 0 HR, 3 RBI, 1 BB, 6 SO	Manaea	L	.357 10-28, 0 HR, 2 RBI, 1 BB, 3 SO	'+125
Shohei Ohtani	-125	DH	L	1	.304	LAD	v	PIT	12th	10th	h+r+rbi	1.5	1,1,0,5,3,0,5,0,0,4	2.7	64%	40%	51%	70%	.222 6-27, 3 HR, 5 RBI, 4 BB, 14 SO	Skenes	R	.667 2-3, 1 HR, 2 RBI, 0 BB, 1 SO	-110
Gavin Lux	-185	2B	L	5	.242	LAD	v	PIT	12th	10th	h+r+rbi	0.5	5,2,2,2,3,2,2,0,1,0	1.54	63%	80%	70%	47%	.184 9-49, 0 HR, 1 RBI, 6 BB, 12 SO	Skenes	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	'+135
Ben Rice	-175	1B	L	8	.197	NYY	v	TEX	14th	15th	h+r+rbi	0.5	0,0,0,2,3,5,1,1,1,1	1.68	63%	70%	0%	0%		Eovaldi	R		'+125
Trea Turner	-145	SS	R	2	.302	PHI	@	ARI	2nd	11th	h+r+rbi	1.5	2,1,0,3,1,0,1,2,3,0	2.55	62%	40%	60%	69%	.235 12-51, 2 HR, 9 RBI, 6 BB, 8 SO	Gallen	R	.222 4-18, 1 HR, 1 RBI, 2 BB, 6 SO	'+105
Jose Ramirez	-150	3B	S	3	.279	CLE	@	MIN	16th	25th	h+r+rbi	1.5	4,7,2,4,3,6,3,2,2,0	2.71	62%	90%	54%	55%	.200 16-80, 2 HR, 8 RBI, 4 BB, 7 SO	Richardson	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+110
