NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Andrew Mccutchen	+0	RF	R	1	.234	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Kikuchi	L		'+340
Bo Bichette	+0	SS	R	4	.251	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.308 4-13, 0 HR, 0 RBI, 1 BB, 2 SO	Keller	R		'+425
Bryan Reynolds	+0	LF	S	2	.254	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.154 2-13, 0 HR, 0 RBI, 0 BB, 4 SO	Kikuchi	L		'+400
Connor Joe	+0	1B	R	3	.286	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 1 RBI, 0 BB, 4 SO	Kikuchi	L		'+400
Danny Jansen	+0	C	R	2	.299	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.222 2-9, 0 HR, 2 RBI, 0 BB, 4 SO	Keller	R		'+310
Daulton Varsho	+0	LF	L	6	.205	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.385 5-13, 1 HR, 4 RBI, 1 BB, 1 SO	Keller	R		'+425
Davis Schneider	+0	LF	R	1	.241	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Keller	R		'+340
Edward Olivares	+0	RF	R	4	.237	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.278 5-18, 1 HR, 3 RBI, 0 BB, 4 SO	Kikuchi	L		'+390
George Springer	+0	RF	R	7	.207	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.214 3-14, 1 HR, 2 RBI, 2 BB, 0 SO	Keller	R		'+550
Isiah Kiner Falefa	+0	3B	R	8	.270	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-1, 0 HR, 0 RBI, 0 BB, 0 SO	Keller	R		'+750
Justin Turner	+0	1B	R	5	.217	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.200 2-10, 0 HR, 0 RBI, 3 BB, 1 SO	Keller	R		'+475
Kebryan Hayes	+0	3B	R	5	.237	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.500 4-8, 0 HR, 0 RBI, 1 BB, 1 SO	Kikuchi	L		'+400
Kevin Kiermaier	+0	CF	L	9	.210	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.444 4-9, 1 HR, 4 RBI, 1 BB, 0 SO	Keller	R		'+800
Michael A Taylor	+0	CF		-	.203	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.211 4-19, 1 HR, 3 RBI, 0 BB, 8 SO	Kikuchi	L		'+550
Nick Gonzales	+0	2B	R	6	.312	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Kikuchi	L		'+450
Oneil Cruz	+0	SS	L	7	.246	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 3-12, 1 HR, 2 RBI, 0 BB, 4 SO	Kikuchi	L		'+650
Vladimir Guerrero	+0	1B	R	3	.294	TOR	v	PIT	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 1 RBI, 0 BB, 1 SO	Keller	R		'+360
Yasmani Grandal	+0	C	S	8	.211	PIT	@	TOR	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-11, 0 HR, 0 RBI, 1 BB, 4 SO	Kikuchi	L		'+500
Adley Rutschman	+0	C	S	2	.294	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.170 8-47, 2 HR, 7 RBI, 9 BB, 15 SO	Bradley	R		'+400
Anthony Santander	+0	RF	S	5	.203	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.132 7-53, 1 HR, 4 RBI, 2 BB, 25 SO	Bradley	R		'+380
Ben Rortvedt	+0	C	L	8	.247	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-3, 0 HR, 0 RBI, 2 BB, 1 SO	Bradish	R		'+1000
Brandon Lowe	+0	2B	L	3	.180	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.139 5-36, 2 HR, 5 RBI, 4 BB, 11 SO	Bradish	R		'+500
Cedric Mullins	+0	CF	L	8	.179	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.217 5-23, 0 HR, 2 RBI, 0 BB, 5 SO	Bradley	R		'+650
Colton Cowser	+0	LF	L	6	.230	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.111 1-9, 0 HR, 1 RBI, 0 BB, 3 SO	Bradley	R		'+550
Gunnar Henderson	+0	SS	L	1	.252	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.245 12-49, 4 HR, 7 RBI, 3 BB, 19 SO	Bradley	R		'+300
Isaac Paredes	+0	3B	R	4	.295	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.212 7-33, 2 HR, 4 RBI, 5 BB, 6 SO	Bradish	R		'+550
Jonathan Aranda	+0	1B	L	5	.231	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.125 1-8, 0 HR, 0 RBI, 0 BB, 2 SO	Bradish	R		'+700
Jonny Deluca	+0	CF	R	-	.203	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%		Bradish	R		'+600
Jorge Mateo	+0	2B	R	9	.239	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.083 2-24, 0 HR, 3 RBI, 0 BB, 9 SO	Bradley	R		'+550
Jose Caballero	+0	SS	R	7	.251	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.182 2-11, 0 HR, 1 RBI, 2 BB, 2 SO	Bradish	R		'+950
Ramon Urias	+0	3B	R	-	.213	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.185 5-27, 1 HR, 2 RBI, 3 BB, 6 SO	Bradley	R		'+550
Randy Arozarena	+0	LF	R	6	.159	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.234 11-47, 1 HR, 5 RBI, 5 BB, 18 SO	Bradish	R		'+550
Richie Palacios	+0	RF	L	1	.262	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.375 3-8, 3 HR, 3 RBI, 0 BB, 1 SO	Bradish	R		'+800
Ryan Mountcastle	+0	1B	R	4	.284	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.278 5-18, 0 HR, 0 RBI, 2 BB, 6 SO	Bradley	R		'+300
Ryan Ohearn	+0	1B	L	3	.264	BAL	v	TB	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.297 11-37, 3 HR, 6 RBI, 1 BB, 13 SO	Bradley	R		'+380
Yandy Diaz	+0	1B	R	2	.242	TB	@	BAL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.245 13-53, 1 HR, 6 RBI, 6 BB, 12 SO	Bradish	R		'+450
Abraham Toro	+0	3B	S	1	.290	OAK	@	ATL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.429 3-7, 1 HR, 4 RBI, 1 BB, 1 SO	Sale	L		'+450
Adam Duvall	+0	LF	R	8	.196	ATL	v	OAK	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.357 5-14, 1 HR, 4 RBI, 0 BB, 6 SO	Brooks	R		'+250
Aledmys Diaz	+0	SS	R	6	.000	OAK	@	ATL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.000 0-8, 0 HR, 0 RBI, 0 BB, 0 SO	Sale	L		'+600
Austin Riley	+0	3B	R	2	.227	ATL	v	OAK	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.182 2-11, 0 HR, 1 RBI, 0 BB, 2 SO	Brooks	R		'+210
Brent Rooker	+0	LF	R	2	.280	OAK	@	ATL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.250 1-4, 0 HR, 0 RBI, 1 BB, 1 SO	Sale	L		'+360
Jd Davis	+0	1B	R	3	.225	OAK	@	ATL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.381 8-21, 0 HR, 4 RBI, 1 BB, 7 SO	Sale	L		'+475
Jarred Kelenic	+0	LF	L	9	.258	ATL	v	OAK	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.294 10-34, 1 HR, 6 RBI, 4 BB, 11 SO	Brooks	R		'+500
Jj Bleday	+0	CF	L	-	.250	OAK	@	ATL	-	-	x+_total_bases	0		0.0	0%	0%	0%	0%	.167 1-6, 0 HR, 0 RBI, 2 BB, 1 SO	Sale	L		'+550
