NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
River Ryan	-175	SP	R	LAD	v	PIT	15th	9th	bb_allowed	1.5	3,3,3	3.0	100%	100%	0%	0%		'+125
Spencer Arrighetti	-185	SP	R	HOU	@	BOS	12th	24th	bb_allowed	1.5	3,2,4,0,4,2,3,1,2,2	2.45	90%	80%	100%	0%		'+130
Roddery Munoz	-215	SP	R	MIA	v	SD	26th	1st	bb_allowed	1.5	1,2,4,2,4,2,3,2,1,3	2.5	79%	80%	0%	0%		'+150
Yariel Rodriguez	-155	SP	R	TOR	v	OAK	14th	23rd	bb_allowed	1.5	1,2,3,3,2,2,3,1,4,1	2.18	73%	70%	0%	0%		'+110
Griffin Canning	-190	SP	R	LAA	@	WSH	19th	28th	bb_allowed	1.5	1,2,1,2,2,2,2,3,2,4	2.04	70%	80%	54%	0%	5.0 IP 4 K, 5 H, 0 BB	'+135
Osvaldo Bido	-185	RP	R	OAK	@	TOR	11th	13th	bb_allowed	1.5	2,3,3,1,2,0,0,0,4,3	1.8	60%	60%	0%	0%		'+130
Chris Flexen	-175	SP	R	CHW	v	CHC	8th	6th	bb_allowed	1.5	2,3,3,1,1,2,5,2,0,3	1.92	58%	70%	47%	71%	17.2 IP 11 K, 24 H, 6 BB	'+125
Max Fried	-150	SP	L	ATL	@	COL	25th	26th	bb_allowed	1.5	0,1,1,2,3,0,3,1,3,5	2.05	58%	50%	39%	20%	26.3 IP 21 K, 24 H, 6 BB	'+105
Matt Waldron	'+110	SP	R	SD	@	MIA	30th	27th	bb_allowed	1.5	2,2,2,1,2,1,0,2,1,2	1.57	57%	60%	50%	0%	7.0 IP 8 K, 0 H, 0 BB	-160
Patrick Corbin	-110	SP	L	WSH	v	LAA	20th	19th	bb_allowed	1.5	2,3,0,1,2,1,0,3,0,1	1.74	57%	40%	50%	100%	5.0 IP 3 K, 7 H, 3 BB	-130
Sean Manaea	-190	SP	L	NYM	@	SEA	6th	12th	bb_allowed	1.5	1,3,5,2,3,1,1,4,1,0	2.09	55%	50%	41%	53%	2.0 IP 2 K, 4 H, 0 BB	'+130
Simeon Woods Richardson	'+135	SP	R	MIN	v	CLE	22nd	25th	bb_allowed	1.5	0,4,2,2,2,2,1,1,3,3	1.63	53%	70%	0%	0%	5.1 IP 2 K, 0 H, 0 BB	-190
Zac Gallen	-175	SP	R	ARI	v	PHI	5th	14th	bb_allowed	1.5	1,0,1,3,1,1,6,3,1,2	1.74	47%	40%	53%	60%	5.2 IP 3 K, 5 H, 2 BB	'+125
Logan Webb	'+110	SP	R	SF	v	DET	23rd	22nd	bb_allowed	1.5	0,1,2,3,1,1,4,3,1,3	1.62	46%	50%	40%	100%	4.2 IP 6 K, 4 H, 3 BB	-155
Michael Wacha	-135	SP	R	KC	v	STL	21st	7th	bb_allowed	1.5	1,1,1,2,3,1,1,1,2,4	1.75	45%	40%	49%	0%	12.0 IP 9 K, 6 H, 1 BB	-105
Justin Steele	'+130	SP	L	CHC	@	CHW	29th	30th	bb_allowed	1.5	1,2,1,0,2,0,2,3,4,2	1.61	44%	60%	43%	0%		-185
Aaron Nola	-185	SP	R	PHI	@	ARI	4th	16th	bb_allowed	1.5	2,1,0,0,0,2,1,3,3,0	1.48	43%	40%	47%	20%	6.2 IP 9 K, 6 H, 1 BB	'+130
Corbin Burnes	-150	SP	R	BAL	@	TB	7th	21st	bb_allowed	1.5	1,2,0,0,1,0,4,1,3,1	1.48	43%	30%	40%	0%	7.0 IP 6 K, 0 H, 0 BB	'+110
Paul Skenes	-120	SP	R	PIT	@	LAD	2nd	2nd	bb_allowed	1.5	1,0,1,1,2,2,1,0,3,3	1.36	36%	40%	0%	0%	5.0 IP 8 K, 0 H, 0 BB	-120
Andre Pallante	-165	RP	R	STL	@	KC	28th	29th	bb_allowed	1.5	3,1,0,3,3,1,0,2,2,2	1.25	35%	60%	13%	0%	8.1 IP 5 K, 3 H, 1 BB	'+115
Tobias Myers	'+115	SP	R	MIL	v	CIN	17th	10th	bb_allowed	1.5	3,1,2,0,2,1,1,2,1,1	1.41	35%	40%	0%	0%		-160
Nathan Eovaldi	-145	SP	R	TEX	@	NYY	1st	8th	bb_allowed	1.5	4,1,1,0,0,0,0,0,0,1	1.35	30%	10%	47%	30%	14.2 IP 13 K, 7 H, 2 BB	'+100
Carlos Rodon	'+125	SP	L	NYY	v	TEX	13th	3rd	bb_allowed	2.5	0,3,2,1,2,2,3,2,1,2	1.65	22%	20%	36%	40%	29.5 IP 32 K, 29 H, 12 BB	-180
Logan Gilbert	'+175	SP	R	SEA	v	NYM	10th	18th	bb_allowed	1.5	0,0,1,0,3,1,0,1,0,0	1.13	22%	10%	34%	0%	6.2 IP 9 K, 7 H, 0 BB	-250
Gavin Williams	'+130	SP	R	CLE	@	MIN	16th	4th	bb_allowed	2.5	2,1,3,2,2,1,2	1.86	14%	30%	38%	50%	6.0 IP 4 K, 1 H, 5 BB	-185
Nick Martinez	'+105	RP	R	CIN	@	MIL	3rd	5th	bb_allowed	1.5	0,0,1,0,0,0,1,0,0,0	0.31	0%	0%	31%	33%	10.0 IP 7 K, 9 H, 4 BB	-145
