NAME	OVER	POS	R/L	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	UNDER
Paul Skenes	-150	SP	R	PIT	@	LAD	16th	10th	k	6.5	8,8,7,8,9,8,11,8,6,4	7.64	79%	80%	0%	100%	5.0 IP 8 K, 0 H, 0 BB	'+115
Simeon Woods Richardson	-140	SP	R	MIN	v	CLE	4th	-	k	3.5	6,4,6,4,4,4,7,5,2,6	4.42	74%	90%	0%	0%	5.1 IP 2 K, 0 H, 0 BB	'+110
Aaron Nola	-155	SP	R	PHI	@	ARI	8th	3rd	k	4.5	2,6,6,9,8,9,4,6,4,4	5.83	65%	60%	83%	80%	6.2 IP 9 K, 6 H, 1 BB	'+120
Griffin Canning	-135	SP	R	LAA	@	WSH	6th	1st	k	3.5	3,4,5,4,4,3,3,6,6,8	4.04	65%	70%	76%	100%	5.0 IP 4 K, 5 H, 0 BB	'+105
Nathan Eovaldi	'+115	SP	R	TEX	@	NYY	9th	19th	k	5.5	6,6,4,6,5,7,2,10,2,7	5.65	60%	60%	33%	40%	14.2 IP 13 K, 7 H, 2 BB	-150
Matt Waldron	-110	SP	R	SD	@	MIA	17th	4th	k	4.5	2,6,8,3,6,1,5,4,6,7	5.04	57%	60%	38%	100%	7.0 IP 8 K, 0 H, 0 BB	-120
Roddery Munoz	'+110	SP	R	MIA	v	SD	1st	7th	k	3.5	5,3,4,4,2,2,5,3,7,2	4.21	57%	50%	0%	0%		-140
Justin Steele	-130	SP	L	CHC	@	CHW	20th	18th	k	5.5	5,8,9,5,7,4,6,4,7,6	5.78	56%	60%	41%	0%		'+100
Yariel Rodriguez	-155	SP	R	TOR	v	OAK	26th	24th	k	4.5	7,2,1,1,6,6,7,6,1,4	4.27	55%	50%	0%	0%		'+130
Spencer Arrighetti	-115	SP	R	HOU	@	BOS	28th	12th	k	5.5	6,2,2,10,5,6,7,3,8,12	5.8	55%	60%	0%	0%		-115
Zac Gallen	-200	SP	R	ARI	v	PHI	15th	22nd	k	4.5	5,0,7,4,4,1,4,6,6,4	5.05	53%	40%	79%	60%	5.2 IP 3 K, 5 H, 2 BB	'+145
Michael Wacha	'+135	SP	R	KC	v	STL	12th	8th	k	4.5	7,2,5,6,8,3,7,1,5,2	4.65	50%	60%	52%	67%	12.0 IP 9 K, 6 H, 1 BB	-175
Chris Flexen	-140	SP	R	CHW	v	CHC	20th	13th	k	3.5	2,6,3,3,4,4,4,3,2,3	3.46	50%	40%	34%	29%	17.2 IP 11 K, 24 H, 6 BB	'+105
Logan Gilbert	-110	SP	R	SEA	v	NYM	13th	9th	k	6.5	8,9,6,3,6,7,9,8,4,7	6.22	48%	60%	30%	100%	6.2 IP 9 K, 7 H, 0 BB	-115
Max Fried	-160	SP	L	ATL	@	COL	29th	27th	k	5.5	9,6,13,3,6,4,4,4,7,6	5.32	47%	60%	42%	20%	26.3 IP 21 K, 24 H, 6 BB	'+120
Andre Pallante	-170	RP	R	STL	@	KC	2nd	14th	k	2.5	1,6,4,5,5,5,5,3,5,2	2.55	45%	80%	11%	50%	8.1 IP 5 K, 3 H, 1 BB	'+130
Patrick Corbin	'+130	SP	L	WSH	v	LAA	14th	26th	k	4.5	4,7,5,5,3,5,6,7,3,6	4.13	43%	70%	57%	50%	5.0 IP 3 K, 7 H, 3 BB	-170
Carlos Rodon	-135	SP	L	NYY	v	TEX	7th	16th	k	6.5	3,7,3,8,8,5,7,10,7,8	5.96	43%	70%	43%	60%	29.5 IP 32 K, 29 H, 12 BB	'+100
Gavin Williams	-145	SP	R	CLE	@	MIN	10th	29th	k	5.5	2,5,2,5,9,8,8	5.57	43%	40%	38%	0%	6.0 IP 4 K, 1 H, 5 BB	'+110
Logan Webb	'+115	SP	R	SF	v	DET	19th	21st	k	5.5	5,5,8,6,6,4,4,4,6,4	5.21	42%	40%	46%	100%	4.2 IP 6 K, 4 H, 3 BB	-150
Osvaldo Bido	'+125	RP	R	OAK	@	TOR	5th	6th	k	4.5	4,6,2,0,1,2,1,6,6,6	3.4	40%	40%	0%	0%		-165
River Ryan	-145	SP	R	LAD	v	PIT	27th	20th	k	4.5	2,8,4	4.67	33%	33%	0%	0%		'+115
Tobias Myers	'+125	SP	R	MIL	v	CIN	23rd	25th	k	5.5	5,4,6,3,6,5,6,6,5,2	4.41	29%	40%	0%	0%		-165
Sean Manaea	'+110	SP	L	NYM	@	SEA	30th	28th	k	6.5	7,6,3,5,6,9,1,4,11,10	5.55	27%	40%	23%	18%	2.0 IP 2 K, 4 H, 0 BB	-145
Corbin Burnes	-135	SP	R	BAL	@	TB	24th	17th	k	6.5	6,7,5,5,6,5,6,5,7,4	5.74	17%	20%	37%	0%	7.0 IP 6 K, 0 H, 0 BB	'+105
Nick Martinez	-145	RP	R	CIN	@	MIL	22nd	15th	k	3.5	0,0,2,3,2,1,2,3,2,5	2.12	9%	10%	22%	33%	10.0 IP 7 K, 9 H, 4 BB	'+115
