NAME	OVER	POS	R/L	Batting #	B. AVG	TEAM	A/H	OPP	OPP RANK	OPP RANK LYR	PROP	LINE	LAST (old ➡️ new)	AVG	% OVER	L10 % OVER	CAREER % OVER	% OVER VS TEAM	VS TEAM	PITCHER	THROWS	VS PITCHER	UNDER
Nick Sogard	-155	3B	S	7	.318	BOS	v	HOU	7th	9th	h	0.5	1,1,2,1,0,2	1.17	83%	83%	0%	100%	.667 2-3, 0 HR, 0 RBI, 1 BB, 1 SO	Arrighetti	R		'+110
Juan Yepez	-270	1B	R	2	.325	WSH	v	LAA	10th	23rd	h	0.5	0,1,2,0,1,0,2,2,1,1	1.27	83%	70%	0%	100%	.333 1-3, 0 HR, 1 RBI, 0 BB, 1 SO	Canning	R		'+190
Dylan Carlson	-125	RF		-	.278	TB	v	BAL	9th	12th	h	0.5	0,1,1,1,1,1	0.83	83%	83%	0%	100%	.250 1-4, 1 HR, 1 RBI, 0 BB, 1 SO	Burnes	R	.133 2-15, 1 HR, 2 RBI, 1 BB, 6 SO	-110
Xavier Edwards	-275	SS	S	1	.364	MIA	v	SD	14th	3rd	h	0.5	1,1,2,1,2,2,2,0,2,0	1.33	81%	80%	57%	0%	.000 0-4, 0 HR, 0 RBI, 0 BB, 0 SO	Waldron	R		'+190
Jazz Chisholm	-155	3B	L	6	.262	NYY	v	TEX	12th	14th	h	0.5	1,2,3,1,0,1,1,1,0,1	1.1	80%	80%	0%	0%		Eovaldi	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+110
Josh Jung	-200	3B	R	4	.283	TEX	@	NYY	3rd	4th	h	0.5	1,3,1,0,0,1,2,1,0,1	1.08	75%	70%	67%	80%	.217 5-23, 1 HR, 5 RBI, 2 BB, 9 SO	Rodon	L		'+140
Rafael Devers	-255	3B	L	4	.301	BOS	v	HOU	7th	9th	h	0.5	1,3,3,2,1,1,2,0,1,0	1.15	74%	80%	68%	56%	.143 5-35, 0 HR, 5 RBI, 3 BB, 9 SO	Arrighetti	R		'+180
Willson Contreras	-235	C	R	3	.261	STL	@	KC	18th	26th	h	0.5	1,0,0,1,1,0,0,2,0,3	0.93	74%	50%	60%	77%	.385 10-26, 3 HR, 11 RBI, 3 BB, 9 SO	Wacha	R	.267 4-15, 2 HR, 4 RBI, 3 BB, 3 SO	'+165
Jurickson Profar	-225	LF	S	2	.298	SD	@	MIA	27th	16th	h	0.5	0,1,2,0,0,2,2,0,0,2	1.05	74%	50%	56%	59%	.342 13-38, 2 HR, 8 RBI, 5 BB, 5 SO	Munoz	R		'+155
William Contreras	-240	C	R	4	.288	MIL	v	CIN	11th	25th	h	0.5	0,0,0,1,1,0,3,1,3,1	1.15	73%	60%	67%	75%	.325 25-77, 3 HR, 7 RBI, 7 BB, 13 SO	Martinez	R	.400 2-5, 0 HR, 1 RBI, 0 BB, 1 SO	'+165
Bryan Reynolds	-215	LF	S	2	.289	PIT	@	LAD	5th	5th	h	0.5	1,1,0,2,1,2,0,2,1,1	1.16	73%	80%	66%	82%	.250 11-44, 1 HR, 6 RBI, 2 BB, 11 SO	Ryan	R		'+155
Shohei Ohtani	-210	DH	L	1	.304	LAD	v	PIT	21st	21st	h	0.5	0,0,0,1,2,0,2,0,0,1	1.19	73%	40%	64%	80%	.222 6-27, 3 HR, 5 RBI, 4 BB, 14 SO	Skenes	R	.667 2-3, 1 HR, 2 RBI, 0 BB, 1 SO	'+145
Anthony Volpe	-205	SS	R	7	.257	NYY	v	TEX	12th	14th	h	0.5	1,2,2,1,3,2,1,0,1,0	1.07	73%	80%	56%	43%	.150 3-20, 0 HR, 1 RBI, 2 BB, 8 SO	Eovaldi	R	.000 0-6, 0 HR, 0 RBI, 0 BB, 3 SO	'+145
Ketel Marte	-230	2B	S	2	.299	ARI	v	PHI	4th	8th	h	0.5	2,1,2,1,1,1,0,1,0,1	1.15	72%	80%	67%	79%	.314 11-35, 1 HR, 5 RBI, 3 BB, 7 SO	Nola	R	.167 1-6, 1 HR, 3 RBI, 0 BB, 2 SO	'+160
Yandy Diaz	-250	1B	R	1	.272	TB	v	BAL	9th	12th	h	0.5	0,2,1,2,2,1,0,1,1,0	1.09	72%	70%	63%	66%	.271 23-85, 1 HR, 10 RBI, 8 BB, 17 SO	Burnes	R	.667 2-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+175
Alex Call	-215	RF	R	7	.415	WSH	v	LAA	10th	23rd	h	0.5	1,1,0,3,1,0,2,2,2,3	1.22	72%	80%	45%	50%	.294 5-17, 0 HR, 1 RBI, 1 BB, 0 SO	Canning	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+150
Corey Seager	-210	SS	L	2	.274	TEX	@	NYY	3rd	4th	h	0.5	3,1,0,1,3,1,1,1,1,0	1.04	71%	80%	71%	54%	.231 3-13, 0 HR, 1 RBI, 1 BB, 2 SO	Rodon	L	.667 4-6, 1 HR, 2 RBI, 0 BB, 0 SO	'+150
Jt Realmuto	-210	C	R	6	.246	PHI	@	ARI	29th	19th	h	0.5	0,1,3,1,0,1,0,0,2,0	0.98	71%	50%	65%	61%	.357 10-28, 3 HR, 7 RBI, 2 BB, 3 SO	Gallen	R	.000 0-3, 0 HR, 0 RBI, 1 BB, 1 SO	'+150
Juan Soto	-230	RF	L	2	.305	NYY	v	TEX	12th	14th	h	0.5	0,3,1,1,1,1,2,1,0,1	1.13	71%	80%	64%	100%	.455 5-11, 0 HR, 2 RBI, 2 BB, 4 SO	Eovaldi	R	.500 1-2, 0 HR, 0 RBI, 2 BB, 1 SO	'+165
James Wood	-175	CF	L	5	.262	WSH	v	LAA	10th	23rd	h	0.5	0,2,1,1,2,1,2,0,1,1	0.97	71%	80%	0%	100%	.250 1-4, 0 HR, 0 RBI, 0 BB, 1 SO	Canning	R		'+125
Freddie Freeman	-205	1B	L	3	.292	LAD	v	PIT	21st	21st	h	0.5	1,0,0,1,1,0,1,1,2,2	1.06	70%	70%	69%	69%	.378 17-45, 4 HR, 9 RBI, 2 BB, 10 SO	Skenes	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+145
Lourdes Gurriel	-255	LF	R	5	.265	ARI	v	PHI	4th	8th	h	0.5	1,2,1,1,1,0,0,1,0,2	1.06	70%	70%	66%	73%	.333 11-33, 2 HR, 3 RBI, 2 BB, 11 SO	Nola	R	.333 2-6, 0 HR, 1 RBI, 0 BB, 3 SO	'+180
Teoscar Hernandez	-185	CF	R	2	.269	LAD	v	PIT	21st	21st	h	0.5	2,0,0,2,3,1,1,2,1,1	1.04	70%	80%	64%	69%	.214 6-28, 1 HR, 3 RBI, 2 BB, 7 SO	Skenes	R	.000 0-2, 0 HR, 0 RBI, 1 BB, 0 SO	'+130
Cody Bellinger	-260	CF	L	4	.279	CHC	@	CHW	26th	20th	h	0.5	2,2,3,2,1,0,0,1,1,3	1.1	70%	80%	63%	57%	.240 6-25, 2 HR, 6 RBI, 3 BB, 6 SO	Flexen	R	.300 3-10, 0 HR, 0 RBI, 0 BB, 2 SO	'+180
Gunnar Henderson	-220	SS	L	3	.280	BAL	@	TB	19th	2nd	h	0.5	1,2,2,0,3,3,0,0,0,0	1.11	70%	50%	62%	71%	.293 24-82, 7 HR, 12 RBI, 10 BB, 28 SO	Alexander	L		'+155
Brent Rooker	-235	LF	R	4	.288	OAK	@	TOR	25th	10th	h	0.5	2,1,0,1,0,1,0,2,1,0	1.05	70%	60%	56%	62%	.185 5-27, 1 HR, 1 RBI, 1 BB, 14 SO	Rodriguez	R		'+165
Connor Wong	-205	C	R	5	.293	BOS	v	HOU	7th	9th	h	0.5	1,2,0,4,1,1,2,1,0,0	1.06	70%	70%	50%	67%	.280 7-25, 1 HR, 4 RBI, 2 BB, 7 SO	Arrighetti	R		'+145
Mark Vientos	-155	3B	R	6	.277	NYM	@	SEA	1st	7th	h	0.5	1,1,1,1,1,1,0,0,1,1	1.0	70%	80%	49%	100%	.429 3-7, 1 HR, 1 RBI, 1 BB, 0 SO	Gilbert	R		'+110
Whit Merrifield	-275	LF	R	9	.269	ATL	@	COL	30th	30th	h	0.5	0,1,0,1,1,0,1,1,1,1	0.7	70%	70%	0%	100%	.333 1-3, 0 HR, 1 RBI, 0 BB, 1 SO	Hudson	R	.333 4-12, 0 HR, 0 RBI, 0 BB, 2 SO	'+190
Xander Bogaerts	-235	2B	R	5	.271	SD	@	MIA	27th	16th	h	0.5	1,1,1,0,2,2,1,2,1,0	1.09	69%	80%	70%	76%	.222 6-27, 1 HR, 3 RBI, 1 BB, 4 SO	Munoz	R		'+165
Aaron Judge	-220	CF	R	3	.323	NYY	v	TEX	12th	14th	h	0.5	1,2,3,0,2,2,1,1,2,0	1.15	69%	80%	66%	75%	.000 0-2, 0 HR, 0 RBI, 0 BB, 2 SO	Eovaldi	R	.357 10-28, 2 HR, 3 RBI, 2 BB, 6 SO	'+155
Cj Abrams	-240	SS	L	1	.249	WSH	v	LAA	10th	23rd	h	0.5	1,1,1,1,0,1,0,2,1,0	1.0	69%	70%	61%	67%	.182 2-11, 0 HR, 2 RBI, 0 BB, 3 SO	Canning	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+165
Max Kepler	-195	RF	L	5	.266	MIN	v	CLE	6th	17th	h	0.5	2,0,1,1,1,1,0,1,1,1	0.92	69%	80%	57%	59%	.176 12-68, 2 HR, 6 RBI, 4 BB, 16 SO	Williams	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 2 SO	'+140
Ezequiel Tovar	-250	SS	R	2	.279	COL	v	ATL	15th	15th	h	0.5	2,1,0,1,0,0,1,1,2,0	1.17	68%	60%	68%	75%	.242 8-33, 1 HR, 4 RBI, 0 BB, 13 SO	Fried	L		'+175
Anthony Santander	-200	RF	S	2	.245	BAL	@	TB	19th	2nd	h	0.5	2,2,1,0,2,1,0,2,1,0	0.95	68%	70%	63%	63%	.188 16-85, 4 HR, 8 RBI, 5 BB, 31 SO	Alexander	L		'+140
Jd Martinez	-165	DH	R	3	.256	NYM	@	SEA	1st	7th	h	0.5	1,2,0,1,2,0,0,0,1,1	0.94	68%	60%	0%	100%	.333 1-3, 0 HR, 0 RBI, 1 BB, 1 SO	Gilbert	R	.200 1-5, 0 HR, 0 RBI, 1 BB, 2 SO	'+115
Marcus Semien	-210	2B	R	3	.245	TEX	@	NYY	3rd	4th	h	0.5	1,1,0,2,1,1,0,1,0,2	0.99	67%	70%	70%	70%	.267 8-30, 0 HR, 1 RBI, 2 BB, 4 SO	Rodon	L	.231 3-13, 1 HR, 2 RBI, 0 BB, 2 SO	'+150
Nolan Arenado	-250	3B	R	6	.261	STL	@	KC	18th	26th	h	0.5	2,2,0,2,1,1,1,2,3,0	0.99	67%	80%	70%	83%	.259 7-27, 1 HR, 3 RBI, 2 BB, 0 SO	Wacha	R	.471 8-17, 4 HR, 6 RBI, 2 BB, 2 SO	'+175
Gleyber Torres	-210	2B	R	5	.235	NYY	v	TEX	12th	14th	h	0.5	1,1,1,0,0,1,1,2,1,1	0.86	67%	80%	66%	60%	.115 3-26, 1 HR, 1 RBI, 1 BB, 2 SO	Eovaldi	R	.205 8-39, 0 HR, 1 RBI, 2 BB, 8 SO	'+145
Bryce Harper	-220	1B	L	3	.276	PHI	@	ARI	29th	19th	h	0.5	0,0,0,1,3,1,2,0,3,1	1.06	67%	60%	66%	82%	.396 19-48, 2 HR, 9 RBI, 8 BB, 9 SO	Gallen	R	.333 4-12, 0 HR, 0 RBI, 1 BB, 3 SO	'+155
Vinnie Pasquantino	-265	1B	L	3	.264	KC	v	STL	22nd	29th	h	0.5	1,2,2,1,2,1,1,3,1,0	0.98	67%	90%	65%	60%	.318 7-22, 0 HR, 4 RBI, 0 BB, 2 SO	Pallante	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+185
Andres Gimenez	-255	2B	L	6	.257	CLE	@	MIN	8th	6th	h	0.5	1,1,1,1,2,3,0,2,2,1	0.98	67%	90%	59%	60%	.288 21-73, 1 HR, 7 RBI, 5 BB, 11 SO	Richardson	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+175
Randy Arozarena	-190	LF	R	2	.279	SEA	v	NYM	2nd	18th	h	0.5	2,1,0,1,2,0,0,2,1,0	1.0	67%	60%	0%	0%	.000 0-2, 0 HR, 0 RBI, 2 BB, 0 SO	Manaea	L	.333 2-6, 0 HR, 0 RBI, 1 BB, 1 SO	'+135
Nico Hoerner	-265	2B	R	6	.254	CHC	@	CHW	26th	20th	h	0.5	1,2,2,1,2,1,0,2,0,2	0.98	66%	80%	69%	53%	.375 9-24, 2 HR, 5 RBI, 3 BB, 5 SO	Flexen	R	.375 3-8, 0 HR, 1 RBI, 1 BB, 0 SO	'+185
Curtis Mead	-145	2B	R	-	.248	TB	v	BAL	9th	12th	h	0.5	1,3,0,1,1,2,0,1,0,1	0.8	66%	70%	67%	100%	.250 1-4, 0 HR, 0 RBI, 0 BB, 2 SO	Burnes	R		'+105
Adley Rutschman	-215	C	S	5	.261	BAL	@	TB	19th	2nd	h	0.5	0,0,1,0,1,1,2,0,1,1	1.03	66%	60%	65%	62%	.230 17-74, 3 HR, 14 RBI, 11 BB, 20 SO	Alexander	L		'+155
Jake Cronenworth	-270	1B	L	3	.248	SD	@	MIA	27th	16th	h	0.5	0,1,0,1,1,2,1,0,0,1	0.94	66%	60%	63%	68%	.125 5-40, 0 HR, 3 RBI, 1 BB, 14 SO	Munoz	R		'+190
Freddy Fermin	-230	C	R	7	.298	KC	v	STL	22nd	29th	h	0.5	1,1,0,4,2,2,0,1,1,0	0.92	66%	70%	60%	40%	.188 3-16, 0 HR, 1 RBI, 0 BB, 4 SO	Pallante	R	.333 1-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+160
Geraldo Perdomo	-140	SS	S	9	.281	ARI	v	PHI	4th	8th	h	0.5	3,1,1,3,1,0,0,1,2,1	0.94	66%	80%	47%	65%	.353 12-34, 0 HR, 3 RBI, 3 BB, 5 SO	Nola	R	.333 1-3, 0 HR, 1 RBI, 1 BB, 0 SO	'+100
Andy Pages	-130	CF	R	8	.244	LAD	v	PIT	21st	21st	h	0.5	0,0,1,0,0,1,1,2,1,0	0.89	66%	50%	0%	50%	.300 3-10, 1 HR, 1 RBI, 3 BB, 4 SO	Skenes	R	.000 2-2, 1 HR, 1 RBI, 0 BB, 0 SO	-110
Royce Lewis	-205	3B	R	4	.267	MIN	v	CLE	6th	17th	h	0.5	0,0,1,2,0,2,0,1,1,0	0.95	65%	50%	88%	67%	.244 11-45, 4 HR, 14 RBI, 5 BB, 11 SO	Williams	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+145
Paul Goldschmidt	-220	1B	R	4	.231	STL	@	KC	18th	26th	h	0.5	0,2,3,0,0,0,0,0,1,2	0.92	65%	40%	69%	58%	.259 7-27, 1 HR, 2 RBI, 3 BB, 9 SO	Wacha	R	.211 4-19, 0 HR, 2 RBI, 3 BB, 8 SO	'+155
Francisco Lindor	-195	SS	S	1	.256	NYM	@	SEA	1st	7th	h	0.5	0,1,1,2,1,0,1,2,2,1	1.04	65%	80%	69%	60%	.188 3-16, 1 HR, 2 RBI, 1 BB, 4 SO	Gilbert	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 0 SO	'+140
Maikel Garcia	-245	3B	R	8	.238	KC	v	STL	22nd	29th	h	0.5	0,2,1,1,0,1,2,0,1,2	0.95	65%	70%	66%	60%	.385 5-13, 0 HR, 1 RBI, 1 BB, 4 SO	Pallante	R	.000 0-3, 0 HR, 0 RBI, 0 BB, 1 SO	'+170
Masataka Yoshida	-230	LF	L	3	.284	BOS	v	HOU	7th	9th	h	0.5	3,2,0,0,0,0,4,2,2,0	1.02	65%	50%	64%	57%	.259 7-27, 0 HR, 2 RBI, 2 BB, 2 SO	Arrighetti	R		'+160
Andrew Vaughn	-240	1B	R	4	.235	CHW	v	CHC	13th	13th	h	0.5	1,1,1,0,0,3,1,1,1,1	0.9	65%	80%	64%	64%	.250 7-28, 1 HR, 3 RBI, 2 BB, 6 SO	Steele	L		'+170
Brendan Donovan	-255	LF	L	5	.265	STL	@	KC	18th	26th	h	0.5	0,2,0,1,3,0,1,0,2,3	1.03	65%	60%	62%	57%	.333 7-21, 0 HR, 0 RBI, 0 BB, 3 SO	Wacha	R	.167 1-6, 0 HR, 0 RBI, 0 BB, 2 SO	'+180
Jeimer Candelario	-205	3B	S	6	.231	CIN	@	MIL	16th	1st	h	0.5	0,1,0,1,1,1,2,1,1,2	0.88	65%	80%	59%	62%	.235 12-51, 2 HR, 6 RBI, 0 BB, 16 SO	Myers	R		'+145
Ryan Mountcastle	-245	1B	R	6	.269	BAL	@	TB	19th	2nd	h	0.5	3,0,1,0,0,1,1,1,1,1	1.03	64%	70%	65%	64%	.311 14-45, 3 HR, 7 RBI, 5 BB, 12 SO	Alexander	L		'+175
Rhys Hoskins	-200	1B	R	7	.227	MIL	v	CIN	11th	25th	h	0.5	1,1,1,1,1,1,1,2,3,1	0.8	64%	100%	61%	59%	.221 25-113, 9 HR, 26 RBI, 11 BB, 35 SO	Martinez	R	.000 0-2, 0 HR, 0 RBI, 0 BB, 1 SO	'+140
Kyle Schwarber	-175	DH	L	1	.261	PHI	@	ARI	29th	19th	h	0.5	0,1,1,1,3,1,2,4,2,0	0.98	64%	80%	56%	62%	.217 10-46, 2 HR, 4 RBI, 10 BB, 12 SO	Gallen	R	.143 1-7, 1 HR, 3 RBI, 1 BB, 3 SO	'+120
Elias Diaz	-235	C	R	8	.274	COL	v	ATL	15th	15th	h	0.5	0,1,1,1,0,0,1,2,0,2	0.99	64%	60%	56%	64%	.226 7-31, 1 HR, 2 RBI, 1 BB, 9 SO	Fried	L	.333 3-9, 0 HR, 0 RBI, 0 BB, 2 SO	'+165
Ryan Ohearn	-165	1B	L	4	.271	BAL	@	TB	19th	2nd	h	0.5	1,0,0,0,1,1,0,0,2,2	0.88	64%	50%	49%	61%	.318 21-66, 4 HR, 12 RBI, 2 BB, 17 SO	Alexander	L		'+120
