NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Michael Porter Jr	SF	29	-380	H	DEN	MIA	30th	pts+ast	11.5	17.6	18.45 - 15.58	18.13 - 17.07	81%	60%	40%	11,2,5,15,16,20,19,17,10,21	50%	-115	-115
Bruce Brown	SF	28	-380	H	DEN	MIA	30th	pts+ast	13.5	14.7	14.74 - 14.71	14.12 - 15.29	56%	60%	20%	23,5,11,12,6,20,15,18,14,26	38%	-110	-120
Kyle Lowry	PG	29	'+310	A	MIA	DEN	16th	pts+ast	13.5	15.8	15.66 - 15.94	14.85 - 16.76	54%	53%	60%	20,14,12,16,12,11,11,11,5,18	75%	-115	-115
Aaron Gordon	PF	31	-380	H	DEN	MIA	9th	pts+ast	16.5	18.7	18.02 - 20.23	20.21 - 17.43	52%	33%	60%	33,16,14,17,27,11,12,15,11,16	49%	-115	-115
Gabe Vincent	PG	27	'+310	A	MIA	DEN	16th	pts+ast	12.5	12.8	14.22 - 11.03	13.34 - 12.32	45%	53%	60%	3,7,26,24,14,15,21,32,9,17	52%	-115	-115
Bam Adebayo	C	35	'+310	A	MIA	DEN	7th	pts+ast	23.5	23.0	23.87 - 21.93	24.15 - 21.9	44%	47%	60%	23,25,25,31,19,16,10,15,31,25	50%	-120	-110
Caleb Martin	SF	29	'+310	A	MIA	DEN	6th	pts+ast	11.5	11.8	12.56 - 10.88	12.43 - 11.19	43%	73%	60%	12,13,4,3,29,22,17,22,25,18	51%	-110	-120
Nikola Jokic	C	34	-380	H	DEN	MIA	2nd	pts+ast	39.5	35.7	35.7 - 35.88	35.12 - 36.33	38%	73%	80%	27,42,45,41,43,32,35,48,44,41	30%	-110	-120
Jimmy Butler	SF	35	'+310	A	MIA	DEN	6th	pts+ast	32.5	29.6	31.29 - 27.38	28.46 - 30.64	34%	33%	20%	32,32,30,20,34,32,34,22,33,42	33%	-120	-110
Jamal Murray	PG	34	-380	H	DEN	MIA	3rd	pts+ast	33.5	27.9	29.9 - 23.28	26.92 - 28.7	25%	60%	40%	27,44,28,36,30,43,42,36,30,25	0%	-120	-110
