NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Kyle Lowry	PG	29	'+310	A	MIA	DEN	2nd	reb	2.5	3.9	3.68 - 4.15	3.65 - 4.13	73%	73%	80%	3,3,0,5,7,2,8,5,1,3	69%	-160	'+130
Kevin Love	PF	18	'+310	A	MIA	DEN	2nd	reb	4.5	5.5	5.88 - 5.0	6.32 - 4.82	63%	67%	20%	4,2,10,4,2,5,6,3,5,5	0%	-120	-110
Max Strus	SG	28	'+310	A	MIA	DEN	1st	reb	2.5	3.3	3.32 - 3.36	3.29 - 3.39	61%	73%	80%	5,4,2,5,5,1,7,3,1,3	66%	-120	-110
Michael Porter Jr	SF	29	-380	H	DEN	MIA	22nd	reb	5.5	6.1	6.45 - 5.21	5.74 - 6.39	56%	73%	80%	3,7,6,13,10,10,7,10,5,8	58%	'+100	-130
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	8th	reb	2.5	2.9	3.05 - 2.43	2.8 - 2.92	54%	67%	100%	4,3,3,3,4,3,3,2,5,7	70%	-150	'+120
Caleb Martin	SF	29	'+310	A	MIA	DEN	6th	reb	4.5	5.0	5.13 - 4.81	4.89 - 5.09	51%	53%	60%	5,3,5,4,10,15,4,3,4,4	46%	-105	-125
Aaron Gordon	PF	31	-380	H	DEN	MIA	18th	reb	6.5	6.5	6.03 - 7.42	6.77 - 6.19	43%	27%	60%	7,10,7,6,6,3,4,3,6,6	33%	-120	-110
Jimmy Butler	SF	35	'+310	A	MIA	DEN	6th	reb	6.5	6.0	6.49 - 5.38	5.61 - 6.38	43%	67%	60%	7,2,4,7,7,11,9,8,8,5	44%	-105	-125
Nikola Jokic	C	34	-380	H	DEN	MIA	2nd	reb	12.5	12.2	12.86 - 10.42	10.86 - 13.42	40%	60%	40%	12,21,11,10,14,6,17,21,10,13	64%	-130	'+100
Bruce Brown	SF	28	-380	H	DEN	MIA	22nd	reb	4.5	4.1	3.75 - 4.74	3.92 - 4.2	38%	47%	40%	4,2,5,5,2,5,5,4,5,5	68%	'+120	-150
Bam Adebayo	C	35	'+310	A	MIA	DEN	6th	reb	10.5	9.4	10.04 - 8.64	9.46 - 9.36	37%	47%	60%	11,17,9,13,10,13,5,3,17,8	39%	-120	-110
Jamal Murray	PG	34	-380	H	DEN	MIA	17th	reb	5.5	4.3	4.55 - 3.76	4.32 - 4.3	23%	33%	40%	3,10,4,6,3,7,10,5,4,5	0%	'+105	-135
