NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Michael Porter Jr	SF	29	-380	H	DEN	MIA	1st	stl+blk	0.5	1.1	1.18 - 0.88	1.13 - 1.05	69%	67%	40%	0,0,0,2,1,1,0,2,0,1	67%	-160	'+130
Gabe Vincent	PG	27	'+310	A	MIA	DEN	3rd	stl+blk	0.5	1.0	0.98 - 0.97	0.82 - 1.13	63%	73%	60%	0,2,2,1,0,1,0,2,2,2	59%	-180	'+145
Nikola Jokic	C	34	-380	H	DEN	MIA	4th	stl+blk	1.5	2.0	2.05 - 1.79	1.98 - 1.98	62%	67%	80%	6,2,0,2,4,1,3,2,4,3	73%	-180	'+145
Jimmy Butler	SF	35	'+310	A	MIA	DEN	21st	stl+blk	1.5	2.2	2.51 - 1.84	2.41 - 2.04	62%	67%	40%	1,1,0,2,3,1,2,2,5,6	67%	-190	'+155
Bam Adebayo	C	35	'+310	A	MIA	DEN	11th	stl+blk	1.5	1.9	1.89 - 1.93	1.9 - 1.92	60%	40%	40%	2,1,2,0,1,2,1,2,0,1	61%	-155	'+125
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	15th	stl+blk	1.5	1.9	1.89 - 1.89	1.89 - 1.9	57%	60%	40%	5,0,2,1,1,2,0,3,3,3	41%	-120	-110
Bruce Brown	SF	28	-380	H	DEN	MIA	1st	stl+blk	1.5	1.7	1.72 - 1.61	1.67 - 1.71	53%	47%	60%	2,3,2,1,0,1,2,0,2,1	60%	'+100	-130
Kevin Love	PF	18	'+310	A	MIA	DEN	27th	stl+blk	0.5	0.7	0.71 - 0.65	0.84 - 0.55	51%	40%	40%	0,0,2,1,0,1,1,0,0,0	0%	-115	-115
Max Strus	SG	28	'+310	A	MIA	DEN	8th	stl+blk	0.5	0.7	0.75 - 0.57	0.67 - 0.67	48%	33%	40%	0,2,1,0,0,0,0,1,0,0	47%	'+125	-155
Christian Braun	G	14	-380	H	DEN	MIA	15th	stl+blk	0.5	0.7	0.77 - 0.67	0.82 - 0.67	45%	47%	60%	2,1,3,0,0,0,1,0,1,0	0%	-165	'+135
Jeff Green	PF	19	-380	H	DEN	MIA	11th	stl+blk	0.5	0.6	0.71 - 0.46	0.54 - 0.71	45%	33%	40%	1,0,0,0,1,0,0,0,0,0	57%	'+140	-175
Aaron Gordon	PF	31	-380	H	DEN	MIA	11th	stl+blk	1.5	1.5	1.45 - 1.5	1.41 - 1.51	44%	27%	20%	1,1,1,1,2,1,1,0,0,2	30%	'+150	-185
Kyle Lowry	PG	29	'+310	A	MIA	DEN	3rd	stl+blk	1.5	1.5	1.23 - 1.76	1.55 - 1.37	44%	53%	20%	0,2,0,1,0,3,2,1,2,2	48%	'+185	-230
Jamal Murray	PG	34	-380	H	DEN	MIA	2nd	stl+blk	1.5	1.4	1.47 - 1.16	1.38 - 1.37	42%	47%	20%	1,1,1,1,3,2,4,4,4,1	0%	'+100	-130
Caleb Martin	SF	29	'+310	A	MIA	DEN	21st	stl+blk	1.5	1.4	1.46 - 1.26	1.43 - 1.32	40%	40%	60%	0,2,2,2,1,2,1,1,2,3	54%	'+135	-165
Duncan Robinson	F	16	'+310	A	MIA	DEN	27th	stl+blk	0.5	0.4	0.34 - 0.39	0.53 - 0.19	24%	33%	40%	1,0,0,0,3,0,0,0,1,0	42%	'+140	-175
