TEAM	PPG	PPGA	OVERS	OVERS AVG	TT OVERS	TT AVG	TT EVEN %
MIA	109.4	109.4	216,208,224,180,238,220,226	218.9	108,104,112,90,119,110,113	109.4	48.6
DEN	115.6	115.6	204,256,244,220,220,234,220	231.1	102,128,122,110,110,117,110	115.6	60.0
-	-	-	-	-	-	-	-
