NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Nikola Jokic	C	34	-380	H	DEN	MIA	5th	stl	0.5	1.2	1.27 - 1.08	1.21 - 1.22	71%	60%	60%	3,0,0,1,1,1,3,0,3,1	80%	-235	'+190
Bruce Brown	SF	28	-380	H	DEN	MIA	6th	stl	0.5	1.1	1.07 - 1.1	1.04 - 1.12	69%	73%	60%	1,0,2,1,0,1,1,0,1,1	61%	-205	'+165
Bam Adebayo	C	35	'+310	A	MIA	DEN	15th	stl	0.5	1.1	1.15 - 1.07	1.15 - 1.08	68%	53%	20%	1,0,0,0,0,1,1,1,0,1	72%	-190	'+155
Kyle Lowry	PG	29	'+310	A	MIA	DEN	1st	stl	0.5	1.0	0.84 - 1.26	0.97 - 1.08	65%	73%	40%	0,2,0,1,0,2,2,1,1,1	70%	-150	'+120
Caleb Martin	SF	29	'+310	A	MIA	DEN	28th	stl	0.5	1.0	1.13 - 0.74	0.96 - 0.96	63%	67%	80%	0,2,1,1,1,1,0,1,1,2	54%	-160	'+130
Gabe Vincent	PG	27	'+310	A	MIA	DEN	1st	stl	0.5	0.9	0.92 - 0.82	0.75 - 1.0	59%	60%	40%	0,2,2,0,0,0,0,1,2,1	54%	-135	'+105
Jimmy Butler	SF	35	'+310	A	MIA	DEN	28th	stl	1.5	1.8	1.98 - 1.57	2.05 - 1.58	55%	47%	20%	0,0,0,1,3,1,1,2,3,6	54%	'+140	-175
Aaron Gordon	PF	31	-380	H	DEN	MIA	19th	stl	0.5	0.7	0.75 - 0.69	0.69 - 0.77	48%	40%	40%	1,1,0,0,0,0,0,0,0,0	34%	-105	-125
Michael Porter Jr	SF	29	-380	H	DEN	MIA	6th	stl	0.5	0.6	0.71 - 0.29	0.56 - 0.61	48%	33%	0%	0,0,0,0,0,1,0,0,0,1	67%	'+160	-195
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	18th	stl	1.5	1.4	1.45 - 1.39	1.36 - 1.51	45%	47%	20%	3,0,1,1,0,2,0,2,2,1	24%	'+190	-235
Kevin Love	PF	18	'+310	A	MIA	DEN	30th	stl	0.5	0.4	0.46 - 0.41	0.53 - 0.36	41%	33%	40%	0,0,2,1,0,1,1,0,0,0	0%	'+140	-175
Max Strus	SG	28	'+310	A	MIA	DEN	7th	stl	0.5	0.5	0.55 - 0.43	0.5 - 0.49	39%	27%	20%	0,1,0,0,0,0,0,1,0,0	39%	'+205	-255
Jamal Murray	PG	34	-380	H	DEN	MIA	2nd	stl	1.5	1.1	1.26 - 0.84	1.16 - 1.11	36%	40%	20%	1,1,1,1,2,2,4,3,4,1	0%	'+170	-210
Christian Braun	G	14	-380	H	DEN	MIA	18th	stl	0.5	0.5	0.6 - 0.4	0.61 - 0.46	33%	40%	60%	1,1,3,0,0,0,0,0,1,0	0%	'+100	-130
Jeff Green	PF	19	-380	H	DEN	MIA	19th	stl	0.5	0.3	0.33 - 0.27	0.31 - 0.31	26%	20%	20%	1,0,0,0,0,0,0,0,0,0	31%	'+350	-475
Duncan Robinson	F	16	'+310	A	MIA	DEN	30th	stl	0.5	0.3	0.31 - 0.39	0.5 - 0.19	24%	33%	40%	1,0,0,0,2,0,0,0,1,0	33%	'+170	-210
