NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Michael Porter Jr	SF	29	-380	H	DEN	MIA	30th	pts+reb	16.5	22.5	23.75 - 19.67	22.51 - 22.54	76%	60%	40%	14,9,11,27,25,24,23,25,15,27	67%	-110	-120
Max Strus	SG	28	'+310	A	MIA	DEN	5th	pts+reb	10.5	14.6	15.12 - 13.91	14.48 - 14.67	71%	80%	40%	5,7,16,5,13,11,16,13,12,18	75%	-105	-125
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	3rd	pts+reb	10.5	13.5	14.7 - 10.75	13.09 - 13.92	66%	73%	40%	11,9,9,10,17,20,11,23,26,14	83%	'+100	-130
Kevin Love	PF	18	'+310	A	MIA	DEN	10th	pts+reb	10.5	12.9	14.08 - 11.12	13.53 - 12.27	63%	60%	40%	16,8,16,10,7,5,14,6,9,13	0%	-120	-110
Kyle Lowry	PG	29	'+310	A	MIA	DEN	8th	pts+reb	12.5	14.8	14.48 - 15.12	13.85 - 15.71	60%	53%	60%	16,12,9,16,14,10,13,12,1,18	68%	-105	-125
Aaron Gordon	PF	31	-380	H	DEN	MIA	12th	pts+reb	19.5	22.2	21.0 - 25.0	23.87 - 20.83	57%	40%	80%	34,21,19,22,28,10,14,15,14,16	53%	-125	-105
Bruce Brown	SF	28	-380	H	DEN	MIA	30th	pts+reb	15.5	15.7	15.49 - 16.19	14.75 - 16.61	55%	60%	40%	25,7,16,15,8,20,17,20,18,30	47%	-125	-105
Caleb Martin	SF	29	'+310	A	MIA	DEN	2nd	pts+reb	14.5	15.2	15.98 - 14.14	15.57 - 14.74	46%	60%	40%	16,13,8,7,36,36,20,21,29,19	45%	-120	-110
Gabe Vincent	PG	27	'+310	A	MIA	DEN	8th	pts+reb	11.5	12.1	13.49 - 10.32	12.57 - 11.66	44%	47%	40%	2,7,23,21,11,19,18,31,11,18	46%	-110	-120
Bam Adebayo	C	35	'+310	A	MIA	DEN	9th	pts+reb	30.5	29.1	30.65 - 27.09	29.79 - 28.34	39%	40%	60%	31,39,30,39,22,24,15,16,39,28	50%	-120	-110
Nikola Jokic	C	34	-380	H	DEN	MIA	2nd	pts+reb	41.5	38.1	37.97 - 38.5	37.14 - 39.02	39%	73%	60%	35,53,52,37,44,30,40,55,42,42	47%	-135	'+105
Jimmy Butler	SF	35	'+310	A	MIA	DEN	2nd	pts+reb	32.5	30.1	31.86 - 27.86	28.51 - 31.62	37%	47%	20%	32,30,25,20,35,35,38,24,35,40	36%	-120	-110
Jamal Murray	PG	34	-380	H	DEN	MIA	5th	pts+reb	30.5	25.8	27.79 - 21.28	25.08 - 26.43	28%	60%	40%	18,44,22,32,28,44,47,36,30,24	0%	-115	-115
