NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Michael Porter Jr	SF	29	-380	H	DEN	MIA	28th	3ptm	1.5	2.9	2.98 - 2.62	3.15 - 2.61	76%	60%	40%	0,0,1,2,3,4,4,3,0,5	50%	-140	'+110
Max Strus	SG	28	'+310	A	MIA	DEN	5th	3ptm	1.5	2.4	2.62 - 2.11	2.44 - 2.33	68%	67%	40%	0,1,4,0,2,2,1,2,2,3	78%	-130	'+100
Bruce Brown	SF	28	-380	H	DEN	MIA	28th	3ptm	0.5	1.1	1.22 - 0.84	0.92 - 1.27	64%	67%	80%	3,1,1,2,0,1,2,1,1,2	36%	-220	'+180
Kevin Love	PF	18	'+310	A	MIA	DEN	1st	3ptm	1.5	1.5	1.88 - 1.06	1.63 - 1.45	56%	67%	80%	3,2,2,2,1,0,2,1,0,2	0%	'+100	-130
Aaron Gordon	PF	31	-380	H	DEN	MIA	5th	3ptm	0.5	0.9	0.85 - 1.0	1.1 - 0.72	55%	47%	60%	3,0,2,0,3,0,0,0,0,1	68%	-140	'+110
Kyle Lowry	PG	29	'+310	A	MIA	DEN	18th	3ptm	1.5	1.8	1.84 - 1.79	1.85 - 1.79	55%	40%	40%	1,1,2,3,1,0,1,1,0,3	56%	'+135	-165
Jamal Murray	PG	34	-380	H	DEN	MIA	25th	3ptm	2.5	2.7	3.07 - 1.88	2.3 - 3.04	52%	53%	40%	2,3,3,2,0,5,6,4,4,2	0%	-175	'+140
Kentavious Caldwell Pope	SG	31	-380	H	DEN	MIA	24th	3ptm	1.5	1.7	1.97 - 1.18	1.62 - 1.84	51%	53%	40%	2,0,1,1,3,4,2,3,2,1	56%	'+110	-140
Duncan Robinson	F	16	'+310	A	MIA	DEN	1st	3ptm	1.5	1.7	1.91 - 1.58	1.53 - 1.97	48%	67%	80%	2,3,2,1,2,3,0,5,3,0	49%	-140	'+110
Gabe Vincent	PG	27	'+310	A	MIA	DEN	18th	3ptm	1.5	1.9	2.18 - 1.48	2.07 - 1.68	48%	47%	60%	0,1,4,5,2,3,1,6,1,3	47%	-160	'+130
Caleb Martin	SF	29	'+310	A	MIA	DEN	8th	3ptm	1.5	1.4	1.46 - 1.21	1.38 - 1.32	39%	67%	40%	1,2,1,1,4,4,2,4,3,3	42%	'+125	-155
Jeff Green	PF	19	-380	H	DEN	MIA	5th	3ptm	0.5	0.5	0.44 - 0.69	0.56 - 0.49	39%	47%	40%	1,0,1,0,0,1,0,1,0,0	43%	'+140	-175
Nikola Jokic	C	34	-380	H	DEN	MIA	17th	3ptm	1.5	1.0	0.92 - 1.38	1.17 - 0.93	30%	60%	60%	3,1,2,1,3,2,0,3,0,2	41%	'+105	-135
Christian Braun	G	14	-380	H	DEN	MIA	24th	3ptm	0.5	0.4	0.34 - 0.5	0.41 - 0.38	29%	7%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+275	-355
Jimmy Butler	SF	35	'+310	A	MIA	DEN	8th	3ptm	1.5	0.7	0.71 - 0.73	0.71 - 0.73	17%	27%	40%	1,1,2,1,3,2,1,0,0,2	17%	'+180	-220
