NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Nikola Jokic	C	34	-380	H	DEN	MIA	1st	ast	9.5	9.8	10.59 - 7.79	8.83 - 10.73	55%	67%	60%	4,10,4,14,13,8,12,14,12,12	30%	-135	'+105
Gabe Vincent	PG	27	'+310	A	MIA	DEN	25th	ast	2.5	2.7	2.98 - 2.35	2.75 - 2.66	53%	67%	60%	1,0,3,5,4,0,4,3,0,2	65%	'+110	-140
Kyle Lowry	PG	29	'+310	A	MIA	DEN	25th	ast	4.5	4.9	4.86 - 4.97	4.65 - 5.18	51%	60%	80%	7,5,3,5,5,3,6,4,5,3	72%	'+100	-130
Bam Adebayo	C	35	'+310	A	MIA	DEN	4th	ast	3.5	3.4	3.26 - 3.48	3.81 - 2.92	43%	47%	60%	3,3,4,5,7,5,0,2,9,5	49%	-110	-120
Jimmy Butler	SF	35	'+310	A	MIA	DEN	23rd	ast	6.5	5.5	5.92 - 4.89	5.56 - 5.4	34%	47%	60%	7,4,9,7,6,8,5,6,6,7	25%	-105	-130
Aaron Gordon	PF	31	-380	H	DEN	MIA	29th	ast	3.5	2.9	3.05 - 2.65	3.1 - 2.79	33%	33%	60%	6,5,2,1,5,4,2,3,3,6	23%	'+135	-165
Jamal Murray	PG	34	-380	H	DEN	MIA	6th	ast	8.5	6.4	6.66 - 5.76	6.16 - 6.57	23%	33%	80%	12,10,10,10,5,6,5,5,4,6	0%	-105	-125
