EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-5.6	-6.7	-110 DK	taguchi @ matsuda	set1_ml	u 	-112/-112	-125/-110	-	-	-	-118/-108	-	-
-5.6	-	-600 DK	sakkari @ kerber	set1_total	o 7.5	-770/+380	-600/+340	-	-	-	-	-	-
-5.6	-3.1	-165 MGM	sabalenka @ kasatkina	spread	o -5.5	-190/+125	-	-165/120	-	-165/124	-164/145	-152/117	-
-5.6	-5.7	-115 BV	nadal @ thompson	total	u 20.5	-110/-120	-	-120/-120	-115/-115	-110/-120	-104/-108	-112/-114	-
-5.7	-7.5	-145 PB	tsitsipas @ zverev	spread	u 1.5	'+110/-170	-	-	-	112/-145	115/-129	-	-
-5.7	-7.1	-108 FD	rublev @ fils	total	u 22.5	-126/-108	-	-120/-120	-	-120/-110	-115/100	-117/-109	-
-5.7	-4.4	-120 PB	rublev @ fils	spread	u -3.5	-104/-128	-	-110/-125	-	-110/-120	102/-117	-113/-112	-
-5.7	-6.2	-700 DK	nadal @ thompson	set1_total	u 12.5	'+460/-1112	'+370/-700	400/-800	-	-	437/-573	-	-
-5.8	-3.6	-118 FD	taguchi @ matsuda	ml	o 	-118/-108	-125/-105	-130/-110	-	-	-124/-103	-106/-130	-
-5.8	-4.5	-120 FD	sabalenka @ kasatkina	home_total	u 6.5	-110/-120	-115/-120	-	-	-	101/-118	-	-
-5.8	-5.3	130 MGM	nadal @ thompson	spread	o -5.5	'+110/-170	-	130/-185	'+125/-165	124/-165	134/-151	130/-167	-
-5.9	-7.0	-500 PB	tsitsipas @ zverev	set_spread	u -1.5	-	-	-	-	310/-500	332/-394	360/-500	-
-5.9	-5.9	-150 PB	tsitsipas @ zverev	set1_spread	o 1.5	-	-	-	-	-150/105	-142/121	-	-
-5.9	-	-280 FD	tiafoe @ shang	total	o 19.5	-280/+200	-	-	-	-	-	-286/205	-
-5.9	-	150 FD	sabalenka @ kasatkina	total	o 20.5	'+150/-205	-	130/-190	-	-	-	145/-195	-
-5.9	-4.7	-260 PB	sabalenka @ kasatkina	set_spread	o -1.5	-	-	-275/190	-	-260/185	-243/212	-245/185	-
-5.9	-5.9	-185 FD	rublev @ fils	spread	o -2.5	-185/+120	-	-200/140	-	-185/138	-171/149	-186/140	-
-5.9	-6.6	116 PB	nadal @ thompson	total	u 19.5	-140/+108	-	-	-	-155/116	-139/123	-152/117	-
-5.9	-6.1	-165 PB	nadal @ thompson	spread	u -5.5	'+110/-170	-	130/-185	'+125/-165	124/-165	134/-151	130/-167	-
-5.9	-	-1250 PB	majchrzak @ simakin	ml	o 	-1300/+700	-	-1400/550	-	-1250/650	-	-	-
-6.0	-4.5	-125 FD	tsitsipas @ zverev	spread	o 2.5	-125/-106	-	-	-	-125/-105	-120/107	-122/-105	-
-6.0	-	-275 MGM	sabalenka @ kasatkina	spread	o -4.5	-310/+200	-	-275/190	-	-275/195	-	-	-
-6.0	-5.7	-550 FD	sabalenka @ kasatkina	set1_ml	o 	-550/+390	-550/+400	-600/350	-	-550/350	-482/376	-455/335	-
-6.0	-5.2	-120 MGM	rublev @ fils	total	o 22.5	-126/-108	-	-120/-120	-	-120/-110	-115/100	-117/-109	-
-6.0	-6.6	230 DK	nadal @ thompson	total_sets	o 2.5	'+178/-240	'+230/-340	225/-350	'+210/-285	-	233/-268	215/-286	-
-6.0	-6.7	134 FD	erel @ storrie	ml	u 	-180/+134	-180/+130	-165/115	-	-	-171/130	-175/125	-
-6.0	-5.6	-215 FD	bertimon @ bax	ml	u 	'+168/-215	-	-	-	155/-225	165/-216	-	-
-6.1	-5.4	-145 MGM	tiafoe @ shang	total	o 21.5	-146/+110	-	-145/100	-	-145/110	-136/121	-141/110	-
-6.1	-5.7	-170 PB	sakkari @ kerber	spread	o -3.5	-185/+120	-	-	-	-170/130	-157/139	-	-
-6.1	-6.1	-210 FD	naw @ prihodko	set1_ml	o 	-210/+154	-	-	-	-	-207/159	-	-
-6.1	-5.8	-148 FD	nadal @ thompson	total	u 21.5	'+112/-148	-	105/-150	-	112/-150	122/-137	116/-150	-
-6.1	-6.4	-400 PB	nadal @ thompson	set1_total	u 10.5	'+290/-527	'+250/-400	270/-450	-	255/-400	283/-350	-	-
-6.1	-4.2	155 BV	hijikata @ dimitrov	set_spread	o 1.5	-	-	140/-200	'+155/-205	145/-200	155/-176	155/-195	-
-6.1	-3.9	320 DK	hijikata @ dimitrov	set1_ml	o 	'+280/-380	'+320/-425	260/-400	-	285/-425	295/-365	295/-400	-
-6.1	-	-220 FD	girolami / mansouri @ rowinska / wang	ml	o 	-220/+170	-	-250/155	-	-	-	-	-
-6.1	-7.0	-158 FD	erel @ storrie	set1_ml	o 	-158/+118	-170/+120	-	-	-	-154/118	-	-
-6.2	-	125 FD	sakkari @ kerber	set1_total	o 9.5	'+125/-179	'+120/-170	-	-	116/-155	-	-	-
-6.2	-3.3	-155 MGM	sabalenka @ kasatkina	total	u 19.5	'+118/-158	-	110/-155	-	116/-155	136/-153	112/-143	-
-6.2	-	-220 PB	sabalenka @ kasatkina	set1_total	u 9.5	'+160/-250	'+155/-225	-	-	155/-220	-	-	-
-6.2	-6.2	-120 BV	nadal @ thompson	spread	u -5.0	-	-	-	-110/-120	-	-101/-111	-	-
-6.2	-	185 PB	nadal @ thompson	set2_total	u 8.5	-250/+155	-	-	-	-270/185	-	-	-
-6.2	-7.0	-200 DK	chidekh @ strombachs	ml	o 	-210/+154	-200/+150	-210/140	-	-	-193/148	-210/150	-
-6.3	-7.8	130 PB	tsitsipas @ zverev	total_sets	o 2.5	'+118/-158	'+125/-170	-	-	130/-180	140/-158	128/-162	-
-6.3	-	-186 FD	tiafoe @ shang	total	o 20.5	-186/+136	-	-	-	-	-	-186/140	-
-6.3	-6.5	-1000 PB	tiafoe @ shang	set_spread	o 1.5	-	-	-1100/500	-	-1000/500	-691/549	-910/575	-
-6.3	-6.1	-475 PB	sakkari @ kerber	set1_total	u 10.5	'+320/-589	'+290/-500	-	-	310/-475	329/-415	-	-
-6.3	-6.3	100 FD	sakkari @ kerber	away_total	o 12.5	'+100/-134	-	-	-	-	105/-122	-	-
-6.4	-7.8	-200 PB	tiafoe @ shang	spread	o -2.5	-220/+145	-	-210/145	-	-200/148	-172/152	-205/155	-
-6.4	-	110 FD	tiafoe @ shang	set1_total	u 9.5	-152/+110	-145/+105	-	-	-145/105	-	-	-
-6.4	-	-145 PB	tiafoe @ shang	set1_total	o 9.5	-152/+110	-145/+105	-	-	-145/105	-	-	-
-6.4	-	148 PB	sakkari @ kerber	set2_total	u 8.5	-200/+130	-	-	-	-200/148	-	-	-
-6.4	-	-358 FD	sabalenka @ kasatkina	set2_total	o 7.5	-358/+220	-	-	-	-375/245	-	-	-
-6.4	-6.4	-198 FD	madarasz @ klok	set1_ml	u 	'+146/-198	-	-	-	-	149/-194	-	-
-6.4	-	-112 FD	krom / orlov @ biryukov / simakin	ml	u 	-112/-112	-	-125/-120	-	-	-	-	-
-6.4	-7.1	-200 MGM	hijikata @ dimitrov	set_spread	u 1.5	-	-	140/-200	'+155/-205	145/-200	155/-176	155/-195	-
-6.5	-0.7	270 MGM	tiafoe @ shang	ml	u 	-360/+255	-310/+245	-375/270	-	-350/255	-286/253	-335/260	-
-6.5	-7.1	106 FD	smejkalova @ bojica	ml	u 	-134/+106	-	-140/-105	-	-140/100	-137/107	-143/105	-
-6.5	-	-200 FD	sakkari @ kerber	set2_total	o 8.5	-200/+130	-	-	-	-200/148	-	-	-
-6.5	-3.5	-115 PB	sabalenka @ kasatkina	total	u 18.5	-112/-118	-	-120/-120	-	-115/-115	101/-113	-124/-103	-
-6.5	-	205 PB	hijikata @ dimitrov	set2_total	u 8.5	-278/+170	-	-	-	-300/205	-	-	-
-6.5	-	-1199 PB	fuele @ nadaf	ml	o 	-1400/+630	-	-1200/525	-	-1199/600	-	-	-
-6.6	-7.7	-105 PB	tsitsipas @ zverev	total	o 23.5	-112/-118	-	-	-	-105/-125	105/-118	100/-127	-
-6.6	-6.5	-500 DK	tiafoe @ shang	set1_total	u 12.5	'+320/-589	'+300/-500	300/-550	-	-	336/-424	-	-
-6.6	-8.9	245 FD	sakkari @ kerber	ml	u 	-310/+245	-265/+210	-	-	-325/240	-293/258	-305/230	-
-6.6	-7.2	-210 PB	nadal @ thompson	set_spread	o -1.5	-	-	-225/150	-210/+160	-210/150	-183/162	-200/155	-
-6.6	-7.9	-105 DK	forejtek @ collignon	set1_ml	o 	-108/-122	-105/-135	-	-	-	-102/-127	-	-
-6.6	-6.6	-160 FD	bocchi @ calvano	set1_ml	o 	-160/+120	-	-	-	-	-156/122	-	-
-6.6	-7.3	-180 PB	bocchi @ calvano	ml	o 	-186/+138	-	-190/130	-	-180/130	-172/133	-182/130	-
-6.7	-6.3	-950 PB	sakkari @ kerber	set_spread	o 1.5	-	-	-	-	-950/490	-676/538	-715/500	-
-6.7	-4.9	-220 PB	sakkari @ kerber	set1_total	o 8.5	-228/+145	-230/+155	-	-	-220/160	-211/178	-	-
-6.7	-2.6	105 PB	sabalenka @ kasatkina	spread	o -6.5	'+100/-132	-	100/-145	-	105/-140	104/-117	118/-152	-
-6.7	-8.7	195 DK	rublev @ fils	set1_total	o 10.5	'+150/-228	'+195/-295	180/-275	-	180/-260	198/-243	-	-
-6.8	-6.8	-105 PB	tiafoe @ shang	total	o 22.5	-110/-122	-	-110/-125	-	-105/-125	103/-116	102/-129	-
-6.8	-	-290 FD	tiafoe @ shang	spread	o -1.5	-290/+195	-	-	-	-	-	-286/205	-
-6.8	-	-250 FD	sabalenka @ kasatkina	total	u 21.5	'+182/-250	-	-	-	-	-	180/-245	-
-6.8	-6.8	-110 BV	nadal @ thompson	spread	o -5.0	-	-	-	-110/-120	-	-101/-111	-	-
-6.8	-	154 FD	gregg / snezhko @ bax / beauge	ml	o 	'+154/-200	-	135/-210	-	-	-	-	-
-6.9	-	-6000 DK	tsitsipas @ zverev	set1_total	o 7.5	-10000/+1000	-6000/+850	-	-	-	-	-	-
-6.9	-6.8	-290 PB	tiafoe @ shang	set1_total	u 10.5	'+200/-313	'+200/-310	195/-300	-	195/-290	214/-257	-	-
-6.9	-5.7	-180 PB	sakkari @ kerber	spread	u -5.5	'+120/-185	-	-	-	136/-180	147/-166	-	-
-6.9	-7.6	-260 FD	hijikata @ dimitrov	spread	u 3.5	'+175/-260	-	185/-275	-	190/-260	192/-219	185/-250	-
-7.0	-8.2	110 FD	tiafoe @ shang	total	u 21.5	-146/+110	-	-145/100	-	-145/110	-136/121	-141/110	-
-7.0	-4.9	-114 FD	sakkari @ kerber	spread	o -4.5	-114/-114	-	-	-	-115/-115	-109/-103	-103/-124	-
-7.0	-11.0	118 FD	sabalenka @ kasatkina	total	o 19.5	'+118/-158	-	110/-155	-	116/-155	136/-153	112/-143	-
-7.0	-6.3	-5000 FD	sabalenka @ kasatkina	set1_total	o 6.5	-5000/+850	-6000/+850	-	-	-	-1766/1093	-	-
-7.1	-8.6	-105 PB	tsitsipas @ zverev	spread	u 2.5	-125/-106	-	-	-	-125/-105	-120/107	-122/-105	-
-7.1	-3.5	130 PB	sabalenka @ kasatkina	total	u 17.5	-160/+118	-	-	-	-175/130	-146/130	-190/145	-
-7.1	-4.9	160 BV	nadal @ thompson	set_spread	u -1.5	-	-	-225/150	-210/+160	-210/150	-183/162	-200/155	-
-7.1	-	-2000 BV	nadal @ thompson	6-0	u 	-	'+700/-2500	-	'+900/-2000	-	-	-	-
-7.1	-6.8	120 DK	erel @ storrie	set1_ml	u 	-158/+118	-170/+120	-	-	-	-154/118	-	-
-7.1	-5.9	138 FD	bocchi @ calvano	ml	u 	-186/+138	-	-190/130	-	-180/130	-172/133	-182/130	-
-7.2	-7.2	-102 FD	smejkalova @ bojica	set1_ml	u 	-126/-102	-	-	-	-	-128/-100	-	-
-7.2	-7.2	-118 FD	sakkari @ kerber	home_total	o 9.5	-118/-116	-	-	-	-	-109/-107	-	-
-7.2	-	-950 FD	mansouri @ brockmann	ml	o 	-950/+560	-	-1000/450	-	-1000/500	-	-	-
-7.2	-5.6	-225 MGM	madarasz @ klok	ml	u 	'+168/-230	-	155/-225	-	155/-225	172/-226	150/-210	-
-7.3	-	125 MGM	tiafoe @ shang	total	o 23.5	'+116/-154	-	125/-175	-	124/-165	-	130/-167	-
-7.3	-7.3	-116 FD	sakkari @ kerber	home_total	u 9.5	-118/-116	-	-	-	-	-109/-107	-	-
-7.3	-	-1499 PB	sakkari @ kerber	6-0	u 	-	'+600/-1800	-	-	550/-1499	-	-	-
-7.3	-7.3	-135 BV	nadal @ thompson	total	o 20.0	-	-	-	-135/+105	-	-121/108	-	-
-7.4	-8.8	-110 FD	sabalenka @ kasatkina	home_total	o 6.5	-110/-120	-115/-120	-	-	-	101/-118	-	-
-7.4	-7.4	100 BV	nadal @ thompson	total	o 21.0	-	-	-	100/-130	-	109/-123	-	-
-7.5	-4.5	112 PB	tsitsipas @ zverev	spread	o 1.5	'+110/-170	-	-	-	112/-145	115/-129	-	-
-7.5	-8.2	136 PB	sakkari @ kerber	spread	o -5.5	'+120/-185	-	-	-	136/-180	147/-166	-	-
-7.5	-7.5	-134 FD	sakkari @ kerber	away_total	u 12.5	'+100/-134	-	-	-	-	105/-122	-	-
-7.5	-9.2	-178 FD	chidekh @ strombachs	set1_ml	o 	-178/+132	-185/+135	-	-	-	-161/125	-	-
-7.6	-9.4	-115 PB	tiafoe @ shang	set_spread	o -1.5	-	-	-120/-120	-	-115/-115	100/-113	-113/-112	-
-7.6	-	-250 FD	rublev @ fils	total	o 20.5	-250/+178	-	-	-	-	-	-240/175	-
-7.6	-	194 FD	elyasi / sichani @ chepik / khazime	ml	o 	'+194/-270	-	-	'+170/-245	175/-275	-	-	-
-7.7	-8.0	140 MGM	rublev @ fils	spread	u -2.5	-185/+120	-	-200/140	-	-185/138	-171/149	-186/140	-
-7.7	-6.6	116 FD	nadal @ thompson	spread	u -4.5	-154/+116	-	-160/115	-150/+115	-150/112	-139/123	-157/120	-
-7.9	-	-325 PB	tsitsipas @ zverev	set2_total	u 12.5	'+210/-334	-	-	-	230/-325	-	-	-
-7.9	-11.8	125 FD	sabalenka @ kasatkina	spread	u -5.5	-190/+125	-	-165/120	-	-165/124	-164/145	-152/117	-
-7.9	-	-425 PB	sabalenka @ kasatkina	set1_total	o 7.5	-455/+260	-425/+260	-	-	-425/270	-	-	-
-7.9	-	195 MGM	ponchet / siskova @ danilina / hruncakova	set1_ml	o 	'+182/-250	'+180/-250	195/-275	-	185/-260	-	-	-
-7.9	-11.0	168 FD	madarasz @ klok	ml	o 	'+168/-230	-	155/-225	-	155/-225	172/-226	150/-210	-
-7.9	-	-200 FD	gregg / snezhko @ bax / beauge	ml	u 	'+154/-200	-	135/-210	-	-	-	-	-
-7.9	-	-116 FD	boehner / zhabrailova @ nagata / okuwaki	ml	u 	-110/-116	-	-125/-120	-	-	-	-	-
-8.0	-7.7	112 FD	nadal @ thompson	total	o 21.5	'+112/-148	-	105/-150	-	112/-150	122/-137	116/-150	-
-8.0	-6.9	-290 PB	nadal @ thompson	set1_total	o 8.5	-295/+180	-290/+190	-300/190	-	-290/195	-255/213	-	-
-8.0	-6.5	154 FD	chidekh @ strombachs	ml	u 	-210/+154	-200/+150	-210/140	-	-	-193/148	-210/150	-
-8.0	-8.0	120 FD	bocchi @ calvano	set1_ml	u 	-160/+120	-	-	-	-	-156/122	-	-
-8.1	-7.4	130 PB	sakkari @ kerber	spread	u -3.5	-185/+120	-	-	-	-170/130	-157/139	-	-
-8.1	-8.3	168 FD	bertimon @ bax	ml	o 	'+168/-215	-	-	-	155/-225	165/-216	-	-
-8.2	-	145 FD	tsitsipas @ zverev	set2_total	u 9.5	-200/+145	-	-	-	-190/142	-	-	-
-8.2	-8.2	-150 BV	hijikata @ dimitrov	spread	o 5.0	-	-	-	-150/+115	-	-131/116	-	-
-8.2	-	-1100 DK	hijikata @ dimitrov	set1_total	o 7.5	-1112/+480	-1100/+500	-	-	-	-	-	-
-8.3	-7.8	115 PB	sakkari @ kerber	total	u 19.5	-152/+110	-	-	-	-150/115	-141/125	-159/123	-
-8.3	-8.3	-115 BV	hijikata @ dimitrov	total	o 21.0	-	-	-	-115/-115	-	-102/-110	-	-
-8.3	-8.3	-120 FD	hijikata @ dimitrov	away_total	u 8.5	-110/-120	-	-	-	-	-108/-108	-	-
-8.4	-	184 FD	sakkari @ kerber	total	u 18.5	-260/+184	-	-	-	-	-	-240/175	-
-8.5	-8.5	-118 FD	tsitsipas @ zverev	away_total	o 12.5	-118/-112	-	-	-	-	-106/-110	-	-
-8.5	-9.1	138 PB	tiafoe @ shang	spread	o -4.5	'+130/-195	-	125/-175	-	138/-185	151/-171	143/-190	-
-8.5	-9.4	-105 MGM	forejtek @ collignon	ml	o 	-106/-125	-105/-130	-105/-140	-	-	101/-131	100/-134	-
-8.6	-13.6	148 PB	tsitsipas @ zverev	set1_total	o 10.5	'+120/-179	'+145/-210	-	-	148/-200	170/-201	-	-
-8.6	-	-475 PB	tiafoe @ shang	set2_total	o 8.5	-500/+270	-	-	-	-475/295	-	-	-
-8.6	-	-260 FD	sakkari @ kerber	total	o 18.5	-260/+184	-	-	-	-	-	-240/175	-
-8.6	-	188 FD	ponchet / siskova @ danilina / hruncakova	set2_ml	o 	'+188/-260	'+175/-250	-	-	-	-	-	-
-8.8	-8.3	-120 PB	sakkari @ kerber	set_spread	o -1.5	-	-	-	-	-120/-110	-106/-106	-110/-115	-
-9.0	-9.0	140 BV	hijikata @ dimitrov	spread	o 4.0	-	-	-	'+140/-185	-	153/-173	-	-
-9.1	-9.1	-325 PB	tsitsipas @ zverev	set1_spread	u -1.5	-	-	-	-	210/-325	216/-260	-	-
-9.1	-9.1	210 PB	tsitsipas @ zverev	set1_spread	o -1.5	-	-	-	-	210/-325	216/-260	-	-
-9.2	-	-700 PB	rublev @ fils	set2_total	o 8.5	-715/+340	-	-	-	-700/390	-	-	-
-9.2	-	230 MGM	ponchet / siskova @ danilina / hruncakova	ml	o 	'+215/-270	'+210/-270	230/-350	-	220/-325	-	235/-335	-
-9.2	-	124 PB	hijikata @ dimitrov	total	u 19.5	-152/+114	-	-	-	-165/124	-	-182/140	-
-9.2	-5.6	190 PB	hijikata @ dimitrov	spread	o 3.5	'+175/-260	-	185/-275	-	190/-260	192/-219	185/-250	-
-9.4	-	145 FD	tsitsipas @ zverev	set2_total	o 10.5	'+145/-218	-	-	-	144/-195	-	-	-
-9.4	-	140 MGM	hijikata @ dimitrov	total	o 22.5	'+138/-186	-	140/-200	-	-	-	143/-190	-
-9.6	-	185 FD	sabalenka @ kasatkina	set2_total	o 9.5	'+185/-278	-	-	-	175/-250	-	-	-
-9.6	-10.2	310 DK	nadal @ thompson	set1_ml	u 	-370/+270	-400/+310	-450/275	-	-425/285	-387/310	-385/290	-
-9.7	-10.6	265 DK	rublev @ fils	ml	u 	-320/+225	-340/+265	-350/240	-	-350/255	-327/280	-360/270	-
-9.8	-9.8	146 FD	madarasz @ klok	set1_ml	o 	'+146/-198	-	-	-	-	149/-194	-	-
-9.9	-5.9	182 FD	tiafoe @ shang	set1_ml	u 	-250/+182	-225/+180	-275/180	-	-250/180	-215/181	-240/188	-
-9.9	-	210 FD	agostini / cadenasso @ fuele / madarasz	ml	o 	'+210/-300	-	180/-275	'+195/-290	200/-300	-	-	-
-10.0	-5.6	148 PB	tiafoe @ shang	spread	u -2.5	-220/+145	-	-210/145	-	-200/148	-172/152	-205/155	-
-10.0	-10.0	-120 FD	rublev @ fils	home_total	o 11.5	-120/-110	-	-	-	-	-105/-113	-	-
-10.2	-12.3	134 PB	hijikata @ dimitrov	spread	u 5.5	-175/+115	-	-175/125	-	-180/134	-176/156	-205/155	-
-10.3	-	190 PB	sakkari @ kerber	set2_ml	u 	-260/+188	-235/+190	-	-	-260/190	-	-250/200	-
-10.3	-	160 FD	sabalenka @ kasatkina	set1_total	o 9.5	'+160/-250	'+155/-225	-	-	155/-220	-	-	-
-10.3	-	178 FD	rublev @ fils	total	u 20.5	-250/+178	-	-	-	-	-	-240/175	-
-10.3	-	145 MGM	nadal @ thompson	total	o 22.5	'+142/-192	-	145/-210	-	-	-	150/-205	-
-10.4	-	220 FD	tiafoe @ shang	set2_total	o 10.5	'+220/-385	-	-	-	205/-300	-	-	-
-10.4	-7.7	400 DK	sabalenka @ kasatkina	set1_ml	u 	-550/+390	-550/+400	-600/350	-	-550/350	-482/376	-455/335	-
-10.5	-	136 FD	tiafoe @ shang	total	u 20.5	-186/+136	-	-	-	-	-	-186/140	-
-10.5	-	182 FD	sabalenka @ kasatkina	total	o 21.5	'+182/-250	-	-	-	-	-	180/-245	-
-10.6	-16.4	215 DK	tsitsipas @ zverev	set1_total	o 12.5	'+170/-264	'+215/-330	-	-	210/-300	246/-299	-	-
-10.6	-12.0	190 MGM	sabalenka @ kasatkina	set_spread	u -1.5	-	-	-275/190	-	-260/185	-243/212	-245/185	-
-10.7	-10.7	154 FD	naw @ prihodko	set1_ml	u 	-210/+154	-	-	-	-	-207/159	-	-
-10.7	-10.7	-126 FD	nadal @ thompson	away_total	u 12.5	-108/-126	-	-	-	-	-109/-107	-	-
-10.8	-10.9	135 PB	tsitsipas @ zverev	set_spread	u 1.5	-	-	-	-	-185/135	-173/153	-182/143	-
-10.8	-	290 FD	hijikata @ dimitrov	set2_total	o 10.5	'+290/-527	-	-	-	255/-400	-	-	-
-10.9	-	-350 FD	tsitsipas @ zverev	total	o 20.5	-350/+240	-	-	-	-	-	-286/205	-
-11.0	-	200 FD	sabalenka @ kasatkina	spread	u -4.5	-310/+200	-	-275/190	-	-275/195	-	-	-
-11.0	-11.0	138 FD	sabalenka @ kasatkina	away_total	o 12.5	'+138/-190	-	-	-	-	153/-180	-	-
-11.1	-	190 PB	nadal @ thompson	spread	u -3.5	-280/+180	-	-250/175	-	-260/190	-	-265/190	-
-11.1	-	170 FD	girolami / mansouri @ rowinska / wang	ml	u 	-220/+170	-	-250/155	-	-	-	-	-
-11.2	-	-260 FD	tsitsipas @ zverev	total	o 21.5	-260/+184	-	-	-	-	-	-220/160	-
-11.2	-12.2	160 PB	sakkari @ kerber	set1_total	u 8.5	-228/+145	-230/+155	-	-	-220/160	-211/178	-	-
-11.4	-7.8	290 FD	nadal @ thompson	set1_total	o 10.5	'+290/-527	'+250/-400	270/-450	-	255/-400	283/-350	-	-
-11.5	-11.5	105 PB	tsitsipas @ zverev	set1_spread	u 1.5	-	-	-	-	-150/105	-142/121	-	-
-11.6	-	134 PB	tsitsipas @ zverev	spread	o 0.5	'+130/-200	-	-	-	134/-175	-	-	-
-11.7	-	195 MGM	tiafoe @ shang	set2_ml	u 	-270/+194	-245/+195	-275/195	-	-275/195	-	-265/210	-
-12.6	-	230 PB	tsitsipas @ zverev	set2_total	o 12.5	'+210/-334	-	-	-	230/-325	-	-	-
-12.6	-8.6	640 FD	sabalenka @ kasatkina	ml	u 	-1050/+640	-800/+550	-1000/550	-	-899/525	-757/617	-835/575	-
-12.7	-11.1	188 FD	naw @ prihodko	ml	u 	-260/+188	-	-275/185	-	-250/170	-252/190	-295/200	-
-12.8	-	245 PB	sabalenka @ kasatkina	set2_total	u 7.5	-358/+220	-	-	-	-375/245	-	-	-
-13.2	-	104 FD	tsitsipas @ zverev	total	o 25.5	'+104/-136	-	-	-	-	-	118/-152	-
-13.2	-13.2	125 PB	sakkari @ kerber	set1_spread	u -1.5	-	-	-	-	-180/125	-171/146	-	-
-13.6	-14.9	194 FD	reguer @ rowinska	ml	o 	'+194/-260	-	180/-275	-	185/-275	206/-277	200/-295	-
-13.7	-13.7	168 FD	reguer @ rowinska	set1_ml	o 	'+168/-220	-	-	-	-	179/-237	-	-
-13.8	-13.8	295 PB	rublev @ fils	set1_total	o 12.5	'+230/-385	'+280/-475	270/-450	-	295/-475	306/-393	-	-
-13.8	-12.4	195 PB	nadal @ thompson	set1_total	u 8.5	-295/+180	-290/+190	-300/190	-	-290/195	-255/213	-	-
-14.0	-	122 FD	tiafoe @ shang	total	o 24.5	'+122/-166	-	-	-	-	-	135/-180	-
-14.0	-11.4	200 FD	tiafoe @ shang	set1_total	o 10.5	'+200/-313	'+200/-310	195/-300	-	195/-290	214/-257	-	-
-14.0	-	122 FD	sakkari @ kerber	total	o 22.5	'+122/-166	-	-	-	-	-	135/-180	-
-14.1	-	124 FD	rublev @ fils	total	o 25.5	'+124/-168	-	-	-	-	-	138/-182	-
-14.1	-	310 FD	nadal @ thompson	set2_total	o 10.5	'+310/-556	-	-	-	280/-450	-	-	-
-14.2	-	200 FD	tiafoe @ shang	total	u 19.5	-280/+200	-	-	-	-	-	-286/205	-
-14.2	-	166 FD	hijikata @ dimitrov	total	o 23.5	'+166/-225	-	-	-	-	-	175/-240	-
-14.4	-	132 FD	tsitsipas @ zverev	total	o 26.5	'+132/-180	-	-	-	-	-	145/-195	-
-14.8	-	142 FD	tiafoe @ shang	total	o 25.5	'+142/-192	-	-	-	-	-	155/-210	-
-15.4	-	320 DK	hijikata @ dimitrov	set2_ml	o 	'+280/-420	'+320/-425	300/-500	-	295/-450	-	350/-480	-
-15.6	-17.9	245 FD	sabalenka @ kasatkina	total_sets	o 2.5	'+245/-350	'+240/-360	230/-350	-	-	290/-340	255/-345	-
-15.7	-	195 FD	tiafoe @ shang	spread	u -1.5	-290/+195	-	-	-	-	-	-286/205	-
-15.7	-12.7	320 FD	sakkari @ kerber	set1_total	o 10.5	'+320/-589	'+290/-500	-	-	310/-475	329/-415	-	-
-15.7	-13.7	475 MGM	nadal @ thompson	ml	u 	-600/+440	-650/+450	-750/475	-700/+475	-700/440	-601/502	-670/475	-
-16.2	-10.1	460 FD	nadal @ thompson	set1_total	o 12.5	'+460/-1112	'+370/-700	400/-800	-	-	437/-573	-	-
-16.3	-	142 FD	sakkari @ kerber	total	o 23.5	'+142/-192	-	-	-	-	-	160/-215	-
-16.7	-18.8	315 FD	tiafoe @ shang	set1_total	u 8.5	-625/+315	-425/+260	-500/290	-	-500/310	-448/353	-	-
-16.7	-	310 DK	nadal @ thompson	set2_ml	u 	-400/+270	-400/+310	-500/300	-	-450/295	-	-480/350	-
-16.8	-	390 FD	sabalenka @ kasatkina	set2_ml	u 	-650/+390	-525/+380	-600/340	-	-550/350	-	-590/420	-
-18.1	-	170 FD	nadal @ thompson	total	o 23.5	'+170/-230	-	-	-	-	-	188/-265	-
-18.2	-	330 FD	sakkari @ kerber	set2_total	o 10.5	'+330/-667	-	-	-	320/-500	-	-	-
-18.2	-21.3	400 FD	sabalenka @ kasatkina	set1_total	o 10.5	'+400/-910	'+320/-575	360/-650	-	-	446/-587	-	-
-18.2	-	490 FD	chidekh / sanchez @ calzi / raynel	ml	u 	-900/+490	-	-800/375	-	-	-	-	-
-18.3	-14.2	320 FD	tiafoe @ shang	set1_total	o 12.5	'+320/-589	'+300/-500	300/-550	-	-	336/-424	-	-
-18.7	-12.8	310 PB	tsitsipas @ zverev	set_spread	o -1.5	-	-	-	-	310/-500	332/-394	360/-500	-
-18.9	-	380 FD	sakkari @ kerber	set1_total	u 7.5	-770/+380	-600/+340	-	-	-	-	-	-
-18.9	-	160 FD	nadal @ thompson	total	u 18.5	-215/+160	-	-	-	-	-	-250/185	-
-19.0	-16.8	475 MGM	hijikata @ dimitrov	ml	o 	'+430/-650	'+475/-700	475/-750	'+475/-700	460/-750	522/-628	500/-715	-
-19.4	-18.9	490 PB	sakkari @ kerber	set_spread	u 1.5	-	-	-	-	-950/490	-676/538	-715/500	-
-19.7	-	270 PB	sabalenka @ kasatkina	set1_total	u 7.5	-455/+260	-425/+260	-	-	-425/270	-	-	-
