EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-1.8	-	-215 FD	nadal @ thompson	total	o 18.5	-215/+160	-	-	-	-	-	-250/185	-
-1.9	-2.0	164 FD	tsitsipas @ zverev	ml	o 	'+164/-194	'+145/-175	-	-	155/-195	160/-177	150/-190	-
-1.9	-1.9	-102 FD	sakkari @ kerber	total	u 20.5	-132/-102	-	-	-	-115/-115	-108/-104	-117/-109	-
-2.0	-	-120 FD	nadal @ thompson	home_total	u 8.5	-110/-120	'+100/-135	-	-	-	-	-	-
-2.1	-	-120 FD	tsitsipas @ zverev	total	u 24.5	-110/-120	-	-	-	100/-130	-	104/-132	-
-2.1	-0.5	-264 FD	tsitsipas @ zverev	set1_total	u 12.5	'+170/-264	'+215/-330	-	-	210/-300	246/-299	-	-
-2.1	-	-160 PB	sakkari @ kerber	set2_total	u 9.5	'+130/-193	-	-	-	120/-160	-	-	-
-2.1	-	-120 PB	hijikata @ dimitrov	set1_total	u 9.5	'+110/-152	-115/-125	-	-	-115/-120	-	-	-
-2.1	-4.5	280 FD	hijikata @ dimitrov	set1_total	o 10.5	'+280/-500	'+185/-275	240/-375	-	245/-375	263/-322	-	-
-2.2	-	-195 PB	tsitsipas @ zverev	set1_total	o 9.5	-250/+170	-225/+150	-	-	-195/144	-	-	-
-2.2	-3.5	600 FD	tsitsipas @ zverev	set1_total	u 8.5	-2500/+600	-750/+390	-	-	-	-689/511	-	-
-2.2	-3.6	-200 MGM	rublev @ fils	spread	u -4.5	'+175/-260	-	140/-200	-	160/-220	171/-198	175/-240	-
-2.2	-	100 DK	nadal @ thompson	home_total	o 8.5	-110/-120	'+100/-135	-	-	-	-	-	-
-2.3	1.0	170 DK	tiafoe @ shang	total_sets	o 2.5	'+132/-180	'+170/-235	165/-250	-	-	156/-177	155/-200	-
-2.4	-	-320 FD	sakkari @ kerber	spread	u -6.5	'+200/-320	-	-	-	-	-	265/-385	-
-2.5	-	-270 FD	ponchet / siskova @ danilina / hruncakova	ml	u 	'+215/-270	'+210/-270	230/-350	-	220/-325	-	235/-335	-
-2.6	-	184 FD	tsitsipas @ zverev	total	u 21.5	-260/+184	-	-	-	-	-	-220/160	-
-2.6	-2.4	-228 FD	rublev @ fils	set1_total	u 10.5	'+150/-228	'+195/-295	180/-275	-	180/-260	198/-243	-	-
-2.6	-2.6	110 FD	hijikata @ dimitrov	spread	o 4.5	'+110/-146	-	105/-145	-105/-125	102/-135	109/-122	-103/-125	-
-2.7	-2.7	-2500 PB	tsitsipas @ zverev	set1_spread	u -3.5	-	-	-	-	700/-2500	1404/-2448	-	-
-2.7	-	-192 FD	sakkari @ kerber	total	u 23.5	'+142/-192	-	-	-	-	-	160/-215	-
-2.7	-	105 PB	sabalenka @ kasatkina	set2_total	u 8.5	-136/-112	-	-	-	-145/105	-	-	-
-2.7	-	-144 FD	rublev @ fils	total	u 24.5	'+108/-144	-	-	-	120/-160	-	120/-157	-
-2.7	-	-250 FD	rublev @ fils	spread	o -1.5	-250/+165	-	-	-	-	-	-295/205	-
-2.7	-	-245 FD	rublev @ fils	set2_ml	o 	-245/+178	-280/+220	-275/190	-	-275/195	-	-275/215	-
-2.8	-	240 FD	tsitsipas @ zverev	total	u 20.5	-350/+240	-	-	-	-	-	-286/205	-
-2.8	-4.6	-750 DK	tsitsipas @ zverev	set1_total	o 8.5	-2500/+600	-750/+390	-	-	-	-689/511	-	-
-2.8	-4.3	-310 DK	tiafoe @ shang	ml	o 	-360/+255	-310/+245	-375/270	-	-350/255	-286/253	-335/260	-
-2.8	-3.8	-125 BV	hijikata @ dimitrov	spread	u 4.5	'+110/-146	-	105/-145	-105/-125	102/-135	109/-122	-103/-125	-
-2.9	-4.5	-225 MGM	rublev @ fils	set1_ml	o 	-235/+172	-270/+215	-225/155	-	-250/180	-223/183	-250/195	-
-2.9	-2.9	-110 FD	rublev @ fils	home_total	u 11.5	-120/-110	-	-	-	-	-105/-113	-	-
-2.9	-	-230 FD	nadal @ thompson	total	u 23.5	'+170/-230	-	-	-	-	-	188/-265	-
-2.9	-3.2	-140 FD	nadal @ thompson	total	o 19.5	-140/+108	-	-	-	-155/116	-139/123	-152/117	-
-2.9	-2.3	-600 FD	nadal @ thompson	ml	o 	-600/+440	-650/+450	-750/475	-700/+475	-700/440	-601/502	-670/475	-
-3.1	-2.8	-118 FD	tsitsipas @ zverev	total	u 23.5	-112/-118	-	-	-	-105/-125	105/-118	100/-127	-
-3.1	-3.4	-112 FD	taguchi @ matsuda	set1_ml	o 	-112/-112	-125/-110	-	-	-	-118/-108	-	-
-3.2	-	170 FD	tsitsipas @ zverev	set1_total	u 9.5	-250/+170	-225/+150	-	-	-195/144	-	-	-
-3.2	-	-154 FD	tiafoe @ shang	total	u 23.5	'+116/-154	-	125/-175	-	124/-165	-	130/-167	-
-3.2	-6.2	-160 FD	sabalenka @ kasatkina	total	o 17.5	-160/+118	-	-	-	-175/130	-146/130	-190/145	-
-3.2	-2.3	-320 FD	rublev @ fils	ml	o 	-320/+225	-340/+265	-350/240	-	-350/255	-327/280	-360/270	-
-3.3	-	-235 DK	sakkari @ kerber	set2_ml	o 	-260/+188	-235/+190	-	-	-260/190	-	-250/200	-
-3.3	-2.8	-800 DK	sabalenka @ kasatkina	ml	o 	-1050/+640	-800/+550	-1000/550	-	-899/525	-757/617	-835/575	-
-3.3	-4.9	-165 MGM	rublev @ fils	total	o 21.5	-186/+138	-	-165/120	-	-	-158/137	-182/138	-
-3.3	-3.3	-108 FD	nadal @ thompson	away_total	o 12.5	-108/-126	-	-	-	-	-109/-107	-	-
-3.3	-4.1	-260 FD	hijikata @ dimitrov	total_sets	u 2.5	'+184/-260	'+210/-300	225/-350	'+200/-275	-	216/-248	210/-275	-
-3.4	-	140 FD	tsitsipas @ zverev	set2_ml	o 	'+140/-188	'+125/-155	-	-	134/-175	-	135/-167	-
-3.4	-2.5	-1200 DK	sabalenka @ kasatkina	set1_total	u 12.5	'+800/-3334	'+500/-1200	625/-2000	-	-	865/-1310	-	-
-3.4	-	-168 FD	rublev @ fils	total	u 25.5	'+124/-168	-	-	-	-	-	138/-182	-
-3.5	-2.8	-158 FD	tsitsipas @ zverev	total_sets	u 2.5	'+118/-158	'+125/-170	-	-	130/-180	140/-158	128/-162	-
-3.5	-3.5	-1250 PB	tsitsipas @ zverev	set1_spread	o 3.5	-	-	-	-	-1250/500	-1202/807	-	-
-3.5	-	-245 DK	tiafoe @ shang	set2_ml	o 	-270/+194	-245/+195	-275/195	-	-275/195	-	-265/210	-
-3.5	-5.1	-260 FD	sabalenka @ kasatkina	spread	u -7.5	'+175/-260	-	-	-	-	209/-240	220/-315	-
-3.5	-2.0	155 MGM	rublev @ fils	total_sets	o 2.5	'+126/-174	'+145/-205	155/-225	-	-	148/-171	150/-195	-
-3.5	-	-400 FD	nadal @ thompson	set2_ml	o 	-400/+270	-400/+310	-500/300	-	-450/295	-	-480/350	-
-3.5	-2.8	-370 FD	nadal @ thompson	set1_ml	o 	-370/+270	-400/+310	-450/275	-	-425/285	-387/310	-385/290	-
-3.5	-2.7	-650 FD	hijikata @ dimitrov	ml	u 	'+430/-650	'+475/-700	475/-750	'+475/-700	460/-750	522/-628	500/-715	-
-3.5	-6.5	-105 DK	hijikata @ dimitrov	home_total	u 12.5	-110/-120	-130/-105	-	-	-	-117/101	-	-
-3.6	-	-166 FD	tiafoe @ shang	total	u 24.5	'+122/-166	-	-	-	-	-	135/-180	-
-3.6	-	-110 FD	tiafoe @ shang	home_total	u 10.5	-120/-110	-115/-120	-	-	-	-	-	-
-3.6	-	-166 FD	sakkari @ kerber	total	u 22.5	'+122/-166	-	-	-	-	-	135/-180	-
