NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Anthony Black	G	-130	H	ARK	ILL	reb	4.5	5.1	4.75 - 5.62	5.38 - 4.9	64%	60%	4,6,8,5,2,4,5,3,5,4	-145	'+110
Anthony Black	G	-130	H	ARK	ILL	ast	3.5	4.2	4.35 - 3.85	3.85 - 4.35	58%	40%	2,6,4,1,2,8,3,8,5,5	-135	'+100
Anthony Black	G	-130	H	ARK	ILL	3ptm	0.5	0.8	0.85 - 0.77	0.46 - 1.05	55%	60%	1,0,1,1,0,0,1,1,2,0	-140	'+105
Anthony Black	G	-130	H	ARK	ILL	pts	13.5	12.8	12.4 - 13.54	13.38 - 12.5	45%	40%	9,19,14,13,7,10,14,9,23,19	'+100	-130
Armaan Franklin	G	-250	H	UVA	FUR	3ptm	1.5	1.9	2.16 - 1.14	1.92 - 1.95	62%	60%	2,1,1,2,2,1,0,2,1,3	-115	-115
Armaan Franklin	G	-250	H	UVA	FUR	pts	13.5	12.5	13.84 - 7.86	12.33 - 12.65	47%	60%	7,16,14,16,12,14,4,12,14,23	-105	-125
Armaan Franklin	G	-250	H	UVA	FUR	ast	1.5	1.4	1.48 - 1.29	1.42 - 1.45	44%	80%	2,2,2,5,0,1,1,2,3,0	-130	'+100
Armaan Franklin	G	-250	H	UVA	FUR	reb	4.5	4.2	4.24 - 3.86	4.0 - 4.25	31%	20%	6,3,3,4,4,4,3,4,5,3	'+120	-160
Azuolas Tubelis	F	-1050	H	ARIZ	PRIN	ast	1.5	2.0	2.07 - 1.83	1.64 - 2.22	56%	60%	0,3,4,1,3,2,1,1,3,1	-145	'+110
Azuolas Tubelis	F	-1050	H	ARIZ	PRIN	pts	19.5	19.8	20.14 - 18.0	19.82 - 19.74	50%	60%	19,17,20,24,25,17,13,11,4,23	-125	-105
Azuolas Tubelis	F	-1050	H	ARIZ	PRIN	reb	9.5	9.3	9.64 - 7.5	9.18 - 9.3	41%	60%	14,9,8,10,10,9,4,9,0,14	-120	-110
Boo Buie	G	-125	H	NU	BOIS	3ptm	1.5	1.9	1.86 - 2.0	2.0 - 1.86	47%	80%	2,3,2,1,6,3,1,1,2,1	-155	'+115
Boo Buie	G	-125	H	NU	BOIS	ast	4.5	4.5	4.33 - 4.91	3.64 - 5.0	47%	40%	4,2,8,8,0,8,4,3,5,4	-105	-125
Boo Buie	G	-125	H	NU	BOIS	pts	18.5	17.1	17.57 - 16.27	18.36 - 16.48	44%	40%	16,14,20,4,35,23,21,26,19,13	-120	-110
Boo Buie	G	-125	H	NU	BOIS	reb	3.5	3.3	3.52 - 3.0	2.82 - 3.62	41%	20%	1,1,5,2,3,4,6,4,2,3	'+130	-175
Braeden Smith	G	'+675	A	COLG	TEX	3ptm	0.5	1.1	1.19 - 0.62	1.0 - 1.11	76%	80%	1,0,3,1,1,2,2,1,0,1	-235	'+170
Braeden Smith	G	'+675	A	COLG	TEX	ast	3.5	4.5	5.04 - 2.75	3.94 - 5.0	65%	60%	6,5,3,7,2,8,6,6,7,0	-175	'+130
