NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Henry Coleman Iii	F	-150	H	TA&M	PSU	pts	7.5	9.2	9.72 - 7.89	9.31 - 9.19	56%	20%	2,6,16,4,5,11,2,9,7,8	-110	-120
Henry Coleman Iii	F	-150	H	TA&M	PSU	reb	5.5	5.7	5.72 - 5.67	5.77 - 5.67	41%	40%	9,4,11,2,5,1,3,3,5,4	-135	'+105
Isaac Mushila	F	'+2500	A	AMCC	ALA	reb	8.5	9.7	9.96 - 9.2	9.6 - 9.84	56%	60%	12,9,6,17,8,7,7,7,11,12	-115	-115
Isaac Mushila	F	'+2500	A	AMCC	ALA	pts	13.5	14.4	15.38 - 12.2	12.0 - 16.37	53%	60%	15,10,5,21,28,14,6,6,12,24	-120	-110
Issac Mcbride	G	'+225	A	ORU	DUKE	ast	1.5	2.6	2.73 - 2.0	2.73 - 2.58	82%	100%	3,2,3,2,3,2,0,4,3,1	-165	'+125
Issac Mcbride	G	'+225	A	ORU	DUKE	3ptm	1.5	1.8	1.77 - 2.25	1.87 - 1.79	59%	60%	2,0,2,3,0,2,2,0,1,3	-125	-105
Issac Mcbride	G	'+225	A	ORU	DUKE	pts	11.5	11.9	12.23 - 9.75	10.87 - 12.79	59%	20%	10,14,8,11,4,12,12,12,16,13	'+105	-140
Issac Mcbride	G	'+225	A	ORU	DUKE	reb	2.5	2.7	2.87 - 1.75	2.73 - 2.74	56%	100%	4,3,3,4,4,4,1,2,3,2	-180	'+135
Jaedon Ledee	F	-225	H	SDSU	COFC	ast	0.5	1.0	1.04 - 0.83	0.55 - 1.23	61%	80%	1,1,3,1,0,0,0,0,1,1	-140	'+105
Jaedon Ledee	F	-225	H	SDSU	COFC	reb	5.5	5.1	5.44 - 3.67	5.0 - 5.18	42%	60%	10,0,8,8,2,0,6,5,3,10	'+115	-150
Jaedon Ledee	F	-225	H	SDSU	COFC	pts	8.5	7.9	8.56 - 5.17	7.0 - 8.41	39%	60%	13,2,10,21,8,4,14,6,6,14	-135	'+100
Jahmir Young	G	'+135	H	MD	WVU	ast	2.5	3.2	3.05 - 3.33	3.17 - 3.14	55%	20%	2,3,1,2,2,3,6,4,4,6	-170	'+130
Jahmir Young	G	'+135	H	MD	WVU	reb	4.5	4.7	4.9 - 4.42	4.5 - 4.86	45%	40%	2,6,8,3,3,2,6,5,4,3	-155	'+115
Jahmir Young	G	'+135	H	MD	WVU	pts	17.5	16.1	17.38 - 13.83	14.5 - 17.0	42%	40%	12,15,26,9,18,11,16,20,18,17	'+100	-135
Jahmir Young	G	'+135	H	MD	WVU	3ptm	1.5	1.2	1.24 - 1.25	1.33 - 1.19	27%	40%	1,0,3,1,4,1,1,1,2,1	'+115	-155
Jahvon Quinerly	G	-12500	H	ALA	AMCC	ast	4.5	3.8	4.0 - 2.4	1.85 - 5.05	38%	40%	3,7,4,3,6,7,2,6,3,0	-120	-110
Jahvon Quinerly	G	-12500	H	ALA	AMCC	reb	2.5	1.9	2.07 - 1.0	1.54 - 2.16	31%	40%	3,3,2,1,2,3,2,2,3,1	'+105	-140
Jahvon Quinerly	G	-12500	H	ALA	AMCC	pts	12.5	8.1	8.44 - 6.4	5.69 - 9.79	19%	40%	22,1,10,12,24,16,2,3,3,2	-120	-110
Jahvon Quinerly	G	-12500	H	ALA	AMCC	3ptm	2.5	1.2	1.37 - 0.6	0.69 - 1.63	19%	20%	4,0,2,2,2,1,0,1,1,0	'+125	-165
Jaime Jaquez Jr	G	-2100	H	UCLA	UNCA	ast	1.5	2.3	2.24 - 2.8	2.46 - 2.24	76%	60%	2,0,2,3,0,2,3,2,3,3	-170	'+130
Jaime Jaquez Jr	G	-2100	H	UCLA	UNCA	pts	19.5	17.3	17.72 - 15.0	16.92 - 17.57	35%	40%	13,18,16,22,26,17,23,20,26,25	-105	-130
Jaime Jaquez Jr	G	-2100	H	UCLA	UNCA	reb	9.5	8.1	8.21 - 7.8	7.85 - 8.33	32%	60%	10,10,9,10,7,5,8,8,9,12	-105	-125
Jaime Jaquez Jr	G	-2100	H	UCLA	UNCA	3ptm	1.5	0.9	0.93 - 0.6	0.85 - 0.9	21%	20%	0,2,1,0,1,0,2,2,1,2	'+160	-220
Jalen Pickett	G	'+130	A	PSU	TA&M	ast	5.5	6.7	7.0 - 6.15	5.71 - 7.61	69%	40%	4,4,2,8,7,11,5,4,8,8	-115	-115
Jalen Pickett	G	'+130	A	PSU	TA&M	reb	6.5	7.3	6.82 - 8.23	7.35 - 7.33	63%	80%	6,8,9,8,7,6,9,3,9,2	-105	-125
Jalen Pickett	G	'+130	A	PSU	TA&M	pts	17.5	17.9	18.77 - 16.31	17.53 - 18.17	43%	20%	11,28,15,12,16,7,11,23,32,41	-110	-120
Jalen Pickett	G	'+130	A	PSU	TA&M	3ptm	1.5	1.3	1.36 - 1.08	1.0 - 1.5	31%	20%	0,1,1,0,2,0,1,2,4,5	'+130	-175
Jalen Slawson	F	'+210	A	FUR	UVA	pts	12.5	15.7	16.11 - 14.14	14.36 - 16.65	71%	60%	20,15,12,7,27,11,22,17,11,16	-115	-115
Jalen Slawson	F	'+210	A	FUR	UVA	reb	6.5	7.1	7.41 - 6.14	6.29 - 7.75	59%	60%	5,9,4,10,7,11,5,8,4,9	-105	-125
Jalen Slawson	F	'+210	A	FUR	UVA	ast	2.5	3.2	3.22 - 3.29	3.29 - 3.2	59%	40%	4,1,0,3,1,4,2,3,4,1	-105	-125
Jalen Slawson	F	'+210	A	FUR	UVA	3ptm	1.5	1.1	1.11 - 1.29	1.21 - 1.1	38%	60%	2,2,1,0,3,0,3,0,2,2	'+135	-185
Jalen Wilson	F	-5000	H	KU	HOW	ast	1.5	2.3	2.48 - 1.57	2.27 - 2.3	71%	40%	0,0,2,1,2,2,3,1,2,5	-170	'+130
Jalen Wilson	F	-5000	H	KU	HOW	reb	7.5	8.4	8.74 - 7.14	8.45 - 8.39	59%	60%	6,10,11,10,5,6,13,13,4,5	-145	'+110
Jalen Wilson	F	-5000	H	KU	HOW	3ptm	1.5	2.0	1.78 - 2.71	2.36 - 1.78	59%	60%	2,3,1,3,0,0,0,0,1,3	'+105	-140
Jalen Wilson	F	-5000	H	KU	HOW	pts	20.5	20.1	18.7 - 25.43	20.45 - 19.91	53%	100%	24,25,22,23,21,11,7,21,14,18	-110	-120
Jamal Shead	G	-2800	H	HOU	NKU	reb	2.5	3.0	2.94 - 4.0	2.42 - 3.36	62%	40%	0,4,1,1,3,3,1,3,1,7	-180	'+135
Jamal Shead	G	-2800	H	HOU	NKU	ast	5.5	5.4	5.68 - 2.67	5.83 - 5.18	44%	40%	4,9,4,7,1,3,6,2,8,12	'+105	-140
Jamal Shead	G	-2800	H	HOU	NKU	pts	12.5	10.3	9.77 - 16.0	10.67 - 10.14	38%	80%	16,16,12,16,25,4,10,10,13,3	-115	-115
Jamal Shead	G	-2800	H	HOU	NKU	3ptm	1.5	1.3	1.19 - 2.0	1.17 - 1.32	38%	80%	2,2,1,2,4,0,1,0,1,1	-125	-105
Jarace Walker	F	-2800	H	HOU	NKU	ast	1.5	1.7	1.8 - 1.0	2.08 - 1.52	58%	40%	1,3,1,1,2,2,1,3,2,1	-105	-125
Jarace Walker	F	-2800	H	HOU	NKU	pts	10.5	11.0	11.1 - 10.0	14.08 - 9.24	42%	60%	13,13,5,10,11,7,9,4,14,6	-155	'+115
Jarace Walker	F	-2800	H	HOU	NKU	reb	7.5	6.6	6.6 - 6.67	6.0 - 6.95	36%	40%	3,8,5,7,9,6,13,8,4,8	-125	-105
Jarace Walker	F	-2800	H	HOU	NKU	3ptm	1.5	1.0	1.0 - 0.67	1.67 - 0.57	30%	40%	2,1,0,2,1,1,1,0,2,0	'+115	-155
Jayden Gardner	F	-250	H	UVA	FUR	ast	0.5	0.7	0.68 - 0.71	0.92 - 0.55	53%	60%	0,2,0,1,1,1,2,2,0,1	-205	'+150
Jayden Gardner	F	-250	H	UVA	FUR	reb	7.5	5.8	5.72 - 6.0	5.33 - 6.05	31%	60%	4,12,10,4,9,12,5,12,3,1	-115	-115
Jayden Gardner	F	-250	H	UVA	FUR	pts	16.5	12.1	12.04 - 12.43	11.25 - 12.65	25%	40%	7,23,17,16,12,19,16,8,10,6	-105	-130
Jelani Williams	G	'+1700	A	HOW	KU	ast	1.5	2.1	2.14 - 2.17	2.44 - 1.89	53%	100%	2,3,2,5,2,5,1,0,1,1	-105	-125
Jelani Williams	G	'+1700	A	HOW	KU	3ptm	0.5	0.8	0.73 - 0.83	1.12 - 0.44	53%	40%	1,0,0,0,3,1,1,0,1,2	-115	-115
Jelani Williams	G	'+1700	A	HOW	KU	pts	7.5	9.2	8.95 - 9.75	12.19 - 6.61	50%	40%	20,6,2,4,23,10,11,3,6,19	-130	'+100
Jelani Williams	G	'+1700	A	HOW	KU	reb	4.5	4.4	4.73 - 3.92	5.06 - 3.89	47%	80%	6,5,5,4,7,4,5,5,0,12	-110	-120
Jeremy Roach	G	-265	H	DUKE	ORU	ast	2.5	3.1	3.39 - 2.14	2.07 - 4.0	53%	20%	1,1,6,0,2,10,6,2,3,2	-135	'+100
Jeremy Roach	G	-265	H	DUKE	ORU	reb	2.5	2.5	2.65 - 2.14	2.57 - 2.5	47%	60%	4,3,4,2,1,5,1,2,2,0	-135	'+105
Jeremy Roach	G	-265	H	DUKE	ORU	pts	13.5	13.3	14.09 - 10.71	12.71 - 13.81	47%	40%	23,13,9,10,20,19,14,17,9,16	-125	-105
Jeremy Roach	G	-265	H	DUKE	ORU	3ptm	1.5	1.4	1.61 - 0.71	1.43 - 1.38	47%	40%	2,1,1,2,0,2,0,3,0,2	'+105	-140
Joe Toussaint	G	-155	A	WVU	MD	3ptm	0.5	1.0	0.94 - 1.0	1.08 - 0.89	66%	60%	1,1,3,0,0,1,2,0,0,0	-200	'+150
Joe Toussaint	G	-155	A	WVU	MD	pts	7.5	9.8	10.33 - 8.79	10.85 - 8.84	66%	40%	11,5,19,2,3,5,11,4,8,9	-125	-105
Joe Toussaint	G	-155	A	WVU	MD	reb	2.5	2.9	2.83 - 2.86	3.77 - 2.21	56%	60%	2,1,7,5,3,0,4,1,0,2	-105	-125
Joe Toussaint	G	-155	A	WVU	MD	ast	2.5	2.8	2.83 - 2.57	2.62 - 2.79	50%	60%	4,2,3,1,4,4,4,2,2,1	'+115	-155
Johni Broome	F	-125	A	AUB	IOWA	reb	8.5	8.6	9.17 - 7.25	7.71 - 9.0	43%	0%	7,5,1,8,6,10,9,10,9,18	-110	-120
Johni Broome	F	-125	A	AUB	IOWA	pts	15.5	14.5	13.61 - 14.33	14.86 - 13.06	40%	40%	13,10,12,19,20,20,8,18,11,19	-120	-110
Johni Broome	F	-125	A	AUB	IOWA	ast	1.5	1.4	1.44 - 1.33	1.57 - 1.25	37%	60%	0,4,1,3,2,2,2,1,0,1	'+105	-140
Josiah Jordan James	G	-645	H	TENN	LAF	reb	4.5	4.9	4.73 - 5.2	4.5 - 5.0	50%	40%	1,7,3,2,5,14,7,7,7,7	-115	-115
Josiah Jordan James	G	-645	H	TENN	LAF	ast	1.5	1.8	1.47 - 2.2	1.67 - 1.64	50%	40%	3,2,1,1,1,1,1,2,0,1	-155	'+120
Josiah Jordan James	G	-645	H	TENN	LAF	pts	11.5	10.7	11.67 - 5.8	9.33 - 10.57	45%	40%	3,20,11,18,2,15,4,14,6,22	-110	-120
Josiah Jordan James	G	-645	H	TENN	LAF	3ptm	1.5	1.8	1.93 - 1.0	1.5 - 1.79	45%	40%	0,4,1,4,0,1,0,1,0,4	-115	-115
Jp Pegues	G	'+210	A	FUR	UVA	ast	3.5	4.0	4.04 - 3.71	3.79 - 4.1	62%	80%	4,2,4,4,5,2,5,7,2,7	-105	-125
Jp Pegues	G	'+210	A	FUR	UVA	reb	3.5	3.8	4.07 - 2.71	3.86 - 3.75	53%	80%	6,5,4,4,3,0,3,9,1,3	-115	-115
Jp Pegues	G	'+210	A	FUR	UVA	3ptm	1.5	1.9	1.89 - 2.0	2.07 - 1.8	50%	60%	0,3,4,4,1,2,0,0,3,3	-185	'+135
Jp Pegues	G	'+210	A	FUR	UVA	pts	12.5	12.0	12.15 - 11.57	12.07 - 12.0	47%	100%	17,24,22,20,18,13,10,7,13,13	'+115	-155
Julian Phillips	F	-645	H	TENN	LAF	reb	4.5	5.2	5.57 - 3.29	5.73 - 4.53	57%	60%	8,6,5,2,4,3,4,2,1,4	-110	-120
Julian Phillips	F	-645	H	TENN	LAF	pts	8.5	9.3	10.1 - 5.57	9.36 - 8.71	46%	40%	10,8,7,4,10,2,6,4,5,10	'+100	-135
Julian Phillips	F	-645	H	TENN	LAF	ast	1.5	1.6	1.86 - 0.57	1.09 - 1.82	43%	40%	0,1,3,0,2,0,1,1,6,1	'+160	-215
Julian Reese	F	'+135	H	MD	WVU	ast	0.5	1.0	1.0 - 0.92	1.17 - 0.85	56%	100%	1,1,2,2,2,0,0,0,0,0	-190	'+140
Julian Reese	F	'+135	H	MD	WVU	pts	11.5	11.2	11.8 - 10.17	11.0 - 11.3	38%	60%	5,10,12,17,12,21,16,10,11,11	-110	-120
Julian Reese	F	'+135	H	MD	WVU	reb	7.5	7.3	7.7 - 6.58	6.67 - 7.65	38%	60%	7,8,5,12,10,12,16,9,5,5	-110	-120
Jwan Roberts	F	-2800	H	HOU	NKU	pts	10.5	10.4	10.42 - 9.67	11.08 - 9.95	47%	40%	12,16,0,1,6,17,26,20,8,6	-120	-110
Jwan Roberts	F	-2800	H	HOU	NKU	reb	8.5	7.7	7.39 - 11.33	7.92 - 7.64	35%	40%	20,8,12,6,3,12,7,12,10,10	-125	-105
Kareem Thompson	G	'+225	A	ORU	DUKE	ast	2.5	3.1	3.37 - 0.75	3.0 - 3.11	59%	80%	0,3,5,3,4,1,6,1,4,4	-115	-115
Kareem Thompson	G	'+225	A	ORU	DUKE	3ptm	0.5	0.9	0.77 - 2.0	1.07 - 0.79	59%	60%	0,0,1,1,2,1,0,0,1,0	-120	-110
Kareem Thompson	G	'+225	A	ORU	DUKE	reb	5.5	5.7	5.93 - 4.0	5.53 - 5.84	53%	80%	7,9,5,6,7,6,8,6,4,8	-150	'+115
Kareem Thompson	G	'+225	A	ORU	DUKE	pts	7.5	8.6	8.5 - 9.0	8.87 - 8.32	50%	60%	6,2,15,11,16,7,6,4,3,10	-115	-115
Kd Johnson	G	-125	A	AUB	IOWA	pts	9.5	9.1	8.44 - 9.92	8.07 - 9.88	43%	40%	20,21,7,4,6,15,12,5,10,13	-115	-115
Kedrian Johnson	G	-155	A	WVU	MD	ast	2.5	3.3	3.28 - 2.77	2.69 - 3.33	58%	20%	1,2,5,0,1,4,6,3,6,3	-135	'+105
Kedrian Johnson	G	-155	A	WVU	MD	3ptm	0.5	0.8	0.83 - 0.77	0.38 - 1.11	55%	60%	0,2,0,1,1,2,0,0,3,0	-200	'+150
Kedrian Johnson	G	-155	A	WVU	MD	pts	11.5	11.6	11.5 - 9.92	7.46 - 13.28	39%	60%	8,20,8,15,12,20,4,5,22,16	-115	-115
Kedrian Johnson	G	-155	A	WVU	MD	reb	2.5	2.3	2.22 - 2.23	2.69 - 1.89	32%	60%	5,6,4,1,2,2,1,2,1,3	-110	-125
Keegan Records	F	'+675	A	COLG	TEX	pts	12.5	13.0	13.38 - 11.75	13.62 - 12.44	50%	80%	21,20,13,25,8,16,10,17,19,10	-115	-115
Keegan Records	F	'+675	A	COLG	TEX	ast	1.5	1.4	1.5 - 0.88	1.06 - 1.61	41%	60%	3,3,2,0,0,3,2,1,3,2	'+160	-215
Keegan Records	F	'+675	A	COLG	TEX	reb	6.5	6.0	6.35 - 4.88	6.12 - 5.89	35%	20%	6,5,4,9,4,6,11,4,9,6	-145	'+110
Keshad Johnson	F	-225	H	SDSU	COFC	pts	7.5	7.7	7.67 - 8.0	6.73 - 8.23	52%	40%	4,15,8,4,4,9,1,7,14,6	-135	'+100
Keshad Johnson	F	-225	H	SDSU	COFC	ast	0.5	0.6	0.67 - 0.33	0.09 - 0.86	45%	40%	0,1,1,0,0,0,1,0,2,1	-110	-120
Keshad Johnson	F	-225	H	SDSU	COFC	reb	5.5	5.1	5.19 - 4.83	5.18 - 5.09	36%	40%	3,4,8,6,2,10,6,10,4,4	-145	'+110
Kihei Clark	G	-250	H	UVA	FUR	ast	4.5	5.4	5.68 - 4.57	5.33 - 5.5	59%	40%	1,4,3,6,6,5,3,4,6,5	-145	'+110
Kihei Clark	G	-250	H	UVA	FUR	pts	11.5	10.9	10.84 - 11.14	12.33 - 10.05	47%	20%	6,13,8,6,5,9,7,15,14,16	-110	-120
Kihei Clark	G	-250	H	UVA	FUR	3ptm	1.5	1.2	1.12 - 1.29	1.42 - 1.0	34%	20%	0,3,0,1,0,1,1,1,1,1	'+150	-205
Kihei Clark	G	-250	H	UVA	FUR	reb	3.5	2.6	2.6 - 2.71	3.17 - 2.3	28%	40%	1,3,5,4,0,2,1,1,4,2	'+135	-185
Kj Adams Jr	F	-5000	H	KU	HOW	ast	1.5	2.0	1.93 - 2.14	1.82 - 2.04	59%	60%	2,4,2,0,1,5,2,3,1,1	-135	'+100
Kj Adams Jr	F	-5000	H	KU	HOW	reb	4.5	4.4	4.52 - 3.86	3.64 - 4.74	44%	20%	4,4,3,2,8,6,6,4,4,3	-110	-120
Kj Adams Jr	F	-5000	H	KU	HOW	pts	10.5	10.4	11.19 - 7.29	12.0 - 9.61	41%	20%	6,8,13,9,7,13,6,17,15,10	-110	-120
Kobe Brown	G	'+110	H	MIZ	USU	pts	15.5	15.8	17.17 - 11.88	11.42 - 18.5	56%	40%	6,24,17,8,8,17,24,7,21,19	-135	'+100
Kobe Brown	G	'+110	H	MIZ	USU	ast	2.5	2.5	2.83 - 1.5	2.0 - 2.8	38%	20%	2,3,1,1,2,2,0,5,2,6	'+150	-200
Kobe Brown	G	'+110	H	MIZ	USU	3ptm	1.5	1.4	1.58 - 1.0	1.0 - 1.7	38%	20%	0,3,1,0,0,1,5,1,3,2	'+145	-195
Kobe Brown	G	'+110	H	MIZ	USU	reb	7.5	6.3	6.54 - 5.5	5.5 - 6.75	28%	40%	7,9,7,6,9,6,6,5,5,8	-155	'+115
Kris Murray	F	'+105	H	IOWA	AUB	pts	19.5	20.4	22.82 - 16.64	18.14 - 22.64	54%	60%	17,22,26,26,5,14,20,28,24,19	-105	-125
Kris Murray	F	'+105	H	IOWA	AUB	3ptm	2.5	2.2	2.59 - 1.73	2.0 - 2.5	50%	40%	2,3,5,2,1,0,3,3,1,2	'+130	-175
Kris Murray	F	'+105	H	IOWA	AUB	reb	7.5	7.9	8.65 - 6.73	8.0 - 7.79	46%	20%	6,7,7,8,5,5,5,14,2,7	'+100	-135
Kris Murray	F	'+105	H	IOWA	AUB	ast	2.5	2.0	1.76 - 2.45	1.71 - 2.36	36%	80%	5,4,3,4,1,1,1,2,1,3	'+125	-165
Kyle Filipowski	C	-265	H	DUKE	ORU	reb	8.5	9.0	9.0 - 9.0	9.5 - 8.56	53%	80%	10,11,0,13,14,3,7,11,6,6	-145	'+110
Kyle Filipowski	C	-265	H	DUKE	ORU	ast	1.5	1.5	1.69 - 1.0	1.5 - 1.56	47%	20%	1,5,1,1,1,1,3,3,3,1	-105	-130
Kyle Filipowski	C	-265	H	DUKE	ORU	pts	16.5	15.4	15.92 - 13.75	15.44 - 15.39	41%	80%	20,17,22,22,11,12,13,14,22,0	-135	'+100
Kyle Filipowski	C	-265	H	DUKE	ORU	3ptm	1.5	1.0	1.0 - 1.12	1.06 - 1.0	21%	20%	1,1,4,1,0,0,1,2,0,0	'+115	-150
Lamont Butler	G	-225	H	SDSU	COFC	3ptm	0.5	1.0	1.11 - 0.5	1.36 - 0.82	67%	60%	0,1,2,0,1,2,0,0,1,0	-185	'+140
Lamont Butler	G	-225	H	SDSU	COFC	pts	7.5	8.5	9.0 - 6.5	9.0 - 8.32	55%	20%	4,7,16,0,3,10,11,2,7,4	-110	-120
Lamont Butler	G	-225	H	SDSU	COFC	ast	3.5	3.2	3.44 - 2.17	2.27 - 3.68	45%	40%	3,4,1,6,1,2,5,1,7,5	'+130	-175
Lamont Butler	G	-225	H	SDSU	COFC	reb	3.5	2.6	2.7 - 2.0	1.91 - 2.91	21%	60%	4,3,5,3,4,4,3,2,7,2	'+130	-170
Marcus Carr	G	-975	H	TEX	COLG	3ptm	1.5	2.1	2.12 - 2.25	2.0 - 2.23	59%	20%	1,1,1,0,2,2,3,0,5,2	-170	'+125
Marcus Carr	G	-975	H	TEX	COLG	pts	16.5	15.9	15.77 - 16.38	15.58 - 16.09	44%	20%	17,10,11,6,10,11,13,17,23,16	-110	-120
Marcus Carr	G	-975	H	TEX	COLG	ast	4.5	4.1	4.0 - 4.38	3.67 - 4.32	38%	20%	3,3,3,6,3,6,5,4,6,4	-160	'+120
Marcus Carr	G	-975	H	TEX	COLG	reb	3.5	3.0	2.88 - 3.5	2.42 - 3.36	32%	20%	3,4,3,3,3,5,2,6,2,4	-135	'+100
Marcus Dockery	G	'+1700	A	HOW	KU	pts	8.5	9.6	11.86 - 4.22	8.17 - 10.5	63%	80%	5,10,9,12,14,3,8,12,13,14	-120	-110
Marcus Dockery	G	'+1700	A	HOW	KU	3ptm	1.5	2.1	2.76 - 0.67	1.83 - 2.33	57%	80%	1,2,3,4,4,1,1,3,1,2	-170	'+130
Marcus Dockery	G	'+1700	A	HOW	KU	reb	2.5	2.4	2.95 - 1.11	2.08 - 2.61	50%	80%	3,4,3,1,3,0,5,4,1,4	-140	'+105
Marcus Foster	G	'+210	A	FUR	UVA	pts	7.5	10.6	11.7 - 6.43	9.64 - 11.3	71%	60%	8,1,9,16,6,15,6,17,5,8	-120	-110
Marcus Foster	G	'+210	A	FUR	UVA	reb	4.5	5.2	5.56 - 3.71	4.93 - 5.35	65%	60%	9,6,1,4,5,6,7,7,6,3	-155	'+120
Marcus Foster	G	'+210	A	FUR	UVA	ast	0.5	1.1	1.26 - 0.43	0.93 - 1.2	56%	40%	0,1,1,0,0,3,0,2,3,1	-210	'+155
Marcus Foster	G	'+210	A	FUR	UVA	3ptm	1.5	1.8	1.93 - 1.14	2.0 - 1.6	53%	40%	2,0,1,2,0,1,2,3,1,0	'+120	-160
Marcus Shaver Jr	G	'+105	A	BOIS	NU	ast	3.5	3.8	3.81 - 3.71	3.92 - 3.69	61%	40%	3,5,5,2,3,1,2,2,4,0	'+110	-150
Marcus Shaver Jr	G	'+105	A	BOIS	NU	reb	5.5	6.1	6.0 - 6.29	5.67 - 6.38	57%	80%	8,8,7,7,3,4,5,5,4,5	-150	'+110
Marcus Shaver Jr	G	'+105	A	BOIS	NU	pts	13.5	13.5	13.24 - 14.14	13.17 - 13.69	54%	60%	14,17,13,9,14,9,19,15,17,12	-105	-125
Marcus Shaver Jr	G	'+105	A	BOIS	NU	3ptm	1.5	1.0	1.33 - 0.14	0.92 - 1.12	25%	20%	0,3,0,1,0,0,1,1,3,1	'+155	-210
Mark Sears	G	-12500	H	ALA	AMCC	pts	10.5	12.5	13.62 - 6.2	11.31 - 13.29	62%	20%	3,9,3,5,17,13,8,17,2,15	-125	-105
Mark Sears	G	-12500	H	ALA	AMCC	ast	2.5	2.6	2.79 - 1.4	2.54 - 2.62	53%	20%	1,2,4,0,0,2,2,3,3,3	'+100	-130
Mark Sears	G	-12500	H	ALA	AMCC	reb	2.5	3.4	3.38 - 3.4	3.92 - 3.05	50%	40%	0,2,1,7,3,2,3,1,1,6	-140	'+105
Mark Sears	G	-12500	H	ALA	AMCC	3ptm	2.5	1.9	2.14 - 0.8	1.54 - 2.19	29%	20%	1,1,1,1,3,0,1,5,0,2	'+140	-190
Marques Warrick	G	'+1300	A	NKU	HOU	pts	15.5	19.1	21.0 - 15.67	18.25 - 19.89	76%	80%	18,22,22,14,20,26,22,21,27,6	-130	-105
Marques Warrick	G	'+1300	A	NKU	HOU	ast	1.5	2.7	2.59 - 2.83	2.31 - 3.0	74%	40%	0,0,1,3,3,0,4,6,2,5	-135	'+105
Marques Warrick	G	'+1300	A	NKU	HOU	reb	2.5	2.4	2.23 - 2.75	2.38 - 2.44	53%	40%	6,1,1,0,3,3,3,1,4,0	'+100	-130
Marques Warrick	G	'+1300	A	NKU	HOU	3ptm	2.5	2.5	2.95 - 1.75	2.31 - 2.72	41%	60%	1,1,5,3,3,5,3,5,5,0	'+105	-135
Matt Allocco	G	'+700	A	PRIN	ARIZ	reb	3.5	4.9	5.0 - 4.75	5.14 - 4.73	66%	80%	7,5,6,5,3,3,4,4,5,2	-170	'+130
Matt Allocco	G	'+700	A	PRIN	ARIZ	ast	1.5	2.0	1.81 - 2.62	1.86 - 2.2	55%	20%	1,2,1,0,1,1,0,3,6,2	'+105	-135
Matt Allocco	G	'+700	A	PRIN	ARIZ	pts	11.5	11.0	11.19 - 10.62	13.0 - 9.2	48%	60%	15,4,12,8,13,20,7,12,16,6	'+100	-135
Matt Allocco	G	'+700	A	PRIN	ARIZ	3ptm	1.5	1.5	1.38 - 1.88	2.0 - 1.07	45%	40%	3,0,0,1,2,2,0,1,1,2	'+110	-145
Matt Bradley	G	-225	H	SDSU	COFC	reb	3.5	3.8	3.59 - 4.67	4.36 - 3.5	58%	40%	2,5,2,1,6,5,2,3,4,6	-145	'+110
Matt Bradley	G	-225	H	SDSU	COFC	ast	1.5	2.1	2.22 - 1.5	2.36 - 1.95	52%	20%	0,1,2,1,1,7,1,3,2,1	-170	'+130
Matt Bradley	G	-225	H	SDSU	COFC	pts	13.5	12.9	12.59 - 14.5	13.73 - 12.55	48%	40%	16,8,13,11,16,11,13,10,17,18	-115	-115
Matt Bradley	G	-225	H	SDSU	COFC	3ptm	1.5	1.6	1.63 - 1.33	1.82 - 1.45	42%	40%	1,2,1,1,2,1,2,2,3,2	'+150	-200
Matthew Mayer	F	'+110	A	ILL	ARK	ast	0.5	1.2	1.25 - 1.0	1.36 - 1.0	66%	80%	1,1,0,1,2,2,0,3,0,4	-245	'+180
Matthew Mayer	F	'+110	A	ILL	ARK	3ptm	1.5	2.1	2.2 - 1.92	2.71 - 1.61	62%	60%	0,1,4,3,2,2,4,2,1,4	-180	'+135
Matthew Mayer	F	'+110	A	ILL	ARK	reb	6.5	5.5	5.85 - 4.83	5.07 - 5.78	41%	60%	8,6,7,3,8,7,8,7,8,5	'+105	-140
Matthew Mayer	F	'+110	A	ILL	ARK	pts	15.5	12.8	13.4 - 11.92	14.93 - 11.22	41%	40%	7,16,24,11,14,22,24,11,8,21	'+100	-135
Max Abmas	G	'+225	A	ORU	DUKE	ast	3.5	4.0	4.0 - 4.0	3.87 - 4.11	67%	80%	11,4,6,3,4,5,4,2,2,3	-150	'+110
Max Abmas	G	'+225	A	ORU	DUKE	reb	3.5	4.4	4.34 - 4.75	4.0 - 4.72	58%	20%	3,7,2,1,1,3,2,4,7,2	'+135	-180
Max Abmas	G	'+225	A	ORU	DUKE	pts	21.5	22.2	23.14 - 15.0	20.53 - 23.5	55%	40%	26,23,14,12,18,27,19,29,27,21	-125	-105
Max Abmas	G	'+225	A	ORU	DUKE	3ptm	3.5	3.5	3.79 - 1.75	3.0 - 4.0	48%	20%	3,3,4,1,2,4,3,5,4,4	'+135	-180
Max Rice	G	'+105	A	BOIS	NU	reb	4.5	4.6	4.96 - 3.56	4.21 - 4.84	55%	40%	3,1,5,3,6,7,8,4,0,1	'+110	-145
Max Rice	G	'+105	A	BOIS	NU	ast	1.5	1.7	1.83 - 1.44	1.64 - 1.79	45%	60%	1,4,2,0,5,2,2,4,0,2	-200	'+150
