Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Ceedee Lamb	9.4	9.5	9.5	8.5	9.5	9.5	-	9.7	-
Tyreek Hill	9.4	9.5	9.5	9.5	9.5	9.5	8.5	9.9	-
Jamarr Chase	8.6	8.5	8.5	8.5	8.5	8.5	8.5	8.9	-
Mike Evans	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.4	-
Amon Ra St Brown	8.3	8.5	7.5	8.5	8.5	8.5	8.5	8.2	-
Aj Brown	8.2	8.5	8.5	7.5	8.5	7.5	8.5	8.2	-
Garrett Wilson	7.7	7.5	7.5	7.5	8.5	7.5	7.5	8.2	-
Justin Jefferson	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.4	-
Rashee Rice	7.1	-	-	-	-	-	-	7.1	-
Dk Metcalf	6.9	6.5	-	7.5	6.5	6.5	6.5	8.1	-
Davante Adams	6.9	6.5	7.5	7.5	6.5	7.5	6.5	6.5	-
Puka Nacua	6.6	6.5	6.5	6.5	6.5	-	-	7.2	-
Drake London	6.6	6.5	6.5	6.5	6.5	6.5	6.5	7.0	-
Cooper Kupp	6.6	6.5	6.5	6.5	6.5	6.5	6.5	7.3	-
Devonta Smith	6.4	6.5	5.5	6.5	6.5	6.5	6.5	7.1	-
Dj Moore	6.4	6.5	5.5	6.5	6.5	6.5	6.5	7.0	-
Brandon Aiyuk	6.3	5.5	-	-	-	-	-	7.2	-
Nico Collins	6.1	5.5	5.5	6.5	6.5	5.5	5.5	7.4	-
Marvin Harrison	6.1	6.5	6.5	5.5	6.5	5.5	5.5	6.8	-
Tee Higgins	6.1	5.5	5.5	6.5	5.5	-	-	7.5	-
Stefon Diggs	6.1	5.5	5.5	6.5	6.5	5.5	6.5	6.6	-
Christian Watson	6.1	5.5	-	6.5	5.5	5.5	6.5	7.0	-
Marquise Brown	6.1	-	-	-	-	-	-	6.1	-
Deebo Samuel Sr	5.9	-	-	-	-	-	-	5.9	-
Jordan Addison	5.9	-	-	-	-	-	-	5.9	-
Chris Olave	5.8	5.5	5.5	6.5	5.5	5.5	5.5	6.5	-
Courtland Sutton	5.8	5.5	-	-	-	-	-	6.1	-
Deandre Hopkins	5.7	-	-	-	-	-	-	5.7	-
Amari Cooper	5.6	5.5	5.5	5.5	5.5	-	5.5	6.3	-
Zay Flowers	5.6	5.5	5.5	5.5	-	5.5	5.5	6.2	-
