Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Bijan Robinson	65.8	-	-	-	-	-	-	65.8	-
Alvin Kamara	65.8	-	-	-	-	65.5	-	66.0	-
Christian Mccaffrey	63.9	62.5	60.5	-	62.5	-	-	69.9	-
Breece Hall	63.1	-	-	-	-	59.5	-	66.8	-
Jahmyr Gibbs	54.6	-	-	-	-	-	-	54.6	-
Rachaad White	52.6	-	-	-	-	-	-	52.6	-
Jaylen Warren	47.5	-	-	-	-	-	-	47.5	-
Austin Ekeler	46.3	-	-	-	-	-	-	46.3	-
Travis Etienne	46.1	-	-	-	-	-	-	46.1	-
Devon Achane	45.4	-	-	-	-	-	-	45.4	-
James Cook	45.0	-	-	-	-	-	-	45.0	-
Saquon Barkley	44.2	-	40.5	-	-	-	-	48.0	-
Tyjae Spears	43.3	-	-	-	-	-	-	43.3	-
Aaron Jones	42.8	-	-	-	-	-	-	42.8	-
Javonte Williams	41.2	-	-	-	-	-	-	41.2	-
Rhamondre Stevenson	41.0	-	-	-	-	-	-	41.0	-
Joe Mixon	40.1	-	-	-	-	-	-	40.1	-
Josh Jacobs	39.9	-	-	-	-	-	-	39.9	-
Isiah Pacheco	38.8	-	-	-	-	-	-	38.8	-
Antonio Gibson	38.1	-	-	-	-	-	-	38.1	-
Jonathan Taylor	37.3	-	-	-	-	-	-	37.3	-
Chase Brown	37.3	-	-	-	-	-	-	37.3	-
Dandre Swift	36.5	-	-	-	-	-	-	36.5	-
Kyren Williams	34.4	-	-	-	-	-	-	34.4	-
Tony Pollard	34.2	-	-	-	-	-	-	34.2	-
Jerome Ford	34.2	-	-	-	-	-	-	34.2	-
Devin Singletary	33.0	-	-	-	-	-	-	33.0	-
Zamir White	32.9	-	-	-	-	-	-	32.9	-
Jaleel Mclaughlin	32.8	-	-	-	-	-	-	32.8	-
James Conner	32.6	-	-	-	-	-	-	32.6	-
Zach Charbonnet	31.8	-	-	-	-	-	-	31.8	-
Zack Moss	29.5	-	-	-	-	-	-	29.5	-
Ezekiel Elliott	29.2	-	-	-	-	-	-	29.2	-
Kenneth Walker	29.1	-	-	-	-	-	-	29.1	-
Brian Robinson	28.8	-	-	-	-	-	-	28.8	-
Najee Harris	28.6	-	-	-	-	-	-	28.6	-
Chuba Hubbard	27.7	-	-	-	-	-	-	27.7	-
Raheem Mostert	25.4	-	-	-	-	-	-	25.4	-
Derrick Henry	24.9	-	-	-	-	-	-	24.9	-
Jk Dobbins	24.9	-	-	-	-	-	-	24.9	-
Rico Dowdle	23.6	-	-	-	-	-	-	23.6	-
Jonathon Brooks	23.1	-	-	-	-	-	-	23.1	-
David Montgomery	22.4	-	-	-	-	-	-	22.4	-
Samaje Perine	22.0	-	-	-	-	-	-	22.0	-
Ty Chandler	21.1	-	-	-	-	-	-	21.1	-
Tyler Allgeier	21.1	-	-	-	-	-	-	21.1	-
Bucky Irving	21.0	-	-	-	-	-	-	21.0	-
Blake Corum	19.5	-	-	-	-	-	-	19.5	-
Trey Benson	19.1	-	-	-	-	-	-	19.1	-
Jamaal Williams	17.9	-	-	-	-	-	-	17.9	-
Roschon Johnson	17.9	-	-	-	-	-	-	17.9	-
Kenneth Gainwell	17.8	-	-	-	-	-	-	17.8	-
Nick Chubb	17.5	-	-	-	-	-	-	17.5	-
Marshawn Lloyd	16.9	-	-	-	-	-	-	16.9	-
Ray Davis	16.7	-	-	-	-	-	-	16.7	-
Khalil Herbert	16.6	-	-	-	-	-	-	16.6	-
Tyrone Tracy	16.3	-	-	-	-	-	-	16.3	-
Miles Sanders	16.2	-	-	-	-	-	-	16.2	-
Gus Edwards	15.0	-	-	-	-	-	-	15.0	-
Kyle Juszczyk	15.0	-	-	-	-	-	-	15.0	-
Alexander Mattison	14.5	-	-	-	-	-	-	14.5	-
Clyde Edwards Helaire	14.2	-	-	-	-	-	-	14.2	-
Justice Hill	13.8	-	-	-	-	-	-	13.8	-
Emari Demercado	13.4	-	-	-	-	-	-	13.4	-
Ty Johnson	13.1	-	-	-	-	-	-	13.1	-
Audric Estime	12.9	-	-	-	-	-	-	12.9	-
Jaylen Wright	12.8	-	-	-	-	-	-	12.8	-
Braelon Allen	12.6	-	-	-	-	-	-	12.6	-
Kendre Miller	11.9	-	-	-	-	-	-	11.9	-
Chase Edmonds	11.0	-	-	-	-	-	-	11.0	-
Kimani Vidal	10.8	-	-	-	-	-	-	10.8	-
Eric Gray	10.8	-	-	-	-	-	-	10.8	-
Ameer Abdullah	10.7	-	-	-	-	-	-	10.7	-
Donta Foreman	10.6	-	-	-	-	-	-	10.6	-
Dameon Pierce	10.5	-	-	-	-	-	-	10.5	-
Cordarrelle Patterson	10.4	-	-	-	-	-	-	10.4	-
Jordan Mason	10.1	-	-	-	-	-	-	10.1	-
Emanuel Wilson	10.0	-	-	-	-	-	-	10.0	-
Michael Carter	10.0	-	-	-	-	-	-	10.0	-
Jamycal Hasty	9.6	-	-	-	-	-	-	9.6	-
Tank Bigsby	9.2	-	-	-	-	-	-	9.2	-
Jeremy Mcnichols	9.2	-	-	-	-	-	-	9.2	-
Deuce Vaughn	9.1	-	-	-	-	-	-	9.1	-
Keaton Mitchell	8.6	-	-	-	-	-	-	8.6	-
Dalvin Cook	8.4	-	-	-	-	-	-	8.4	-
Evan Hull	8.0	-	-	-	-	-	-	8.0	-
Trey Sermon	7.9	-	-	-	-	-	-	7.9	-
Dylan Laube	7.7	-	-	-	-	-	-	7.7	-
Alec Ingold	7.6	-	-	-	-	-	-	7.6	-
Tyler Goodson	7.5	-	-	-	-	-	-	7.5	-
Dare Ogunbowale	7.3	-	-	-	-	-	-	7.3	-
Chris Rodriguez	7.0	-	-	-	-	-	-	7.0	-
Isaac Guerendo	6.5	-	-	-	-	-	-	6.5	-
Trayveon Williams	6.1	-	-	-	-	-	-	6.1	-
Cam Akers	5.7	-	-	-	-	-	-	5.7	-
Isaiah Davis	5.6	-	-	-	-	-	-	5.6	-
Pierre Strong	5.5	-	-	-	-	-	-	5.5	-
Dernest Johnson	5.5	-	-	-	-	-	-	5.5	-
Jase Mcclellan	5.4	-	-	-	-	-	-	5.4	-
Will Shipley	5.2	-	-	-	-	-	-	5.2	-
Kevin Harris	5.0	-	-	-	-	-	-	5.0	-
Raheem Blackshear	4.7	-	-	-	-	-	-	4.7	-
Ronnie Rivers	4.6	-	-	-	-	-	-	4.6	-
Carson Steele	4.6	-	-	-	-	-	-	4.6	-
Nyheim Hines	4.5	-	-	-	-	-	-	4.5	-
Reggie Gilliam	4.4	-	-	-	-	-	-	4.4	-
Craig Reynolds	4.1	-	-	-	-	-	-	4.1	-
Kenny Mcintosh	4.1	-	-	-	-	-	-	4.1	-
Jawhar Jordan	4.0	-	-	-	-	-	-	4.0	-
Deneric Prince	4.0	-	-	-	-	-	-	4.0	-
Blake Watson	4.0	-	-	-	-	-	-	4.0	-
Hunter Luepke	4.0	-	-	-	-	-	-	4.0	-
Carlos Washington	4.0	-	-	-	-	-	-	4.0	-
Rasheen Ali	3.9	-	-	-	-	-	-	3.9	-
Julius Chestnut	3.9	-	-	-	-	-	-	3.9	-
Avery Williams	3.9	-	-	-	-	-	-	3.9	-
Patrick Ricard	3.7	-	-	-	-	-	-	3.7	-
Michael Burton	3.7	-	-	-	-	-	-	3.7	-
Jordan Mims	3.5	-	-	-	-	-	-	3.5	-
Deejay Dallas	3.5	-	-	-	-	-	-	3.5	-
Adam Prentice	3.3	-	-	-	-	-	-	3.3	-
Cj Ham	3.3	-	-	-	-	-	-	3.3	-
Jeff Wilson	3.2	-	-	-	-	-	-	3.2	-
Travis Homer	3.1	-	-	-	-	-	-	3.1	-
Malik Davis	3.0	-	-	-	-	-	-	3.0	-
Sean Tucker	2.8	-	-	-	-	-	-	2.8	-
Israel Abanikanda	2.7	-	-	-	-	-	-	2.7	-
Hassan Haskins	2.7	-	-	-	-	-	-	2.7	-
Sione Vaki	2.5	-	-	-	-	-	-	2.5	-
Boston Scott	2.4	-	-	-	-	-	-	2.4	-
Cody Schrader	2.0	-	-	-	-	-	-	2.0	-
Emani Bailey	2.0	-	-	-	-	-	-	2.0	-
Keilan Robinson	2.0	-	-	-	-	-	-	2.0	-
Keaontay Ingram	2.0	-	-	-	-	-	-	2.0	-
Myles Gaskin	2.0	-	-	-	-	-	-	2.0	-
Lamical Perine	2.0	-	-	-	-	-	-	2.0	-
Patrick Taylor	1.9	-	-	-	-	-	-	1.9	-
