Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Xavier Legette	504.1	500.5	450.5	475.5	-	500.5	-	593.3	-
Roman Wilson	480.0	-	-	-	-	-	-	480.0	-
Kendrick Bourne	471.3	-	-	-	-	-	-	471.3	-
Tim Patrick	467.0	-	-	-	-	-	-	467.0	-
Noah Brown	466.2	-	-	-	-	-	-	466.2	-
Jalen Tolbert	464.3	-	-	-	-	-	-	464.3	-
Troy Franklin	443.3	-	-	-	-	-	-	443.3	-
Jermaine Burton	442.6	-	-	-	-	-	-	442.6	-
Jahan Dotson	435.7	-	-	-	-	-	-	435.7	-
Elijah Moore	428.4	-	-	-	-	-	-	428.4	-
Tre Tucker	424.4	-	-	-	-	-	-	424.4	-
Greg Dortch	424.1	-	-	-	-	-	-	424.1	-
Andrei Iosivas	424.0	-	-	-	-	-	-	424.0	-
Jonathan Mingo	422.8	-	-	-	-	-	-	422.8	-
Luke Mccaffrey	422.7	-	-	-	-	-	-	422.7	-
Malachi Corley	404.2	-	-	-	-	-	-	404.2	-
Dyami Brown	403.2	-	-	-	-	-	-	403.2	-
Ricky Pearsall	393.9	-	-	-	-	-	-	393.9	-
Odell Beckham	379.6	-	-	-	-	-	-	379.6	-
Ray Ray Mccloud	374.2	-	-	-	-	-	-	374.2	-
Alec Pierce	362.6	-	-	-	-	-	-	362.6	-
Treylon Burks	358.0	-	-	-	-	-	-	358.0	-
Kalif Raymond	356.9	-	-	-	-	-	-	356.9	-
Trey Palmer	344.0	-	-	-	-	-	-	344.0	-
Jalen Nailor	341.5	-	-	-	-	-	-	341.5	-
Cedrick Wilson	330.3	-	-	-	-	-	-	330.3	-
Van Jefferson	327.1	-	-	-	-	-	-	327.1	-
At Perry	318.1	-	-	-	-	-	-	318.1	-
Cedric Tillman	307.9	-	-	-	-	-	-	307.9	-
Jauan Jennings	302.9	-	-	-	-	-	-	302.9	-
Kj Osborn	301.0	-	-	-	-	-	-	301.0	-
Calvin Austin	294.7	-	-	-	-	-	-	294.7	-
Nelson Agholor	291.8	-	-	-	-	-	-	291.8	-
Zay Jones	291.0	-	-	-	-	-	-	291.0	-
Devontez Walker	273.2	-	-	-	-	-	-	273.2	-
Khadarel Hodge	272.0	-	-	-	-	-	-	272.0	-
Olamide Zaccheaus	270.4	-	-	-	-	-	-	270.4	-
Javon Baker	269.7	-	-	-	-	-	-	269.7	-
Allen Lazard	249.9	-	-	-	-	-	-	249.9	-
John Metchie	232.7	-	-	-	-	-	-	232.7	-
Trenton Irwin	230.2	-	-	-	-	-	-	230.2	-
Tutu Atwell	229.8	-	-	-	-	-	-	229.8	-
Juju Smith Schuster	223.8	-	-	-	-	-	-	223.8	-
Xavier Gipson	221.4	-	-	-	-	-	-	221.4	-
Kavontae Turpin	220.3	-	-	-	-	-	-	220.3	-
Parker Washington	217.1	-	-	-	-	-	-	217.1	-
Tyquan Thornton	199.6	-	-	-	-	-	-	199.6	-
Dj Montgomery	192.0	-	-	-	-	-	-	192.0	-
Mack Hollins	185.4	-	-	-	-	-	-	185.4	-
Isaiah Hodgins	183.0	-	-	-	-	-	-	183.0	-
Donovan Peoples Jones	181.0	-	-	-	-	-	-	181.0	-
Rakim Jarrett	175.0	-	-	-	-	-	-	175.0	-
Jake Bobo	173.7	-	-	-	-	-	-	173.7	-
Justin Watson	172.9	-	-	-	-	-	-	172.9	-
Trent Sherfield Sr	165.5	-	-	-	-	-	-	165.5	-
Isaiah Williams	161.8	-	-	-	-	-	-	161.8	-
Bub Means	160.2	-	-	-	-	-	-	160.2	-
David Bell	157.5	-	-	-	-	-	-	157.5	-
Malik Washington	157.0	-	-	-	-	-	-	157.0	-
Marquez Valdes Scantling	155.0	-	-	-	-	-	-	155.0	-
Parris Campbell	152.0	-	-	-	-	-	-	152.0	-
Brandon Powell	143.4	-	-	-	-	-	-	143.4	-
Nick Westbrook Ikhine	143.4	-	-	-	-	-	-	143.4	-
Ryan Flournoy	141.1	-	-	-	-	-	-	141.1	-
Ainias Smith	141.0	-	-	-	-	-	-	141.0	-
Jamari Thrash	141.0	-	-	-	-	-	-	141.0	-
Braxton Berrios	140.6	-	-	-	-	-	-	140.6	-
Johnny Wilson	140.0	-	-	-	-	-	-	140.0	-
Devaughn Vele	139.1	-	-	-	-	-	-	139.1	-
Jacob Cowing	134.0	-	-	-	-	-	-	134.0	-
Tahj Washington	131.0	-	-	-	-	-	-	131.0	-
Nikko Remigio	130.0	-	-	-	-	-	-	130.0	-
Jordan Whittington	129.6	-	-	-	-	-	-	129.6	-
Quez Watkins	127.0	-	-	-	-	-	-	127.0	-
Marcus Rosemy Jacksaint	126.0	-	-	-	-	-	-	126.0	-
Kj Hamler	125.0	-	-	-	-	-	-	125.0	-
Brandon Johnson	124.0	-	-	-	-	-	-	124.0	-
Tejhaun Palmer	122.0	-	-	-	-	-	-	122.0	-
Jamison Crowder	119.9	-	-	-	-	-	-	119.9	-
Michael Woods	119.0	-	-	-	-	-	-	119.0	-
Allen Robinson	113.0	-	-	-	-	-	-	113.0	-
Ben Skowronek	111.0	-	-	-	-	-	-	111.0	-
David Moore	108.0	-	-	-	-	-	-	108.0	-
Jalen Brooks	106.9	-	-	-	-	-	-	106.9	-
Casey Washington	105.8	-	-	-	-	-	-	105.8	-
Justyn Ross	103.0	-	-	-	-	-	-	103.0	-
Tyler Scott	101.7	-	-	-	-	-	-	101.7	-
Skyy Moore	99.5	-	-	-	-	-	-	99.5	-
Chris Moore	92.6	-	-	-	-	-	-	92.6	-
Equanimeous St Brown	91.0	-	-	-	-	-	-	91.0	-
Jalen Reagor	90.7	-	-	-	-	-	-	90.7	-
Robert Woods	89.4	-	-	-	-	-	-	89.4	-
Devin Duvernay	88.5	-	-	-	-	-	-	88.5	-
Brenden Rice	87.9	-	-	-	-	-	-	87.9	-
Kayshon Boutte	86.3	-	-	-	-	-	-	86.3	-
Mason Tipton	86.1	-	-	-	-	-	-	86.1	-
Zach Pascal	83.5	-	-	-	-	-	-	83.5	-
Charlie Jones	83.1	-	-	-	-	-	-	83.1	-
Derius Davis	81.2	-	-	-	-	-	-	81.2	-
Anthony Gould	80.8	-	-	-	-	-	-	80.8	-
Jalen Guyton	79.9	-	-	-	-	-	-	79.9	-
Robbie Chosen	79.0	-	-	-	-	-	-	79.0	-
River Cracraft	78.9	-	-	-	-	-	-	78.9	-
Jason Brownlee	78.6	-	-	-	-	-	-	78.6	-
Ronnie Bell	78.0	-	-	-	-	-	-	78.0	-
Deonte Harty	77.2	-	-	-	-	-	-	77.2	-
Xavier Hutchinson	76.6	-	-	-	-	-	-	76.6	-
Ashton Dulin	75.1	-	-	-	-	-	-	75.1	-
Bryce Ford Wheaton	74.8	-	-	-	-	-	-	74.8	-
Trequan Smith	74.0	-	-	-	-	-	-	74.0	-
Scotty Miller	69.6	-	-	-	-	-	-	69.6	-
Bo Melton	68.5	-	-	-	-	-	-	68.5	-
Chris Conley	67.1	-	-	-	-	-	-	67.1	-
Mecole Hardman	64.5	-	-	-	-	-	-	64.5	-
Terrace Marshall	64.0	-	-	-	-	-	-	64.0	-
John Stephens	63.9	-	-	-	-	-	-	63.9	-
Malik Heath	62.1	-	-	-	-	-	-	62.1	-
Dareke Young	59.7	-	-	-	-	-	-	59.7	-
Britain Covey	57.1	-	-	-	-	-	-	57.1	-
Tim Jones	57.0	-	-	-	-	-	-	57.0	-
Dee Eskridge	56.0	-	-	-	-	-	-	56.0	-
Laviska Shenault	54.9	-	-	-	-	-	-	54.9	-
Gunner Olszewski	44.5	-	-	-	-	-	-	44.5	-
Tylan Wallace	41.3	-	-	-	-	-	-	41.3	-
Jhaquan Jackson	41.0	-	-	-	-	-	-	41.0	-
Dj Turner	37.4	-	-	-	-	-	-	37.4	-
Irvin Charles	29.7	-	-	-	-	-	-	29.7	-
Kyle Philips	29.1	-	-	-	-	-	-	29.1	-
Tyler Johnson	25.2	-	-	-	-	-	-	25.2	-
Velus Jones	25.0	-	-	-	-	-	-	25.0	-
Montrell Washington	21.1	-	-	-	-	-	-	21.1	-
Deandre Carter	21.0	-	-	-	-	-	-	21.0	-
Simi Fehoko	20.2	-	-	-	-	-	-	20.2	-
Cody White	19.5	-	-	-	-	-	-	19.5	-
Byron Pringle	18.9	-	-	-	-	-	-	18.9	-
Trishton Jackson	18.7	-	-	-	-	-	-	18.7	-
Kristian Wilkerson	17.5	-	-	-	-	-	-	17.5	-
David Sills V	16.9	-	-	-	-	-	-	16.9	-
