Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Travis Kelce	870.4	900.5	830.5	850.5	850.5	850.5	850.5	959.8	-
Sam Laporta	852.8	850.5	825.5	825.5	875.5	850.5	850.5	891.3	-
Trey Mcbride	796.4	-	800.5	775.5	775.5	750.5	-	879.9	-
Kyle Pitts	785.6	750.5	775.5	775.5	800.5	775.5	750.5	871.1	-
George Kittle	781.7	750.5	750.5	775.5	-	-	750.5	881.3	-
Dalton Kincaid	778.6	750.5	775.5	800.5	750.5	800.5	750.5	822.1	-
Mark Andrews	778.2	800.5	750.5	725.5	800.5	750.5	750.5	869.7	-
Evan Engram	746.0	-	-	725.5	-	725.5	-	786.9	-
David Njoku	720.8	725.5	700.5	675.5	700.5	-	750.5	772.3	-
Jake Ferguson	692.7	675.5	-	700.5	-	650.5	700.5	736.5	-
Brock Bowers	649.9	650.5	625.5	600.5	675.5	650.5	650.5	696.1	-
Dallas Goedert	635.4	-	625.5	625.5	-	600.5	-	689.9	-
Tj Hockenson	561.3	-	-	-	-	-	-	561.3	-
Dalton Schultz	533.7	550.5	525.5	500.5	525.5	500.5	525.5	607.8	-
Chigoziem Okonkwo	513.5	-	-	-	-	-	-	513.5	-
Pat Freiermuth	504.9	475.5	-	475.5	500.5	-	500.5	572.4	-
Luke Musgrave	499.4	-	-	-	-	-	-	499.4	-
Cade Otton	490.1	-	-	-	-	-	-	490.1	-
Noah Fant	488.5	-	-	-	-	-	-	488.5	-
Cole Kmet	476.9	-	-	450.5	-	-	-	503.4	-
Tyler Conklin	469.5	-	-	450.5	-	425.5	-	532.5	-
Juwan Johnson	453.7	-	-	-	-	-	-	453.7	-
Hunter Henry	450.9	-	-	400.5	-	-	-	501.3	-
Isaiah Likely	423.2	-	-	-	-	-	-	423.2	-
Jonnu Smith	417.1	-	-	-	-	-	-	417.1	-
Hayden Hurst	390.9	-	-	-	-	-	-	390.9	-
Greg Dulcich	377.0	-	-	-	-	-	-	377.0	-
Ben Sinnott	361.0	-	-	-	-	-	-	361.0	-
Zach Ertz	353.7	-	-	-	-	-	-	353.7	-
Mike Gesicki	352.0	-	-	-	-	-	-	352.0	-
Theo Johnson	345.7	-	-	-	-	-	-	345.7	-
