Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rush_td	4.2	o4.5 -125/+100	o4.5 +108/-138	o3.5 -135/105	o4.5 +100/-130	o3.5 -124/100	o3.5 -135/110	5.1	-
	rec	45.0	-	-	-	-	-	-	45.0	-
	rec_yd	382.4	-	-	-	-	-	-	382.4	-
	rec_td	2.8	-	-	-	-	-	-	2.8	-

Devon Achane
172.59 FPTS	rush_att	175.0	-	-	-	-	-	-	175.0	-
2.09 ADP	rush_yd	783.6	o750.5 -110/-110	o775.5 -112/-112	o775.5 -115/-115	o775.5 -110/-110	o750.5 -112/-112	o750.5 -110/-110	907.1	-
	rush_td	7.0	o7.5 +120/-145	o7.5 +124/-158	o6.5 -120/-110	o7.5 +120/-150	o6.5 -136/110	o6.5 -125/105	7.2	-
	rec	45.4	-	-	-	-	-	-	45.4	-
	rec_yd	348.3	-	-	-	-	-	-	348.3	-
	rec_td	2.9	-	-	-	-	-	-	2.9	-

Isiah Pacheco
171.72 FPTS	rush_att	238.1	-	-	-	-	-	-	238.1	-
2.08 ADP	rush_yd	931.0	o900.5 -115/-105	o925.5 -112/-112	o900.5 -115/-115	o925.5 -110/-110	o900.5 -112/-112	o900.5 -115/-105	1064.0	-
	rush_td	6.9	o6.5 -110/-110	o6.5 -116/-110	o6.5 -115/-115	o6.5 -110/-110	o6.5 -125/101	o7.5 110/-130	8.5	-
	rec	38.8	-	-	-	-	-	-	38.8	-
	rec_yd	258.2	-	-	-	-	-	-	258.2	-
	rec_td	1.9	-	-	-	-	-	-	1.9	-

Joe Mixon
170.25 FPTS	rush_att	244.8	-	-	-	-	-	-	244.8	-
4.06 ADP	rush_yd	852.1	o850.5 +100/-125	o825.5 -112/-112	o800.5 -115/-115	o850.5 -110/-110	o825.5 -112/-112	o850.5 100/-120	961.8	-
	rush_td	6.9	o6.5 -110/-110	o6.5 -124/-102	o7.5 130/-160	o6.5 -115/-105	o6.5 -137/110	-	7.6	-
	rec	40.1	-	-	-	-	-	-	40.1	-
	rec_yd	304.4	-	-	-	-	-	-	304.4	-
	rec_td	2.2	-	-	-	-	-	-	2.2	-

Rachaad White
170.2 FPTS	rush_att	235.2	-	-	-	-	-	-	235.2	-
3.11 ADP	rush_yd	823.8	o825.5 +105/-125	o800.5 -112/-112	o775.5 -115/-115	o825.5 +100/-130	o800.5 -112/-112	o825.5 100/-120	913.9	-
	rush_td	5.6	o5.5 -105/-115	o5.5 -112/-112	o5.5 110/-140	o5.5 +100/-130	o5.5 100/-124	o5.5 -105/-115	6.5	-
	rec	52.6	-	-	-	-	-	-	52.6	-
	rec_yd	398.2	-	-	o400.5 -115/-115	-	-	-	395.9	-
	rec_td	2.4	-	-	-	-	-	-	2.4	-

Kenneth Walker
169.77 FPTS	rush_att	240.9	-	-	-	-	-	-	240.9	-
4.08 ADP	rush_yd	921.5	-	o900.5 -112/-112	o925.5 -115/-115	o875.5 -110/-110	o900.5 -112/-112	-	1005.7	-
	rush_td	8.2	-	o7.5 -112/-112	o8.5 125/-155	o8.5 +110/-140	o7.5 -134/108	-	9.0	-
	rec	29.1	-	-	-	-	-	-	29.1	-
	rec_yd	224.2	-	-	-	-	-	-	224.2	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

David Montgomery
162.55 FPTS	rush_att	205.1	-	-	-	-	-	-	205.1	-
5.12 ADP	rush_yd	833.9	-	o825.5 -112/-112	o800.5 -115/-115	o825.5 -105/-115	-	o815.5 100/-120	902.4	-
	rush_td	9.6	-	o9.5 -104/-122	o9.5 110/-140	o9.5 +110/-140	-	o9.5 115/-140	9.9	-
	rec	22.4	-	-	-	-	-	-	22.4	-
