PLAYER	ECR / ADP	REC	REC_YD	REC_TD	POINTS
*Ko Kieft	 / 	4.8	46.1	0.6	8.21
*Charlie Woerner	 / 	8.1	62.4	0.3	8.04
*Eric Saubert	 / 	6.9	57.2	0.3	7.52
*Anthony Firkser	 / 	4.4	41.4	0.3	5.94
*Parker Hesse	 / 	3.7	36.8	0.3	5.48
*Nick Muse	 / 	3.7	35.7	0.3	5.37
*Chris Manhertz	 / 	5.4	46.8	0.1	5.28
*Josiah Deguara	 / 	5.0	51.0	0.0	5.1
*Kenny Yeboah	 / 	2.9	28.6	0.2	4.06
*Teagan Quitoriano	 / 	2.0	22.3	0.2	3.43
*Stephen Carlson	 / 	2.0	19.3	0.2	3.13
*Tommy Hudson	 / 	2.0	19.3	0.2	3.13
*Jake Tonges	 / 	1.8	17.3	0.2	2.93
*Mitchell Wilcox	 / 	3.4	24.5	0.0	2.45
