Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Raheem Blackshear	34.6	-	-	-	-	-	-	34.6	-
Ronnie Rivers	33.3	-	-	-	-	-	-	33.3	-
Craig Reynolds	33.3	-	-	-	-	-	-	33.3	-
Reggie Gilliam	33.2	-	-	-	-	-	-	33.2	-
Nyheim Hines	32.3	-	-	-	-	-	-	32.3	-
Kenny Mcintosh	32.2	-	-	-	-	-	-	32.2	-
Julius Chestnut	31.4	-	-	-	-	-	-	31.4	-
Rasheen Ali	31.0	-	-	-	-	-	-	31.0	-
Deneric Prince	29.0	-	-	-	-	-	-	29.0	-
Blake Watson	28.6	-	-	-	-	-	-	28.6	-
Hunter Luepke	27.1	-	-	-	-	-	-	27.1	-
Jawhar Jordan	27.0	-	-	-	-	-	-	27.0	-
Patrick Ricard	26.2	-	-	-	-	-	-	26.2	-
Jordan Mims	25.3	-	-	-	-	-	-	25.3	-
Michael Burton	24.5	-	-	-	-	-	-	24.5	-
Deejay Dallas	24.0	-	-	-	-	-	-	24.0	-
Jeff Wilson	23.6	-	-	-	-	-	-	23.6	-
Avery Williams	23.1	-	-	-	-	-	-	23.1	-
Malik Davis	23.0	-	-	-	-	-	-	23.0	-
Adam Prentice	23.0	-	-	-	-	-	-	23.0	-
Cj Ham	22.4	-	-	-	-	-	-	22.4	-
Travis Homer	22.1	-	-	-	-	-	-	22.1	-
Carlos Washington	22.0	-	-	-	-	-	-	22.0	-
Sean Tucker	21.4	-	-	-	-	-	-	21.4	-
Israel Abanikanda	19.0	-	-	-	-	-	-	19.0	-
Sione Vaki	18.7	-	-	-	-	-	-	18.7	-
Emani Bailey	18.0	-	-	-	-	-	-	18.0	-
Boston Scott	17.5	-	-	-	-	-	-	17.5	-
Hassan Haskins	17.4	-	-	-	-	-	-	17.4	-
Keilan Robinson	15.0	-	-	-	-	-	-	15.0	-
Cody Schrader	14.0	-	-	-	-	-	-	14.0	-
Patrick Taylor	13.5	-	-	-	-	-	-	13.5	-
Myles Gaskin	11.0	-	-	-	-	-	-	11.0	-
Lamical Perine	11.0	-	-	-	-	-	-	11.0	-
Keaontay Ingram	10.0	-	-	-	-	-	-	10.0	-
Tyrion Davis Price	3.0	-	-	-	-	-	-	3.0	-
