Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Sam Laporta	82.7	82.5	79.5	-	82.5	82.5	-	86.3	-
Evan Engram	82.5	-	-	-	-	79.5	-	85.4	-
Travis Kelce	82.0	80.5	79.5	-	80.5	80.5	-	88.9	-
Trey Mcbride	82.0	-	79.5	-	-	80.5	-	86.1	-
Dalton Kincaid	79.1	80.5	77.5	-	80.5	74.5	-	82.3	-
Jake Ferguson	69.1	-	-	-	-	67.5	-	70.7	-
Mark Andrews	67.8	67.5	-	-	67.5	64.5	-	71.9	-
David Njoku	66.9	65.5	-	-	65.5	-	-	69.8	-
Kyle Pitts	65.3	-	64.5	-	-	63.5	-	67.9	-
Dallas Goedert	64.0	-	-	-	-	62.5	-	65.5	-
George Kittle	61.4	59.5	-	-	59.5	-	-	65.2	-
Brock Bowers	60.2	-	-	-	-	57.5	-	62.9	-
Tj Hockenson	56.1	-	-	-	-	-	-	56.1	-
Pat Freiermuth	54.8	-	-	-	-	-	-	54.8	-
Dalton Schultz	53.2	-	-	-	-	49.5	-	56.9	-
Cole Kmet	50.9	-	-	-	-	-	-	50.9	-
Tyler Conklin	50.4	-	-	-	-	47.5	-	53.3	-
Cade Otton	49.3	-	-	-	-	-	-	49.3	-
Hunter Henry	48.3	-	-	-	-	-	-	48.3	-
Chigoziem Okonkwo	48.3	-	-	-	-	-	-	48.3	-
Luke Musgrave	47.5	-	-	-	-	-	-	47.5	-
Noah Fant	45.9	-	-	-	-	-	-	45.9	-
Juwan Johnson	41.7	-	-	-	-	-	-	41.7	-
Hayden Hurst	40.6	-	-	-	-	-	-	40.6	-
Zach Ertz	38.4	-	-	-	-	-	-	38.4	-
Jonnu Smith	37.8	-	-	-	-	-	-	37.8	-
Mike Gesicki	35.9	-	-	-	-	-	-	35.9	-
Theo Johnson	35.6	-	-	-	-	-	-	35.6	-
Ben Sinnott	35.5	-	-	-	-	-	-	35.5	-
Isaiah Likely	35.2	-	-	-	-	-	-	35.2	-
Greg Dulcich	33.5	-	-	-	-	-	-	33.5	-
Tucker Kraft	32.7	-	-	-	-	-	-	32.7	-
Gerald Everett	32.5	-	-	-	-	-	-	32.5	-
Tyler Higbee	31.8	-	-	-	-	-	-	31.8	-
Daniel Bellinger	31.4	-	-	-	-	-	-	31.4	-
Kylen Granson	31.0	-	-	-	-	-	-	31.0	-
Jatavion Sanders	29.9	-	-	-	-	-	-	29.9	-
Michael Mayer	29.0	-	-	-	-	-	-	29.0	-
Dawson Knox	28.3	-	-	-	-	-	-	28.3	-
Colby Parkinson	27.8	-	-	-	-	-	-	27.8	-
Tommy Tremble	27.5	-	-	-	-	-	-	27.5	-
Will Dissly	24.8	-	-	-	-	-	-	24.8	-
Noah Gray	22.7	-	-	-	-	-	-	22.7	-
Josh Oliver	19.7	-	-	-	-	-	-	19.7	-
Durham Smythe	19.6	-	-	-	-	-	-	19.6	-
Austin Hooper	19.4	-	-	-	-	-	-	19.4	-
Johnny Mundt	18.4	-	-	-	-	-	-	18.4	-
Tanner Hudson	17.8	-	-	-	-	-	-	17.8	-
Mo Alie Cox	17.3	-	-	-	-	-	-	17.3	-
Adam Trautman	17.3	-	-	-	-	-	-	17.3	-
Brock Wright	17.1	-	-	-	-	-	-	17.1	-
Jeremy Ruckert	16.7	-	-	-	-	-	-	16.7	-
Jaheim Bell	16.5	-	-	-	-	-	-	16.5	-
Elijah Higgins	16.3	-	-	-	-	-	-	16.3	-
Darnell Washington	15.5	-	-	-	-	-	-	15.5	-
Robert Tonyan	15.0	-	-	-	-	-	-	15.0	-
Brevin Jordan	14.6	-	-	-	-	-	-	14.6	-
Connor Heyward	14.6	-	-	-	-	-	-	14.6	-
Donald Parham	14.4	-	-	-	-	-	-	14.4	-
Cameron Latu	13.0	-	-	-	-	-	-	13.0	-
Ian Thomas	12.7	-	-	-	-	-	-	12.7	-
Davis Allen	12.6	-	-	-	-	-	-	12.6	-
Josh Whyle	12.5	-	-	-	-	-	-	12.5	-
Jordan Akins	12.5	-	-	-	-	-	-	12.5	-
Luke Schoonmaker	12.4	-	-	-	-	-	-	12.4	-
Will Mallory	12.1	-	-	-	-	-	-	12.1	-
Devin Culp	12.0	-	-	-	-	-	-	12.0	-
Tanner Mclachlan	12.0	-	-	-	-	-	-	12.0	-
Foster Moreau	11.6	-	-	-	-	-	-	11.6	-
Aj Barner	11.6	-	-	-	-	-	-	11.6	-
Pharaoh Brown	11.5	-	-	-	-	-	-	11.5	-
Jared Wiley	11.0	-	-	-	-	-	-	11.0	-
Travis Vokolek	11.0	-	-	-	-	-	-	11.0	-
Stone Smartt	10.6	-	-	-	-	-	-	10.6	-
Drew Sample	10.5	-	-	-	-	-	-	10.5	-
Erick All	10.3	-	-	-	-	-	-	10.3	-
Tip Reiman	10.2	-	-	-	-	-	-	10.2	-
Cade Stover	10.0	-	-	-	-	-	-	10.0	-
Brenton Strange	9.7	-	-	-	-	-	-	9.7	-
Lucas Krull	9.6	-	-	-	-	-	-	9.6	-
Drew Ogletree	9.5	-	-	-	-	-	-	9.5	-
Dallin Holker	9.3	-	-	-	-	-	-	9.3	-
Payne Durham	9.2	-	-	-	-	-	-	9.2	-
Jack Stoll	9.0	-	-	-	-	-	-	9.0	-
Messiah Swinson	9.0	-	-	-	-	-	-	9.0	-
Luke Farrell	8.7	-	-	-	-	-	-	8.7	-
John Bates	8.6	-	-	-	-	-	-	8.6	-
Grant Calcaterra	8.5	-	-	-	-	-	-	8.5	-
Charlie Woerner	8.1	-	-	-	-	-	-	8.1	-
Albert Okwuegbunam	8.0	-	-	-	-	-	-	8.0	-
Harrison Bryant	7.8	-	-	-	-	-	-	7.8	-
Peyton Hendershot	7.7	-	-	-	-	-	-	7.7	-
Brenden Bates	7.4	-	-	-	-	-	-	7.4	-
Marcedes Lewis	6.9	-	-	-	-	-	-	6.9	-
Eric Saubert	6.9	-	-	-	-	-	-	6.9	-
Julian Hill	6.8	-	-	-	-	-	-	6.8	-
Mycole Pruitt	6.5	-	-	-	-	-	-	6.5	-
Hunter Long	6.4	-	-	-	-	-	-	6.4	-
Quintin Morris	6.2	-	-	-	-	-	-	6.2	-
Ross Dwelley	6.0	-	-	-	-	-	-	6.0	-
Charlie Kolar	5.8	-	-	-	-	-	-	5.8	-
Ben Sims	5.6	-	-	-	-	-	-	5.6	-
Nate Adkins	5.4	-	-	-	-	-	-	5.4	-
Chris Manhertz	5.4	-	-	-	-	-	-	5.4	-
Brady Russell	5.0	-	-	-	-	-	-	5.0	-
Josiah Deguara	5.0	-	-	-	-	-	-	5.0	-
Ko Kieft	4.8	-	-	-	-	-	-	4.8	-
Anthony Firkser	4.4	-	-	-	-	-	-	4.4	-
Parker Hesse	3.7	-	-	-	-	-	-	3.7	-
Nick Muse	3.7	-	-	-	-	-	-	3.7	-
Mitchell Wilcox	3.4	-	-	-	-	-	-	3.4	-
Kenny Yeboah	2.9	-	-	-	-	-	-	2.9	-
Teagan Quitoriano	2.0	-	-	-	-	-	-	2.0	-
Stephen Carlson	2.0	-	-	-	-	-	-	2.0	-
Tommy Hudson	2.0	-	-	-	-	-	-	2.0	-
Jake Tonges	1.8	-	-	-	-	-	-	1.8	-
