PLAYER	ECR / ADP	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	POINTS
*Donta Foreman	 / 	64.3	280.4	2.0	10.6	78.0	0.3	49.64
*Samaje Perine	 / 	46.9	199.6	1.2	22.0	172.8	0.8	49.24
*Justice Hill	 / 	57.8	231.1	1.6	13.8	102.4	0.5	45.95
*Kendre Miller	 / 	54.2	221.8	1.7	11.9	100.5	0.5	45.43
*Keaton Mitchell	 / 	52.5	255.0	1.6	8.6	69.4	0.2	43.24
*Kimani Vidal	 / 	47.0	231.8	1.6	10.8	76.5	0.2	41.63
*Chris Rodriguez	 / 	0.0	235.0	2.0	7.0	51.0	0.0	40.6
*Trey Sermon	 / 	52.8	254.5	1.4	7.9	54.5	0.2	40.5
*Dalvin Cook	 / 	49.3	229.6	1.6	8.4	60.8	0.3	40.44
*Isaac Guerendo	 / 	39.2	226.5	1.9	6.5	52.9	0.1	39.94
*Eric Gray	 / 	39.5	206.5	1.4	10.8	73.4	0.5	39.39
*Ty Johnson	 / 	39.7	165.3	1.1	13.1	111.2	0.7	38.45
*Emanuel Wilson	 / 	40.8	194.9	1.3	10.0	72.7	0.5	37.56
*Pierre Strong	 / 	51.1	226.6	1.2	5.5	42.3	0.1	34.69
*Cam Akers	 / 	41.3	192.5	1.4	5.7	43.6	0.2	33.21
*Emari Demercado	 / 	34.2	149.1	1.1	13.4	88.4	0.4	32.75
*Cordarrelle Patterson	 / 	36.0	155.5	1.1	10.4	79.0	0.3	31.85
*Evan Hull	 / 	0.0	134.0	1.0	8.0	59.0	1.0	31.3
*Will Shipley	 / 	30.0	167.6	1.4	5.2	40.6	0.3	31.02
*Deuce Vaughn	 / 	40.0	148.0	1.2	9.1	68.5	0.2	30.05
*Isaiah Davis	 / 	45.7	168.4	1.3	5.6	41.0	0.1	29.34
*Dylan Laube	 / 	27.0	145.4	1.1	7.7	57.2	0.1	27.46
*Tyler Goodson	 / 	25.1	130.9	0.9	7.5	54.4	0.4	26.33
*Rasheen Ali	 / 	26.4	149.1	1.2	3.9	31.0	0.1	25.81
*Jase Mcclellan	 / 	31.2	129.1	1.0	5.4	43.7	0.4	25.68
*Michael Carter	 / 	0.0	111.0	1.0	10.0	69.0	0.0	24.0
*Kevin Harris	 / 	4.5	134.1	1.1	5.0	36.6	0.0	23.67
*Kyle Juszczyk	 / 	5.6	20.2	0.1	15.0	143.7	1.1	23.59
*Chase Edmonds	 / 	0.0	88.0	1.0	11.0	83.0	0.0	23.1
*Jamycal Hasty	 / 	24.0	105.2	0.8	9.6	64.5	0.1	22.37
*Jawhar Jordan	 / 	0.0	121.0	1.0	4.0	27.0	0.0	20.8
*Ronnie Rivers	 / 	29.7	116.7	0.8	4.6	33.3	0.1	20.4
*Deneric Prince	 / 	0.0	113.0	1.0	4.0	29.0	0.0	20.2
*Carson Steele	 / 	16.5	106.8	0.9	4.6	35.2	0.1	20.2
*Trayveon Williams	 / 	41.6	111.4	0.7	6.1	39.8	0.1	19.92
*Ameer Abdullah	 / 	26.8	102.5	0.2	10.7	78.4	0.1	19.89
*Craig Reynolds	 / 	21.6	102.6	0.8	4.1	33.3	0.1	18.99
*Dernest Johnson	 / 	31.8	114.0	0.5	5.5	39.2	0.1	18.92
*Jeremy Mcnichols	 / 	18.4	72.5	0.2	9.2	69.5	0.4	17.8
*Kenny Mcintosh	 / 	26.9	89.4	0.6	4.1	32.2	0.1	16.36
*Blake Watson	 / 	14.6	84.1	0.7	4.0	28.6	0.1	16.07
*Hunter Luepke	 / 	7.4	26.3	1.4	4.0	27.1	0.2	14.94
*Jeff Wilson	 / 	15.0	80.2	0.6	3.2	23.6	0.1	14.58
*Sean Tucker	 / 	25.5	80.6	0.6	2.8	21.4	0.1	14.4
*Dare Ogunbowale	 / 	16.7	56.9	0.4	7.3	54.7	0.1	14.16
*Julius Chestnut	 / 	20.7	74.0	0.5	3.9	31.4	0.1	14.14
*Jordan Mims	 / 	14.6	60.8	0.6	3.5	25.3	0.1	12.81
*Cody Schrader	 / 	31.0	77.0	0.5	2.0	14.0	0.0	12.1
*Carlos Washington	 / 	0.0	37.0	1.0	4.0	22.0	0.0	11.9
*Boston Scott	 / 	2.6	54.8	0.5	2.4	17.5	0.1	10.83
*Israel Abanikanda	 / 	14.9	57.4	0.3	2.7	19.0	0.1	10.04
*Sione Vaki	 / 	12.6	60.0	0.2	2.5	18.7	0.0	9.07
*Avery Williams	 / 	7.6	35.0	0.4	3.9	23.1	0.1	8.81
*Raheem Blackshear	 / 	7.2	38.6	0.2	4.7	34.6	0.0	8.52
*Malik Davis	 / 	0.0	55.0	0.0	3.0	23.0	0.0	7.8
*Alec Ingold	 / 	1.1	4.4	0.0	7.6	55.5	0.3	7.79
*Hassan Haskins	 / 	9.5	42.1	0.1	2.7	17.4	0.1	7.15
*Emani Bailey	 / 	0.0	47.0	0.0	2.0	18.0	0.0	6.5
*Travis Homer	 / 	2.3	32.3	0.0	3.1	22.1	0.1	6.04
*Patrick Taylor	 / 	7.9	28.0	0.2	1.9	13.5	0.1	5.95
*Deejay Dallas	 / 	2.5	28.0	0.0	3.5	24.0	0.0	5.2
*Reggie Gilliam	 / 	0.0	0.0	0.0	4.4	33.2	0.3	5.12
*Nyheim Hines	 / 	1.3	17.1	0.0	4.5	32.3	0.0	4.94
*Patrick Ricard	 / 	2.7	10.9	0.0	3.7	26.2	0.2	4.91
*Adam Prentice	 / 	3.3	14.0	0.1	3.3	23.0	0.1	4.9
*Keilan Robinson	 / 	0.0	33.0	0.0	2.0	15.0	0.0	4.8
*Michael Burton	 / 	2.4	9.4	0.0	3.7	24.5	0.2	4.59
*Keaontay Ingram	 / 	0.0	30.0	0.0	2.0	10.0	0.0	4.0
*Myles Gaskin	 / 	0.0	26.0	0.0	2.0	11.0	0.0	3.7
*Cj Ham	 / 	2.0	8.3	0.0	3.3	22.4	0.1	3.67
*Lamical Perine	 / 	0.0	25.0	0.0	2.0	11.0	0.0	3.6
*Tyrion Davis Price	 / 	0.0	17.0	0.0	1.0	3.0	0.0	2.0
