NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Alec Martinez	VGK	-105	A	bs	2.5	3.02	57% - 49%	54% - 54%	54%	40%	60%	0,3,1,3,4,1,1,1,5,5	0%	-120	-110
Zach Whitecloud	VGK	-105	A	bs	1.5	1.65	48% - 54%	49% - 51%	50%	47%	60%	3,1,4,1,2,1,2,3,1,0	0%	-185	'+150
Shea Theodore	VGK	-105	A	bs	1.5	1.62	53% - 41%	58% - 40%	49%	47%	60%	3,1,1,2,5,2,3,1,1,1	0%	-190	'+155
Nicolas Hague	VGK	-105	A	bs	1.5	1.58	52% - 39%	55% - 40%	47%	47%	60%	2,4,1,2,0,2,0,2,3,0	0%	-140	'+110
Brayden Mcnabb	VGK	-105	A	bs	2.5	2.49	50% - 35%	44% - 44%	44%	53%	80%	7,4,1,3,4,2,2,3,2,4	0%	-130	'+100
Gustav Forsling	FLA	-115	H	bs	1.5	1.37	44% - 33%	35% - 43%	39%	40%	60%	0,2,0,2,3,1,4,1,1,2	0%	-120	-110
Marc Staal	FLA	-115	H	bs	1.5	1.48	36% - 41%	40% - 37%	39%	27%	20%	4,1,0,1,1,2,6,2,0,1	0%	'+100	-130
Alex Pietrangelo	VGK	-105	A	bs	2.5	2.44	33% - 45%	44% - 31%	37%	27%	20%	2,2,4,2,1,1,1,2,2,1	0%	-125	-105
Aaron Ekblad	FLA	-115	H	bs	1.5	1.21	39% - 28%	33% - 35%	34%	27%	40%	0,1,1,2,3,0,1,2,1,0	0%	'+110	-140
Brandon Montour	FLA	-115	H	bs	1.5	1.2	35% - 27%	29% - 33%	31%	40%	60%	0,2,2,3,1,1,3,1,2,1	0%	-130	'+100
