NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Aleksander Barkov	FLA	-115	H	pts	0.5	1.06	80% - 44%	64% - 67%	66%	47%	20%	0,0,0,2,0,1,2,0,0,0	74%	-205	'+165
Jack Eichel	VGK	-105	A	pts	0.5	1.02	75% - 45%	64% - 66%	65%	67%	80%	1,2,2,0,1,1,1,0,1,3	59%	-190	'+155
Mark Stone	VGK	-105	A	pts	0.5	0.92	69% - 45%	71% - 53%	61%	53%	60%	2,1,1,0,0,0,2,1,0,1	56%	-160	'+130
Jonathan Marchessault	VGK	-105	A	pts	0.5	0.83	67% - 41%	59% - 57%	58%	67%	100%	2,3,1,1,2,1,2,0,3,3	57%	-185	'+150
Chandler Stephenson	VGK	-105	A	pts	0.5	0.82	67% - 42%	52% - 63%	58%	47%	60%	0,2,1,0,1,0,2,1,0,0	57%	-135	'+105
Carter Verhaeghe	FLA	-115	H	pts	0.5	0.9	65% - 50%	56% - 60%	58%	53%	40%	2,0,0,1,0,0,2,2,0,1	53%	-150	'+120
Brandon Montour	FLA	-115	H	pts	0.5	0.84	63% - 51%	57% - 58%	58%	27%	20%	1,0,0,0,0,0,0,0,0,0	33%	-145	'+115
Shea Theodore	VGK	-105	A	pts	0.5	0.7	55% - 55%	58% - 51%	55%	40%	60%	1,0,2,0,1,0,1,0,1,0	51%	'+110	-140
Sam Reinhart	FLA	-115	H	pts	0.5	0.77	65% - 43%	56% - 55%	55%	53%	40%	0,0,0,1,1,1,0,0,1,1	64%	-165	'+135
Reilly Smith	VGK	-105	A	pts	0.5	0.69	67% - 29%	57% - 50%	54%	40%	40%	0,0,1,2,0,0,0,0,2,1	55%	'+105	-135
William Karlsson	VGK	-105	A	pts	0.5	0.66	60% - 33%	49% - 52%	50%	40%	40%	0,1,0,3,0,0,0,2,1,1	38%	'+100	-130
Ivan Barbashev	VGK	-105	A	pts	0.5	0.61	57% - 36%	47% - 48%	48%	67%	80%	0,1,1,1,1,3,1,0,2,1	49%	'+110	-140
Sam Bennett	FLA	-115	H	pts	0.5	0.65	52% - 37%	41% - 50%	46%	53%	60%	1,1,0,0,1,1,1,0,1,0	44%	-145	'+115
Alex Pietrangelo	VGK	-105	A	pts	0.5	0.69	59% - 24%	44% - 48%	46%	33%	0%	0,0,0,0,0,1,0,1,1,0	47%	'+120	-150
Anthony Duclair	FLA	-115	H	pts	0.5	0.53	48% - 38%	56% - 35%	45%	60%	60%	0,1,1,1,0,0,2,1,0,1	0%	'+110	-140
Gustav Forsling	FLA	-115	H	pts	0.5	0.48	49% - 33%	40% - 43%	42%	33%	40%	1,0,0,1,0,0,0,1,0,0	36%	'+125	-155
Matthew Tkachuk	FLA	-115	H	pts	1.5	1.36	58% - 22%	31% - 53%	42%	27%	40%	2,1,0,2,1,1,1,0,1,0	29%	'+160	-195
Nicolas Roy	VGK	-105	A	pts	0.5	0.46	53% - 19%	48% - 34%	40%	53%	40%	0,1,0,1,0,2,0,1,1,0	36%	'+135	-165
Aaron Ekblad	FLA	-115	H	pts	0.5	0.51	47% - 25%	37% - 37%	37%	33%	40%	1,0,0,1,0,0,0,2,0,2	53%	'+125	-155
Anton Lundell	FLA	-115	H	pts	0.5	0.46	43% - 24%	40% - 29%	35%	40%	40%	0,1,1,0,0,0,0,0,0,1	38%	'+120	-150
