NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
William Karlsson	VGK	-105	A	sog	1.5	1.99	71% - 53%	61% - 67%	64%	67%	80%	3,2,1,2,2,2,1,3,2,4	55%	-180	'+145
Reilly Smith	VGK	-105	A	sog	1.5	2.32	67% - 56%	66% - 60%	63%	40%	40%	0,4,3,1,0,1,1,6,2,5	72%	-155	'+125
Anton Lundell	FLA	-115	H	sog	1.5	2.05	49% - 76%	72% - 49%	61%	60%	60%	1,3,4,2,0,0,2,4,1,2	55%	-165	'+135
Anthony Duclair	FLA	-115	H	sog	1.5	2.08	52% - 69%	56% - 60%	58%	47%	40%	1,2,1,2,0,3,8,1,0,5	0%	-165	'+135
William Carrier	VGK	-105	A	sog	1.5	1.83	63% - 48%	58% - 58%	58%	13%	20%	0,0,0,3,0,1,1,0,1,0	60%	'+130	-160
Aleksander Barkov	FLA	-115	H	sog	2.5	2.97	55% - 53%	45% - 63%	54%	47%	20%	1,3,2,2,0,3,3,3,6,1	66%	-130	'+100
Mark Stone	VGK	-105	A	sog	2.5	2.53	60% - 40%	57% - 50%	53%	47%	100%	3,3,7,3,3,1,2,1,0,3	32%	-110	-120
Matthew Tkachuk	FLA	-115	H	sog	3.5	3.88	53% - 49%	39% - 64%	51%	33%	40%	3,4,2,4,2,4,3,6,0,2	44%	'+105	-135
Gustav Forsling	FLA	-115	H	sog	2.5	2.43	51% - 50%	52% - 49%	50%	20%	20%	0,3,1,0,2,1,6,1,1,2	32%	'+150	-185
Sam Reinhart	FLA	-115	H	sog	2.5	2.65	47% - 50%	40% - 57%	49%	40%	40%	2,0,3,1,3,1,2,4,5,2	46%	-115	-115
Aaron Ekblad	FLA	-115	H	sog	2.5	2.72	45% - 52%	37% - 60%	48%	7%	0%	1,0,2,0,0,2,2,1,1,0	56%	'+150	-185
Carter Verhaeghe	FLA	-115	H	sog	3.5	3.29	52% - 41%	40% - 54%	47%	33%	20%	3,3,3,2,4,0,6,4,2,2	16%	'+135	-165
Chandler Stephenson	VGK	-105	A	sog	1.5	1.51	48% - 42%	46% - 46%	46%	47%	60%	4,4,1,0,3,0,1,2,0,0	49%	-120	-110
Nicolas Roy	VGK	-105	A	sog	1.5	1.58	49% - 39%	45% - 45%	45%	40%	60%	3,1,0,2,3,1,2,2,0,1	55%	'+110	-140
Ivan Barbashev	VGK	-105	A	sog	1.5	1.5	48% - 38%	41% - 46%	44%	27%	20%	1,0,2,1,1,1,0,1,1,1	36%	'+130	-160
Sam Bennett	FLA	-115	H	sog	3.5	3.19	46% - 40%	39% - 48%	43%	47%	60%	4,4,3,6,3,6,4,3,3,4	52%	-105	-125
Alex Pietrangelo	VGK	-105	A	sog	2.5	2.24	33% - 58%	40% - 44%	42%	27%	40%	1,0,3,2,4,1,2,2,1,1	46%	'+145	-180
Jack Eichel	VGK	-105	A	sog	3.5	3.27	44% - 38%	48% - 36%	42%	33%	0%	3,1,2,3,3,0,3,4,0,4	50%	'+145	-180
Shea Theodore	VGK	-105	A	sog	2.5	2.33	31% - 59%	39% - 40%	40%	33%	40%	1,0,3,3,1,3,2,3,1,1	42%	'+150	-185
Jonathan Marchessault	VGK	-105	A	sog	3.5	3.22	36% - 38%	37% - 37%	37%	47%	20%	2,4,3,2,3,3,3,2,6,5	41%	'+135	-165
Brandon Montour	FLA	-115	H	sog	3.5	3.15	31% - 42%	35% - 38%	36%	40%	20%	3,5,3,1,2,3,8,9,2,3	33%	'+135	-165
