NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Aaron Ekblad	FLA	-115	H	sog	2.5	2.72	45% - 52%	37% - 60%	48%	1,0,2,0,0,2,2,1,1,0	56%	'+150	-185
Aaron Ekblad	FLA	-115	H	pts	0.5	0.51	47% - 25%	37% - 37%	37%	1,0,0,1,0,0,0,2,0,2	53%	'+125	-155
Aaron Ekblad	FLA	-115	H	ast	0.5	0.34	35% - 18%	28% - 26%	27%	1,0,0,1,0,0,0,1,0,2	41%	'+175	-215
Aaron Ekblad	FLA	-115	H	g	0.5	0.17	18% - 10%	13% - 16%	15%	0,0,0,0,0,0,0,1,0,0	20%	'+400	0
Aaron Ekblad	FLA	-115	H	bs	1.5	1.21	39% - 28%	33% - 35%	34%	0,1,1,2,3,0,1,2,1,0	0%	'+110	-140
Adin Hill	VGK	-105	A	sv	29.5	25.57	35% - 29%	33% - 32%	32%	20,29,33,23,30,34,26,33,38,32	18%	-125	-105
Alec Martinez	VGK	-105	A	g	0.5	0.04	7% - 0%	4% - 4%	4%	0,1,0,0,0,0,0,0,0,0	12%	'+1000	0
Alec Martinez	VGK	-105	A	bs	2.5	3.02	57% - 49%	54% - 54%	54%	0,3,1,3,4,1,1,1,5,5	0%	-120	-110
Aleksander Barkov	FLA	-115	H	sog	2.5	2.97	55% - 53%	45% - 63%	54%	1,3,2,2,0,3,3,3,6,1	66%	-130	'+100
Aleksander Barkov	FLA	-115	H	pts	0.5	1.06	80% - 44%	64% - 67%	66%	0,0,0,2,0,1,2,0,0,0	74%	-205	'+165
Aleksander Barkov	FLA	-115	H	ast	0.5	0.75	67% - 33%	52% - 53%	53%	0,0,0,2,0,0,1,0,0,0	50%	-120	-110
Aleksander Barkov	FLA	-115	H	g	0.5	0.31	35% - 14%	18% - 35%	26%	0,0,0,0,0,1,1,0,0,0	42%	'+185	0
Alex Pietrangelo	VGK	-105	A	sog	2.5	2.24	33% - 58%	40% - 44%	42%	1,0,3,2,4,1,2,2,1,1	46%	'+145	-180
Alex Pietrangelo	VGK	-105	A	pts	0.5	0.69	59% - 24%	44% - 48%	46%	0,0,0,0,0,1,0,1,1,0	47%	'+120	-150
Alex Pietrangelo	VGK	-105	A	ast	0.5	0.56	52% - 18%	35% - 44%	40%	0,0,0,0,0,0,0,1,1,0	37%	'+165	-205
Alex Pietrangelo	VGK	-105	A	g	0.5	0.13	16% - 6%	16% - 8%	12%	0,0,0,0,0,1,0,0,0,0	16%	'+550	0
Alex Pietrangelo	VGK	-105	A	bs	2.5	2.44	33% - 45%	44% - 31%	37%	2,2,4,2,1,1,1,2,2,1	0%	-125	-105
Anthony Duclair	FLA	-115	H	sog	1.5	2.08	52% - 69%	56% - 60%	58%	1,2,1,2,0,3,8,1,0,5	0%	-165	'+135
Anthony Duclair	FLA	-115	H	pts	0.5	0.53	48% - 38%	56% - 35%	45%	0,1,1,1,0,0,2,1,0,1	0%	'+110	-140
Anthony Duclair	FLA	-115	H	ast	0.5	0.37	32% - 23%	39% - 20%	29%	0,1,0,0,0,0,2,1,0,0	0%	'+220	-280
Anthony Duclair	FLA	-115	H	g	0.5	0.16	16% - 15%	17% - 15%	16%	0,0,1,1,0,0,0,0,0,1	0%	'+285	0
Anton Lundell	FLA	-115	H	sog	1.5	2.05	49% - 76%	72% - 49%	61%	1,3,4,2,0,0,2,4,1,2	55%	-165	'+135
Anton Lundell	FLA	-115	H	pts	0.5	0.46	43% - 24%	40% - 29%	35%	0,1,1,0,0,0,0,0,0,1	38%	'+120	-150
Anton Lundell	FLA	-115	H	ast	0.5	0.3	33% - 15%	28% - 22%	25%	0,0,1,0,0,0,0,0,0,1	21%	'+210	-265
Anton Lundell	FLA	-115	H	g	0.5	0.15	18% - 10%	19% - 9%	14%	0,1,0,0,0,0,0,0,0,0	23%	'+350	0
Ben Hutton	VGK	-105	A	g	0.5	0.09	6% - 13%	12% - 6%	9%	0,0,0,0,0,0,0,0,1,0	6%	'+850	0
Brandon Montour	FLA	-115	H	sog	3.5	3.15	31% - 42%	35% - 38%	36%	3,5,3,1,2,3,8,9,2,3	33%	'+135	-165
Brandon Montour	FLA	-115	H	pts	0.5	0.84	63% - 51%	57% - 58%	58%	1,0,0,0,0,0,0,0,0,0	33%	-145	'+115
Brandon Montour	FLA	-115	H	ast	0.5	0.61	48% - 40%	43% - 46%	44%	0,0,0,0,0,0,0,0,0,0	23%	'+105	-135
Brandon Montour	FLA	-115	H	g	0.5	0.23	28% - 13%	22% - 21%	21%	1,0,0,0,0,0,0,0,0,0	13%	'+310	0
Brandon Montour	FLA	-115	H	bs	1.5	1.2	35% - 27%	29% - 33%	31%	0,2,2,3,1,1,3,1,2,1	0%	-130	'+100
Brayden Mcnabb	VGK	-105	A	g	0.5	0.01	0% - 3%	2% - 0%	1%	0,0,0,0,0,0,0,0,0,0	5%	'+1200	0
Brayden Mcnabb	VGK	-105	A	bs	2.5	2.49	50% - 35%	44% - 44%	44%	7,4,1,3,4,2,2,3,2,4	0%	-130	'+100
Brett Howden	VGK	-105	A	g	0.5	0.15	14% - 9%	11% - 14%	12%	0,2,0,0,0,0,0,1,0,0	18%	'+350	0
Carter Verhaeghe	FLA	-115	H	sog	3.5	3.29	52% - 41%	40% - 54%	47%	3,3,3,2,4,0,6,4,2,2	16%	'+135	-165
Carter Verhaeghe	FLA	-115	H	pts	0.5	0.9	65% - 50%	56% - 60%	58%	2,0,0,1,0,0,2,2,0,1	53%	-150	'+120
Carter Verhaeghe	FLA	-115	H	ast	0.5	0.41	41% - 30%	31% - 42%	36%	1,0,0,1,0,0,1,1,0,0	32%	'+160	-195
Carter Verhaeghe	FLA	-115	H	g	0.5	0.49	44% - 28%	40% - 33%	37%	1,0,0,0,0,0,1,1,0,1	26%	'+150	0
Casey Fitzgerald	FLA	-115	H	g	0.5	0.0	0% - 0%	0% - 0%	0%	0,0,0,0,0,0	0%	'+950	0
Chandler Stephenson	VGK	-105	A	sog	1.5	1.51	48% - 42%	46% - 46%	46%	4,4,1,0,3,0,1,2,0,0	49%	-120	-110
Chandler Stephenson	VGK	-105	A	pts	0.5	0.82	67% - 42%	52% - 63%	58%	0,2,1,0,1,0,2,1,0,0	57%	-135	'+105
Chandler Stephenson	VGK	-105	A	ast	0.5	0.58	50% - 33%	42% - 46%	44%	0,2,1,0,0,0,1,1,0,0	41%	'+135	-165
Chandler Stephenson	VGK	-105	A	g	0.5	0.24	31% - 8%	17% - 29%	23%	0,0,0,0,1,0,1,0,0,0	29%	'+330	0
Colin White	FLA	-115	H	g	0.5	0.09	6% - 12%	14% - 5%	9%	0,0,0,0,0,0,0,0,0,0	12%	'+500	0
Eetu Luostarinen	FLA	-115	H	g	0.5	0.19	24% - 14%	14% - 25%	19%	0,0,0,0,0,0,0,0,0,0	12%	'+350	0
Eric Staal	FLA	-115	H	g	0.5	0.18	18% - 12%	13% - 18%	15%	0,0,1,0,0,0,0,0,0,0	0%	'+500	0
Givani Smith	FLA	-115	H	g	0.5	0.03	5% - 0%	5% - 0%	3%	0,0,0,0,0,0,0,0,0,0	7%	'+600	0
Gustav Forsling	FLA	-115	H	sog	2.5	2.43	51% - 50%	52% - 49%	50%	0,3,1,0,2,1,6,1,1,2	32%	'+150	-185
Gustav Forsling	FLA	-115	H	pts	0.5	0.48	49% - 33%	40% - 43%	42%	1,0,0,1,0,0,0,1,0,0	36%	'+125	-155
Gustav Forsling	FLA	-115	H	ast	0.5	0.33	33% - 26%	23% - 37%	30%	1,0,0,1,0,0,0,1,0,0	29%	'+170	-210
Gustav Forsling	FLA	-115	H	g	0.5	0.15	18% - 9%	19% - 8%	14%	0,0,0,0,0,0,0,0,0,0	11%	'+600	0
Gustav Forsling	FLA	-115	H	bs	1.5	1.37	44% - 33%	35% - 43%	39%	0,2,0,2,3,1,4,1,1,2	0%	-120	-110
Ivan Barbashev	VGK	-105	A	sog	1.5	1.5	48% - 38%	41% - 46%	44%	1,0,2,1,1,1,0,1,1,1	36%	'+130	-160
Ivan Barbashev	VGK	-105	A	pts	0.5	0.61	57% - 36%	47% - 48%	48%	0,1,1,1,1,3,1,0,2,1	49%	'+110	-140
Ivan Barbashev	VGK	-105	A	ast	0.5	0.4	45% - 24%	35% - 36%	36%	0,1,1,1,0,2,1,0,2,1	32%	'+190	-235
Ivan Barbashev	VGK	-105	A	g	0.5	0.22	23% - 13%	20% - 18%	19%	0,0,0,0,1,1,0,0,0,0	27%	'+350	0
Jack Eichel	VGK	-105	A	sog	3.5	3.27	44% - 38%	48% - 36%	42%	3,1,2,3,3,0,3,4,0,4	50%	'+145	-180
Jack Eichel	VGK	-105	A	pts	0.5	1.02	75% - 45%	64% - 66%	65%	1,2,2,0,1,1,1,0,1,3	59%	-190	'+155
Jack Eichel	VGK	-105	A	ast	0.5	0.64	61% - 34%	55% - 50%	52%	1,2,2,0,1,1,1,0,1,2	32%	'+100	-130
Jack Eichel	VGK	-105	A	g	0.5	0.38	39% - 14%	26% - 34%	30%	0,0,0,0,0,0,0,0,0,1	35%	'+145	0
Jonathan Marchessault	VGK	-105	A	sog	3.5	3.22	36% - 38%	37% - 37%	37%	2,4,3,2,3,3,3,2,6,5	41%	'+135	-165
Jonathan Marchessault	VGK	-105	A	pts	0.5	0.83	67% - 41%	59% - 57%	58%	2,3,1,1,2,1,2,0,3,3	57%	-185	'+150
Jonathan Marchessault	VGK	-105	A	ast	0.5	0.41	39% - 24%	33% - 35%	34%	1,1,0,0,2,0,1,0,0,3	35%	'+175	-215
Jonathan Marchessault	VGK	-105	A	g	0.5	0.42	39% - 21%	35% - 31%	33%	1,2,1,1,0,1,1,0,3,0	35%	'+115	0
