EV	EV Book	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
32.8	830 FD	KC @ PHI	Patrick Mahomes	pass_td	o 3.5	'+830	-	-	-	-	-	-	420	1.6	0%	1,2,2,1,0,0,2,3,1,3,3,1,1,2,1,3
32.7	730 FD	KC @ PHI	Noah Gray	rec_yd	o 39.5	'+730	-	-	-	-	-	-	380	27.3	25%	37,13,40,29,66,23,0,18,23,66,58,26,21,10,6,1
29.5	710 FD	KC @ PHI	Xavier Worthy	rec_yd	o 99.5	'+710	-	-	-	-	-	-	380	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
26.1	470 FD	KC @ PHI	Xavier Worthy	rec_yd	o 89.5	'+470	-	-	-	-	-	-	275	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
24.6	980 FD	KC @ PHI	Xavier Worthy	rec_yd	o 109.5	'+980	-	-	-	-	-	-	500	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
19.4	154 FD	KC @ PHI	Travis Kelce	rec_yd	o 69.5	'+154	-	-	-	-	-	-	-103	51.4	31%	34,5,30,89,70,17,90,100,64,8,62,68,45,27,30,84
18.8	300 FD	KC @ PHI	Xavier Worthy	rec_yd	o 79.5	'+300	-	-	-	-	-	-	195	39.9	0%	47,17,17,73,25,19,37,0,11,61,46,54,41,46,65,79
17.8	-127 BR	KC @ PHI	Jalen Hurts	pass_cmp	o 17.5	-	-	-	-	-	-	-127/-103	-240	16.5	46%	20,23,29,18,16,10,16,18,14,18,15,11,14,25,1
16.2	470 FD	KC @ PHI	Juju Smith Schuster	rec_yd	o 39.5	'+470	-	-	-	-	-	-	300	21.0	9%	0,17,130,8,6,10,31,7,0,18,4
15.0	360 FD	KC @ PHI	Kareem Hunt	rush+rec	o 79.5	'+360	-	-	-	-	-	-	240	69.5	45%	85,117,83,63,117,100,79,68,28,20,69
