Team	Player	AVG PTS	WK15 PTS	SZN Snap %	WK15 Snap %	RB RZ Look Share	WK15 RB RZ Share	RB Target Share	WK15 RB Target Share
LAC	Hassan Haskins	0.7	0	9%	2%	13%	0%	0%	0%
-	-	-	-	-	-	-	-	-	-
LAR	Kyren Williams	15.8	12.2	86%	86%	89%	100%	82%	40%
LAR	Blake Corum	2.2	3.0	14%	14%	14%	0%	20%	60%
LAR	Ronnie Rivers	1.1	0	12%	0%	3%	-%	7%	-%
-	-	-	-	-	-	-	-	-	-
LV	Ameer Abdullah	6.0	16.1	40%	46%	27%	100%	49%	54%
LV	Sincere Mccormick	6.1	3.5	32%	21%	46%	0%	25%	15%
LV	Alexander Mattison	8.6	1.4	48%	33%	62%	0%	47%	31%
LV	Zamir White	3.3	0	30%	0	27%	-%	20%	-%
LV	Dylan Laube	-0.7	0.0	2%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
MIA	Devon Achane	15.0	11.1	62%	66%	66%	67%	67%	70%
MIA	Raheem Mostert	5.3	3.6	34%	38%	32%	33%	23%	30%
MIA	Jaylen Wright	2.1	0.3	18%	4%	9%	0%	6%	0%
MIA	Alec Ingold	2.5	0	33%	24%	5%	0%	10%	0%
MIA	Jeff Wilson	2.0	0	10%	0	0%	-%	5%	-%
-	-	-	-	-	-	-	-	-	-
MIN	Aaron Jones	13.3	17.6	63%	61%	79%	80%	74%	100%
MIN	Ty Chandler	2.5	0.4	21%	1%	11%	0%	12%	0%
MIN	Cj Ham	1.2	0	24%	21%	1%	0%	5%	0%
MIN	Myles Gaskin	0.8	0	6%	0	14%	-%	9%	-%
-	-	-	-	-	-	-	-	-	-
NE	Rhamondre Stevenson	11.0	9.0	64%	65%	79%	50%	60%	33%
NE	Antonio Gibson	5.2	7.4	28%	31%	21%	50%	28%	67%
NE	Jamycal Hasty	2.6	0	14%	4%	2%	0%	18%	0%
NE	Terrell Jennings	1.3	0	21%	0	33%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
NO	Alvin Kamara	16.5	15.0	71%	45%	76%	0%	79%	83%
NO	Kendre Miller	5.0	4.6	29%	47%	75%	100%	14%	17%
NO	Jamaal Williams	2.6	0	17%	11%	21%	0%	10%	0%
NO	Jordan Mims	1.7	0	12%	0	5%	-%	14%	-%
NO	Adam Prentice	0.0	0.0	28%	18%	0%	0%	3%	0%
-	-	-	-	-	-	-	-	-	-
NYG	Devin Singletary	6.6	11.6	42%	34%	35%	67%	35%	43%
NYG	Tyrone Tracy	9.5	4.0	56%	68%	51%	33%	59%	57%
NYG	Eric Gray	1.1	0	12%	4%	26%	0%	14%	0%
NYG	Dante Miller	0.0	0	1%	0	0%	-%	0%	-%
NYG	Jakob Johnson	0.0	0	6%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
NYJ	Breece Hall	13.6	12.1	74%	48%	74%	50%	74%	67%
NYJ	Isaiah Davis	3.5	3.1	20%	41%	30%	50%	25%	33%
NYJ	Braelon Allen	4.9	0.5	27%	17%	22%	0%	23%	0%
NYJ	Kene Nwangwu	0.0	0	1%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
PHI	Saquon Barkley	20.6	8.4	73%	61%	73%	38%	71%	40%
PHI	Kenneth Gainwell	3.4	7.5	25%	39%	26%	62%	29%	60%
PHI	Will Shipley	0.6	0	6%	0%	2%	-%	0%	-%
PHI	Khari Blasingame	0	0	2%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
PIT	Najee Harris	11.4	2.6	52%	33%	70%	67%	44%	25%
PIT	Jaylen Warren	6.5	2.0	43%	53%	27%	33%	47%	50%
PIT	Cordarrelle Patterson	2.4	1.3	14%	14%	4%	0%	19%	25%
PIT	Aaron Shampklin	0.6	0	15%	0	14%	-%	0%	-%
PIT	Jonathan Ward	0.6	0	5%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
SEA	Zach Charbonnet	10.4	13.1	52%	80%	39%	0%	49%	100%
SEA	George Holani	0.7	1.0	4%	5%	0%	0%	7%	0%
SEA	Kenny Mcintosh	1.3	0.9	12%	15%	12%	0%	8%	0%
SEA	Ken Walker	14.8	0	64%	0	79%	-%	62%	-%
-	-	-	-	-	-	-	-	-	-
SF	Isaac Guerendo	5.7	9.5	23%	76%	16%	40%	19%	100%
SF	Christian Mccaffrey	10.1	0	72%	0	65%	-%	76%	-%
SF	Jordan Mason	9.1	0	49%	0	57%	-%	23%	-%
SF	Patrick Taylor	2.5	0	18%	6%	37%	60%	10%	0%
SF	Kyle Juszczyk	2.3	0	52%	50%	6%	0%	33%	0%
SF	Keshawn Vaughn	0.4	0	5%	0%	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
TB	Rachaad White	12.5	13.1	61%	51%	45%	57%	51%	50%
TB	Bucky Irving	12.0	12.3	41%	44%	53%	43%	40%	50%
TB	Sean Tucker	5.2	1.7	13%	11%	9%	0%	14%	0%
-	-	-	-	-	-	-	-	-	-
TEN	Tyjae Spears	6.7	24.2	39%	56%	23%	43%	44%	100%
TEN	Tony Pollard	11.9	8.5	70%	44%	77%	57%	65%	0%
TEN	Julius Chestnut	1.6	0	8%	0%	12%	-%	5%	-%
TEN	Joshua Kelley	0	0	3%	0	0%	-%	0%	-%
-	-	-	-	-	-	-	-	-	-
WAS	Brian Robinson	12.6	10.2	51%	74%	59%	100%	37%	60%
WAS	Jeremy Mcnichols	4.0	0.9	24%	28%	17%	0%	9%	40%
WAS	Chris Rodriguez	5.3	0.2	18%	4%	25%	0%	0%	0%
WAS	Austin Ekeler	10.1	0	52%	0	36%	-%	74%	-%
WAS	Colson Yankoff	0.0	0	4%	0	0%	-%	0%	-%
