	vs ECR	PTS	PLAYER	ATTD	REC	REC_YD	INC
TE1	0	11.5	Travis Kelce	2.93	3.07	5.45	,,
TE2	0	10.7	Brock Bowers	1.59	3.28	5.79	,,
TE3	0	9.4	Trey Mcbride	1.68	2.68	5.06	,,
TE4	'+1	9.2	Cade Otton	2.02	2.58	4.64	,,
TE5	'+5	8.0	Dallas Goedert	1.21	2.28	4.51	,,
TE6	'+2	7.9	Hunter Henry	1.35	2.23	4.32	,,
TE7	0	7.7	Will Dissly	1.44	2.19	4.08	,,
TE8	'+1	7.7	Jonnu Smith	1.72	2.03	3.94	,,
TE9	-5	7.0	George Kittle	1.34	1.86	3.77	,,
TE10	'+2	6.8	Sam Laporta	1.53	1.8	3.47	,,
TE11	0	6.7	Tj Hockenson	1.2	1.98	3.55	,,
TE12	'+1	6.3	Mark Andrews	1.54	1.55	3.2	,,
TE13	'+1	6.0	Tucker Kraft	1.52	1.65	2.84	,,
TE14	'+1	5.8	Zach Ertz	1.43	1.76	2.63	,,
TE15	'+2	5.2	Dalton Schultz	1.11	1.47	2.57	,,
TE16	'+3	5.1	Isaiah Likely	1.18	1.27	2.68	,,
TE17	'+9	5.0	Luke Schoonmaker	0.67	1.71	2.6	,,
TE18	-2	4.5	Cole Kmet	0.82	1.36	2.28	,,
TE19	-1	4.4	Jatavion Sanders	0.46	1.3	2.68	,rec,rec_yd,
TE20	'+4	4.0	Aj Barner	1.14	1.0	1.86	,rec,rec_yd,
TE21	'+2	3.8	Theo Johnson	0.61	1.45	1.71	,rec,
TE22	'+18	3.6	Noah Fant	1.13	0.8	1.67	,rec,rec_yd,
TE23	'+4	3.3	Austin Hooper	0.58	1.1	1.66	,,
TE24	-3	3.3	Chigoziem Okonkwo	0.59	1.15	1.55	,,
TE25	0	3.2	Davis Allen	0.6	0.95	1.7	,rec,rec_yd,
TE26	-4	3.2	Noah Gray	0.7	1.01	1.51	,,
TE27	'+24	2.6	Tucker Fisk	0.41	0.7	1.5	,rec,rec_yd,
TE28	'+9	2.5	Brevyn Spann Ford	0.29	0.75	1.51	,rec,rec_yd,
TE29	'+4	2.5	Michael Mayer	0.29	0.75	1.49	,rec,rec_yd,
TE30	'+22	2.5	Johnny Mundt	0.3	0.75	1.43	,rec,rec_yd,
TE31	'+11	2.5	Colby Parkinson	0.44	0.65	1.37	,rec,rec_yd,
TE32	'+2	2.3	Josh Whyle	0.2	0.7	1.39	,rec,rec_yd,
TE33	-5	2.1	Lucas Krull	0.27	0.65	1.21	,rec,rec_yd,
TE34	-5	2.1	Adam Trautman	0.47	0.65	0.94	,rec,
TE35	'+8	2.0	Elijah Higgins	0.41	0.55	1.08	,rec,rec_yd,
TE36	'+5	2.0	Tommy Tremble	0.31	0.6	1.09	,rec,rec_yd,
TE37	-7	1.9	Brock Wright	0.37	0.55	1.02	,rec,rec_yd,
TE38	0	1.8	Cade Stover	0.28	0.5	1.01	,rec,rec_yd,
TE39	'+6	1.5	Julian Hill	0.23	0.45	0.84	,rec,rec_yd,
TE40	'+9	1.5	Nick Vannett	0.22	0.5	0.78	,rec,rec_yd,
TE41	-5	1.3	Kylen Granson	0.2	0.42	0.7	,,
TE42	'+21	1.3	Pharaoh Brown	0.25	0.35	0.71	,rec,rec_yd,
TE43	'+5	1.3	Grant Calcaterra	0.37	0.3	0.62	,rec,rec_yd,
TE44	'+11	1.2	Hayden Hurst	0.32	0.3	0.63	,rec,rec_yd,
TE45	'+8	1.2	Durham Smythe	0.18	0.35	0.63	,rec,rec_yd,
TE46	-2	1.1	Mo Alie Cox	0.27	0.35	0.5	,,
TE47	'+12	1.1	Gerald Everett	0.24	0.3	0.55	,rec,rec_yd,
TE48	'+6	1.1	Drew Ogletree	0.18	0.3	0.61	,rec,rec_yd,
TE49	-3	0.9	Nate Adkins	0.25	0.25	0.44	,rec,rec_yd,
TE50	0	0.9	Charlie Kolar	0.18	0.25	0.49	,rec,rec_yd,
TE51	'+19	0.9	Peyton Hendershot	0.19	0.25	0.45	,rec,rec_yd,
TE52	'+4	0.8	John Bates	0.21	0.2	0.43	,rec,rec_yd,
TE53	'+4	0.8	Stone Smartt	0.21	0.2	0.4	,rec,rec_yd,
TE54	'+17	0.7	Chris Manhertz	0.04	0.2	0.43	,rec,rec_yd,
TE55	'+5	0.6	Ben Sinnott	0.2	0.15	0.29	,rec,rec_yd,
TE56	-21	0.6	Eric Saubert	0.32	0.1	0.18	,rec,rec_yd,
TE57	'+10	0.5	Payne Durham	0.2	0.1	0.22	,rec,rec_yd,
TE58	'+11	0.5	Harrison Bryant	0.2	0.1	0.21	,rec,rec_yd,
TE59	-1	0.5	Ben Sims	0.2	0.1	0.19	,rec,rec_yd,
TE60	'+8	0.5	Shane Zylstra	0.18	0.1	0.19	,rec,rec_yd,
TE61	0	0.4	Hunter Long	0.04	0.15	0.24	,rec,rec_yd,
TE62	'+2	0.4	Daniel Bellinger	0.06	0.1	0.23	,rec,rec_yd,
TE63	-31	0.4	Josh Oliver	0.36	-	-	,rec,rec_yd,
TE64	'+8	0.3	Jaheim Bell	-	0.1	0.24	,rec,rec_yd,
TE65	-3	0.3	Tip Reiman	0.06	0.1	0.16	,rec,rec_yd,
TE66	-	0.3	Feleipe Franks	-	0.1	0.19	,rec,rec_yd,
TE67	'+12	0.3	Will Mallory	-	0.1	0.18	,rec,rec_yd,
TE68	'+18	0.2	Jack Stoll	-	0.05	0.15	,rec,rec_yd,
TE69	'+4	0.1	Teagan Quitoriano	0.09	-	-	,rec,rec_yd,
TE70	'+4	0.1	Ko Kieft	0.06	-	-	,rec,rec_yd,
TE71	'+12	0.0	Tyler Mabry	-	-	-	,rec,rec_yd,
TE72	-	0.0	Travis Vokolek	-	-	-	,rec,rec_yd,
TE73	'+7	0.0	Princeton Fant	-	-	-	,rec,rec_yd,
TE74	-	0.0	Nick Muse	-	-	-	,rec,rec_yd,
TE75	'+1	0.0	Marcedes Lewis	-	-	-	,rec,rec_yd,
TE76	-	0.0	Justin Shorter	-	-	-	,rec,rec_yd,
TE77	0	0.0	John Fitzpatrick	-	-	-	,rec,rec_yd,
TE78	'+3	0.0	Jake Tonges	-	-	-	,rec,rec_yd,
TE79	-	0.0	Ian Thomas	-	-	-	,rec,rec_yd,
TE80	-	0.0	David Martin Robinson	-	-	-	,rec,rec_yd,
TE81	'+1	0.0	Cj Uzomah	-	-	-	,rec,rec_yd,
TE82	-	0.0	Brayden Willis	-	-	-	,rec,rec_yd,
