EV	EV Book	Game	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
0.4	130 BR	KC @ PHI	1h_total	u 22.5	-	-	-	-	-	-140/118	-162/130	-
0.0	-130 CZ	KC @ PHI	total	o 9.5	-	-	-	-	-	-	-148/118	-130/110
-0.2	-235 MGM	KC @ PHI	total	u 56.0	-	-	'+180/-235	-	-	-	220/-315	197/-313
-0.5	-300 MGM	KC @ PHI	total	u 58.0	-	-	'+220/-300	-	-	-	285/-435	244/-408
-0.6	-103 BR	KC @ PHI	1q_total	u 9.5	-	-	-	-	-	-104/-112	-122/-103	-110/-110
-0.6	-130 CZ	KC @ PHI	1h_spread	u -0.5	-	-	-	-	-	122/-137	-	110/-130
-0.7	-375 MGM	KC @ PHI	total	u 60.0	-	-	'+270/-375	-	-	-	360/-590	297/-533
-0.7	-350 MGM	KC @ PHI	total	u 59.5	-	-	'+250/-350	-	-	-	335/-530	276/-483
-0.9	118 BR	KC @ PHI	total	u 9.5	-	-	-	-	-	-	-148/118	-130/110
-0.9	-225 MGM	KC @ PHI	total	u 55.5	-	-	'+170/-225	-	-	-	205/-295	184/-288
-0.9	100 BR	KC @ PHI	1h_total	u 23.5	-	-	-	-	-	-110/-106	-124/100	-
-1.0	-220 MGM	KC @ PHI	total	u 55.0	-	-	'+165/-220	-	-	-	200/-278	179/-278
-1.0	-190 MGM	KC @ PHI	total	u 54.0	-	-	'+145/-190	-	-	-	170/-235	156/-238
-1.1	-350 MGM	KC @ PHI	total	u 59.0	-	-	'+250/-350	-	-	-	325/-530	276/-483
-1.1	-175 MGM	KC @ PHI	total	u 53.0	-	-	'+135/-175	-	-	-	155/-205	145/-218
-1.1	-120 CZ	KC @ PHI	1h_total	u 24.0	-	-	-	-	-	110/-126	-	100/-120
-1.2	-450 MGM	KC @ PHI	total	u 61.5	-	-	'+310/-450	-	-	-	425/-715	342/-658
-1.2	-275 MGM	KC @ PHI	total	u 57.0	-	-	'+200/-275	-	-	-	245/-360	225/-368
