EV	EV Book	Game	Prop	O/U	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ	AVG	% Over	Splits
-1.3	-145 MGM	KC @ PHI	total	u 51.0	-	-	'+110/-145	-	-	140/-162	125/-155	115/-170
-1.3	-200 MGM	KC @ PHI	total	u 54.5	-	-	'+150/-200	-	-	-	180/-245	162/-248
-1.3	-160 CZ	KC @ PHI	1q_spread	u -0.5	-	-	-	-	-	144/-173	-	130/-160
-1.4	-400 MGM	KC @ PHI	total	u 60.5	-	-	'+275/-400	-	-	-	370/-590	306/-558
-1.4	-325 MGM	KC @ PHI	total	u 58.5	-	-	'+240/-325	-	-	-	295/-455	255/-433
-1.4	-180 MGM	KC @ PHI	total	u 53.5	-	-	'+135/-180	-	-	-	160/-215	145/-218
-1.4	-165 MGM	KC @ PHI	total	u 52.5	-	-	'+125/-165	-	-	-	148/-190	133/-198
-1.6	-285 MGM	KC @ PHI	total	u 57.5	-	-	'+210/-285	-	-	-	255/-375	225/-368
-1.7	-450 MGM	KC @ PHI	total	u 61.0	-	-	'+300/-450	-	-	-	410/-715	334/-633
-1.7	-250 MGM	KC @ PHI	total	u 56.5	-	-	'+185/-250	-	-	-	225/-315	197/-313
-1.8	-150 MGM	KC @ PHI	total	u 51.5	-	-	'+115/-150	-	-	-	133/-167	120/-178
-1.8	-115 CZ	KC @ PHI	2h_total	u 24.5	-	-	-	-	-	-	100/-124	-105/-115
-2.0	-160 MGM	KC @ PHI	total	u 52.0	-	-	'+125/-160	-	-	-	140/-182	127/-188
-2.0	-105 MGM	KC @ PHI	total	u 48.5	-110/-110	-	-115/-105	-	-	-102/-110	-110/-110	-110/-110
-2.2	335 BR	KC @ PHI	total	o 59.5	-	-	'+250/-350	-	-	-	335/-530	276/-483
-2.3	100 BR	KC @ PHI	2h_total	o 24.5	-	-	-	-	-	-	100/-124	-105/-115
-2.3	-150 BR	KC @ PHI	1h_spread	u -2.5	-	-	-	-	-	133/-155	120/-150	-
-2.4	-130 BR	KC @ PHI	home_total	o 23.5	-	-	-	-	-	-141/120	-130/107	-135/105
-2.5	-150 BR	KC @ PHI	1h_total	u 25.5	-	-	-	-	-	131/-157	120/-150	-
-2.6	148 BR	KC @ PHI	total	o 52.5	-	-	'+125/-165	-	-	-	148/-190	133/-198
-2.7	130 BR	KC @ PHI	1h_spread	u 2.5	-	-	-	-	-	-146/126	-162/130	-
-2.7	125 BR	KC @ PHI	1h_spread	u 1.5	-	-	-	-	-	-141/121	-157/125	-
-2.8	285 BR	KC @ PHI	total	o 58.0	-	-	'+220/-300	-	-	-	285/-435	244/-408
-2.8	133 BR	KC @ PHI	total	o 51.5	-	-	'+115/-150	-	-	-	133/-167	120/-178
-3.0	360 BR	KC @ PHI	total	o 60.0	-	-	'+270/-375	-	-	-	360/-590	297/-533
-3.0	-115 BR	KC @ PHI	1q_home_total	u 3.5	-	-	-	-	-	100/-117	-112/-115	-
-3.1	-130 BR	KC @ PHI	total	u 50.0	-	-	'+100/-130	-	-	123/-141	108/-130	100/-146
-3.1	-139 BR	KC @ PHI	total	u 50.5	-	-	'+105/-140	-	-	131/-152	114/-139	108/-158
-3.1	-122 BR	KC @ PHI	total	u 49.5	-	-	-105/-125	-	-	114/-131	102/-122	-107/-137
-3.1	-105 CZ	KC @ PHI	1q_ml	u  	-	-	-	-	-	-105/-109	-117/-107	-115/-105
-3.1	-102 FD	KC @ PHI	ml	u  	-116/-102	-	-	-	-	-110/-104	-118/-106	-115/-105
-3.1	-148 BR	KC @ PHI	1h_spread	u -1.5	-	-	-	-	-	129/-149	120/-148	-
-3.2	-167 BR	KC @ PHI	1h_total	u 26.5	-	-	-	-	-	143/-171	135/-167	-
-3.2	-200 BR	KC @ PHI	1h_spread	u -3.5	-	-	-	-	-	171/-204	160/-200	-
-3.3	115 MGM	KC @ PHI	total	u 47.0	-	-	-150/+115	-	-	-131/114	-139/114	-141/-104
-3.3	-120 CZ	KC @ PHI	total	o 13.5	-	-	-	-	-	-120/103	-125/102	-120/100
-3.4	220 BR	KC @ PHI	total	o 56.0	-	-	'+180/-235	-	-	-	220/-315	197/-313
-3.4	160 BR	KC @ PHI	total	o 53.5	-	-	'+135/-180	-	-	-	160/-215	145/-218
-3.4	-148 BR	KC @ PHI	1h_total	u 24.5	-	-	-	-	-	127/-150	117/-148	-
-3.4	-115 CZ	KC @ PHI	total	u 14.5	-	-	-	-	-	-101/-116	-	-105/-115
-3.4	-125 BR	KC @ PHI	total	o 47.5	-	-	-140/+105	-	-	-122/106	-125/104	-
-3.5	180 BR	KC @ PHI	total	o 54.5	-	-	'+150/-200	-	-	-	180/-245	162/-248
-3.5	-110 CZ	KC @ PHI	1q_total	o 9.5	-	-	-	-	-	-104/-112	-122/-103	-110/-110
-3.7	200 BR	KC @ PHI	total	o 55.0	-	-	'+165/-220	-	-	-	200/-278	179/-278
-3.7	-117 BR	KC @ PHI	total	u 49.0	-	-	-110/-120	-	-	106/-121	-105/-117	-
-3.7	-120 CZ	KC @ PHI	away_total	u 24.5	-	-	-	-	-	103/-121	100/-122	-110/-120
-3.8	-102 MGM	KC @ PHI	total	u 48.0	-	-	-130/-102	-	-	-113/-102	-118/-104	-
-3.8	-117 BR	KC @ PHI	1q_away_total	u 3.5	-	-	-	-	-	-100/-117	-112/-117	-
-3.9	-525 MGM	KC @ PHI	total	u 62.5	-	-	'+340/-525	-	-	-	-	375/-758
-3.9	-500 MGM	KC @ PHI	total	u 62.0	-	-	'+340/-500	-	-	-	-	359/-708
-3.9	225 BR	KC @ PHI	total	o 56.5	-	-	'+185/-250	-	-	-	225/-315	197/-313
-3.9	140 BR	KC @ PHI	total	o 52.0	-	-	'+125/-160	-	-	-	140/-182	127/-188
-3.9	-118 BR	KC @ PHI	total	o 48.0	-	-	-130/-102	-	-	-113/-102	-118/-104	-
-3.9	100 BR	KC @ PHI	away_total	o 24.5	-	-	-	-	-	103/-121	100/-122	-110/-120
-4.0	205 BR	KC @ PHI	total	o 55.5	-	-	'+170/-225	-	-	-	205/-295	184/-288
-4.2	425 BR	KC @ PHI	total	o 61.5	-	-	'+310/-450	-	-	-	425/-715	342/-658
-4.2	170 BR	KC @ PHI	total	o 54.0	-	-	'+145/-190	-	-	-	170/-235	156/-238
-4.2	105 MGM	KC @ PHI	total	u 47.5	-	-	-140/+105	-	-	-122/106	-125/104	-
-4.2	102 BR	KC @ PHI	total	u 13.5	-	-	-	-	-	-120/103	-125/102	-120/100
-4.3	-115 CZ	KC @ PHI	ml	o  	-116/-102	-	-	-	-	-110/-104	-118/-106	-115/-105
-4.4	370 BR	KC @ PHI	total	o 60.5	-	-	'+275/-400	-	-	-	370/-590	306/-558
-4.4	325 BR	KC @ PHI	total	o 59.0	-	-	'+250/-350	-	-	-	325/-530	276/-483
-4.5	-110 BR	KC @ PHI	total	o 48.5	-110/-110	-	-115/-105	-	-	-102/-110	-110/-110	-110/-110
-4.6	-300 MGM	KC @ PHI	total	o 40.5	-	-	-300/+225	-	-	-	-360/245	-328/205
-4.7	-350 MGM	KC @ PHI	total	o 39.5	-	-	-350/+250	-	-	-	-420/280	-388/234
-4.8	155 BR	KC @ PHI	total	o 53.0	-	-	'+135/-175	-	-	-	155/-205	145/-218
-4.8	-238 CZ	KC @ PHI	total	o 43.0	-	-	-250/+185	-	-	-	-250/185	-238/156
-5.1	-178 CZ	KC @ PHI	total	o 45.0	-	-	-185/+140	-	-	-	-180/140	-178/120
-5.1	120 BR	KC @ PHI	total	u 46.5	-	-	-155/+120	-	-	-141/122	-150/120	-152/104
-5.2	255 BR	KC @ PHI	total	o 57.5	-	-	'+210/-285	-	-	-	255/-375	225/-368
-5.2	-450 MGM	KC @ PHI	total	o 37.5	-	-	-450/+310	-	-	-	-560/350	-483/276
-5.2	-550 MGM	KC @ PHI	total	o 36.5	-	-	-550/+360	-	-	-	-670/410	-608/325
-5.2	128 BR	KC @ PHI	total	u 46.0	-	-	-165/+125	-	-	-150/130	-159/128	-164/111
-5.3	410 BR	KC @ PHI	total	o 61.0	-	-	'+300/-450	-	-	-	410/-715	334/-633
-5.3	295 BR	KC @ PHI	total	o 58.5	-	-	'+240/-325	-	-	-	295/-455	255/-433
-5.3	-218 CZ	KC @ PHI	total	o 43.5	-	-	-220/+165	-	-	-	-230/170	-218/145
-5.3	-268 CZ	KC @ PHI	total	o 42.0	-	-	-275/+200	-	-	-	-286/205	-268/173
-5.4	-208 CZ	KC @ PHI	total	o 44.0	-	-	-210/+160	-	-	-	-215/160	-208/139
-5.4	-450 MGM	KC @ PHI	total	o 38.0	-	-	-450/+300	-	-	-	-560/340	-483/276
-5.4	-525 MGM	KC @ PHI	total	o 37.0	-	-	-525/+350	-	-	-	-670/380	-583/316
-5.5	-400 MGM	KC @ PHI	total	o 39.0	-	-	-400/+280	-	-	-	-480/300	-433/255
-5.6	-188 CZ	KC @ PHI	total	o 44.5	-	-	-190/+145	-	-	-	-190/145	-188/127
-5.6	-350 MGM	KC @ PHI	total	o 40.0	-	-	-350/+250	-	-	-	-400/270	-368/225
-5.7	132 BR	KC @ PHI	total	u 45.5	-	-	-170/+130	-	-	-	-165/132	-170/115
-5.7	-300 MGM	KC @ PHI	total	o 41.0	-	-	-300/+220	-	-	-	-335/235	-313/197
-5.7	-139 BR	KC @ PHI	total	o 47.0	-	-	-150/+115	-	-	-131/114	-139/114	-141/-104
-5.8	-105 CZ	KC @ PHI	total	o 14.5	-	-	-	-	-	-101/-116	-	-105/-115
-5.9	-250 MGM	KC @ PHI	total	o 42.5	-	-	-250/+185	-	-	-	-275/195	-258/168
-5.9	-115 CZ	KC @ PHI	1q_ml	o  	-	-	-	-	-	-105/-109	-117/-107	-115/-105
-6.0	-159 BR	KC @ PHI	total	o 46.0	-	-	-165/+125	-	-	-150/130	-159/128	-164/111
-6.2	140 BR	KC @ PHI	total	u 45.0	-	-	-185/+140	-	-	-	-180/140	-178/120
-6.2	-150 BR	KC @ PHI	total	o 46.5	-	-	-155/+120	-	-	-141/122	-150/120	-152/104
-6.3	102 BR	KC @ PHI	total	o 49.5	-	-	-105/-125	-	-	114/-131	102/-122	-107/-137
-6.3	125 BR	KC @ PHI	total	o 51.0	-	-	'+110/-145	-	-	140/-162	125/-155	115/-170
-6.4	-165 BR	KC @ PHI	total	o 45.5	-	-	-170/+130	-	-	-	-165/132	-170/115
-6.4	170 BR	KC @ PHI	total	u 43.5	-	-	-220/+165	-	-	-	-230/170	-218/145
-6.4	-275 MGM	KC @ PHI	total	o 41.5	-	-	-275/+200	-	-	-	-295/210	-278/179
-6.4	-425 MGM	KC @ PHI	total	o 38.5	-	-	-425/+290	-	-	-	-480/310	-433/255
-6.4	-105 BR	KC @ PHI	total	o 49.0	-	-	-110/-120	-	-	106/-121	-105/-117	-
-6.5	245 BR	KC @ PHI	total	o 57.0	-	-	'+200/-275	-	-	-	245/-360	225/-368
-6.6	245 BR	KC @ PHI	total	u 40.5	-	-	-300/+225	-	-	-	-360/245	-328/205
-6.8	108 BR	KC @ PHI	total	o 50.0	-	-	'+100/-130	-	-	123/-141	108/-130	100/-146
-6.9	145 BR	KC @ PHI	total	u 44.5	-	-	-190/+145	-	-	-	-190/145	-188/127
-7.1	195 BR	KC @ PHI	total	u 42.5	-	-	-250/+185	-	-	-	-275/195	-258/168
-7.2	-750 MGM	KC @ PHI	total	o 35.0	-	-	-750/+450	-	-	-	-	-858/404
-7.2	-750 MGM	KC @ PHI	total	o 34.5	-	-	-750/+450	-	-	-	-	-858/404
-7.3	-162 BR	KC @ PHI	1h_spread	o 2.5	-	-	-	-	-	-146/126	-162/130	-
-7.4	160 BR	KC @ PHI	total	u 44.0	-	-	-210/+160	-	-	-	-215/160	-208/139
-7.4	235 BR	KC @ PHI	total	u 41.0	-	-	-300/+220	-	-	-	-335/235	-313/197
-7.6	-650 MGM	KC @ PHI	total	o 36.0	-	-	-650/+400	-	-	-	-	-708/359
-7.6	-900 MGM	KC @ PHI	total	o 34.0	-	-	-900/+500	-	-	-	-	-1008/442
-7.6	-900 MGM	KC @ PHI	total	o 33.5	-	-	-900/+500	-	-	-	-	-1008/442
-7.6	-1200 MGM	KC @ PHI	total	o 33.0	-	-	-1200/+600	-	-	-	-	-1408/523
-7.7	-700 MGM	KC @ PHI	total	o 35.5	-	-	-700/+425	-	-	-	-	-758/375
-7.7	-157 BR	KC @ PHI	1h_spread	o 1.5	-	-	-	-	-	-141/121	-157/125	-
-7.9	185 BR	KC @ PHI	total	u 43.0	-	-	-250/+185	-	-	-	-250/185	-238/156
-7.9	210 BR	KC @ PHI	total	u 41.5	-	-	-275/+200	-	-	-	-295/210	-278/179
-7.9	114 BR	KC @ PHI	total	o 50.5	-	-	'+105/-140	-	-	131/-152	114/-139	108/-158
-8.0	280 BR	KC @ PHI	total	u 39.5	-	-	-350/+250	-	-	-	-420/280	-388/234
-8.0	107 BR	KC @ PHI	home_total	u 23.5	-	-	-	-	-	-141/120	-130/107	-135/105
-8.1	120 BR	KC @ PHI	1h_spread	o -1.5	-	-	-	-	-	129/-149	120/-148	-
-8.2	205 BR	KC @ PHI	total	u 42.0	-	-	-275/+200	-	-	-	-286/205	-268/173
-8.3	100 CZ	KC @ PHI	1h_total	o 24.0	-	-	-	-	-	110/-126	-	100/-120
-8.6	110 CZ	KC @ PHI	1h_spread	o -0.5	-	-	-	-	-	122/-137	-	110/-130
-8.7	350 BR	KC @ PHI	total	u 37.5	-	-	-450/+310	-	-	-	-560/350	-483/276
-8.8	135 BR	KC @ PHI	1h_total	o 26.5	-	-	-	-	-	143/-171	135/-167	-
-8.9	270 BR	KC @ PHI	total	u 40.0	-	-	-350/+250	-	-	-	-400/270	-368/225
-8.9	-124 BR	KC @ PHI	1h_total	o 23.5	-	-	-	-	-	-110/-106	-124/100	-
-9.1	-112 BR	KC @ PHI	1q_home_total	o 3.5	-	-	-	-	-	100/-117	-112/-115	-
-9.1	-112 BR	KC @ PHI	1q_away_total	o 3.5	-	-	-	-	-	-100/-117	-112/-117	-
-9.1	117 BR	KC @ PHI	1h_total	o 24.5	-	-	-	-	-	127/-150	117/-148	-
-9.5	-162 BR	KC @ PHI	1h_total	o 22.5	-	-	-	-	-	-140/118	-162/130	-
-10.0	120 BR	KC @ PHI	1h_total	o 25.5	-	-	-	-	-	131/-157	120/-150	-
-10.0	160 BR	KC @ PHI	1h_spread	o -3.5	-	-	-	-	-	171/-204	160/-200	-
-10.0	120 BR	KC @ PHI	1h_spread	o -2.5	-	-	-	-	-	133/-155	120/-150	-
-10.3	340 BR	KC @ PHI	total	u 38.0	-	-	-450/+300	-	-	-	-560/340	-483/276
-11.2	310 BR	KC @ PHI	total	u 38.5	-	-	-425/+290	-	-	-	-480/310	-433/255
-11.3	130 CZ	KC @ PHI	1q_spread	o -0.5	-	-	-	-	-	144/-173	-	130/-160
-11.6	300 BR	KC @ PHI	total	u 39.0	-	-	-400/+280	-	-	-	-480/300	-433/255
-12.2	410 BR	KC @ PHI	total	u 36.5	-	-	-550/+360	-	-	-	-670/410	-608/325
-13.7	375 CZ	KC @ PHI	total	o 62.5	-	-	'+340/-525	-	-	-	-	375/-758
-14.3	359 CZ	KC @ PHI	total	o 62.0	-	-	'+340/-500	-	-	-	-	359/-708
-14.5	380 BR	KC @ PHI	total	u 37.0	-	-	-525/+350	-	-	-	-670/380	-583/316
-24.4	400 MGM	KC @ PHI	total	u 36.0	-	-	-650/+400	-	-	-	-	-708/359
-24.8	425 MGM	KC @ PHI	total	u 35.5	-	-	-700/+425	-	-	-	-	-758/375
-28.6	450 MGM	KC @ PHI	total	u 35.0	-	-	-750/+450	-	-	-	-	-858/404
-28.6	450 MGM	KC @ PHI	total	u 34.5	-	-	-750/+450	-	-	-	-	-858/404
-31.4	500 MGM	KC @ PHI	total	u 34.0	-	-	-900/+500	-	-	-	-	-1008/442
-31.4	500 MGM	KC @ PHI	total	u 33.5	-	-	-900/+500	-	-	-	-	-1008/442
-38.8	600 MGM	KC @ PHI	total	u 33.0	-	-	-1200/+600	-	-	-	-	-1408/523
