EV	EV Book	Game	Player	Prop	FD	DK	MGM	Bet365	ESPN	PN	Kambi	CZ
-44.5	1300 DK	BAL @ KC	Mark Andrews	ftd	+1100	+1300	1000	+1100	+1000	1076/-3211	1100	1000
-48.9	700 FD	BAL @ KC	Isiah Pacheco	ftd	+700	+600	650	+700	+650	628/-2083	600	400
-50.4	750 FD	BAL @ KC	Travis Kelce	ftd	+750	+750	700	+700	+650	651/-2285	600	550
-50.8	550 MGM	BAL @ KC	Derrick Henry	ftd	+500	+500	550	+500	+550	583/-1754	480	500
-54.1	1400 DK	BAL @ KC	Zay Flowers	ftd	+1300	+1400	1200	+1200	+1100	1046/-4440	1000	1000
-61.0	1200 MGM	BAL @ KC	Lamar Jackson	ftd	+1200	+1200	1200	+1100	+1200	1065/-4610	800	1000
-61.8	1000 FD	BAL @ KC	Rashee Rice	ftd	+1000	+1000	950	+1000	+900	886/-4058	850	800
-66.6	1100 MGM	BAL @ KC	Xavier Worthy	ftd	+1000	+1100	1100	+1000	+1000	-	1050	1000
