	vs ECR	PTS	PLAYER	ATTD	PASS_TD	PASS_YD	INT	RUSH_YD	INC
QB1	'+2	19.4	Jayden Daniels	2.6	6.02	7.95	-1.1	3.91	,,
QB2	-1	19.3	Jalen Hurts	3.98	4.97	7.97	-0.98	3.34	,,
QB3	-1	17.8	Lamar Jackson	1.97	5.05	7.91	-1.17	4.04	,,
QB4	'+6	16.4	Geno Smith	0.74	6.38	9.2	-1.25	1.27	,,
QB5	'+2	16.3	Patrick Mahomes	0.7	6.91	8.53	-1.04	1.17	,,
QB6	-1	16.1	Kyler Murray	1.83	5.13	7.54	-1.2	2.78	,,
QB7	-1	15.7	Bo Nix	1.57	5.54	7.8	-1.19	1.99	,,
QB8	'+3	15.7	Anthony Richardson	2.17	4.36	6.95	-1.69	3.89	,,
QB9	-1	15.2	Jared Goff	0.32	6.8	8.81	-0.92	0.2	,,
QB10	-6	15.2	Justin Herbert	1.01	5.01	9.01	-1.55	1.68	,,
QB11	'+2	15.0	Jordan Love	0.58	6.6	8.74	-1.45	0.57	,,
QB12	-3	15.0	Baker Mayfield	0.58	6.24	8.36	-1.22	1.07	,,
QB13	'+1	14.9	Cj Stroud	0.63	5.86	8.62	-1.14	0.91	,,
QB14	'+3	14.7	Sam Darnold	0.69	5.56	8.46	-1.32	1.29	,,
QB15	-3	14.5	Tua Tagovailoa	0.3	6.46	8.58	-1.12	0.27	,,
QB16	-1	14.2	Drake Maye	1.24	4.61	7.45	-1.42	2.34	,,
QB17	-1	13.5	Matthew Stafford	0.16	5.8	8.66	-1.45	0.31	,rush_yd,
QB18	0	12.6	Caleb Williams	0.85	4.1	6.8	-1.15	1.97	,,
QB19	'+1	11.0	Will Levis	0.84	3.73	6.35	-1.85	1.89	,,
QB20	'+3	10.7	Gardner Minshew	0.35	3.96	7.52	-1.52	0.38	,,
QB21	'+1	10.4	Tommy Devito	1.26	3.37	5.48	-1.53	1.79	,,
QB22	'+7	9.8	Brandon Allen	0.48	4.1	6.24	-1.42	0.38	,,
QB23	'+1	9.8	Cooper Rush	0.22	3.73	6.94	-1.85	0.74	,rush_yd,
QB24	'+1	8.2	Bryce Young	0.47	3.04	5.1	-1.47	1.05	,,
