	vs ECR	PTS	PLAYER	ATTD	RUSH_YD	REC	REC_YD	INC
RB49	'+9	2.4	Emari Demercado	0.39	1.02	0.45	0.57	,rush_yd,rec,rec_yd,
RB50	-4	2.4	Blake Corum	0.48	1.31	0.25	0.36	,rush_yd,rec,rec_yd,
RB51	'+10	2.1	Sean Tucker	0.42	1.05	0.25	0.42	,rush_yd,rec,rec_yd,
RB52	'+5	2.1	Dameon Pierce	0.29	1.34	0.2	0.27	,rush_yd,rec,rec_yd,
RB53	'+42	2.1	Sincere Mccormick	0.28	1.48	0.15	0.17	,rush_yd,rec,rec_yd,
RB54	'+5	1.9	Dare Ogunbowale	0.3	0.36	0.5	0.75	,rush_yd,rec,rec_yd,
RB55	-3	1.7	Jordan Mason	0.31	1.07	0.15	0.2	,rush_yd,rec,rec_yd,
RB56	'+13	1.6	Carson Steele	0.49	0.85	0.1	0.17	,rush_yd,rec,rec_yd,
RB57	-2	1.6	Jamycal Hasty	0.2	0.8	0.25	0.34	,rush_yd,rec,rec_yd,
RB58	-4	1.6	Alexander Mattison	1.58	-	-	-	,rush_yd,rec,rec_yd,
RB59	-6	1.4	Jeremy Mcnichols	0.34	0.79	0.1	0.16	,rush_yd,rec,rec_yd,
RB60	'+3	1.3	Trey Sermon	0.23	0.59	0.2	0.3	,rush_yd,rec,rec_yd,
RB61	'+5	1.1	Keaton Mitchell	0.52	0.27	0.15	0.19	,rush_yd,rec,rec_yd,
RB62	'+10	1.0	Isaac Guerendo	0.11	0.62	0.1	0.14	,rush_yd,rec,rec_yd,
RB63	'+7	0.8	Hassan Haskins	0.29	0.42	0.05	0.08	,rush_yd,rec,rec_yd,
RB64	-8	0.8	Zamir White	0.82	-	-	-	,rush_yd,rec,rec_yd,
RB65	'+2	0.8	Tyjae Spears	0.78	-	-	-	,rush_yd,rec,rec_yd,
RB66	'+9	0.8	Hunter Luepke	-	0.18	0.25	0.35	,rush_yd,rec,rec_yd,
RB67	'+6	0.8	Deuce Vaughn	0.06	0.44	0.1	0.16	,rush_yd,rec,rec_yd,
RB68	-4	0.7	Tyler Goodson	0.19	0.15	0.15	0.22	,rush_yd,rec,rec_yd,
RB69	'+30	0.7	Clyde Edwards Helaire	0.26	0.18	0.1	0.12	,rush_yd,rec,rec_yd,
RB70	'+11	0.6	Eric Gray	0.04	0.14	0.15	0.23	,rush_yd,rec,rec_yd,
RB71	'+13	0.5	Travis Homer	0.32	0.09	0.05	0.06	,rush_yd,rec,rec_yd,
RB72	'+2	0.5	Ty Chandler	0.21	0.14	0.05	0.09	,rush_yd,rec,rec_yd,
RB73	'+3	0.5	Craig Reynolds	0.12	0.13	0.1	0.13	,rush_yd,rec,rec_yd,
RB74	'+20	0.4	Deejay Dallas	-	0.17	0.1	0.15	,rush_yd,rec,rec_yd,
