	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
G1	60.5	LAL	Luka Doncic	30.74	8.62	8.34	1.87	0.3	2.22
G2	48.7	OKC	Shai Gilgeous Alexander	31.59	3.86	6.0	0.83	0.51	1.67
G3	45.6	LAC	James Harden	20.73	5.04	8.83	1.56	0.43	1.96
G4	43.8	ATL	Trae Young	23.66	2.2	11.0	0.63	0.16	2.02
G5	41.8	MIN	Anthony Edwards	25.92	3.89	5.32	0.74	0.43	1.47
G6	41.1	MIL	Damian Lillard	21.89	4.6	6.69	1.15	0.16	1.63
G7	40.8	PHX	Devin Booker	23.64	3.95	7.03	0.66	0.16	1.81
G8	39.3	DAL	Quentin Grimes	21.72	5.48	3.74	1.09	0.61	1.37
G9	39.0	LAL	Austin Reaves	20.96	5.09	6.01	0.65	0.23	1.21
G10	38.6	CHA	Lamelo Ball	21.99	3.86	6.76	0.65	0.19	1.82
G11	35.9	CLE	Donovan Mitchell	21.35	4.06	4.81	0.66	0.19	1.26
G12	35.4	ATL	Dyson Daniels	12.83	5.57	4.11	2.68	0.43	1.23
G13	33.8	POR	Anfernee Simons	21.0	2.33	4.76	1.03	0.16	1.37
G14	32.9	CLE	Darius Garland	18.4	2.71	6.24	0.67	0.13	1.3
G15	32.9	POR	Shaedon Sharpe	18.09	4.62	3.27	1.12	0.28	1.21
G16	32.7	TOR	Rj Barrett	17.33	5.07	4.54	0.63	0.22	1.63
G17	31.1	DAL	Klay Thompson	17.65	4.43	2.7	0.7	0.51	0.89
G18	29.1	DAL	Spencer Dinwiddie	13.6	3.5	5.03	0.93	0.21	0.77
G19	27.3	BKN	Dangelo Russell	14.13	1.84	5.73	0.65	0.4	1.33
G20	26.2	DAL	Max Christie	12.48	4.52	2.74	0.83	0.35	0.72
G21	26.1	UTAH	Isaiah Collier	10.41	2.07	8.13	0.63	0.19	2.04
G22	26.0	PHX	Bradley Beal	14.88	2.17	3.95	0.69	0.34	1.15
G23	25.0	UTAH	Collin Sexton	16.22	1.59	4.17	0.42	0.1	1.37
G24	24.1	MIN	Donte Divincenzo	12.45	2.06	4.27	0.74	0.24	0.77
G25	23.0	ORL	Cole Anthony	11.6	3.45	2.78	0.64	0.47	1.23
G26	22.8	BKN	Keon Johnson	11.21	3.67	2.7	0.72	0.32	1.09
G27	22.6	LAC	Norman Powell	16.3	1.72	1.29	0.65	0.19	0.7
G28	19.1	CLE	Max Strus	8.69	3.79	2.19	0.49	0.2	0.66
G29	17.1	DAL	Brandon Williams	6.91	3.14	3.65	-	-	-
G30	16.3	LAL	Gabe Vincent	9.4	1.54	1.87	0.59	0.19	0.59
G31	16.2	OKC	Cason Wallace	9.45	1.85	2.66	-	-	-
G32	15.6	PHI	Ricky Council	9.92	3.82	-	-	-	-
G33	14.7	PHX	Tyus Jones	5.49	1.37	4.1	0.46	0.1	0.64
G34	13.7	ORL	Kentavious Caldwell Pope	7.65	1.74	0.93	0.61	0.27	0.57
G35	11.5	CHA	Daquan Jeffries	5.61	1.67	0.86	0.57	0.34	0.59
G36	11.3	CHA	Josh Green	5.31	1.5	1.3	0.69	0.14	0.66
G37	9.1	CHA	Nick Smith	5.11	1.22	1.24	0.37	0.11	1.11
