	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
C1	37.3	LAC	Ivica Zubac	15.32	10.82	1.79	0.63	0.69	0.87
C2	32.4	CLE	Jarrett Allen	12.5	9.49	1.7	0.65	0.64	0.74
C3	32.4	TOR	Jakob Poeltl	11.59	7.6	2.5	1.2	1.03	1.07
C4	32.3	MIN	Rudy Gobert	11.31	9.36	1.63	0.64	1.07	0.64
C5	32.2	BKN	Nic Claxton	10.49	7.93	2.6	0.66	1.63	1.0
C6	31.5	UTAH	Walker Kessler	11.18	9.8	1.03	0.52	1.12	0.85
C7	31.3	CHA	Mark Williams	12.22	9.11	1.86	0.53	0.64	0.91
C8	30.8	POR	Donovan Clingan	8.83	9.39	1.8	0.94	1.4	1.85
C9	28.8	MIL	Brook Lopez	12.32	4.92	1.52	0.68	1.82	0.62
C10	23.7	MIN	Naz Reid	13.31	3.18	1.67	0.63	0.66	0.78
C11	23.6	ORL	Wendell Carter	8.23	7.28	1.75	0.56	0.39	0.98
C12	23.2	PHX	Nick Richards	8.84	8.02	0.43	0.37	0.48	0.83
C13	21.1	LAL	Jaxson Hayes	8.63	5.53	0.81	0.53	0.66	0.6
C14	16.2	PHX	Mason Plumlee	3.34	6.11	0.9	0.5	0.49	0.64
