joe flacco	68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lamar jackson	39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javorius allen	38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alex collins	34,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kenneth dixon	28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael crabtree	66,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
john brown	60,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willie snead iv	53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris moore	24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
janarion grant	25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nick boyle	68,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maxx williams	55,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mark andrews	28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon williams	41,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michael pierce	41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrick ricard	17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zadarius smith	56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brent urban	44,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris wormley	58,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrick onwuasor	41,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kenny young	36,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c.j. mosley	73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matt judon	56,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
terrell suggs	48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim williams	36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tyus bowser	31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tony jefferson	100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eric weddle	73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chuck clark	41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marlon humphrey	84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandon carr	73,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tavon young	77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony levine sr	14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anthony averett	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maurice canady	16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh allen	50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nathan peterman	50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lesean mccoy	53,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcus murphy	36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chris ivory	11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patrick dimarco	2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taiwan jones	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zay jones	94,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kelvin benjamin	73,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andre holmes	17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robert foster	25,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeremy kerley	69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charles clay	63,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logan thomas	28,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jason croom	28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyle williams	56,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
star lotulelei	48,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harrison phillips	51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adolphus washington	40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jerry hughes	66,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trent murphy	35,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eddie yarbrough	49,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shaq lawson	44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nate orchard	0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tremaine edmunds	100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramon humber	5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matt milano	95,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorenzo alexander	55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deon lacey	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julian stanford	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jordan poyer	96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
micah hyde	95,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rafael bush	39,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
siran neal	4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tredavious white	96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phillip gaines	99,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lafayette pitts	4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vontae davis	0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
