EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
84.6	1500 FD	6%	lille	Jonathan David	shots	o 5.5	'+1500	-	'+500	-	-	-	0%	2%	2,1,1,3,4,5,1,1,2,3	🟡	90,90,28,90,67
83.5	200 365	33%	aston villa	Ezri Konsa	tackles	o 1.5	-	-	'+200	-190	-	-	20%	36%	0,0,2,3,0,0,0,0,1,0	-	90,90,90,90,90
83.3	950 FD	10%	arsenal	Declan Rice	shots	o 3.5	'+950	-	'+350	-	-	-	-%	-%		-	
83.1	1200 DK	8%	psv	Luuk De Jong	tackles	o 2.5	-	'+1200	'+750	280	-	-	20%	18%	2,0,0,1,0,4,1,2,3,0	-	90,120,90,65,90
82.0	550 365	15%	real madrid	Brahim Diaz	shots	o 2.5	'+210	-	'+550	-	-	-	0%	8%	2,0,1,0,0,0,0,2,1,0	🟡	72,7,58,88,5
81.9	225 365	31%	lille	Mitchel Bakker	shots	o 1.5	-150	-	'+225	-	-	-	10%	20%	0,1,1,0,0,0,4,0,0,1		25,90,45,14,45
81.6	2500 FD	4%	melbourne	Kai Trewin	shots	o 4.5	'+2500	-	'+700	-	-	-	-%	-%		-	
81.4	450 365	18%	psv	Walter Benitez	saves	o 4.5	-	'+170	'+450	-	-	-	10%	11%	3,3,4,2,5,2,3,1,1,3	-	90,120,90,90,90
81.0	430 BR	19%	leeds	Pascal Struijk	shots	o 2.5	-	-	'+162	-	430/-1250	-	0%	0%	1,1,0,1,0,1,0,1,0,2	-	13,1,90,4,20
80.9	475 DK	17%	real madrid	Brahim Diaz	tackles	o 2.5	-	'+475	'+275	125	-	-	20%	13%	1,0,0,0,0,0,0,3,3,0	🟡	72,7,58,88,5
80.1	400 365	20%	melbourne	Medin Memeti	shots	o 4.5	'+150	-	'+400	-	-	-	-%	-%		-	
80.1	310 DK	24%	lille	Ngalayel Mukau	tackles	o 2.5	-	'+310	'+110	-	-	-	10%	17%	2,1,0,0,0,2,3,0,1,2	🟡	70,75,90,62,76
79.3	425 DK	19%	aston villa	Lamare Bogarde	tackles	o 2.5	-	'+425	'+162	-	-	-	30%	42%	3,0,3,0,4,1,2,0,0,0	-	5,32,90,90,1
77.9	185 DK	35%	arsenal	Mikel Merino	tackles	o 1.5	-	'+185	-200	-	-	-	-%	-%		-	
77.6	800 365	11%	dortmund	Waldemar Anton	shots	o 1.5	'+310	-	'+800	-	-	-	10%	17%	0,1,1,0,1,0,2,0,0,0		2,90,90,2,1
77.0	700 DK	12%	lille	Hakon Arnar Haraldsson	tackles	o 2.5	-	'+700	'+275	-	-	-	10%	14%	0,1,0,1,1,0,1,0,3,1		67,76,45,90,75
76.1	400 365	20%	real madrid	Federico Valverde	tackles	o 2.5	-	'+225	'+400	110	-	-	0%	11%	1,1,2,1,1,0,0,2,0,0	🟡	90,90,89,81,23
75.9	1000 365	9%	atletico madrid	Conor Gallagher	shots	o 2.5	'+380	-	'+1000	-	-	-	-%	-%			
75.9	1000 365	9%	psv	Guus Til	shots	o 2.5	'+380	-	'+1000	-	-	-	40%	39%	5,1,0,4,1,6,1,0,0,5	-	62,49,72,90,90
74.7	500 365	17%	aston villa	Jacob Ramsey	shots	o 2.5	'+200	-	'+500	-	-	-	10%	6%	2,0,5,0,0,0,0,0,0,2	-	45,67,9,27,67
74.7	500 FD	17%	arsenal	Myles Lewis Skelly	shots	o 1.5	'+500	-	'+200	-	-	-	-%	-%		-	
73.6	450 365	18%	psv	Ismael Saibari	shots	o 2.5	'+180	-	'+450	-	-	-	50%	45%	2,3,4,1,2,4,5,3,1,2	-	28,120,90,81,90
72.8	190 BR	34%	hull	Joe Gelhardt	shots	o 2.5	-	-	-175	-	190/-375	-	-%	-%		-	
71.1	300 365	25%	aston villa	Youri Tielemans	tackles	o 3.5	-	-	'+300	115	-	-	30%	21%	0,4,0,1,1,5,5,2,3,0	-	90,90,90,90,90
