playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8480843,2022,Lukas Dostal,ANA,G,other,7,818.0,0.85,2.0,16.0,0.69,0.0,1.95,3.0,10.2,13.0,0.15,0.0,6.09,5.0,4.11,4.0,0.84,10.0,4.0,0.0,0.43,0.42,0.0,1.0,1.0,0.0,2.0,0.0,0.0
8480843,2022,Lukas Dostal,ANA,G,all,7,23436.0,24.01,23.0,466.0,19.09,15.0,58.52,64.0,265.24,254.0,5.3,8.0,151.09,142.0,104.86,113.0,23.2,266.0,77.0,23.0,7.39,9.56,7.05,9.0,5.0,9.0,100.0,0.0,0.0
8480843,2022,Lukas Dostal,ANA,G,5on5,7,17952.0,15.95,15.0,339.0,12.5,10.0,43.49,46.0,188.76,178.0,4.36,6.0,105.77,102.0,77.38,79.0,15.57,199.0,48.0,14.0,5.58,6.17,4.2,6.0,3.0,6.0,78.0,0.0,0.0
8480843,2022,Lukas Dostal,ANA,G,4on5,7,2935.0,6.76,6.0,103.0,5.66,5.0,12.37,15.0,61.37,56.0,0.1,0.0,37.48,32.0,19.7,26.0,6.35,52.0,24.0,8.0,1.23,2.89,2.64,2.0,1.0,3.0,19.0,0.0,0.0
8480843,2022,Lukas Dostal,ANA,G,5on4,7,1731.0,0.45,0.0,8.0,0.24,0.0,0.71,0.0,4.9,7.0,0.69,2.0,1.74,3.0,3.67,4.0,0.45,5.0,1.0,1.0,0.15,0.08,0.21,0.0,0.0,0.0,1.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,other,15,1080.0,2.16,5.0,33.0,1.56,2.0,3.45,2.0,17.97,17.0,0.56,0.0,11.51,11.0,6.73,6.0,1.77,16.0,8.0,2.0,0.5,0.79,0.86,2.0,3.0,0.0,7.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,all,15,52429.0,37.37,54.0,829.0,30.42,41.0,97.98,106.0,426.85,423.0,14.62,10.0,243.89,180.0,174.14,202.0,35.83,455.0,112.0,31.0,13.88,13.09,10.4,19.0,26.0,9.0,231.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,5on5,15,42716.0,28.12,38.0,651.0,22.44,30.0,80.08,92.0,335.65,337.0,11.37,10.0,187.01,139.0,140.15,158.0,27.44,364.0,83.0,22.0,11.76,9.98,6.37,14.0,19.0,5.0,182.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,4on5,15,4833.0,6.52,8.0,130.0,6.01,9.0,13.44,11.0,65.54,61.0,0.35,0.0,42.51,30.0,21.37,32.0,6.04,68.0,17.0,7.0,1.44,1.9,3.17,2.0,2.0,4.0,38.0,0.0,0.0
8478039,2022,Kaapo Kahkonen,SJS,G,5on4,15,3800.0,0.45,2.0,14.0,0.35,0.0,0.9,1.0,6.9,7.0,2.35,0.0,2.54,0.0,5.54,6.0,0.45,7.0,3.0,0.0,0.17,0.28,0.0,1.0,1.0,0.0,4.0,0.0,0.0
